"Data Import Template"
"Table:","Tree Species"
""
""
"Notes:"
"Please do not change the template headings."
"First data column must be blank."
"If you are uploading new records, leave the ""name"" (ID) column blank."
"If you are uploading new records, ""Naming Series"" becomes mandatory, if present."
"Only mandatory fields are necessary for new records. You can delete non-mandatory columns if you wish."
"For updating, you can update only selective columns."
"You can only upload upto 5000 records in one go. (may be less in some cases)"
""
"DocType:","Tree Species","","","","","","","","","","","","","","","","","","","","~","Tree Species Local Name","local_names"
"Column Labels:","ID","Tree Family","Wikipedia Link","Occurance","Leaf Image","Tree Image","Leaf Shape","Leaf Attachment","Leaf Type","Leaf Veination","Leaf Margin","Canopy Shape","Bark","Flow Size (cm)","Flower","Fruit","Fruit Size (cm)","Fruiting Months","Publish","Page Name","","ID","Local Name"
"","""Calliandra Haematocephala""","Mimosaceae","http://en.wikipedia.org/wiki/Calliandra_haematocephala","Occasional","","","Elliptic","Opposite","Multi-pinnata","","","Spreading","","0","Pink","Pods flat","0","Jan,Feb,Jun,July,Aug,Sep,Octo,Nov,Dec",1,"calliandra-haematocephala","","""000000227""","Powder Puff"
"","""Calliandra Portoricensis""","Mimosaceae","","Occasional","","","Elliptic","Opposite","Multi-pinnata","","","Spreading","","0","Pink","Pods flat","0","Jan,Feb,Jun,July,Aug,Sep,Octo,Nov,Dec",1,"calliandra-portoricensis","","""000000228""","Powder Puff"
"","""Callistemon Citrinus""","Myrtaceae","http://en.wikipedia.org/wiki/Callistemon_citrinus","Common","","","Linear","Opposite","Simple","","","Trailing","deeply cracked .branches slender, long drooping.","0","Red","Woody","0","April,May",1,"callistemon-citrinus","","""000000229""","Bottle Brush"
"","""Callitris Glaucophylla""","Cupressaceae","http://en.wikipedia.org/wiki/Callitris_glaucophylla","Rare","","","","","","","","Irregular","thick,resinous,deeply cracked,forming large rhomboidal plates.","0","No","No","0","No",1,"callitris-glaucophylla","","""000000230""","White Cypress"
"","""Calophyllum Inophyllum""","Clusiaceae","http://en.wikipedia.org/wiki/Calophyllum_inophyllum","Rare","","","Elliptic","Opposite","Simple","Reticulate","Entire","Oval","dark grey.","0","White Fragrant","Round smooth ,yellow","0","Nov,Dec",1,"calophyllum-inophyllum","","""000000231""","Undi"
"","""Calotropis Gigantea""","Ascelepiadaceae","http://en.wikipedia.org/wiki/Calotropis_gigantea","Rare","","","Oblong","Opposite","Simple","","","Spreading","branches grey,with milky juice.","0","White to pink","Green","0","Jan,Mar,May,July,sep,Nov",1,"calotropis-gigantea","","""000000232""","mandar"
"","""Cananga Odorata""","Annonaceae","http://en.wikipedia.org/wiki/Cananga_odorata","Rare","","","Elliptic","Alternate","Simple","Reticulate","Acuminate","Erect","","0","Yellow","Black","0","March,April,Octo,Nov",1,"cananga-odorata","","""000000233""","Ylang-Ylang"
"","""Canarium Ovatum""","Burseraceae","http://en.wikipedia.org/wiki/Pili_nut","Rare","","","Elliptic","Opposite","Uni-pinnate","","","Irregular","","0","Small yellow","Blackish purple","0","April",1,"canarium-ovatum","","""000000234""","Pilinut"
"","""Canarium Strictum""","","http://en.wikipedia.org/wiki/Canarium","","","","","","","","","","","0","No","No","0","No",1,"canarium-strictum","","",""
"","""Capparis Grandis""","Capparaceae","http://en.wikipedia.org/wiki/Capparis","Occasional","","","Elliptic","Alternate","Simple","Reticulate","Entire","Conical","tall,butteressed at base","0","Small,White","Ablong, Pointed","0","March",1,"capparis-grandis","","""000000235""","Pachunda"
"","""Careya Arborea""","Lecythidaceae","http://en.wikipedia.org/wiki/Careya_arborea","Rare","","","Oblong","Alternate","Simple","Reticulate","Acuminate","Globular","","0","White","Round green","0","March April",1,"careya-arborea","","""000000236""","Kumbha"
"","""Carica Papaya""","Caricaceae","http://en.wikipedia.org/wiki/Papaya","Common","","","Lobed","Alternate","Simple","Reticulate","Peltet","Globular","with scars of fallen leaves soft,with milky juice","0","Greenish white","Orangish yellow","0","Jan-Dec",1,"carica-papaya","","""000000237""","Papayi"
"","""Carpentaria Accuminata""","","http://en.wikipedia.org/wiki/Carpentaria","Rare","","","","","","","","","","0","Creamish","Red","0","No",1,"carpentaria-accuminata","","""000000238""","Carpentaria Palm"
"","""Caryota Mitis""","","http://en.wikipedia.org/wiki/Caryota","Occasional","","","","","","","","","single, slender,30-50cm dia smooth with shallow rings of leaf bases,grey.","0","Red,Green","Black","0","No",1,"caryota-mitis","","""000000239""","Bherli Mad"
"","""Caryota Rumphiana""","","http://en.wikipedia.org/wiki/Caryota_rumphiana","Rare","","","","","","","","","single,15-25cm dia,smooth with bulging base,covered with rings.","0","Red,Green","Black","0","No",1,"caryota-rumphiana","","""000000240""","Bherli Mad"
"","""Caryota Urens""","","http://en.wikipedia.org/wiki/Caryota_urens","Rare","","","","","","","","","","0","Red,Green","Black","0","No",1,"caryota-urens","","""000000241""","Bherli Mad"
"","""Cascabela Thevetia""","Apocynaceae","","Common","","","Linear","Opposite","Simple","","","Spreading","Grey,cracked.","0","Fragrant white,yellow,orange","Yellow, Ribbed","0","Jan,Mar,May,July,sep,Nov",1,"cascabela-thevetia","","""000000242""","Bitti"
"","""Cassia Fistula""","Caesalpiniceae","http://en.wikipedia.org/wiki/Cassia_fistula","Occasional","","","Elliptic","Opposite","Uni-pinnate","","","Spreading","dark brown.","0","Yellow","Pods smooth brown","0","Aptil,May,Jun",1,"cassia-fistula","","""000000243""","Amaltas"
"","""Cassia Grandis""","Caesalpiniceae","http://en.wikipedia.org/wiki/Cassia_grandis","Occasional","","","Oblong","Opposite","Uni-pinnate","","","Spreading","corky, rough, yellow.","0","Pink","Pods","0","Jan,Feb",1,"cassia-grandis","","""000000244""","Horse Cassia"
"","""Cassia Javanica Var. Indochinensis""","Caesalpiniceae","","Occasional","","","Oblong","Opposite","Uni-pinnate","","","Spreading","","0","Yellowish pink","Pods smooth brown","0","May,Jun",1,"cassia-javanica-var.-indochinensis","","""000000245""","Jawa Cassia"
"","""Cassia Javanica Var. Javanica""","Caesalpiniceae","","Occasional","","","Oblong","Opposite","Uni-pinnate","","","Spreading","light brown,smooth.branches Spreading.","0","Yellowish pink","Pods smooth brown","0","May,Jun",1,"cassia-javanica-var.-javanica","","""000000246""","Jawa Cassia"
"","""Cassia Renigera""","Caesalpiniceae","","Common","","","Oblong","Opposite","Uni-pinnate","","","Irregular","short branches Spreading.","0","fragrant pink","Cylindrc black","0","May,Jun",1,"cassia-renigera","","""000000247""","Gulabi Bahawa"
"","""Cassia Roxburghii""","Caesalpiniceae","http://species.wikimedia.org/wiki/Cassia_roxburghii","Occasional","","","Oblong","Opposite","Uni-pinnate","","","Globular","grey,rough branches horizontal branches drooping.","0","Redish pink","Cylindric black","0","May,Jun",1,"cassia-roxburghii","","""000000248""","Red Cassia"
"","""Cassia Spectabilis""","Caesalpiniceae","http://en.wikipedia.org/wiki/Senna_spectabilis","Occasional","","","Ovate","Opposite","Uni-pinnate","","","Oval","","0","Panicals","Pods brown","0","Aug,Sep",1,"cassia-spectabilis","","""000000249""","Spectacular Cassia"
"","""Cassia Surattensis""","Caesalpiniceae","http://en.wikipedia.org/wiki/Cassia_(legume)","Common","","","Oblong","Opposite","Uni-pinnate","","","Oval","","0","Yellow","Pods brown","0","Feb,March,April,May.Aug,Sep,Octo,Nov",1,"cassia-surattensis","","""000000250""","Motha Tarwad"
"","""Cassine Glauca""","Celastraceae","","Occasional","","","Elliptic","Opposite","Simple","Reticulate","Crenate-serrate","Oval","","0","Greenish white","Green,abovoid","0","Sep",1,"cassine-glauca","","""000000251""","Bhutiya"
"","""Castanospermum Australe""","Fabaceae","http://en.wikipedia.org/wiki/Castanospermum","Rare","","","Oblong","Opposite","Uni-pinnate","","","Irregular","","0","Redish yellow","Pods black","0","April",1,"castanospermum-australe","","""000000252""","Australian Chestnut"
"","""Casuarina Equisetifolia""","Casuarinaceae","http://en.wikipedia.org/wiki/Casuarina_equisetifolia","Common","","","Linear","Alternate","Simple","No","Entire","Erect","","0","Greenish","Woody","0","April",1,"casuarina-equisetifolia","","""000000253""","Suru"
"","""Catunaregam Spinosa""","Rubiaceae","","Rare","","","Ovate","Opposite","Simple","","","Spreading","","0","Yellow fragrant","Globose,Lobbed","0","April,May",1,"catunaregam-spinosa","","""000000254""","Gela"
"","""Ceiba Pentandra""","Bombacaceae","http://en.wikipedia.org/wiki/Ceiba_pentandra","Common","","","Elliptic","","Digitate","","","Conical","greenish with Conical prickles.","0","Solitary","Silky Cotton","0","March",1,"ceiba-pentandra","","""000000255""","Pandhri Sawar"
"","""Ceiba Speciosa""","Bombacaceae","http://en.wikipedia.org/wiki/Ceiba_speciosa","Occasional","","","Elliptic","","Digitate","","","Conical","greenish with Conical prickles.","0","Pink","Ovoid","0","July Aug",1,"ceiba-speciosa","","""000000256""","Delhi Sawar"
"","""Cerbera Manghas""","Apocynaceae","http://en.wikipedia.org/wiki/Cerbera_manghas","Rare","","","Oblong","Opposite","Simple","","","Oval","","0","Fragrant white","Globose woody","0","June",1,"cerbera-manghas","","""000000257""","Sukanu"
"","""Ceriscoides Turgida""","Rubiaceae","","Occasional","","","Oblong","Opposite","Simple","","","Irregular","smooth, yellowish,branches many, armed with straight thorns.","0","White Fragrant","Globose,grey,woody","0","June",1,"ceriscoides-turgida","","""000000258""","Phetra"
"","""Chamaedorea Seifrizii""","","http://en.wikipedia.org/wiki/Chamaedorea","Rare","","","","","","","","","single,30-40cm dia,covered with persistant petioles.","0","Yellow","Black","0","No",1,"chamaedorea-seifrizii","","""000000259""","Bamboo Palm"
"","""Chamaerops Humilis""","","http://en.wikipedia.org/wiki/Chamaerops","Rare","","","","","","","","","single,30-45cm dia,rough with close rings of fallen leaf bases, grey.","0","No","No","0","No",1,"chamaerops-humilis","","""000000260""","European Fan Palm"
"","""Chambeyronia Macrocarpa""","","http://en.wikipedia.org/wiki/Chambeyronia_macrocarpa","Occasional","","","","","","","","","single 25-30cm dia, grey, covered with rings and minute tubercles.crown shaft1-1.5m,whitish green.","0","No","No","0","No",1,"chambeyronia-macrocarpa","","""000000261""","Red Leaf Palm"
"","""Chloroxylon Swietenia""","Meliaceae","http://en.wikipedia.org/wiki/Chloroxylon","Rare","","","Oblong","Opposite","Uni-pinnate","","","Irregular","Grey smooth.","0","Small white","woody","0","Feb,March",1,"chloroxylon-swietenia","","""000000262""","Behru"
"","""Chorisia Speciosa""","Bombacaceae","http://en.wikipedia.org/wiki/Ceiba_speciosa","Occasional","","","Elliptic","","Digitate","","","Globular","white.","0","Pink","Ovoid","0","July Aug",1,"chorisia-speciosa","","""000000263""","Delhi Sawar"
"","""Chrysalidocarpus Renda""","","http://en.wikipedia.org/wiki/Dypsis_lutescens","Common","","","","","","","","","Clustered,10-15cm dia, smooth with shallow rings of leaf bases","0","No","Black","0","No",1,"chrysalidocarpus-renda","","""000000264""","Areca Palm"
"","""Chrysophyllum Cainito""","Sapotaceae","http://en.wikipedia.org/wiki/Chrysophyllum_cainito","Occasional","","","Oblong","Alternate","Simple","Reticulate","Acuminate","Irregular","","0","yellow","Green globose","0","Sep,Octo",1,"chrysophyllum-cainito","","""000000265""","Star Apple"
"","""Chrysophyllum Oliviforme""","Sapotaceae","http://en.wikipedia.org/wiki/Chrysophyllum_oliviforme","Rare","","","Oblong","Alternate","Simple","Reticulate","Acuminate","Irregular","","0","Yellow","Yellowish green","0","Sep,Octo",1,"chrysophyllum-oliviforme","","""000000266""","Tarsi"
"","""Chukrasia Tabularis""","Meliaceae","","Rare","","","Ovate","Opposite","Uni-pinnate","","","Oval","brown,smooth.","0","Fragrant white","Ovoid","0","March",1,"chukrasia-tabularis","","""000000267""","Dalmara"
"","""Cinnamomum Camphora""","Lauraceae","http://en.wikipedia.org/wiki/Cinnamomum_camphora","Occasional","","","Lanceolate","Opposite","Simple","","","Irregular","","0","Yellow","Woody,Oblong","0","Feb",1,"cinnamomum-camphora","","""000000268""","Dalchini"
"","""Cinnamomum Verum""","Lauraceae","http://en.wikipedia.org/wiki/Cinnamomum_verum","Occasional","","","Lanceolate","Opposite","Simple","","","Irregular","smooth, thick, fragrant.","0","Yellow","Woody,Oblong","0","Feb",1,"cinnamomum-verum","","""000000269""","Dalchini"
"","""Citharexylum Spinosum""","Verbenaceae","http://en.wikipedia.org/wiki/Citharexylum_spinosum","Occasional","","","Elliptic","Opposite","Simple","Reticulate","Serrate","Erect","grey.branches spinous,4 angled, drooping.","0","Fragrant white","Orange Fleshy","0","Jan,July",1,"citharexylum-spinosum","","""000000270""","Seetaranjan"
"","""Citrofortunella Mitis""","Rutaceae","http://en.wikipedia.org/wiki/x_Citrofortunella_mitis","Occasional","","","Elliptic","Alternate","Simple","Reticulate","Entire","Irregular","","0","White, Fragrant","Round ,Bright,Orange","0","March,April",1,"citrofortunella-mitis","","""000000271""","Mandarin Orange"
"","""Citrus Aurantium""","Rutaceae","http://en.wikipedia.org/wiki/Bitter_orange","Occasional","","","Elliptic","Alternate","Simple","Reticulate","Entire","Conical","","0","Fragrant white","Green","0","Jun",1,"citrus-aurantium","","",""
"","""Citrus Limon""","Rutaceae","http://en.wikipedia.org/wiki/Lemon","Occasional","","","Elliptic","Alternate","Simple","Reticulate","Tooth margin","Erect","","0","Fragrant White","Yellow","0","Feb,March",1,"citrus-limon","","""000000272""","Idlimbu"
"","""Citrus Maxima""","Rutaceae","http://en.wikipedia.org/wiki/Pomelo","Occasional","","","Elliptic","Alternate","Simple","Reticulate","Entire","Conical","","0","Fragrant white","Green","0","Jun",1,"citrus-maxima","","""000000273""","Papnas"
"","""Citrus Sinensis""","Rutaceae","http://en.wikipedia.org/wiki/Orange_(fruit)","Occasional","","","Elliptic","Alternate","Simple","Reticulate","Tooth margin","Erect","","0","Fragrant White","Yellow","0","Feb,March",1,"citrus-sinensis","","",""
"","""Clausena Indica""","Rutaceae","","Rare","","","Ovate","Alternate","Uni-pinnate","","","Spreading","","0","White,Fragrant","Orangish pink","0","March,April",1,"clausena-indica","","""000000274""","Ran Kadhilimb"
"","""Cleistanthus Collinus""","Euphorbiaceae","","Rare","","","","","","","","","reddish ,flaky. Branches unarmed,resinous.","0","Small green","Globose Woody","0","No",1,"cleistanthus-collinus","","""000000275""","Garari"
"","""Clerodendrum Multiflorum""","Verbenaceae","http://en.wikipedia.org/wiki/Clerodendrum_multiflorum","Occasional","","","Ovate","Opposite","Simple","","","Globular","","0","White Fragrant","Globose","0","Jan",1,"clerodendrum-multiflorum","","""000000276""","Iran"
"","""Clusia Rosea""","Clusiaceae","http://en.wikipedia.org/wiki/Clusia_major","Occasional","","","Ovate","Opposite","Simple","","","Oval","","0","White,Fragrant","Red,Pulp","0","Octo,Nov,Dec",1,"clusia-rosea","","""000000277""","Pitch Apple"
"","""Coccoloba Uvifera""","Polygonaceae","http://en.wikipedia.org/wiki/Coccoloba_uvifera","Rare","","","Oblong","Alternate","Simple","Reticulate","Entire","Irregular","branches crooked.","0","Fragrant white","Globose red","0","March",1,"coccoloba-uvifera","","""000000278""","Sea-Grape Tree"
"","""Coccothrinax Argentata""","","http://en.wikipedia.org/wiki/Coccothrinax_argentata","Occasional","","","","","","","","","single,25-30cm dia,smooth,covered with rings.","0","White","Brownish black","0","No",1,"coccothrinax-argentata","","""000000279""","Hispaniolan Silver Thatch"
"","""Cochlospermum Religiosum""","Cochlospermaceae","https://en.wikipedia.org/wiki/Cochlospermum_religiosum","Occasional","","","Lobed","Alternate","Simple","Reticulate","palmate","Erect","smooth,brown","0","Golden Yellow","Brown","0","Feb,March",1,"cochlospermum-religiosum","","""000000280""","Ganer"
"","""Cocos Nucifera""","","","Common","","","","","","","","","singal,stout,45 cm dia,covered with persistent petioles","0","Yellow","Greenish Yellow","0","No",1,"cocos-nucifera","","""000000281""","Naral"
"","""Coffea Arabica""","Rubiaceae","http://en.wikipedia.org/wiki/Coffea_arabica","Occasional","","","Elliptic","Opposite","Simple","Reticulate","Acuminate","Irregular","","0","Fragrant white","Red, Ovoid","0","Feb,Mar",1,"coffea-arabica","","""000000282""","Coffee"
"","""Colvillea Racemosa""","Caesalpiniceae","http://en.wikipedia.org/wiki/Colvillea_racemosa","Occasional","","","Oblong","Opposite","Multi-pinnata","","","Irregular","grey rough.branches horizontal.","0","Orange","Brown","0","Octo",1,"colvillea-racemosa","","""000000283""","Manimohor"
"","""Commiphora Stocksiana""","Burseraceae","http://en.wikipedia.org/wiki/Commiphora","Rare","","","","","","","","","reddish brown.","0","Small red","Globose red","0","No",1,"commiphora-stocksiana","","""000000284""","Bayi"
"","""Copernicia Prunifera""","","","Rare","","","","","","","","","single,60-75cm,covered with persistant petioles when young and with black scars.","0","No","Greyish green","0","No",1,"copernicia-prunifera","","""000000285""","Carnauba Wax Palm"
"","""Cordia Dichotoma""","Boraginaceae","http://en.wikipedia.org/wiki/Cordia_dichotoma","Occasional","","","Oblong","Alternate","Simple","Reticulate","Entire","Trailing","","0","White","Globose pink","0","March",1,"cordia-dichotoma","","""000000286""","Bhokar"
"","""Cordia Gharaf""","Boraginaceae","http://en.wikipedia.org/wiki/Cordia","Occasional","","","Oblong","Alternate","Simple","Reticulate","Entire","Irregular","grey,furrowed.","0","White","Orange","0","Nov",1,"cordia-gharaf","","""000000287""","Gondan"
"","""Cordia Macleodii""","Boraginaceae","http://en.wikipedia.org/wiki/Cordia","Occasional","","","Oblong","Alternate","Simple","Reticulate","Entire","Trailing","","0","White","Globose pink","0","March",1,"cordia-macleodii","","""000000288""","Bhokar"
"","""Cordia Sebestena""","Boraginaceae","http://en.wikipedia.org/wiki/Cordia_sebestena","Occasional","","","Oblong","Alternate","Simple","Reticulate","Entire","Oval","grey,rough,furrowed.","0","bright orange","Ovoid Greenish white","0","Feb,March",1,"cordia-sebestena","","""000000289""","Scarlet Cordia"
"","""Corypha Umbraculifera""","","http://en.wikipedia.org/wiki/Corypha_umbraculifera","Rare","","","","","","","","","single, 25-30cm dia.","0","Creamish","Greyish green","0","No",1,"corypha-umbraculifera","","""000000290""","Talipot"
"","""Couroupita Guianensis""","Lecythidaceae","http://en.wikipedia.org/wiki/Couroupita_guianensis","Occasional","","","Lanceolate","Alternate","Simple","Reticulate","Entire","Oval","","0","Fragrant pink","Spherical ,woody","0","Oct,Nov",1,"couroupita-guianensis","","""000000291""","Kailaspati"
"","""Crateva Magna""","Capparaceae","","Occasional","","","Ovate","Opposite","Uni-pinnate","","","Globular","","0","Fragrant white","Red Globose","0","March",1,"crateva-magna","","""000000292""","Vaywaran"
"","""Crescentia Alata""","Bignoniaceae","http://en.wikipedia.org/wiki/Crescentia_alata","Occasional","","","Elliptic","Opposite","Simple","Reticulate","Entire","Spreading","","0","Greenish white","Green woody","0","June,July",1,"crescentia-alata","","""000000293""","Kalabash"
"","""Crescentia Cujete""","Bignoniaceae","http://en.wikipedia.org/wiki/Crescentia_cujete","Occasional","","","Elliptic","Opposite","Simple","Reticulate","Entire","Spreading","","0","Greenish white","Green woody","0","June,July",1,"crescentia-cujete","","""000000294""","Kalabash"
"","""Cupressus Glabra""","Cupressaceae","http://en.wikipedia.org/wiki/Cupressus_glabra","Rare","","","","","","","","","greyish brown with vertical cracks.","0","No","No","0","No",1,"cupressus-glabra","","""000000295""","Agra Suru"
"","""Cupressus Sempervirens""","Cupressaceae","http://en.wikipedia.org/wiki/Cupressus_sempervirens","Rare","","","","","","","","","dark brown with vertical cracks.branches coplanar.","0","No","No","0","No",1,"cupressus-sempervirens","","""000000296""","Italian Cypress"
"","""Cupressus Torulosa""","Cupressaceae","http://en.wikipedia.org/wiki/Cupressus_torulosa","Occasional","","","","","","","","","brown,peeling off.branches many,ascending.","0","No","No","0","No",1,"cupressus-torulosa","","""000000297""","Bhutan Cypress"
"","""Cycas Circinalis""","","http://en.wikipedia.org/wiki/Cycas_circinalis","Occasional","","","","","","","","","15-20cm,rarely branched","0","No","No","0","No",1,"cycas-circinalis","","""000000298""","Queen Sago"
"","""Cycas Pectinata""","","http://en.wikipedia.org/wiki/Cycas_pectinata","Rare","","","","","","","","","20-50cm,rarely branched","0","No","No","0","No",1,"cycas-pectinata","","""000000299""","Thakal"
"","""Cycas Revoluta""","","http://en.wikipedia.org/wiki/Cycas_revoluta","Common","","","","","","","","","10-25cm,rarely branched","0","No","No","0","No",1,"cycas-revoluta","","""000000300""","Sago Palm"
"","""Cycas Rumphii""","","http://en.wikipedia.org/wiki/Cycas_rumphii","Occasional","","","","","","","","","20-45cm,unbranched","0","No","No","0","No",1,"cycas-rumphii","","""000000301""","Indonesian Cycas"
"","""Cycas Thouarsii""","","http://en.wikipedia.org/wiki/Cycas_thouarsii","Rare","","","","","","","","","30-40cm,unbranched","0","No","No","0","No",1,"cycas-thouarsii","","""000000302""","Samble"
"","""Cycas Zeylanica""","","http://en.wikipedia.org/wiki/Cycadaceae","Rare","","","","","","","","","hollow,green, dia 10-15cm; internodes upto45cm branches horizontal,armed at nodes with stout spines.","0","No","No","0","No",1,"cycas-zeylanica","","""000000303""","Andaman Cycas"
"","""Cyrtostachys Renda""","","http://en.wikipedia.org/wiki/Red_palm","Rare","","","","","","","","","Clustered,5-8 cm dia, smooth with shallow distant rigs of leaf bases galu cous green","0","No","Black","0","No",1,"cyrtostachys-renda","","""000000304""","Lipstick Palm"
"","""Dalbergia Lanceolaria Var. Lanceolaria""","Fabaceae","","Occasional","","","Oblong","Alternate","Uni-pinnate","","","Irregular","grey.","0","White","Pods","0","Jun",1,"dalbergia-lanceolaria-var.-lanceolaria","","""000000305""","Dandus"
"","""Dalbergia Lanceolaria Var. Paniculata""","Fabaceae","","Common","","","Oblong","Alternate","Uni-pinnate","","","Irregular","greenish white. Young branches pubescent.","0","bluish white","Pods","0","April",1,"dalbergia-lanceolaria-var.-paniculata","","""000000306""","Phanshi"
"","""Dalbergia Latifolia""","Fabaceae","http://en.wikipedia.org/wiki/Dalbergia_latifolia","Occasional","","","Elliptic","Alternate","Uni-pinnate","","","Irregular","","0","White","Pods","0","May,Jun",1,"dalbergia-latifolia","","""000000307""","Shisam"
"","""Dalbergia Melanoxylon""","Fabaceae","http://en.wikipedia.org/wiki/Dalbergia_melanoxylon","Occasional","","","Oblong","Alternate","Uni-pinnate","","","Vase shaped","branched from base,often fusing together.branches spinous.","0","White,Fragrant","Pods","0","May,Jun",1,"dalbergia-melanoxylon","","""000000308""","Black Wood"
"","""Dalbergia Sissoo""","Fabaceae","https://en.wikipedia.org/wiki/Dalbergia_sissoo","Common","","","Ovate","Alternate","Uni-pinnate","","","Globular","","0","Small Yellow","Pods","0","April,May",1,"dalbergia-sissoo","","""000000309""","Shisav"
"","""Datura Arborea""","","http://en.wikipedia.org/wiki/Brugmansia_arborea","Occasional","","","Elliptic","Alternate","Simple","Reticulate","Entire","Irregular","","0","White/Pink","Oblong","0","April-July",1,"datura-arborea","","",""
"","""Delonix Regia""","Caesalpiniceae","http://en.wikipedia.org/wiki/Delonix_regia","Common","files/tree_species/gulmohar-leaf.jpg","files/tree_species/gulmohar-tree-1.jpg","Oblong","Opposite","Multi-pinnata","","","Spreading","brown.","0","Scarlet red","Woody black","0","April,May,Jun",1,"delonix-regia","","""000000640""","Gulmohar"
"","","","","","","","","","","","","","","","","","","","","","","""000000310""","Gulmohor"
"","""Dendrocalamus Giganteus""","","http://en.wikipedia.org/wiki/Dendrocalamus","Rare","","","","","","","","","solid,glaucous green, swollen at nodes, dia 3-8cm; branches unarmed, terminal branches decurved.","0","No","No","0","No",1,"dendrocalamus-giganteus","","""000000311""","Giant Bamboo"
"","""Dendrocalamus Strictus""","","","Occasional","","","","","","","","","solid, green, dia 3-5cm; internodes upto 40cm. Branches horizontal, unarmed.","0","No","No","0","No",1,"dendrocalamus-strictus","","""000000312""","Velu"
"","""Dichrostachys Cinera""","Mimosaceae","http://en.wikipedia.org/wiki/Dichrostachys_cinerea","Occasional","","","Oblong","Opposite","Multi-pinnata","","","Irregular","","0","Fragrant","Brown","0","April,May,Jun,July",1,"dichrostachys-cinera","","""000000313""","Sigamkathi"
"","""Dictyosperma Album""","","http://en.wikipedia.org/wiki/Dictyosperma","Occasional","","","","","","","","","single,40-60cm dia, with rings of leaf bases,triangular, long,grey","0","Green","Globular green","0","No",1,"dictyosperma-album","","""000000314""","Hurricane Palm"
"","""Dillenia Indica""","Dilleniaceae","http://en.wikipedia.org/wiki/Dillenia_indica","Rare","","","Elliptic","Alternate","Simple","Reticulate","Acuminate","Globular","brown with horizontal rings","0","Fragrant white","Round fleshy","0","July,Aug,Sep",1,"dillenia-indica","","""000000315""","Motha Karmal"
"","""Diospyros Buxifolia""","Ebenaceae","","Occasional","","","Elliptic","Alternate","Simple","Reticulate","Entire","Globular","dark brown,deeply cracked.","0","White, Fragrant","Purpleish, Globose, Smooth","0","March",1,"diospyros-buxifolia","","""000000316""","Striped Ebony"
"","""Diospyros Melanoxylon""","Ebenaceae","http://en.wikipedia.org/wiki/Diospyros_melanoxylon","Occasional","","","Oblong","Alternate","Simple","Reticulate","Entire","Oval","black branches grey tomentose.","0","Small,dirty,white","Ovoid yellow","0","March",1,"diospyros-melanoxylon","","""000000317""","Temru"
"","""Diospyros Peregrina""","Ebenaceae","http://en.wikipedia.org/wiki/Diospyros","Occasional","","","Oblong","Alternate","Simple","Reticulate","Wavy","Globular","","0","Creamy white","Globose red","0","March",1,"diospyros-peregrina","","""000000318""","Temburni"
"","""Dolichandrone Falcata""","Bignoniaceae","http://en.wikipedia.org/wiki/Dolichandrone_falcata","Occasional","","","Ovate","Opposite","Uni-pinnate","","","Irregular","","0","Fragrant white","Brown","0","May",1,"dolichandrone-falcata","","""000000319""","Medhshingi"
"","""Dombeya Acutangula""","Sterculiaceae","http://en.wikipedia.org/wiki/Dombeya_acutangula","Occasional","","","Lobed","Alternate","Simple","Reticulate","Dentale","Irregular","","0","Pink","Globose","0","Jan",1,"dombeya-acutangula","","""000000320""","Dombeya"
"","""Dombeya Wallichii""","Sterculiaceae","http://en.wikipedia.org/wiki/Dombeya_wallichii","Occasional","","","Lobed","Alternate","Simple","Reticulate","Dentale","Irregular","","0","Pink","Globose","0","Jan",1,"dombeya-wallichii","","",""
"","""Dracaena Fragrans""","Agavaceae","http://en.wikipedia.org/wiki/Dracaena_fragrans","Common","","","Linear","Alternate","Simple","Parallel","Entire","Erect","5-10 cm,clustered","0","Pinkish white","Globose red","0","Aug,Sep",1,"dracaena-fragrans","","""000000321""","Dracaena"
"","""Dracaena Sp.""","Agavaceae","http://en.wikipedia.org/wiki/Dracaena_(plant)","Common","","","Linear","Alternate","Simple","Parallel","Entire","Erect","","0","Pinkish white","Globose red","0","Aug,Sep",1,"dracaena-sp.","","",""
"","""Drypetes Roxburghii""","Euphorbiaceae","","Occasional","","","Oblong","Alternate","Simple","Reticulate","Undulate","Trailing","","0","Greenish yellow","Whitish green","0","March",1,"drypetes-roxburghii","","""000000322""","Putranjiva"
"","""Duranta Erecta""","Verbenaceae","http://en.wikipedia.org/wiki/Duranta_Erecta","Common","","","Ovate","Opposite","Simple","","","Irregular","","0","Blue","Globose,Orange","0","Jan,Mar,May,July,sep,Nov",1,"duranta-erecta","","""000000323""","Duranta"
"","""Dypsis Decaryi""","","http://en.wikipedia.org/wiki/Dypsis_decaryi","Rare","","","","","","","","","single,40-60cm dia, with rings of leaf bases,triangular, long,grey","0","Yellow","Pale Green","0","No",1,"dypsis-decaryi","","""000000324""","Triangle Palm"
"","""Dypsis Leptocheilos""","","","Rare","","","","","","","","","single, 15-20cm dia,smooth with close, inclined,deep rings of leaf bases, blackish grey.","0","green","White","0","No",1,"dypsis-leptocheilos","","""000000325""","Red Neck Palm"
"","""Dypsis Lutescens""","","http://en.wikipedia.org/wiki/Dypsis_lutescens","Common","","","","","","","","","Clustered,10-15cm dia, smooth with shallow rings of leaf bases","0","Yellow","Yellow","0","No",1,"dypsis-lutescens","","""000000326""","Areca Palm"
