-----
{
 "description": "The table refers to District wise Distribution of Dugwells according to Water Lifting Device. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "dgwlState1.9.csv", 
 "title": "Download CSV for Districtwise Distribution of Dugwells according to Water Lifting Device", 
 "url": "http://data.gov.in/sites/default/files/dgwlState1.9.csv"
}
-----
"State","District","Electric pumps","Diesel pumps","Wind mills","Solar pumps","Man/Animal operated","Others","Total"
"KARNATAKA","Koppal",1819,2,35,0,2,270,2128
"KARNATAKA","Mandya",7885,428,92,2,8,86,8501
"KARNATAKA","Mysore",4209,263,13,0,3,100,4588
"KARNATAKA","Raichur",9107,579,139,1,24,122,9972
"KARNATAKA","Shimoga",4740,2091,110,10,79,477,7507
"KARNATAKA","Tumkur",13217,334,92,1,199,921,14764
"KARNATAKA","Udupi",25128,2908,378,4,36,158,28612
"KARNATAKA","Uttara Kannada",16664,811,79,7,1065,160,18786
"KERALA","ALAPPUZHA",2674,32,6,0,1947,52,4711
"KERALA","ERANAKULAM",17049,69,114,4,337,29,17602
"KERALA","IDDUKKI",3884,686,3,3,745,450,5771
"KERALA","KANNUR",8674,2820,73,15,3579,57,15218
"KERALA","KASARAGODE",3775,1648,48,1,936,403,6811
"KERALA","KOLLAM",4404,6,1,3,1548,141,6103
"KERALA","KOTTAYAM",7920,169,70,30,2579,43,10811
"KERALA","KOZHIKODE",8895,831,37,13,2266,590,12632
"KERALA","MALAPPURAM",10745,1232,81,4,315,49,12426
"KERALA","PALAKKAD",8440,323,9,5,86,54,8917
"KERALA","PATHANAMTHITTA",4483,80,10,6,2006,49,6634
"KERALA","THIRUVANANTHAPURAM",9144,15,2,11,3830,156,13158
"KERALA","THRISSUR",42749,1292,223,5,179,27,44475
"KERALA","WAYANAD",467,155,2,0,55,8,687
"MADHYA PRADESH","BALAGHAT",9630,1519,432,5,942,253,12781
"MADHYA PRADESH","BARWANI",17823,559,21,2,26,24,18455
"MADHYA PRADESH","BETUL",47927,4859,507,3,590,120,54006
"MADHYA PRADESH","BHIND",6508,8383,32,4,168,87,15182
"MADHYA PRADESH","BHOPAL",9661,342,50,156,0,2,10211
"MADHYA PRADESH","CHHATARPUR",37059,16408,70,1,143,39,53720
"MADHYA PRADESH","CHHINDWARA",75128,709,29,3,276,1831,77976
"MADHYA PRADESH","DAMOH",9919,3039,147,65,59,40,13269
"MADHYA PRADESH","DATIA",12122,6510,985,9,64,302,19992
"MADHYA PRADESH","DEWAS",33132,194,123,32,13,0,33494
"MADHYA PRADESH","DHAR",32121,4186,618,24,336,119,37404
"MADHYA PRADESH","DINDORI",26,23,7,2,178,220,456
"MADHYA PRADESH","GUNA",20912,6037,21,16,38,317,27341
"MADHYA PRADESH","GWALIOR",14820,2711,180,6,49,145,17911
"MADHYA PRADESH","HARDA",11958,840,11,0,6,252,13067
"MADHYA PRADESH","HOSHANGABAD",19683,951,169,4,488,28,21323
"MADHYA PRADESH","INDORE",11614,52,7,19,10,1005,12707
"MADHYA PRADESH","JABALPUR",9059,424,10,1,43,259,9796
"MADHYA PRADESH","JHABUA",17495,6671,177,9,578,101,25031
"MADHYA PRADESH","KATNI",9933,2044,10,1,3,3,11994
"MADHYA PRADESH","KHANDWA",48449,5661,823,31,0,7974,62938
"MADHYA PRADESH","KHARGONE",53938,3318,123,33,10,8,57430
"MADHYA PRADESH","MANDLA",1693,416,2,1,84,492,2688
"MADHYA PRADESH","MANDSAUR",97191,601,61,7,31,18,97909
"MADHYA PRADESH","MORENA",9555,5189,39,8,10,7,14808
"MADHYA PRADESH","NARSINGHPUR",11442,90,8,1,40,320,11901
"MADHYA PRADESH","NEEMUCH",45912,540,140,10,184,750,47536
"MADHYA PRADESH","PANNA",2514,4190,43,0,17,8,6772
"MADHYA PRADESH","RAISEN",5584,5272,0,1,2,125,10984
"MADHYA PRADESH","RAJGARH",67263,155,1838,32,66,927,70281
"MADHYA PRADESH","RATLAM",43439,932,274,12,47,19,44723
"MADHYA PRADESH","REWA",10417,1213,30,11,90,6,11767
"MADHYA PRADESH","SAGAR",28158,14298,899,201,291,816,44663
