-----
{
 "description": "The table refers to Block wise Dugwells in the command of Major/Medium Projects and Supplimentary Irrigation. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "dgwldistr1.14.csv", 
 "title": "Download CSV for Blockwise Dugwells in the command of Major/Medium Projects and Supplimentary Irrigation", 
 "url": "http://data.gov.in/sites/default/files/dgwldistr1.14.csv"
}
-----
STATENAME,DISTNAME,BLOCKNAME,Location of Tubewell (Nos) - Inside Command,Location of Tubewell (Nos) - Outside Command,Total,Supplementary Irrigation (Ha) - Kharif,Supplementary Irrigation (Ha) - Rabi,Supplementary Irrigation (Ha) - Perennial,Supplementary Irrigation (Ha) - Others,Total
ANDHRA PRADESH,WARANGAL,DEVARUPPULA,4,2057,2061,5,5,0,0,10
ANDHRA PRADESH,WARANGAL,DHARMASAGAR,6,5299,5305,2,0,0,0,2
ANDHRA PRADESH,WARANGAL,DORNAKAL,0,3544,3544,0,0,0,0,0
ANDHRA PRADESH,WARANGAL,DUGGONDI,0,3797,3797,0,0,0,0,0
ANDHRA PRADESH,WARANGAL,ETURNAGARAM,0,32,32,0,0,0,0,0
ANDHRA PRADESH,WARANGAL,GEESUGONDA,0,3833,3833,0,0,0,0,0
ANDHRA PRADESH,WARANGAL,GHANAPUR,0,924,924,0,0,0,0,0
ANDHRA PRADESH,WARANGAL,GHANPUR(stn),0,6374,6374,0,0,0,0,0
ANDHRA PRADESH,WARANGAL,GOVINDARAOPET,0,105,105,0,0,0,0,0
ANDHRA PRADESH,WARANGAL,GUDUR,0,3135,3135,0,0,0,0,0
ANDHRA PRADESH,WARANGAL,HANAMKONDA,8,3241,3249,3,4,0,0,7
ANDHRA PRADESH,WARANGAL,HASANPARTHY,234,3114,3348,199,151,0,1,351
ANDHRA PRADESH,WARANGAL,JANGAON,0,3275,3275,0,0,0,0,0
ANDHRA PRADESH,WARANGAL,KESAMUDRAM,0,4597,4597,0,0,0,0,0
ANDHRA PRADESH,WARANGAL,KHANAPUR,2,1331,1333,0,0,2,0,2
ANDHRA PRADESH,WARANGAL,KODAKANDLA,0,3004,3004,0,0,0,0,0
ANDHRA PRADESH,WARANGAL,KOTHAGUDEM,0,253,253,0,0,0,0,0
ANDHRA PRADESH,WARANGAL,KURAVI,0,5251,5251,0,0,0,0,0
ANDHRA PRADESH,WARANGAL,LINGALA GHANPUR,0,2751,2751,0,0,0,0,0
ANDHRA PRADESH,WARANGAL,MADDUR,3,2339,2342,1,0,0,0,1
ANDHRA PRADESH,WARANGAL,MAHABUBABAD,0,4315,4315,0,0,0,0,0
ANDHRA PRADESH,WARANGAL,MANGAPET,0,365,365,0,0,0,0,0
ANDHRA PRADESH,WARANGAL,MARIPEDA,20,6177,6197,14,8,0,0,22
ANDHRA PRADESH,WARANGAL,MOGULLAPALLE,986,3415,4401,941,136,213,1,1291
ANDHRA PRADESH,WARANGAL,MULUG,8,915,923,8,0,0,0,8
ANDHRA PRADESH,WARANGAL,NALLABELLY,0,2215,2215,0,0,0,0,0
ANDHRA PRADESH,WARANGAL,NARMETTA,0,2779,2779,0,0,0,0,0
ANDHRA PRADESH,WARANGAL,NARSAMPET,1,2791,2792,0,1,0,0,1
ANDHRA PRADESH,WARANGAL,NARSIMHULAPET,0,3971,3971,0,0,0,0,0
ANDHRA PRADESH,WARANGAL,NEKKONDA,13,3321,3334,1,19,0,0,20
ANDHRA PRADESH,WARANGAL,NELLIKUDUR,0,4438,4438,0,0,0,0,0
ANDHRA PRADESH,WARANGAL,PALAKURTHI,0,5144,5144,0,0,0,0,0
ANDHRA PRADESH,WARANGAL,PARKAL,353,4836,5189,371,92,0,0,463
ANDHRA PRADESH,WARANGAL,PARVATHAGIRI,0,3652,3652,0,0,0,0,0
ANDHRA PRADESH,WARANGAL,RAGHUNATHA PALLE,0,3979,3979,0,0,0,0,0
ANDHRA PRADESH,WARANGAL,RAIPARTHY,10,3608,3618,9,0,0,0,9
ANDHRA PRADESH,WARANGAL,REGONDA,2,4482,4484,1,0,0,0,1
ANDHRA PRADESH,WARANGAL,SANGEM,0,4233,4233,0,0,0,0,0
ANDHRA PRADESH,WARANGAL,SHAYAMPET,216,2377,2593,211,14,0,0,226
ANDHRA PRADESH,WARANGAL,TADVAI,0,204,204,0,0,0,0,0
ANDHRA PRADESH,WARANGAL,THORRUR,0,4258,4258,0,0,0,0,0
ANDHRA PRADESH,WARANGAL,VENKATAPUR,6,649,655,0,4,0,0,4
ANDHRA PRADESH,WARANGAL,WARDHANNAPET,8,5074,5082,6,0,0,0,6
ANDHRA PRADESH,WARANGAL,ZAFFERGADH,1,3247,3248,0,0,0,0,0
ANDHRA PRADESH,WEST GODAVARI,BHIMADOLE,7,313,320,23,23,0,0,45
ANDHRA PRADESH,WEST GODAVARI,BUTTAYAGUDEM,0,112,112,0,0,0,0,0
ANDHRA PRADESH,WEST GODAVARI,CHINTALAPUDI,0,687,687,0,0,0,0,0
ANDHRA PRADESH,WEST GODAVARI,DENDULURU,24,680,704,77,54,34,0,164
ANDHRA PRADESH,WEST GODAVARI,DEVARAPALLE,0,376,376,0,0,0,0,0
ANDHRA PRADESH,WEST GODAVARI,DWARAKA TIRUMALA,0,481,481,0,0,0,0,0
ANDHRA PRADESH,WEST GODAVARI,GOPALAPURAM,0,856,856,0,0,0,0,0
ANDHRA PRADESH,WEST GODAVARI,JANGAREDDIGUDEM,51,819,870,97,99,61,0,256
ANDHRA PRADESH,WEST GODAVARI,JEELUGUMILLI,0,4,4,0,0,0,0,0
ANDHRA PRADESH,WEST GODAVARI,KAMAVARAPUKOTA,0,289,289,0,0,0,0,0
ANDHRA PRADESH,WEST GODAVARI,KOYYALAGUDEM,31,965,996,55,31,0,0,86
ANDHRA PRADESH,WEST GODAVARI,LINGAPALEM,98,1747,1845,34,110,11,0,155
ANDHRA PRADESH,WEST GODAVARI,PEDAVEGI,0,998,998,0,0,0,0,0
ANDHRA PRADESH,WEST GODAVARI,POLAVARAM,0,47,47,0,0,0,0,0
ANDHRA PRADESH,WEST GODAVARI,T NARASAPURAM,0,1783,1783,0,0,0,0,0
ANDHRA PRADESH,WEST GODAVARI,THALLAPUDI,0,29,29,0,0,0,0,0
ANDHRA PRADESH,WEST GODAVARI,UNGUTURU,0,17,17,0,0,0,0,0
ARUNACHAL PRADESH,CHANGLANG,BORDUMSA-DIYUN,0,1,1,0,0,0,0,0
ARUNACHAL PRADESH,EAST SIANG,MEBO,0,1,1,0,0,0,0,0
ARUNACHAL PRADESH,PAPUMPARE,KIMIN-DOIMUKH,0,2,2,0,0,0,0,0
ASSAM,BARPETA,CHAK-CHAKA,2,21,23,0,0,0,0,0
ASSAM,CACHAR,LAKHIPUR,0,1,1,0,0,0,0,0
ASSAM,DHUBRI,GOLOKGANJ,0,14,14,0,0,0,0,0
ASSAM,GOALPARA,DUDHNAI,0,10,10,0,0,0,0,0
ASSAM,GOALPARA,KUSHDHAWA,2,8,10,0,0,0,0,0
ASSAM,JORHAT,JORHAT NORTH WEST,0,10,10,0,0,0,0,0
ASSAM,KOKRAJHAR,KACHUGAON,3,0,3,3,2,0,0,5
ASSAM,KOKRAJHAR,SIDLI-CHIRANG PT,0,1,1,0,0,0,0,0
ASSAM,LAKHIMPUR,BIHPURIA,0,5,5,0,0,0,0,0
ASSAM,LAKHIMPUR,NARAYANPUR,0,53,53,0,0,0,0,0
ASSAM,MORIGAON,MAYONG,1,17,18,0,0,0,0,0
ASSAM,NAGOAN,BAJIAGAON,1,0,1,0,1,0,0,1
ASSAM,NAGOAN,BARHAMPUR,0,1,1,0,0,0,0,0
ASSAM,SIBSAGAR,PACHIM ABHOYPUR,0,3,3,0,0,0,0,0
ASSAM,SONITPUR,BAGHMARA,0,1,1,0,0,0,0,0
BIHAR,AURANGABAD,AURANGABAD,301,153,454,186,92,7,3,288
BIHAR,AURANGABAD,BARUN,442,241,683,512,118,1,11,641
BIHAR,AURANGABAD,DAUDNAGAR,318,8,326,248,78,4,0,329
BIHAR,AURANGABAD,DEO,173,663,836,27,20,0,3,51
BIHAR,AURANGABAD,GOH,185,285,470,20,17,2,1,40
BIHAR,AURANGABAD,HASPURA,323,48,371,193,170,6,11,380
BIHAR,AURANGABAD,KUTUMBA,558,376,934,268,110,37,28,442
BIHAR,AURANGABAD,MADANPUR,62,801,863,44,19,3,0,66
BIHAR,AURANGABAD,NABINAGAR,235,250,485,122,29,10,75,236
BIHAR,AURANGABAD,OBRA,185,15,200,149,174,1,0,324
BIHAR,AURANGABAD,RAFIGANAJ,26,555,581,6,8,2,0,16
BIHAR,BANKA,AMARPUR,150,477,627,0,0,0,0,0
BIHAR,BANKA,BANKA,138,782,920,36,60,1,0,98
BIHAR,BANKA,BARAHAT,308,152,460,37,48,3,0,89
BIHAR,BANKA,BELHAR,141,306,447,18,16,7,0,41
BIHAR,BANKA,BOUNSI,46,433,479,31,3,0,0,34
BIHAR,BANKA,CHANAN,15,1461,1476,0,0,0,0,0
BIHAR,BANKA,DHORAIYA,37,145,182,11,5,0,0,17
BIHAR,BANKA,KATORIYA,4,2165,2169,0,0,0,0,0
BIHAR,BANKA,PHULLIDUMER,133,152,285,14,9,0,0,23
BIHAR,BANKA,RAJOUN,7,269,276,0,0,0,0,1
BIHAR,BANKA,SAMBHUGANJ,109,417,526,0,0,0,0,0
BIHAR,BHAGALPUR,GOURADIH,69,562,631,34,33,0,0,67
BIHAR,BHAGALPUR,JAGDISHPUR,0,777,777,0,0,0,0,0
BIHAR,BHAGALPUR,KAHALGAON,0,412,412,0,0,0,0,0
BIHAR,BHAGALPUR,NATHNAGAR,0,231,231,0,0,0,0,0
BIHAR,BHAGALPUR,PIRPAINTY,1,1138,1139,0,0,0,0,0
BIHAR,BHAGALPUR,SABOUR,6,342,348,0,0,0,0,0
BIHAR,BHAGALPUR,SANHAULA,46,373,419,0,0,0,0,0
BIHAR,BHAGALPUR,SHAHKUND,0,801,801,0,0,0,0,0
BIHAR,BHAGALPUR,SULTANGANJ,0,130,130,0,0,0,0,0
BIHAR,BHOJPUR,ARA,4,30,34,0,0,0,0,0
BIHAR,BHOJPUR,BARHARA,0,10,10,0,0,0,0,0
BIHAR,BHOJPUR,BEHEA,0,20,20,0,0,0,0,0
BIHAR,BHOJPUR,CHARPOKHARI,31,226,257,1,0,0,0,1
BIHAR,BHOJPUR,GARHANI,18,30,48,0,0,0,0,0
BIHAR,BHOJPUR,JAGDISHPUR,47,277,324,1,0,0,0,1
BIHAR,BHOJPUR,KOILWAR,86,24,110,1,1,1,0,3
BIHAR,BHOJPUR,PIRO,846,90,936,242,170,3,1,415
BIHAR,BHOJPUR,SAHAR,109,5,114,1,3,0,0,4
BIHAR,BHOJPUR,SANDESH,2,129,131,0,0,0,0,0
BIHAR,BHOJPUR,SHAHPUR,0,18,18,0,0,0,0,0
BIHAR,BHOJPUR,TARARI,395,125,520,112,73,15,6,206
BIHAR,BHOJPUR,UDWANTNAGAR,4,71,75,0,0,0,0,0
BIHAR,BUXAR,BRAHMPUR,53,134,187,0,0,0,0,0
BIHAR,BUXAR,BUXAR,3,57,60,0,0,0,0,0
BIHAR,BUXAR,CHOUGAI,27,9,36,0,0,0,0,0
BIHAR,BUXAR,CHOUSA,3,25,28,1,0,0,0,1
BIHAR,BUXAR,DUMRAON,44,53,97,0,0,0,0,0
BIHAR,BUXAR,ITARHI,125,11,136,10,0,0,0,10
BIHAR,BUXAR,RAJPUR,181,10,191,74,75,10,13,171
BIHAR,BUXAR,SIMRI,0,54,54,0,0,0,0,0
BIHAR,EAST CHAMPARAN,AREARAJ,0,20,20,0,0,0,0,0
BIHAR,EAST CHAMPARAN,GHORASAHAN,0,2,2,0,0,0,0,0
BIHAR,GAYA,AMAS,13,556,569,0,0,0,0,0
BIHAR,GAYA,ATRI,0,650,650,1,0,0,0,1
BIHAR,GAYA,BANKE BAZAR,0,511,511,0,0,0,0,0
BIHAR,GAYA,BARACHATTY,0,1720,1720,0,0,0,0,0
BIHAR,GAYA,BATHANI,0,417,417,0,0,0,0,0
BIHAR,GAYA,BELAGANJ,25,851,876,20,0,0,0,20
BIHAR,GAYA,BODHGAYA,2,841,843,422,443,69,29,963
BIHAR,GAYA,DOBHI,58,917,975,85,36,0,0,121
BIHAR,GAYA,DUMARIYA,0,1018,1018,4,0,0,0,4
BIHAR,GAYA,FATEHPUR,2,1219,1221,1,1,1,1,4
BIHAR,GAYA,GAYA NAGAR,5,63,68,0,0,0,0,0
BIHAR,GAYA,GURARU,32,245,277,7,0,1,0,9
BIHAR,GAYA,GURUA,258,526,784,62,0,0,0,62
BIHAR,GAYA,IMAMGANJ,31,1686,1717,0,0,0,0,0
BIHAR,GAYA,KHIZARSARAI,4,317,321,3,3,0,0,6
BIHAR,GAYA,KONCH,119,465,584,83,20,0,0,103
BIHAR,GAYA,MANPUR,0,1046,1046,1,1,1,1,3
BIHAR,GAYA,MOHANPUR,0,1100,1100,0,0,0,0,0
BIHAR,GAYA,PARAIYA,94,530,624,0,0,0,0,0
BIHAR,GAYA,SHERGHATTY,2,237,239,2,1,0,0,3
BIHAR,GAYA,TANKUPPA,0,319,319,0,0,0,0,0
BIHAR,GAYA,TEKARI,68,879,947,38,34,1,0,73
BIHAR,GAYA,WAZIRGANJ,0,1056,1056,0,0,0,0,0
BIHAR,GOPAALGANJ,BAIKUNTHPUR,0,13,13,0,0,0,0,0
BIHAR,GOPAALGANJ,BARAULI,323,299,622,0,0,0,0,0
BIHAR,GOPAALGANJ,BHOREY,33,920,953,0,0,0,0,0
BIHAR,GOPAALGANJ,BIJAIPUR,13,173,186,0,0,0,0,0
BIHAR,GOPAALGANJ,HATHUA,69,522,591,0,0,0,0,0
BIHAR,GOPAALGANJ,KATEYA,49,108,157,0,0,0,0,0
BIHAR,GOPAALGANJ,KUCHAIKOTE,213,353,566,0,0,0,0,0
BIHAR,GOPAALGANJ,MANJHA,24,103,127,0,0,0,0,0
BIHAR,GOPAALGANJ,PANCHDEWRI,38,231,269,0,0,0,0,0
BIHAR,GOPAALGANJ,PHULWARIYA,5,538,543,0,0,0,0,0
BIHAR,GOPAALGANJ,THAWE,0,8,8,0,0,0,0,0
BIHAR,GOPAALGANJ,UCHKAGAON,64,481,545,0,0,0,0,0
BIHAR,JAMUI,ALIGANJ,3,134,137,0,0,0,0,0
BIHAR,JAMUI,BARHAT,2,228,230,20,36,0,0,56
BIHAR,JAMUI,CHAKAI,0,2148,2148,0,0,0,0,0
BIHAR,JAMUI,GHIDHOR,0,115,115,0,0,0,0,0
BIHAR,JAMUI,JAMUI,5,258,263,0,0,0,0,0
BIHAR,JAMUI,JHAJHA,1,1697,1698,0,0,0,0,0
BIHAR,JAMUI,KHAIRA,43,1183,1226,12,9,0,0,21
BIHAR,JAMUI,LAXMIPUR,0,722,722,0,0,0,0,0
BIHAR,JAMUI,SIKANDARA,27,586,613,0,0,0,0,0
BIHAR,JAMUI,SONO,15,1528,1543,0,0,0,0,0
BIHAR,JEHANABAD,ARWAL,150,32,182,10,7,0,1,18
BIHAR,JEHANABAD,GHOSHI,55,132,187,15,0,0,0,15
BIHAR,JEHANABAD,HULASGANJ,171,89,260,31,0,0,0,32
BIHAR,JEHANABAD,JEHANABAD,62,29,91,0,0,0,0,0
BIHAR,JEHANABAD,KAKO,0,479,479,1,0,0,0,1
BIHAR,JEHANABAD,KALER,64,0,64,11,18,1,4,34
BIHAR,JEHANABAD,KARPI,14,449,463,1,0,0,0,1
BIHAR,JEHANABAD,KURTHA,3,265,268,0,0,0,0,0
BIHAR,JEHANABAD,MAKHDUMPUR,44,238,282,13,2,0,0,15
BIHAR,JEHANABAD,MODANGANJ,2,125,127,2,1,0,0,3
BIHAR,JEHANABAD,RATNI,0,86,86,0,0,0,0,0
BIHAR,JEHANABAD,VANSHI,0,48,48,0,0,0,0,0
BIHAR,KAIMUR (BHABUA),ADHAURA,0,96,96,0,0,0,0,0
BIHAR,KAIMUR (BHABUA),BHABUA,804,868,1672,696,490,1,1,1188
BIHAR,KAIMUR (BHABUA),BHAGWANPUR,371,401,772,5,6,0,0,11
BIHAR,KAIMUR (BHABUA),CHAINPUR,288,1003,1291,89,95,0,0,184
BIHAR,KAIMUR (BHABUA),CHAND,370,650,1020,419,413,0,0,831
BIHAR,KAIMUR (BHABUA),DURGAWATI,32,549,581,2,1,0,0,3
BIHAR,KAIMUR (BHABUA),KUDRA,253,637,890,147,41,2,0,189
BIHAR,KAIMUR (BHABUA),MOHANIA,228,323,551,192,96,0,0,288
BIHAR,KAIMUR (BHABUA),NUAON,299,133,432,396,335,210,107,1049
BIHAR,KAIMUR (BHABUA),RAMGARH,0,727,727,0,0,0,0,0
BIHAR,KAIMUR (BHABUA),RAMPUR,28,536,564,0,0,0,0,0
BIHAR,KATIHAR,AZAMNAGAR,0,15,15,0,0,0,0,0
BIHAR,LAKHISARAI,HALSI,94,11,105,38,0,0,0,38
BIHAR,LAKHISARAI,LAKHISARAI,59,356,415,8,5,1,0,14
BIHAR,LAKHISARAI,RAMGHAR CHOK,8,65,73,1,0,0,0,1
BIHAR,LAKHISARAI,SURYAGARAH,5,537,542,0,1,0,0,1
BIHAR,MADHEPURA,GAMHARIA,0,1,1,0,0,0,0,0
BIHAR,MADHEPURA,KUMAR KHAND,0,2,2,0,0,0,0,0
BIHAR,MADHEPURA,SINGHESHWAR,0,1,1,0,0,0,0,0
BIHAR,MADHUBANI,BABUBARHI,0,29,29,0,0,0,0,0
BIHAR,MADHUBANI,HARLAKHI,12,9,21,46,35,0,0,81
BIHAR,MADHUBANI,JAYNAGAR,14,52,66,0,0,0,0,0
BIHAR,MADHUBANI,LAKHANAUR,4,1,5,0,0,0,0,0
BIHAR,MUNGER,ASARGANJ,0,104,104,0,0,0,0,0
BIHAR,MUNGER,BARIYARPUR,0,40,40,0,0,0,0,0
BIHAR,MUNGER,DHARAHARA,0,663,663,0,0,0,0,0
BIHAR,MUNGER,HAWALI KHAGARHPUR,43,741,784,0,0,0,0,0
BIHAR,MUNGER,JAMALPUR,0,471,471,0,0,0,0,0
BIHAR,MUNGER,SADAR MUNGER,11,485,496,0,0,0,0,0
BIHAR,MUNGER,SANGRAMPUR,0,371,371,0,0,0,0,0
BIHAR,MUNGER,TARAPUR,3,339,342,0,0,0,0,0
BIHAR,MUNGER,TATIA BAMBAR,0,189,189,0,0,0,0,0
BIHAR,MUZAFFARPUR,KANTI,3,47,50,0,0,0,0,0
BIHAR,MUZAFFARPUR,KATRA,2,0,2,0,0,0,0,0
BIHAR,MUZAFFARPUR,KURHANI,0,17,17,0,0,0,0,0
BIHAR,MUZAFFARPUR,MINAPUR,0,13,13,0,0,0,0,0
BIHAR,MUZAFFARPUR,MORAUL,5,17,22,0,0,0,0,0
BIHAR,MUZAFFARPUR,MUSHAHARI,0,4,4,0,0,0,0,0
BIHAR,NALANDA,ASTHAWAN,0,1377,1377,0,0,0,0,0
BIHAR,NALANDA,BEN,0,928,928,3,3,0,0,5
BIHAR,NALANDA,BIHARSHARIF,1,2189,2190,0,0,0,0,0
BIHAR,NALANDA,BIND,0,417,417,0,0,0,0,0
BIHAR,NALANDA,CHANDI,0,1094,1094,1,0,0,0,1
BIHAR,NALANDA,EKANGARSARAI,0,551,551,0,0,0,0,0
BIHAR,NALANDA,GIRIYAK,1,704,705,0,0,0,0,0
BIHAR,NALANDA,HARNAUT,0,1284,1284,0,0,0,0,0
BIHAR,NALANDA,HILSA,0,1598,1598,0,0,0,0,0
BIHAR,NALANDA,ISLAMPUR,0,533,533,0,0,0,0,0
BIHAR,NALANDA,KARAIPARSURAI,1,564,565,0,0,0,0,0
BIHAR,NALANDA,KATRISARAI,0,270,270,0,0,0,0,0
BIHAR,NALANDA,NAGARNAUSA,0,625,625,0,0,0,0,0
BIHAR,NALANDA,NOORSARAI,0,2745,2745,3,1,0,0,4
BIHAR,NALANDA,PARWALPUR,0,754,754,0,3,0,2,5
BIHAR,NALANDA,RAHUI,0,1789,1789,0,0,0,0,0
BIHAR,NALANDA,RAJGIR,0,725,725,0,0,0,0,0
BIHAR,NALANDA,SARMERA,0,384,384,0,0,0,0,0
BIHAR,NALANDA,SILAO,0,1638,1638,0,0,0,0,0
BIHAR,NALANDA,THARTHARI,0,558,558,0,0,0,0,0
BIHAR,NAWADA,AKBARPUR,20,464,484,0,0,0,0,0
BIHAR,NAWADA,GOVINDPUR,26,451,477,0,0,0,0,0
BIHAR,NAWADA,HASUA,0,488,488,0,0,0,0,0
BIHAR,NAWADA,KASHICHAK,7,188,195,0,0,0,0,0
BIHAR,NAWADA,KAWAKOLE,101,709,810,4,5,0,0,8
BIHAR,NAWADA,MESKAUR,1,304,305,0,0,0,0,0
BIHAR,NAWADA,NARDIGUNJ,5,275,280,0,0,0,0,0
BIHAR,NAWADA,NARHAT,48,117,165,0,0,0,0,0
BIHAR,NAWADA,NAWADA,3,350,353,0,0,0,0,0
BIHAR,NAWADA,PAKRIBRAWAN,0,15,15,0,0,0,0,0
BIHAR,NAWADA,RAJAULI,7,357,364,0,0,0,0,0
BIHAR,NAWADA,ROH,31,123,154,0,0,0,0,0
BIHAR,NAWADA,SIRDALA,9,717,726,0,0,0,0,0
BIHAR,NAWADA,WARISALIGUNJ,115,532,647,0,0,0,0,0
BIHAR,PATNA,ATHAMALGOLA,0,6,6,0,0,0,0,0
BIHAR,PATNA,BAKHTIARPUR,0,76,76,0,0,0,0,0
BIHAR,PATNA,BARH,130,88,218,0,0,0,0,0
BIHAR,PATNA,BELCHCHI,0,15,15,0,0,0,0,0
BIHAR,PATNA,BIHTA,0,293,293,0,25,0,22,46
BIHAR,PATNA,DANIYAWAN,0,220,220,0,0,0,0,0
BIHAR,PATNA,DHANARUA,2,469,471,0,0,0,0,0
BIHAR,PATNA,DULHIN BAZAR,28,81,109,50,38,0,0,88
BIHAR,PATNA,FATUHA,0,136,136,0,0,0,0,0
BIHAR,PATNA,GHOSWARI,0,67,67,0,0,0,0,0
BIHAR,PATNA,KHUSRUPUR,0,117,117,1,1,0,0,1
BIHAR,PATNA,MANER,7,9,16,0,0,0,0,0
BIHAR,PATNA,MASAURHI,0,848,848,0,0,0,0,0
BIHAR,PATNA,MOKAMA,29,4,33,0,0,0,0,0
BIHAR,PATNA,NAUBATPUR,116,325,441,0,0,0,0,0
BIHAR,PATNA,PALIGANJ,0,264,264,3,3,0,0,5
BIHAR,PATNA,PANDARAK,0,142,142,0,0,0,0,0
BIHAR,PATNA,PATNA SADAR,1,208,209,0,0,0,0,0
BIHAR,PATNA,PHULWARI,38,254,292,9,14,0,3,27
BIHAR,PATNA,PUNPUN,0,614,614,0,0,0,0,0
BIHAR,PATNA,SAMPATCHAK,0,281,281,0,0,0,0,0
BIHAR,PATNA,VIKRAM,71,32,103,0,0,0,0,0
BIHAR,ROHTAS(SASARAM),AKHORIGOLA,0,1,1,0,0,0,0,0
BIHAR,ROHTAS(SASARAM),BIKRAMGANJ,131,84,215,119,110,0,1,230
BIHAR,ROHTAS(SASARAM),CHENARI,351,800,1151,134,93,4,2,233
BIHAR,ROHTAS(SASARAM),DAWATH,142,18,160,105,96,1,1,203
BIHAR,ROHTAS(SASARAM),DEHRI,22,92,114,0,1,0,0,1
BIHAR,ROHTAS(SASARAM),DINARA,1,73,74,0,0,0,0,0
BIHAR,ROHTAS(SASARAM),KARAKAT,336,61,397,47,50,4,0,101
BIHAR,ROHTAS(SASARAM),KARGAHAR,209,132,341,229,166,0,0,395
BIHAR,ROHTAS(SASARAM),KOCHAS,214,235,449,28,28,0,0,56
BIHAR,ROHTAS(SASARAM),NASRIGANJ,93,0,93,4,2,0,0,6
BIHAR,ROHTAS(SASARAM),NAUHATTA,0,830,830,0,0,0,0,0
BIHAR,ROHTAS(SASARAM),NOKHA,0,2,2,0,0,0,0,0
BIHAR,ROHTAS(SASARAM),RAJPUR,66,6,72,15,20,0,0,35
BIHAR,ROHTAS(SASARAM),ROHTAS,3,562,565,0,0,0,0,0
BIHAR,ROHTAS(SASARAM),SANJHAULI,50,52,102,6,6,0,0,13
BIHAR,ROHTAS(SASARAM),SASARAM,208,697,905,24,22,1,0,47
BIHAR,ROHTAS(SASARAM),SHEOSAGAR,437,359,796,122,91,2,1,216
BIHAR,ROHTAS(SASARAM),SURAJPURA,222,61,283,10,18,0,0,29
BIHAR,ROHTAS(SASARAM),TILOUTTHU,0,89,89,1,0,0,0,1
BIHAR,SARAN,AMNAUR,36,1112,1148,0,0,0,0,0
BIHAR,SARAN,BANIYAPUR,4,1178,1182,0,0,0,0,0
BIHAR,SARAN,DARIYAPUR,28,1506,1534,0,0,0,0,0
BIHAR,SARAN,DIGHWARA,0,118,118,0,0,0,0,0
BIHAR,SARAN,EKMA,62,825,887,0,0,0,0,0
BIHAR,SARAN,GARKHA,0,391,391,0,0,0,0,0
BIHAR,SARAN,ISHUAPUR,0,1203,1203,0,0,0,0,0
BIHAR,SARAN,JALAPUR,0,883,883,1,0,0,0,1
BIHAR,SARAN,LAHLADPUR,1,424,425,0,0,0,0,0
BIHAR,SARAN,MAKER,0,160,160,0,0,0,0,0
BIHAR,SARAN,MANJHI,0,20,20,0,0,0,0,0
BIHAR,SARAN,MARAURAH,1,1274,1275,0,0,0,0,0
BIHAR,SARAN,MASHRAKH,0,279,279,0,0,0,0,0
BIHAR,SARAN,NAGRA,35,109,144,0,0,0,0,0
BIHAR,SARAN,PANAPUR,0,102,102,0,0,0,0,0
BIHAR,SARAN,REVILGANJ,2,130,132,0,0,0,0,0
BIHAR,SARAN,SADAR,0,521,521,0,0,0,0,0
BIHAR,SARAN,SONPUR,1,340,341,0,0,0,0,0
BIHAR,SARAN,TRAIYA,0,1236,1236,0,1,0,0,1
BIHAR,SHEKHPURA,ARIYARI,0,192,192,0,0,0,0,0
BIHAR,SHEKHPURA,BARBIGHA,0,50,50,0,0,0,0,0
BIHAR,SHEKHPURA,CHEWARA,0,160,160,0,0,0,0,0
BIHAR,SHEKHPURA,GHAT KUSUMBHA,0,16,16,0,0,0,0,0
BIHAR,SHEKHPURA,SHEKHOPURA SARAI,0,132,132,0,0,0,0,0
BIHAR,SHEKHPURA,SHEKHPURA,0,69,69,0,0,0,0,0
BIHAR,SIWAN,ANDER,277,475,752,0,0,0,0,0
BIHAR,SIWAN,BARHARIA,184,537,721,0,0,0,0,0
BIHAR,SIWAN,BASANTPUR,451,0,451,0,0,0,0,0
BIHAR,SIWAN,BHAGWANPUR-HAT,4,1534,1538,0,0,0,0,0
BIHAR,SIWAN,DARAULI,1097,0,1097,0,0,0,0,0
BIHAR,SIWAN,DARAUNDHA,148,363,511,0,0,0,0,0
BIHAR,SIWAN,GOREAKOTHI,1295,0,1295,0,0,0,0,0
BIHAR,SIWAN,GUTHANI,700,246,946,2,0,0,0,2
BIHAR,SIWAN,HASANPURA,257,122,379,0,0,0,0,0
BIHAR,SIWAN,HUSSAINGANJ,396,124,520,0,0,0,0,0
BIHAR,SIWAN,JIRADEI,342,428,770,0,0,0,0,0
BIHAR,SIWAN,LAKRI NABIGANJ,32,537,569,0,0,0,0,0
BIHAR,SIWAN,MAHARAJGANJ,1005,0,1005,0,0,0,0,0
BIHAR,SIWAN,MAIRWA,439,0,439,0,0,0,0,0
BIHAR,SIWAN,NAUTAN,490,0,490,0,0,0,0,0
BIHAR,SIWAN,PACHRUKHI,146,173,319,0,0,0,0,0
BIHAR,SIWAN,RAGHUNATHPUR,268,362,630,0,5,0,0,5
BIHAR,SIWAN,SISWAN,210,625,835,0,0,0,0,0
BIHAR,SIWAN,SIWAN,818,187,1005,0,0,0,0,0
BIHAR,VAISHALI,BIDUPUR,145,616,761,5,0,63,0,68
BIHAR,VAISHALI,CHEHRAKALA,0,1,1,0,0,0,0,0
