-----
{
 "description": "The table refers to district wise distribution of dugwells according to ownership. It has been sourced from 2nd census of Minor Irrigation Scheme (1993-94) from Ministry of Water Resources.", 
 "file_name": "Statedgwltab1.2.csv", 
 "title": "Download CSV for District wise Distribution of Dugwells according to ownership for 2nd census of minor irrigation schemes", 
 "url": "http://data.gov.in/sites/default/files/Statedgwltab1.2.csv"
}
-----
"State","District","Government","Cooperative Societies","Panchayat","Group of farmers","Individual farmers","Others","Total"
"MIZORAM","AIZAWL",0,0,0,0,283,0,283
"MIZORAM","CHHIMTUIPUI",0,0,0,0,31,0,31
"MIZORAM","LUNGLEI",1,0,0,0,175,0,176
"NAGALAND","KOHIMA",0,0,0,1,518,1,520
"NAGALAND","MOKOKCHUNG",0,0,0,0,10,0,10
"NAGALAND","MON",NA,NA,NA,NA,NA,NA,0
"NAGALAND","PHEK",NA,NA,NA,NA,NA,NA,0
"NAGALAND","TUENSANG",NA,NA,NA,NA,NA,NA,0
"NAGALAND","WOKHA",NA,NA,NA,NA,NA,NA,0
"NAGALAND","ZUNHEBOTO",NA,NA,NA,NA,NA,NA,0
"ORISSA","ANGUL",75,20,4,3,18527,0,18629
"ORISSA","BALASORE",1,0,0,0,2637,0,2638
"ORISSA","BARAGARH",2,0,0,0,14990,0,14992
"ORISSA","BHADRAK",0,0,0,2,429,0,431
"ORISSA","BOLANGIR",44,2,3,5,53117,3,53174
"ORISSA","BOUDH",59,0,21,2,10272,1,10355
"ORISSA","CUTTACK",12,1,0,1,10978,5,10997
"ORISSA","DEOGARH",3,1,0,10,6302,0,6316
"ORISSA","DHENKANAL",12,0,0,16,9459,3,9490
"ORISSA","GAJAPATI",3,0,2,1,4110,1,4117
"ORISSA","GANJAM",119,16,22,210,30033,20,30420
"ORISSA","JAGATSINGHPUR",4,0,0,0,788,0,792
"ORISSA","JAJPUR",2,0,0,1,2460,0,2463
"ORISSA","JHARSUGUDA",1,0,0,0,6075,0,6076
"ORISSA","KALAHANDI",39,6,6,5,14234,0,14290
