-----
{
 "description": "The table refers to Block wise Construction of Deep Tubewells over the years. The report has been sourced from 3rd census of minor irrigation scheme (2000-01) from Ministry of Water Resources.", 
 "file_name": "dptbwldistr3.1.csv", 
 "title": "Download CSV for Blockwise Construction of Deep Tubewells over the years", 
 "url": "http://data.gov.in/sites/default/files/dptbwldistr3.1.csv"
}
-----
STATENAME,DISTNAME,BLOCKNAME,Upto 1993-94,During 1994-95,During 1995-96,During 1996-97,During 1997-98,During 1998-99,During 1999-00,During 2000-01,Total (1994-01)
TAMIL NADU,PERAMBALUR,SENDURAI,784,11,17,24,30,22,22,11,921
TAMIL NADU,PERAMBALUR,THIRUMANUR,17,10,11,9,4,12,0,0,63
TAMIL NADU,PERAMBALUR,TPALUR,333,75,69,21,34,14,15,18,579
TAMIL NADU,PERAMBALUR,VEPPANTHATTAI,32,0,3,0,0,0,0,0,35
TAMIL NADU,PERAMBALUR,VEPPUR,186,5,2,4,9,7,5,20,238
TAMIL NADU,PUDUKKOTTAI,ANNAVASAL,0,0,1,0,0,0,0,0,1
TAMIL NADU,PUDUKKOTTAI,ARANTHANGI,304,101,101,104,367,194,119,53,1343
TAMIL NADU,PUDUKKOTTAI,ARIMALAM,83,8,12,15,12,61,8,6,205
TAMIL NADU,PUDUKKOTTAI,AVUDAYARKOIL,1,0,0,3,0,0,0,0,4
TAMIL NADU,PUDUKKOTTAI,GANDARVAKKOTTAI,329,111,103,35,75,25,42,38,758
TAMIL NADU,PUDUKKOTTAI,KARAMBAKUDI,299,84,341,261,246,287,241,125,1884
TAMIL NADU,PUDUKKOTTAI,KUNNANDARKOIL,8,0,15,7,6,10,6,7,59
TAMIL NADU,PUDUKKOTTAI,MANAMELKUDI,6,0,2,2,0,1,2,0,13
TAMIL NADU,PUDUKKOTTAI,PONNAMARAVATHI,3,0,0,1,1,3,5,0,13
TAMIL NADU,PUDUKKOTTAI,PUDUKKOTTAI,194,154,137,82,85,116,61,32,861
TAMIL NADU,PUDUKKOTTAI,THIRUVARANKULAM,589,130,263,311,412,517,232,124,2578
TAMIL NADU,PUDUKKOTTAI,VIRALIMALAI,8,2,5,1,1,0,0,1,18
TAMIL NADU,RAMANATHAPURAM,BOGALUR,1,0,0,0,0,0,0,0,1
TAMIL NADU,RAMANATHAPURAM,MUDUKULATHUR,59,43,49,33,51,18,17,12,282
TAMIL NADU,RAMANATHAPURAM,NAINARKOIL,34,3,7,0,0,1,2,1,48
TAMIL NADU,RAMANATHAPURAM,PARAMAKKUDI,141,10,4,18,10,33,18,10,244
TAMIL NADU,RAMANATHAPURAM,TIRUVADANAI,1,0,0,0,0,0,1,1,3
TAMIL NADU,SALEM,ATTUR,80,0,0,3,4,2,4,0,93
TAMIL NADU,SALEM,AYODYAPATTANAM,37,4,8,5,6,3,5,1,69
TAMIL NADU,SALEM,EDAPPADI,15,0,10,47,49,30,461,0,612
TAMIL NADU,SALEM,GANGAVALLI,6,0,0,0,0,0,0,0,6
TAMIL NADU,SALEM,KADAYAMPATTI,40,0,2,2,1,3,351,3,402
TAMIL NADU,SALEM,KOLATHUR,186,11,31,36,13,10,0,0,287
TAMIL NADU,SALEM,KONGANAPURAM,91,42,68,62,18,4,3,0,288
TAMIL NADU,SALEM,MAGUDANCHAVADI,377,49,1,0,0,0,0,0,427
TAMIL NADU,SALEM,MECHERI,300,50,23,163,26,23,13,11,609
TAMIL NADU,SALEM,NANGAVALLI,16,13,10,101,115,64,9,0,328
TAMIL NADU,SALEM,OMALUR,213,15,0,0,1,12,30,10,281
TAMIL NADU,SALEM,PANAMARATHUPATTI,1,1,1,4,0,0,0,0,7
TAMIL NADU,SALEM,PEDDANAICKENPALAYAM,202,2,29,20,30,0,90,0,373
TAMIL NADU,SALEM,SANKARI,582,32,44,34,37,27,16,10,782
TAMIL NADU,SALEM,THALAIVASAL,61,0,1,0,6,14,41,0,123
TAMIL NADU,SALEM,THARAMANGALAM,404,0,0,0,0,0,0,0,404
TAMIL NADU,SALEM,VALAPPADY,276,69,12,22,38,57,59,63,596
TAMIL NADU,SALEM,VEERAPANDI,12,0,0,0,0,0,26,1,39
