-----
{
 "description": "The table refers to Block wise Distribution of Surface Lift Schemes according to The Farmers holding size. The report has been sourced from 3rd census of minor irrigation scheme (2000-01) from Ministry of Water Resources.", 
 "file_name": "srfcliftdistr5.3.csv", 
 "title": "Download CSV for Blockwise Distribution of Surface Lift Schemes according to The Farmers holding size", 
 "url": "http://data.gov.in/sites/default/files/srfcliftdistr5.3.csv"
}
-----
STATENAME,DISTNAME,BLOCKNAME,Marginal (0-1 ha),Small (1-2 ha),Medium (2-10 ha),Big ( > 10 ha),Total
ORISSA,JAGATSINGHPUR,JAGATSINGHPUR,2,0,0,0,2
ORISSA,JAGATSINGHPUR,KUJANG,0,0,0,0,0
ORISSA,JAGATSINGHPUR,NAUGAON,0,0,0,0,0
ORISSA,JAGATSINGHPUR,RAGHUNATHPUR,0,1,0,0,1
ORISSA,JAGATSINGHPUR,TIRTOL,0,1,0,0,1
ORISSA,JAJAPUR,BADACHANA,9,16,10,1,36
ORISSA,JAJAPUR,BARI,0,2,0,0,2
ORISSA,JAJAPUR,BINJHARPUR,2,2,6,0,10
ORISSA,JAJAPUR,DANAGADI,0,3,0,0,3
ORISSA,JAJAPUR,DASARATHPUR,24,7,51,64,146
ORISSA,JAJAPUR,DHARMASALA,75,106,52,50,283
ORISSA,JAJAPUR,JAJPUR,16,16,17,1,50
ORISSA,JAJAPUR,KOREI,0,0,0,0,0
ORISSA,JAJAPUR,RASULPUR,0,0,0,0,0
ORISSA,JAJAPUR,SUKINDA,0,0,2,0,2
ORISSA,JHARSUGUDA,JHARSUGUDA,6,2,4,2,14
ORISSA,JHARSUGUDA,KIRMIRA,2,5,17,105,129
ORISSA,JHARSUGUDA,KOLABIRA,0,0,0,7,7
ORISSA,JHARSUGUDA,LAIKERA,10,8,5,117,140
ORISSA,JHARSUGUDA,LAKHANPUR,31,26,19,21,97
ORISSA,KALAHANDI,BHAWANIPATANA,1,3,13,3,20
ORISSA,KALAHANDI,DHARMGAD,0,0,2,0,2
ORISSA,KALAHANDI,GOLAMUNDA,0,0,0,0,0
ORISSA,KALAHANDI,JAIPATNA,0,0,0,0,0
