-----
{
 "description": "The table refers to district wise average length of water conveyance channel of surface lift schemes. It has been sourced from 2nd census of minor irrigation scheme(1993-94) from Ministry of Water Resources.", 
 "file_name": "srfclftDsttab5.12.csv", 
 "title": "Download CSV for Districtwise Average length of water conveyance channel of surface lift schemes for 2nd census of minor irrigation schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/srfclftDsttab5.12.csv"
}
-----
"State","District","Total Number of Schemes","Average length - Pucca channel","Average length - Kutcha channel","Average length - Underground channel"
"MADHYA PRADESH","KHANDWA",4862,5,70,117
"MADHYA PRADESH","KHARGONE",9179,2,40,116
"MADHYA PRADESH","MANDLA",988,3,17,5
"MADHYA PRADESH","MANDSAUR",2074,1,57,62
"MADHYA PRADESH","MORENA",1486,0,97,4
"MADHYA PRADESH","NARSIMHAPUR",1551,15,52,127
"MADHYA PRADESH","PANNA",7102,3,90,30
"MADHYA PRADESH","RAIGARH",2488,0,19,0
"MADHYA PRADESH","RAIPUR",2256,2,39,3
"MADHYA PRADESH","RAISEN",7028,1,8,151
"MADHYA PRADESH","RAJGARH",3922,2,103,29
"MADHYA PRADESH","RAJNANDGAON",39,67,206,0
"MADHYA PRADESH","RATLAM",3417,2,64,75
"MADHYA PRADESH","REWA",2740,12,184,20
"MADHYA PRADESH","SAGAR",16142,2,14,88
"MADHYA PRADESH","SATNA",4053,40,231,67
"MADHYA PRADESH","SEHORE",4548,3,39,67
"MADHYA PRADESH","SEONI",2704,2,29,8
"MADHYA PRADESH","SHAHDOL",3799,15,149,22
"MADHYA PRADESH","SHAJAPUR",3517,3,39,153
"MADHYA PRADESH","SHIVPURI",4414,6,92,5
"MADHYA PRADESH","SIDHI",1594,18,125,23
"MADHYA PRADESH","SURGUJA",4687,15,57,3
"MADHYA PRADESH","TIKAMGARH",1748,1,52,0
"MADHYA PRADESH","UJJAIN",5109,0,26,68
"MADHYA PRADESH","VIDISHA",13173,0,23,143
"MANIPUR","BISHNUPUR",4,78,1417,0
"MANIPUR","IMPHAL",11,107,1298,0
"MANIPUR","THOUBAL",5,124,1000,0
"MEGHALAYA","JAINTIA HILLS",6,0,142,85
"MEGHALAYA","RI BHOI DISTRICT",1,120,880,0
"MEGHALAYA","SOUTH GARO HILLS",2,0,125,0
"MEGHALAYA","WEST GARO HILLS",4,0,584,0
"MEGHALAYA","WEST KHASI HILLS",2,618,0,0
"MIZORAM","AIZAWL",12,443,97,0
"NAGALAND","KOHIMA",19,0,33,0
"ORISSA","ANGUL",394,83,83,167
"ORISSA","BALASORE",375,38,151,74
"ORISSA","BARAGARH",808,29,158,79
"ORISSA","BHADRAK",409,16,104,20
"ORISSA","BOLANGIR",1489,20,38,39
"ORISSA","BOUDH",176,198,138,97
"ORISSA","CUTTACK",512,88,71,84
"ORISSA","DEOGARH",611,13,97,26
"ORISSA","DHENKANAL",312,143,105,175
"ORISSA","GAJAPATI",150,68,50,59
"ORISSA","GANJAM",1077,78,46,18
"ORISSA","JAGATSINGHPUR",157,40,117,77
"ORISSA","JAJPUR",682,70,74,98
"ORISSA","JHARSUGUDA",410,26,182,40
"ORISSA","KALAHANDI",453,35,55,97
"ORISSA","KENDRAPARA",1965,45,84,81
"ORISSA","KEONJHAR",627,139,44,175
"ORISSA","KHURDA",241,47,41,61
"ORISSA","KORAPUT",1168,14,74,105
"ORISSA","MALKANGIRI",31,76,79,150
"ORISSA","MAYURBHANJ",552,79,98,123
"ORISSA","NAYAGARH",194,24,42,75
"ORISSA","NOWRANGPUR",1321,24,45,24
"ORISSA","NUAPADA",200,47,30,177
"ORISSA","PHULBANI",237,35,94,91
"ORISSA","PURI",3809,4,39,18
"ORISSA","RAYAGADA",333,85,86,116
"ORISSA","SAMBALPUR",738,20,106,83
"ORISSA","SONEPUR",245,72,111,122
"ORISSA","SUNDARGARH",928,102,161,176
"PUNJAB","AMRITSAR",295,0,388,0
"PUNJAB","FARIDKOT",30,207,304,0
"PUNJAB","GURDASPUR",10,38,408,8
"PUNJAB","HOSHIARPUR",1,360,0,0
"PUNJAB","JALANDHAR",5,0,376,0
"PUNJAB","KAPURTHALA",45,0,249,0
"PUNJAB","PATIALA",197,2,292,36
"PUNJAB","ROPAR",115,2,168,122
"PUNJAB","SANGRUR",66,257,149,0
"RAJASTHAN","AJMER",1,0,250,0
"RAJASTHAN","BARAN",76,0,114,19
"RAJASTHAN","BHILWARA",32,0,618,998
"RAJASTHAN","BUNDI",2,0,600,0
"RAJASTHAN","CHITTORGARH",35,58,475,386
"RAJASTHAN","CHURU",2,0,0,0
"RAJASTHAN","DHOLPUR",1,0,35,0
"RAJASTHAN","DUNGARPUR",74,33,360,372
"RAJASTHAN","JHALAWAR",38,209,456,1035
"RAJASTHAN","KOTA",6,2,43,812
"RAJASTHAN","NAGAUR",2,0,1600,0
"RAJASTHAN","RAJSAMAND",1,0,1450,1700
"RAJASTHAN","SIROHI",2,0,0,350
"RAJASTHAN","TONK",2,0,120,50
"RAJASTHAN","UDAIPUR",15,407,645,45
"TAMIL NADU","COIMBATORE",481,0,87,14
"TAMIL NADU","CUDDALORE",692,7,50,4
"TAMIL NADU","DHARMAPURI",10,0,35,0
"TAMIL NADU","DINDIGUL",1491,23,49,0
"TAMIL NADU","ERODE",4587,35,33,34
"TAMIL NADU","KANCHIPURAM",33,0,44,0
"TAMIL NADU","KARUR",17,39,102,53
"TAMIL NADU","NAGAPATTINAM",6,458,0,0
"TAMIL NADU","NAMAKKAL",3293,10,16,70
"TAMIL NADU","PERAMBALUR",373,2,62,0
"TAMIL NADU","PUDUKOTTAI",9,0,350,0
"TAMIL NADU","RAMNATHAPURAM",12,0,63,0
"TAMIL NADU","SALEM",70,47,13,9
"TAMIL NADU","SIVAGANGA",42,15,3,1
"TAMIL NADU","THANJAVUR",5,60,0,0
"TAMIL NADU","THENI",69,12,23,20
"TAMIL NADU","TIRUVALLUR",109,27,90,42
"TAMIL NADU","TIRUVARUR",19,617,262,100
"TAMIL NADU","TRICHIRAPPALLI",20,0,0,0
"TAMIL NADU","VILLUPURAM",239,37,53,17
"TRIPURA","DHALAI",109,60,668,302
"TRIPURA","NORTH",146,49,184,2628
"TRIPURA","SOUTH",401,171,138,1836
"TRIPURA","WEST",173,344,119,2138
"UTTAR PRADESH","AGRA",46,0,0,0
"UTTAR PRADESH","ALLAHABAD",422,25,131,0
"UTTAR PRADESH","ALMORA",99,475,182,29
"UTTAR PRADESH","AZAMGARH",46,4,57,0
"UTTAR PRADESH","BALLIA",208,38,233,8
"UTTAR PRADESH","BANDA",504,6,101,5
"UTTAR PRADESH","BIJNOR",1,100,900,0
"UTTAR PRADESH","DEHRADUN",286,257,132,2
"UTTAR PRADESH","DEORIA",3,133,30,0
"UTTAR PRADESH","ETAWAH",18,0,108,0
"UTTAR PRADESH","FARUKHABAD",17,0,49,0
"UTTAR PRADESH","FATEHPUR",22,0,190,22
"UTTAR PRADESH","GONDA",356,40,82,0
"UTTAR PRADESH","HAMIRPUR",50,0,0,0
"UTTAR PRADESH","JALAUN",337,1,66,0
"UTTAR PRADESH","JAUNPUR",26,52,139,0
"UTTAR PRADESH","JHANSI",159,15,72,0
"UTTAR PRADESH","KANPUR DEHAT",173,0,79,0
"UTTAR PRADESH","KUSHI NAGAR",1,0,400,500
"UTTAR PRADESH","LALITPUR",1,0,0,0
"UTTAR PRADESH","LUCKNOW",1,0,50,0
"UTTAR PRADESH","MAHRAJGANJ",12,0,26,0
"UTTAR PRADESH","MIRZAPUR",381,1,74,0
"UTTAR PRADESH","NAINITAL",25,445,60,0
"UTTAR PRADESH","PAURI GARHWAL",67,38,43,0
"UTTAR PRADESH","RAEBARELY",1,0,50,0
"UTTAR PRADESH","SANT RAVIDAS NAGAR",40,0,78,0
"UTTAR PRADESH","TEHRI GARHWAL",35,128,20,67
