-----
{
 "description": "The table refers to Block wise Distribution of Dugwells in use and their Potential Created/Utilised according to Public and Private. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "dgwldistr1.16.csv", 
 "title": "Download CSV for Blockwise Distribution of Dugwells in use and their Potential Created/Utilised according to Public and Private", 
 "url": "http://data.gov.in/sites/default/files/dgwldistr1.16.csv"
}
-----
STATENAME,DISTNAME,BLOCKNAME,No in use - Public,No in use - Private,Total,Potential created (Ha) - Public,Potential created (Ha) - Private,Total potential created,Potential utilised - Public,Potential utilised - Private,Total potential utilised
ANDHRA PRADESH,CHITTOOR,PUNGANUR,0,1313,1313,0,1779,1779,0,1274,1274
ANDHRA PRADESH,CHITTOOR,PUTHALAPATTU,3,2429,2432,5,3223,3228,3,2122,2125
ANDHRA PRADESH,CHITTOOR,PUTTUR,1,1541,1542,0,2068,2069,0,2039,2039
ANDHRA PRADESH,CHITTOOR,RAMA KUPPAM,6,1566,1572,4,1772,1776,3,1105,1108
ANDHRA PRADESH,CHITTOOR,RAMACHANDRAPURAM,6,1716,1722,21,5474,5494,12,4146,4158
ANDHRA PRADESH,CHITTOOR,RAMASAMUDRAM,0,1523,1523,0,1594,1594,0,1594,1594
ANDHRA PRADESH,CHITTOOR,RENIGUNTA,3,1015,1018,4,1384,1388,4,1295,1299
ANDHRA PRADESH,CHITTOOR,ROMPICHERLA,1,688,689,1,1213,1214,0,416,417
ANDHRA PRADESH,CHITTOOR,SANTHI PURAM,0,1088,1088,0,1029,1029,0,779,779
ANDHRA PRADESH,CHITTOOR,SATYAVEDU,9,1320,1329,28,2695,2722,11,1691,1702
ANDHRA PRADESH,CHITTOOR,SODAM,13,2309,2322,11,2001,2012,0,768,768
ANDHRA PRADESH,CHITTOOR,SOMALA,4,1891,1895,3,2065,2068,1,796,797
ANDHRA PRADESH,CHITTOOR,SRIKALAHASTI,3,1573,1576,4,3346,3349,4,3081,3085
ANDHRA PRADESH,CHITTOOR,SRIRANGARAJAPURAM,1,1914,1915,0,1932,1932,0,1255,1256
ANDHRA PRADESH,CHITTOOR,THAMBALLAPALLE,0,780,780,0,1054,1054,0,639,639
ANDHRA PRADESH,CHITTOOR,THAVANAMPALLE,0,1425,1425,0,843,843,0,559,559
ANDHRA PRADESH,CHITTOOR,THOTTAMBEDU,5,1271,1276,19,3567,3585,17,2661,2677
ANDHRA PRADESH,CHITTOOR,TIRUPATI RURAL,1,1054,1055,1,1896,1897,0,921,921
ANDHRA PRADESH,CHITTOOR,TIRUPATI URBAN,0,163,163,0,403,403,0,385,385
