-----
{
 "description": "The table refers to block wise construction of shallow tubewells over the years . The report has been sourced from 2nd census of minor irrigation scheme(1993-94) from ministry of water resources.", 
 "file_name": "Blockshtbwl2.1.csv", 
 "title": "Download CSV for Block wise Construction of Shallow Tubewells over the years for 2nd Census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/Blockshtbwl2.1.csv"
}
-----
State,District,Block,Upto 1986-87,During 1987-88,During 1988-89,During 1989-90,During 1990-91,During 1991-92,During 1992-93,During 1993-94,Total
ANDHRA PRADESH,EAST GODAVARI,ATREYAPURAM,496,320,240,107,82,34,18,6,1303
ANDHRA PRADESH,EAST GODAVARI,BICCAVOLU,127,5,0,0,0,3,1,0,136
ANDHRA PRADESH,EAST GODAVARI,GANDEPALLE,213,33,63,178,11,111,3,2,614
ANDHRA PRADESH,EAST GODAVARI,GOKAVARAM,71,26,38,21,1,0,0,0,157
ANDHRA PRADESH,EAST GODAVARI,GOLLAPROLU,9,2,2,2,7,0,3,7,32
ANDHRA PRADESH,EAST GODAVARI,I. POLAVARAM,53,1,0,0,0,0,0,0,54
ANDHRA PRADESH,EAST GODAVARI,JAGGAMPETA,83,5,47,0,3,0,0,1,139
ANDHRA PRADESH,EAST GODAVARI,KADIAM,909,356,143,188,81,37,11,11,1736
ANDHRA PRADESH,EAST GODAVARI,KAJULURU,0,0,42,9,0,0,0,0,51
ANDHRA PRADESH,EAST GODAVARI,KAKINADA RURAL,52,0,0,0,0,0,0,0,52
ANDHRA PRADESH,EAST GODAVARI,KAPILESWARAPURAM,657,4,31,22,5,19,1,0,739
ANDHRA PRADESH,EAST GODAVARI,KARAPA,17,0,0,1,0,0,0,1,19
ANDHRA PRADESH,EAST GODAVARI,KIRLAMPUDI,502,76,66,34,11,10,7,5,711
ANDHRA PRADESH,EAST GODAVARI,KORUKONDA,199,44,29,32,18,19,10,9,360
ANDHRA PRADESH,EAST GODAVARI,KOTANANDURU,171,5,5,17,2,13,11,8,232
ANDHRA PRADESH,EAST GODAVARI,KOTHAPALLE,72,0,1,0,0,0,2,0,75
ANDHRA PRADESH,EAST GODAVARI,KOTHAPETA,0,106,4,14,194,439,298,201,1256
ANDHRA PRADESH,EAST GODAVARI,MALIKIPURAM,1,0,0,70,16,87,118,9,301
ANDHRA PRADESH,EAST GODAVARI,MAMIDIKUDURU,348,17,19,22,12,6,4,2,430
ANDHRA PRADESH,EAST GODAVARI,MANDAPETA,675,23,18,4,7,2,1,0,730
ANDHRA PRADESH,EAST GODAVARI,MUMMIDIVARAM,245,3,5,307,1,1,1,1,564
ANDHRA PRADESH,EAST GODAVARI,P.GANNAVARAM,377,143,23,58,129,34,16,9,789
ANDHRA PRADESH,EAST GODAVARI,PAMARRU,229,2,6,3,58,0,0,3,301
ANDHRA PRADESH,EAST GODAVARI,PEDAPUDI,253,0,0,2,0,4,0,0,259
ANDHRA PRADESH,EAST GODAVARI,PEDDAPURAM,290,18,10,2,4,4,2,1,331
ANDHRA PRADESH,EAST GODAVARI,PITHAPURAM,530,27,44,0,1,1,0,2,605
ANDHRA PRADESH,EAST GODAVARI,PRATHIPADU,180,27,15,15,7,6,49,4,303
ANDHRA PRADESH,EAST GODAVARI,RAJAHMUNDRY RURAL,158,4,9,6,5,6,16,4,208
ANDHRA PRADESH,EAST GODAVARI,RAJAVOMMANGI,0,0,0,1,0,0,0,1,2
ANDHRA PRADESH,EAST GODAVARI,RAMACHANDRAPURAM,568,1,6,0,0,0,0,0,575
ANDHRA PRADESH,EAST GODAVARI,RANGAMPETA,0,0,0,4,0,9,0,4,17
ANDHRA PRADESH,EAST GODAVARI,RAVULAPALEM,545,133,63,150,33,41,25,76,1066
ANDHRA PRADESH,EAST GODAVARI,RAYAVARAM,371,0,0,0,0,0,0,0,371
