-----
{
 "description": "The table refers to block wise culturable command area and potential created through surface flow scheme. It has been sourced from 2nd census of minor irrigation scheme(1993-94) from Ministry of Water Resources.", 
 "file_name": "blcktab4.11.csv", 
 "title": "Download CSV for Blockwise Culturable command area and potential created through Surface Flow Scheme for 2nd census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/blcktab4.11.csv"
}
-----
State,District,Block,Culturable Command Area,Irrigation potential created - Kharif,Irrigation potential created - Rabi,Irrigation potential created - Perennial,Irrigation potential created - Others,Total - Irrigation potential created
ANDHRA PRADESH,EAST GODAVARI,ADDATEEGALA,891,891,68,11,0,970
ANDHRA PRADESH,EAST GODAVARI,AINAVILLI,NA,0,0,0,0,0
ANDHRA PRADESH,EAST GODAVARI,ALAMURU,NA,0,0,0,0,0
ANDHRA PRADESH,EAST GODAVARI,ALLAVARAM,NA,0,0,0,0,0
ANDHRA PRADESH,EAST GODAVARI,AMALAPURAM,NA,0,0,0,0,0
ANDHRA PRADESH,EAST GODAVARI,AMBAJIPETA,NA,0,0,0,0,0
ANDHRA PRADESH,EAST GODAVARI,ANAPARTHY,260,260,0,0,0,260
ANDHRA PRADESH,EAST GODAVARI,ATREYAPURAM,NA,0,0,0,0,0
ANDHRA PRADESH,EAST GODAVARI,BICCAVOLU,944,944,263,0,0,1207
ANDHRA PRADESH,EAST GODAVARI,DEVIPATNAM,368,368,0,0,0,368
ANDHRA PRADESH,EAST GODAVARI,GANDEPALLE,2136,1874,135,146,0,2155
ANDHRA PRADESH,EAST GODAVARI,GANGAVARAM,1602,1602,0,0,0,1602
ANDHRA PRADESH,EAST GODAVARI,GOKAVARAM,3932,3932,0,0,0,3932
ANDHRA PRADESH,EAST GODAVARI,GOLLAPROLU,1713,1713,0,0,0,1713
ANDHRA PRADESH,EAST GODAVARI,I. POLAVARAM,NA,0,0,0,0,0
ANDHRA PRADESH,EAST GODAVARI,JAGGAMPETA,3048,3078,123,8,0,3209
ANDHRA PRADESH,EAST GODAVARI,KADIAM,101,101,4,0,0,105
ANDHRA PRADESH,EAST GODAVARI,KAJULURU,NA,0,0,0,0,0
ANDHRA PRADESH,EAST GODAVARI,KAKINADA RURAL,NA,0,0,0,0,0
ANDHRA PRADESH,EAST GODAVARI,KAKINADA URBAN,NA,0,0,0,0,0
ANDHRA PRADESH,EAST GODAVARI,KAPILESWARAPURAM,NA,0,0,0,0,0
ANDHRA PRADESH,EAST GODAVARI,KARAPA,NA,0,0,0,0,0
ANDHRA PRADESH,EAST GODAVARI,KATRENIKONA,NA,0,0,0,0,0
ANDHRA PRADESH,EAST GODAVARI,KIRLAMPUDI,308,230,0,89,0,319
ANDHRA PRADESH,EAST GODAVARI,KORUKONDA,3171,3159,0,12,0,3171
ANDHRA PRADESH,EAST GODAVARI,KOTANANDURU,1651,1680,0,0,0,1680
ANDHRA PRADESH,EAST GODAVARI,KOTHAPALLE,NA,0,0,0,0,0
ANDHRA PRADESH,EAST GODAVARI,KOTHAPETA,NA,0,0,0,0,0
ANDHRA PRADESH,EAST GODAVARI,MALIKIPURAM,NA,0,0,0,0,0
ANDHRA PRADESH,EAST GODAVARI,MAMIDIKUDURU,NA,0,0,0,0,0
ANDHRA PRADESH,EAST GODAVARI,MANDAPETA,198,123,123,0,0,246
ANDHRA PRADESH,EAST GODAVARI,MAREDUMILLI,77,77,0,0,0,77
ANDHRA PRADESH,EAST GODAVARI,MUMMIDIVARAM,NA,0,0,0,0,0
ANDHRA PRADESH,EAST GODAVARI,P.GANNAVARAM,NA,0,0,0,0,0
ANDHRA PRADESH,EAST GODAVARI,PAMARRU,NA,0,0,0,0,0
ANDHRA PRADESH,EAST GODAVARI,PEDAPUDI,NA,0,0,0,0,0
ANDHRA PRADESH,EAST GODAVARI,PEDDAPURAM,1153,1104,0,50,0,1154
ANDHRA PRADESH,EAST GODAVARI,PITHAPURAM,NA,0,0,0,0,0
ANDHRA PRADESH,EAST GODAVARI,PRATHIPADU,4453,4458,16,0,0,4474
ANDHRA PRADESH,EAST GODAVARI,RAJAHMUNDRY RURAL,223,212,158,0,0,370
ANDHRA PRADESH,EAST GODAVARI,RAJAHMUNDRY URBAN,NA,0,0,0,0,0
ANDHRA PRADESH,EAST GODAVARI,RAJANAGARAM,2218,2218,0,0,0,2218
ANDHRA PRADESH,EAST GODAVARI,RAJAVOMMANGI,2267,2267,0,0,0,2267
ANDHRA PRADESH,EAST GODAVARI,RAMACHANDRAPURAM,NA,0,0,0,0,0
ANDHRA PRADESH,EAST GODAVARI,RAMPACHODAVARAM,381,381,0,0,0,381
ANDHRA PRADESH,EAST GODAVARI,RANGAMPETA,1917,1908,9,0,9,1926
ANDHRA PRADESH,EAST GODAVARI,RAVULAPALEM,NA,0,0,0,0,0
ANDHRA PRADESH,EAST GODAVARI,RAYAVARAM,NA,0,0,0,0,0
ANDHRA PRADESH,EAST GODAVARI,RAZOLE,NA,0,0,0,0,0
ANDHRA PRADESH,EAST GODAVARI,SAKHINETIPALLE,NA,0,0,0,0,0
ANDHRA PRADESH,EAST GODAVARI,SAMALKOTA,600,590,174,10,4,778
ANDHRA PRADESH,EAST GODAVARI,SANKHAVARAM,2885,2949,186,12,0,3147
ANDHRA PRADESH,EAST GODAVARI,SEETHANAGARAM,NA,0,0,0,0,0
ANDHRA PRADESH,EAST GODAVARI,THALLAREVU,NA,0,0,0,0,0
ANDHRA PRADESH,EAST GODAVARI,THONDANGI,1753,1755,0,0,0,1755
ANDHRA PRADESH,EAST GODAVARI,TUNI,2087,2090,0,0,0,2090
ANDHRA PRADESH,EAST GODAVARI,UPPALAGUPTAM,NA,0,0,0,0,0
ANDHRA PRADESH,EAST GODAVARI,Y. RAMAVARAM,853,857,21,1,0,879
ANDHRA PRADESH,EAST GODAVARI,YELESWARAM,1234,733,0,501,0,1234
ANDHRA PRADESH,GUNTUR,ACHAMPET,110,120,0,0,0,120
ANDHRA PRADESH,GUNTUR,AMARAVATHI,18,18,0,0,0,18
ANDHRA PRADESH,GUNTUR,AMRUTHALUR,NA,0,0,0,0,0
ANDHRA PRADESH,GUNTUR,BAPATLA,NA,0,0,0,0,0
ANDHRA PRADESH,GUNTUR,BELLAMKONDA,194,194,28,0,0,222
ANDHRA PRADESH,GUNTUR,BHATTIPROLU,NA,0,0,0,0,0
ANDHRA PRADESH,GUNTUR,BOLLAPALLE,95,95,0,0,0,95
ANDHRA PRADESH,GUNTUR,CHEBROLE,19,19,19,0,0,38
ANDHRA PRADESH,GUNTUR,CHERUKUPALLE,NA,0,0,0,0,0
ANDHRA PRADESH,GUNTUR,CHILAKALURIPET,32,32,0,0,0,32
ANDHRA PRADESH,GUNTUR,DACHEPALLE,NA,0,0,0,0,0
ANDHRA PRADESH,GUNTUR,DUGGIRALA,NA,0,0,0,0,0
ANDHRA PRADESH,GUNTUR,DURGI,310,119,0,190,0,309
ANDHRA PRADESH,GUNTUR,EDLAPADU,72,72,0,0,0,72
ANDHRA PRADESH,GUNTUR,GUNTUR,235,252,4,0,0,256
ANDHRA PRADESH,GUNTUR,GURAZALA,NA,0,0,0,0,0
ANDHRA PRADESH,GUNTUR,IPUR,284,284,0,0,0,284
ANDHRA PRADESH,GUNTUR,KAKUMANU,NA,0,0,0,0,0
ANDHRA PRADESH,GUNTUR,KAREMPUDI,114,114,72,0,0,186
ANDHRA PRADESH,GUNTUR,KARLAPALEM,NA,0,0,0,0,0
ANDHRA PRADESH,GUNTUR,KOLLIPARA,NA,0,0,0,0,0
