-----
{
 "description": "The table refers to block wise distribution of shallow tubewells according to average length of water conveyance channel . The report has been sourced from 2nd census of minor irrigation scheme(1993-94) from ministry of water resources.", 
 "file_name": "Blockshtbwl2.12.csv", 
 "title": "Download CSV for Block wise Distribution of Shallow Tubewells according to average length of water conveyance channel for 2nd Census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/Blockshtbwl2.12.csv"
}
-----
State,District,Block,Total Number of Tubewells, Avg length of Pucca Channel,Avg length of Kuccha Channel,Avg length of Under gr. Channel
ANDHRA PRADESH,KRISHNA,GUDIVADA,127,0,37,0
ANDHRA PRADESH,KRISHNA,GUDLAVALLERU,38,0,1,0
ANDHRA PRADESH,KRISHNA,IBRAHIMPATNAM,390,0,262,0
ANDHRA PRADESH,KRISHNA,KANCHIKACHERLA,282,6,54,24
ANDHRA PRADESH,KRISHNA,KANKIPADU,1413,0,41,7
ANDHRA PRADESH,KRISHNA,KODURU,85,0,184,0
ANDHRA PRADESH,KRISHNA,MOPIDEVI,468,0,151,0
ANDHRA PRADESH,KRISHNA,MOVVA,346,0,176,0
ANDHRA PRADESH,KRISHNA,MUSUNURU,57,0,142,0
ANDHRA PRADESH,KRISHNA,MYLAVARAM,46,0,523,0
ANDHRA PRADESH,KRISHNA,NANDIGAMA,248,5,51,0
ANDHRA PRADESH,KRISHNA,NANDIVADA,22,0,24,0
ANDHRA PRADESH,KRISHNA,PAMARRU,242,0,69,0
ANDHRA PRADESH,KRISHNA,PAMIDIMUKKALA,976,0,16,0
ANDHRA PRADESH,KRISHNA,PEDAPARUPUDI,467,0,9,0
ANDHRA PRADESH,KRISHNA,PENAMALURU,1179,3,63,0
ANDHRA PRADESH,KRISHNA,PENUGANCHIPROLU,151,0,207,0
ANDHRA PRADESH,KRISHNA,REDDIGUDEM,57,0,41,11
ANDHRA PRADESH,KRISHNA,THOTLAVALLURU,2069,0,26,0
ANDHRA PRADESH,KRISHNA,TIRUVURU,73,0,167,8
ANDHRA PRADESH,KRISHNA,UNGUTURU,504,0,69,0
ANDHRA PRADESH,KRISHNA,VATSAVAI,7,1,23,0
ANDHRA PRADESH,KRISHNA,VEERULLAPADU,59,5,53,0
ANDHRA PRADESH,KRISHNA,VIJAYAWADA (URBAN),88,0,347,0
ANDHRA PRADESH,KRISHNA,VIJAYAWADA RURAL,314,0,71,0
ANDHRA PRADESH,KRISHNA,VISSANNAPET,137,0,183,27
ANDHRA PRADESH,KRISHNA,VUYYURU,1247,0,2,0
ANDHRA PRADESH,KURNOOL,ADONI,229,0,29,52
ANDHRA PRADESH,KURNOOL,ALLAGADDA,73,0,37,2
ANDHRA PRADESH,KURNOOL,ALUR,117,0,52,44
ANDHRA PRADESH,KURNOOL,ASPARI,149,0,16,88
ANDHRA PRADESH,KURNOOL,BANAGANAPALLE,532,15,38,3
ANDHRA PRADESH,KURNOOL,BANDI ATMAKUR,180,54,32,37
ANDHRA PRADESH,KURNOOL,BETHAMCHERLA,643,9,80,127
ANDHRA PRADESH,KURNOOL,C.BELAGAL,6,0,59,83
ANDHRA PRADESH,KURNOOL,CHAGALAMARRI,134,33,26,0
ANDHRA PRADESH,KURNOOL,CHIPPAGIRI,56,23,46,84
ANDHRA PRADESH,KURNOOL,DEVANAKONDA,385,1,103,88
ANDHRA PRADESH,KURNOOL,DHONE,199,0,20,54
ANDHRA PRADESH,KURNOOL,GADIVEMULA,303,9,22,10
ANDHRA PRADESH,KURNOOL,GONEGANDLA,248,0,45,86
ANDHRA PRADESH,KURNOOL,GOSPADU,23,0,23,0
ANDHRA PRADESH,KURNOOL,GUDUR,26,0,28,130
ANDHRA PRADESH,KURNOOL,HALAHARVI,24,7,27,8
ANDHRA PRADESH,KURNOOL,HOLAGUNDA,72,0,129,34
ANDHRA PRADESH,KURNOOL,JUPADU BUNGALOW,30,18,103,14
ANDHRA PRADESH,KURNOOL,KALLUR,596,3,70,98
ANDHRA PRADESH,KURNOOL,KODUMUR,418,9,15,73
ANDHRA PRADESH,KURNOOL,KOILKUNTLA,48,0,168,21
ANDHRA PRADESH,KURNOOL,KOLIMIGUNDLA,188,15,93,57
ANDHRA PRADESH,KURNOOL,KOSIGI,7,0,57,45
ANDHRA PRADESH,KURNOOL,KOTHAPALLE,27,0,112,80
ANDHRA PRADESH,KURNOOL,KOWTHALAM,126,1,33,50
ANDHRA PRADESH,KURNOOL,KRISHNAGIRI,179,0,67,13
ANDHRA PRADESH,KURNOOL,KURNOOL,215,12,73,84
ANDHRA PRADESH,KURNOOL,MADDIKERA (EAST),43,4,20,44
ANDHRA PRADESH,KURNOOL,MAHANANDI,456,24,60,0
ANDHRA PRADESH,KURNOOL,MANTRALAYAM,5,0,45,8
ANDHRA PRADESH,KURNOOL,MIDTHUR,143,0,36,67
ANDHRA PRADESH,KURNOOL,NANDAVARAM,15,0,34,71
ANDHRA PRADESH,KURNOOL,NANDIKOTKUR,107,11,25,137
ANDHRA PRADESH,KURNOOL,NANDYAL,127,1,78,4
ANDHRA PRADESH,KURNOOL,ORVAKAL,419,5,39,86
ANDHRA PRADESH,KURNOOL,OWK,73,0,246,105
ANDHRA PRADESH,KURNOOL,PAMULAPADU,10,0,67,74
ANDHRA PRADESH,KURNOOL,PANYAM,505,2,27,28
ANDHRA PRADESH,KURNOOL,PATTIKONDA,70,12,10,90
ANDHRA PRADESH,KURNOOL,PEAPALLY,461,1,53,70
ANDHRA PRADESH,KURNOOL,PEDDA KADALUR,19,0,110,190
ANDHRA PRADESH,KURNOOL,RUDRAVARAM,320,0,40,0
ANDHRA PRADESH,KURNOOL,SANJAMALA,225,15,110,9
ANDHRA PRADESH,KURNOOL,SIRVEL,225,0,73,0
ANDHRA PRADESH,KURNOOL,TUGGALI,23,0,75,95
ANDHRA PRADESH,KURNOOL,UYYALAWADA,10,5,20,5
ANDHRA PRADESH,KURNOOL,VELDURTHI,138,2,43,5
ANDHRA PRADESH,KURNOOL,VELGODE,3,0,19,0
ANDHRA PRADESH,KURNOOL,YEMMIGANUR,112,0,50,93
ANDHRA PRADESH,MAHABOOB NAGAR,ACHAMPETA,41,0,16,29
ANDHRA PRADESH,MAHABOOB NAGAR,ADDAKAL,636,0,22,55
ANDHRA PRADESH,MAHABOOB NAGAR,AIZA,94,0,12,67
ANDHRA PRADESH,MAHABOOB NAGAR,ALAMPUR,25,0,0,55
ANDHRA PRADESH,MAHABOOB NAGAR,AMANGAL,278,0,19,18
ANDHRA PRADESH,MAHABOOB NAGAR,AMRABAD,65,0,42,28
ANDHRA PRADESH,MAHABOOB NAGAR,ATMAKUR,87,0,20,89
ANDHRA PRADESH,MAHABOOB NAGAR,BALANAGAR,678,0,41,59
ANDHRA PRADESH,MAHABOOB NAGAR,BALMOOR,94,0,296,142
ANDHRA PRADESH,MAHABOOB NAGAR,BHOOTHPUR,471,0,37,29
ANDHRA PRADESH,MAHABOOB NAGAR,BIJINAPALLE,816,0,34,66
ANDHRA PRADESH,MAHABOOB NAGAR,BOMRASPETA,256,0,8,10
ANDHRA PRADESH,MAHABOOB NAGAR,CHINNACHITAKUNTA,676,0,27,57
ANDHRA PRADESH,MAHABOOB NAGAR,DAMARAGIDDA,158,0,6,9
ANDHRA PRADESH,MAHABOOB NAGAR,DEVARAKADARA,574,0,23,27
ANDHRA PRADESH,MAHABOOB NAGAR,DHANWADA,475,1,36,21
ANDHRA PRADESH,MAHABOOB NAGAR,DHARUR,6,0,0,147
ANDHRA PRADESH,MAHABOOB NAGAR,DOULATABAD,212,0,36,1
ANDHRA PRADESH,MAHABOOB NAGAR,FAROOQNAGAR,1693,0,64,10
ANDHRA PRADESH,MAHABOOB NAGAR,GADWAL,60,0,18,80
ANDHRA PRADESH,MAHABOOB NAGAR,GHANPUR,475,0,74,1
ANDHRA PRADESH,MAHABOOB NAGAR,GOPALPETA,187,6,46,94
ANDHRA PRADESH,MAHABOOB NAGAR,HANWADA,132,0,25,110
ANDHRA PRADESH,MAHABOOB NAGAR,ITIKYAL,32,2,73,0
ANDHRA PRADESH,MAHABOOB NAGAR,JADCHERLA,694,0,48,48
ANDHRA PRADESH,MAHABOOB NAGAR,KALWAKURTHY,821,0,22,106
ANDHRA PRADESH,MAHABOOB NAGAR,KESHAMPETA,950,0,14,36
ANDHRA PRADESH,MAHABOOB NAGAR,KODAIR,55,8,31,46
ANDHRA PRADESH,MAHABOOB NAGAR,KOILKONDA,446,3,110,125
ANDHRA PRADESH,MAHABOOB NAGAR,KOLLAPUR,3,0,15,27
ANDHRA PRADESH,MAHABOOB NAGAR,KONDURG,428,0,18,28
ANDHRA PRADESH,MAHABOOB NAGAR,KOSGI,365,2,25,33
ANDHRA PRADESH,MAHABOOB NAGAR,KOTHAKOTA,199,0,13,58
ANDHRA PRADESH,MAHABOOB NAGAR,KOTHUR,1259,0,44,13
ANDHRA PRADESH,MAHABOOB NAGAR,LINGAL,17,0,83,0
ANDHRA PRADESH,MAHABOOB NAGAR,MADDUR,242,0,4,51
ANDHRA PRADESH,MAHABOOB NAGAR,MADGUL,670,0,17,26
ANDHRA PRADESH,MAHABOOB NAGAR,MAGANOOR,266,0,48,4
ANDHRA PRADESH,MAHABOOB NAGAR,MAHBUBNAGAR,655,4,11,11
ANDHRA PRADESH,MAHABOOB NAGAR,MAKTHAL,206,2,36,21
ANDHRA PRADESH,MAHABOOB NAGAR,MALDAKAL,54,0,26,142
ANDHRA PRADESH,MAHABOOB NAGAR,MANOPADU,15,0,78,102
ANDHRA PRADESH,MAHABOOB NAGAR,MIDJIL,1324,2,34,40
ANDHRA PRADESH,MAHABOOB NAGAR,NAGARKURNOOL,255,1,25,15
ANDHRA PRADESH,MAHABOOB NAGAR,NARAYANPET,237,4,42,3
ANDHRA PRADESH,MAHABOOB NAGAR,NARVA,354,2,29,44
ANDHRA PRADESH,MAHABOOB NAGAR,NAWABPET,559,6,49,18
ANDHRA PRADESH,MAHABOOB NAGAR,PANGAL,100,0,24,63
ANDHRA PRADESH,MAHABOOB NAGAR,PEBBAIR,4,0,10,63
ANDHRA PRADESH,MAHABOOB NAGAR,PEDDAKOTHAPALLE,35,0,35,68
ANDHRA PRADESH,MAHABOOB NAGAR,PEDDAMANDADI,190,9,63,50
ANDHRA PRADESH,MAHABOOB NAGAR,TADOOR,548,0,26,126
ANDHRA PRADESH,MAHABOOB NAGAR,TALAKONDAPALLE,428,0,29,39
ANDHRA PRADESH,MAHABOOB NAGAR,TELKAPALLE,181,0,29,47
ANDHRA PRADESH,MAHABOOB NAGAR,THIMMAJIPETA,485,18,22,4
ANDHRA PRADESH,MAHABOOB NAGAR,UPPUNUNTHALA,109,0,111,106
ANDHRA PRADESH,MAHABOOB NAGAR,UTKOOR,307,1,40,5
ANDHRA PRADESH,MAHABOOB NAGAR,VANGOOR,303,0,48,197
ANDHRA PRADESH,MAHABOOB NAGAR,VEEPANGANDLA,73,0,39,79
ANDHRA PRADESH,MAHABOOB NAGAR,VELDANDA,181,0,27,32
ANDHRA PRADESH,MAHABOOB NAGAR,WADDEPALLE,20,9,80,32
ANDHRA PRADESH,MAHABOOB NAGAR,WANAPARTHY,169,0,103,6
ANDHRA PRADESH,MEDAK,ALLADURG,352,0,44,14
ANDHRA PRADESH,MEDAK,ANDOLE,625,4,12,13
ANDHRA PRADESH,MEDAK,CHEGUNTA,1170,0,31,30
ANDHRA PRADESH,MEDAK,CHINNAKODUR,66,0,121,0
ANDHRA PRADESH,MEDAK,DOULTABAD,2158,0,8,9
ANDHRA PRADESH,MEDAK,DUBBAK,660,0,19,24
ANDHRA PRADESH,MEDAK,GAJWEL,2349,0,17,7
ANDHRA PRADESH,MEDAK,HATHNOORA,825,0,60,11
ANDHRA PRADESH,MEDAK,JAGDEVPUR,951,4,18,1
ANDHRA PRADESH,MEDAK,JHARASANGAM,42,0,15,74
ANDHRA PRADESH,MEDAK,JINNARAM,1240,0,28,45
ANDHRA PRADESH,MEDAK,KALHER,480,0,33,3
ANDHRA PRADESH,MEDAK,KANGTI,35,0,82,18
ANDHRA PRADESH,MEDAK,KOHIR,137,0,102,79
ANDHRA PRADESH,MEDAK,KONDAPAK,728,0,16,8
ANDHRA PRADESH,MEDAK,KONDAPUR,352,4,35,72
ANDHRA PRADESH,MEDAK,KOWDIPALLI,2547,7,80,29
ANDHRA PRADESH,MEDAK,KULCHARAM,976,3,27,21
ANDHRA PRADESH,MEDAK,MEDAK,1587,0,44,59
ANDHRA PRADESH,MEDAK,MIRDODDI,995,1,12,4
ANDHRA PRADESH,MEDAK,MULUG,1640,1,17,15
ANDHRA PRADESH,MEDAK,MUNPALLE,220,0,24,99
ANDHRA PRADESH,MEDAK,NANGANUR,147,4,10,38
ANDHRA PRADESH,MEDAK,NARAYANKHED,57,14,12,61
ANDHRA PRADESH,MEDAK,NARSAPUR,1570,0,50,21
ANDHRA PRADESH,MEDAK,NYALKAL,89,0,44,25
ANDHRA PRADESH,MEDAK,PAPANNAPET,482,12,33,81
ANDHRA PRADESH,MEDAK,PATANCHERU,566,0,65,21
ANDHRA PRADESH,MEDAK,RAIKODE,32,0,30,24
ANDHRA PRADESH,MEDAK,RAMAYAMPET,676,11,24,42
ANDHRA PRADESH,MEDAK,RAMCHANDRAPURAM,282,6,42,92
ANDHRA PRADESH,MEDAK,REGODE,85,9,32,51
ANDHRA PRADESH,MEDAK,SADASIVPET,608,6,22,58
ANDHRA PRADESH,MEDAK,SANGAREDDY,915,1,34,26
ANDHRA PRADESH,MEDAK,SHANKARAMPET[A],113,0,32,56
ANDHRA PRADESH,MEDAK,SHANKARAMPET[R],594,0,0,39
ANDHRA PRADESH,MEDAK,SHIVAMPET,581,0,115,13
ANDHRA PRADESH,MEDAK,SIDDIPET,138,0,25,14
ANDHRA PRADESH,MEDAK,TEKMAL,447,1,16,49
ANDHRA PRADESH,MEDAK,TUPRAN,286,3,2,3
ANDHRA PRADESH,MEDAK,WARGAL,2213,15,20,22
ANDHRA PRADESH,MEDAK,YELDURTHY,559,1,12,42
ANDHRA PRADESH,MEDAK,ZAHIRABAD,331,0,198,0
ANDHRA PRADESH,NALGONDA,ALAIR,241,1,29,2
ANDHRA PRADESH,NALGONDA,ANUMULA,442,0,1,4
ANDHRA PRADESH,NALGONDA,ATMAKUR(M),23,0,9,15
ANDHRA PRADESH,NALGONDA,ATMAKUR(S),525,0,11,0
ANDHRA PRADESH,NALGONDA,BHUVANAGIRI,435,0,15,52
ANDHRA PRADESH,NALGONDA,BIBINAGAR,364,0,9,14
ANDHRA PRADESH,NALGONDA,BOMMALARAMARAM,595,0,9,17
ANDHRA PRADESH,NALGONDA,CHANDAM PET,85,0,8,28
ANDHRA PRADESH,NALGONDA,CHANDUR,561,2,11,27
ANDHRA PRADESH,NALGONDA,CHILKUR,3,0,7,32
ANDHRA PRADESH,NALGONDA,CHINTHA PALLE,26,0,8,30
ANDHRA PRADESH,NALGONDA,CHITYALA,480,0,14,16
ANDHRA PRADESH,NALGONDA,CHIVVEMLA,102,0,23,0
ANDHRA PRADESH,NALGONDA,CHOUTUPPAL,262,0,10,33
ANDHRA PRADESH,NALGONDA,DAMERACHERLA,75,0,20,5
ANDHRA PRADESH,NALGONDA,DEVARAKONDA,14,2,15,0
ANDHRA PRADESH,NALGONDA,GARIDE PALLE,25,0,34,4
ANDHRA PRADESH,NALGONDA,GUNDALA,181,0,14,29
ANDHRA PRADESH,NALGONDA,GUNDLA PALLE,279,1,12,13
ANDHRA PRADESH,NALGONDA,GURRAMPODE,85,5,4,87
ANDHRA PRADESH,NALGONDA,HUZURNAGAR,4,0,0,70
ANDHRA PRADESH,NALGONDA,JAJI REDDI GUDEM,420,8,14,7
ANDHRA PRADESH,NALGONDA,KANGAL,1100,0,17,51
ANDHRA PRADESH,NALGONDA,KATTANGOOR,272,3,22,4
ANDHRA PRADESH,NALGONDA,KETHE PALLE,13,0,13,55
ANDHRA PRADESH,NALGONDA,KODAD,2,0,0,150
ANDHRA PRADESH,NALGONDA,M.TURKA PALLE,226,0,18,15
ANDHRA PRADESH,NALGONDA,MARRIGUDA,223,0,12,26
ANDHRA PRADESH,NALGONDA,MELLA CHERVU,85,3,28,0
ANDHRA PRADESH,NALGONDA,MIRYALAGUDA,190,0,19,8
ANDHRA PRADESH,NALGONDA,MOTHEY,385,0,16,5
ANDHRA PRADESH,NALGONDA,MOTHKUR,615,0,18,8
ANDHRA PRADESH,NALGONDA,MUNAGALA,1,0,4,0
ANDHRA PRADESH,NALGONDA,MUNUGODE,290,0,28,34
ANDHRA PRADESH,NALGONDA,NADIGUDEM,11,0,15,8
ANDHRA PRADESH,NALGONDA,NAKREKAL,40,5,6,129
ANDHRA PRADESH,NALGONDA,NALGONDA,604,0,19,54
ANDHRA PRADESH,NALGONDA,NARAYANPUR,622,2,10,47
ANDHRA PRADESH,NALGONDA,NARKETPALLE,144,6,9,22
ANDHRA PRADESH,NALGONDA,NEREDCHERLA,34,0,20,10
ANDHRA PRADESH,NALGONDA,NIDAMANOOR,384,0,14,23
ANDHRA PRADESH,NALGONDA,PEDDA ADISERLA PALLE,43,0,5,46
ANDHRA PRADESH,NALGONDA,PEDDAVOORA,418,0,8,56
ANDHRA PRADESH,NALGONDA,PENPAHAD,211,0,14,18
ANDHRA PRADESH,NALGONDA,POCHAMPALLE,87,1,27,8
ANDHRA PRADESH,NALGONDA,RAJAPET,165,0,13,8
ANDHRA PRADESH,NALGONDA,RAMANNAPETA,267,0,29,14
ANDHRA PRADESH,NALGONDA,SALI GOURARAM,99,1,53,249
ANDHRA PRADESH,NALGONDA,SURYAPET,68,0,6,79
ANDHRA PRADESH,NALGONDA,THIPPARTHI,279,0,24,202
ANDHRA PRADESH,NALGONDA,THIRUMALAGIRI,376,0,27,0
ANDHRA PRADESH,NALGONDA,THRIPURARAM,140,1,38,10
ANDHRA PRADESH,NALGONDA,THUNGATHURTHI,148,0,37,7
ANDHRA PRADESH,NALGONDA,VALIGONDA,180,0,11,65
ANDHRA PRADESH,NALGONDA,VEMULA PALLE,664,1,25,7
ANDHRA PRADESH,NALGONDA,YADAGIRIGUTTA,106,0,15,3
ANDHRA PRADESH,NELLORE,ALLUR,128,0,35,0
ANDHRA PRADESH,NELLORE,ANANTHASAGARAM,363,0,441,0
ANDHRA PRADESH,NELLORE,ANUMASAMUDRAMPETA,31,0,16,0
ANDHRA PRADESH,NELLORE,ATMAKUR,506,0,65,0
ANDHRA PRADESH,NELLORE,BALAYAPALLE,97,0,71,93
ANDHRA PRADESH,NELLORE,BOGOLE,125,0,109,5
ANDHRA PRADESH,NELLORE,BUT'PALEM (VAVVERU),1994,0,56,21
ANDHRA PRADESH,NELLORE,CHEJERLA,290,0,111,117
ANDHRA PRADESH,NELLORE,CHILLAKUR,207,0,144,105
ANDHRA PRADESH,NELLORE,CHITTAMUR,1168,65,129,52
ANDHRA PRADESH,NELLORE,DAGADARTHI,61,3,77,0
ANDHRA PRADESH,NELLORE,DAKKILI,109,0,94,17
ANDHRA PRADESH,NELLORE,DORAVARISATRAM,593,0,61,2
ANDHRA PRADESH,NELLORE,DUTTALUR,34,0,128,3
ANDHRA PRADESH,NELLORE,GUDUR,515,2,82,143
ANDHRA PRADESH,NELLORE,INDUKURPET,3134,0,13,0
ANDHRA PRADESH,NELLORE,JALADANKI,138,23,65,25
ANDHRA PRADESH,NELLORE,KALIGIRI,44,0,104,0
ANDHRA PRADESH,NELLORE,KALUVOYA,141,1,280,5
ANDHRA PRADESH,NELLORE,KAVALI,82,2,70,0
ANDHRA PRADESH,NELLORE,KODAVALUR,789,0,20,0
ANDHRA PRADESH,NELLORE,KONDAPURAM,79,1,49,2
ANDHRA PRADESH,NELLORE,KOTA,1618,0,23,0
ANDHRA PRADESH,NELLORE,KOVUR,2170,0,8,6
ANDHRA PRADESH,NELLORE,MANUBOLU,493,0,59,27
ANDHRA PRADESH,NELLORE,MARRIPADU,303,0,39,0
ANDHRA PRADESH,NELLORE,MUTHUKUR,1616,0,15,0
ANDHRA PRADESH,NELLORE,NAIDUPETA,1906,6,99,26
ANDHRA PRADESH,NELLORE,NELLORE,1249,0,103,2
ANDHRA PRADESH,NELLORE,OJILI,411,0,66,3
ANDHRA PRADESH,NELLORE,PELLAKUR,969,12,49,35
ANDHRA PRADESH,NELLORE,PODALAKUR,871,9,47,73
ANDHRA PRADESH,NELLORE,RAPUR,40,0,77,30
ANDHRA PRADESH,NELLORE,SANGAM,708,1,21,0
ANDHRA PRADESH,NELLORE,SULLURPETA,907,0,25,0
ANDHRA PRADESH,NELLORE,SYDAPURAM,498,0,99,16
ANDHRA PRADESH,NELLORE,TADA,233,0,67,0
ANDHRA PRADESH,NELLORE,THOTAPALLIGUDUR,2766,0,36,0
ANDHRA PRADESH,NELLORE,VAKADU,1302,6,190,5
ANDHRA PRADESH,NELLORE,VENKATACHALAM,154,3,137,19
ANDHRA PRADESH,NELLORE,VENKATAGIRI,109,0,109,53
ANDHRA PRADESH,NELLORE,VIDAVULUR,1088,4,17,0
ANDHRA PRADESH,NELLORE,VINJAMUR,155,0,64,7
ANDHRA PRADESH,NIZAMABAD,ARMUR,2002,6,79,17
ANDHRA PRADESH,NIZAMABAD,BALKONDA,735,1,42,32
ANDHRA PRADESH,NIZAMABAD,BANSWADA,325,4,49,24
ANDHRA PRADESH,NIZAMABAD,BHEEMGAL,929,0,130,0
ANDHRA PRADESH,NIZAMABAD,BHIKNUR,2055,0,101,1
ANDHRA PRADESH,NIZAMABAD,BICHKUNDA,784,4,114,55
ANDHRA PRADESH,NIZAMABAD,BIRKOOR,1195,10,100,45
ANDHRA PRADESH,NIZAMABAD,BODHAN,3637,0,68,37
ANDHRA PRADESH,NIZAMABAD,DHARPALLE,636,1,9,29
ANDHRA PRADESH,NIZAMABAD,DICHPALLE,1480,0,42,7
ANDHRA PRADESH,NIZAMABAD,DOMAKONDA,1145,4,26,48
ANDHRA PRADESH,NIZAMABAD,GANDHARI,854,0,44,65
ANDHRA PRADESH,NIZAMABAD,JAKRANPALLE,1538,0,111,1
ANDHRA PRADESH,NIZAMABAD,JUKKAL,216,1,112,27
ANDHRA PRADESH,NIZAMABAD,KAMAREDDY,1173,0,21,74
ANDHRA PRADESH,NIZAMABAD,KAMMAR PALLE,634,0,70,12
ANDHRA PRADESH,NIZAMABAD,KOTGIRI,1335,0,61,35
ANDHRA PRADESH,NIZAMABAD,LINGAMPET,756,2,88,87
ANDHRA PRADESH,NIZAMABAD,MACHAREDDY,550,1,44,49
ANDHRA PRADESH,NIZAMABAD,MADNUR,755,0,89,0
ANDHRA PRADESH,NIZAMABAD,MAKLOOR,2296,9,17,23
ANDHRA PRADESH,NIZAMABAD,MORTAD,1645,2,108,154
ANDHRA PRADESH,NIZAMABAD,NADIPET,3442,10,17,50
ANDHRA PRADESH,NIZAMABAD,NAGAREDDIPET,519,0,44,55
ANDHRA PRADESH,NIZAMABAD,NAVIPET,1853,4,31,6
ANDHRA PRADESH,NIZAMABAD,NIZAMABAD,3469,12,97,28
ANDHRA PRADESH,NIZAMABAD,NIZAMSAGAR,241,7,29,7
ANDHRA PRADESH,NIZAMABAD,PITLAM,587,0,52,60
ANDHRA PRADESH,NIZAMABAD,RANJAL,968,0,33,2
ANDHRA PRADESH,NIZAMABAD,SADASIVANAGAR,1151,0,29,96
ANDHRA PRADESH,NIZAMABAD,SIRKONDA,1669,1,17,18
ANDHRA PRADESH,NIZAMABAD,TADWAI,540,1,41,60
ANDHRA PRADESH,NIZAMABAD,VARNI,2231,1,30,2
ANDHRA PRADESH,NIZAMABAD,VELPUR,1516,0,82,50
ANDHRA PRADESH,NIZAMABAD,YEDAPALLE,770,0,44,12
ANDHRA PRADESH,NIZAMABAD,YELLAREDDY,576,2,77,111
ANDHRA PRADESH,PRAKASAM,ADDANKI,72,0,120,0
ANDHRA PRADESH,PRAKASAM,ARDHAVEEDU,590,19,35,4
ANDHRA PRADESH,PRAKASAM,BALLIKURAVA,8,28,129,0
ANDHRA PRADESH,PRAKASAM,BESTAVARIPETA,607,0,130,0
ANDHRA PRADESH,PRAKASAM,C.SEKHARA PURAM,5,0,102,0
ANDHRA PRADESH,PRAKASAM,CHIMAKURTHI,26,0,231,0
ANDHRA PRADESH,PRAKASAM,CHINAGANJAM,12,0,9,0
ANDHRA PRADESH,PRAKASAM,CHIRALA,7,40,0,0
ANDHRA PRADESH,PRAKASAM,CUMBUM,307,1,250,1
ANDHRA PRADESH,PRAKASAM,DARSI,15,0,18,0
ANDHRA PRADESH,PRAKASAM,DONAKONDA,106,1,59,13
ANDHRA PRADESH,PRAKASAM,DORNALA,500,0,51,14
ANDHRA PRADESH,PRAKASAM,GIDDALURU,357,0,22,5
ANDHRA PRADESH,PRAKASAM,GUDLURU,339,49,32,0
ANDHRA PRADESH,PRAKASAM,JANAKAVARAMPANGULURU,9,0,78,0
ANDHRA PRADESH,PRAKASAM,KANDUKUR,316,0,98,0
ANDHRA PRADESH,PRAKASAM,KOMAROLE,387,0,21,3
ANDHRA PRADESH,PRAKASAM,KONAKANAMITLA,40,0,200,0
ANDHRA PRADESH,PRAKASAM,KONDAPI,1,0,30,0
ANDHRA PRADESH,PRAKASAM,KORISAPADU,18,0,191,0
ANDHRA PRADESH,PRAKASAM,KOTHA PATNAM,1326,0,16,0
ANDHRA PRADESH,PRAKASAM,KURICHEDU,13,0,87,0
ANDHRA PRADESH,PRAKASAM,LINGASAMUDRAM,232,0,76,0
ANDHRA PRADESH,PRAKASAM,MADDIPADU,34,0,79,8
ANDHRA PRADESH,PRAKASAM,MARKAPUR,750,0,55,11
ANDHRA PRADESH,PRAKASAM,MARRIPUDI,10,0,115,0
ANDHRA PRADESH,PRAKASAM,MARTUR,10,0,66,0
ANDHRA PRADESH,PRAKASAM,NAGULUPPALA PADU,22,0,1,248
ANDHRA PRADESH,PRAKASAM,ONGOLE,15,0,40,0
ANDHRA PRADESH,PRAKASAM,PAMUR,50,0,124,0
ANDHRA PRADESH,PRAKASAM,PEDA ARAVEEDU,714,0,130,0
ANDHRA PRADESH,PRAKASAM,PONNALUR,43,0,29,28
ANDHRA PRADESH,PRAKASAM,PULLALACHERUVU,857,1,101,2
ANDHRA PRADESH,PRAKASAM,RACHERLA,332,0,27,4
ANDHRA PRADESH,PRAKASAM,SANTHAMAGULURU,15,38,171,0
ANDHRA PRADESH,PRAKASAM,SANTHANUTHALA PADU,3,0,228,0
ANDHRA PRADESH,PRAKASAM,SINGARAYA KONDA,104,0,43,0
ANDHRA PRADESH,PRAKASAM,TANGUTUR,3,0,98,0
ANDHRA PRADESH,PRAKASAM,TARLUPADU,241,0,162,14
ANDHRA PRADESH,PRAKASAM,THALLUR,130,8,70,0
ANDHRA PRADESH,PRAKASAM,TRIPURANTHAKAM,258,0,52,2
ANDHRA PRADESH,PRAKASAM,ULAVAPADU,609,0,264,0
ANDHRA PRADESH,PRAKASAM,VETA PALEM,5,10,3,0
ANDHRA PRADESH,PRAKASAM,VOLETIVARI PALEM,10,0,164,0
ANDHRA PRADESH,PRAKASAM,YADDANA PUDI,2,0,650,575
ANDHRA PRADESH,PRAKASAM,YERRAGONDAPALEM,1323,0,59,24
ANDHRA PRADESH,PRAKASAM,ZARUGUMALLI,129,0,194,0
ANDHRA PRADESH,RANGA REDDY,BANTARAM,67,0,47,0
ANDHRA PRADESH,RANGA REDDY,BASHEERABAD,163,1,24,3
ANDHRA PRADESH,RANGA REDDY,CHEVELLA,276,0,237,13
ANDHRA PRADESH,RANGA REDDY,DHARUR,148,4,30,6
ANDHRA PRADESH,RANGA REDDY,DOMA,228,0,12,29
ANDHRA PRADESH,RANGA REDDY,GANDEED,278,0,17,35
ANDHRA PRADESH,RANGA REDDY,GHATKESAR,158,10,55,13
