-----
{
 "description": "The table refers to district wise surface lift schemes according to water distribution system. It has been sourced from 2nd census of minor irrigation scheme(1993-94) from Ministry of Water Resources.", 
 "file_name": "srfclftDsttab5.8.csv", 
 "title": "Download CSV for Districtwise surface lift Schemes according to water distribution system for 2nd census of minor irrigation schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/srfclftDsttab5.8.csv"
}
-----
"State","District","Sprinkler","Drip irrigation","Open channel","Under ground channel","Others","Total"
"UTTAR PRADESH","FATEHPUR",0,0,0,0,22,22
"UTTAR PRADESH","GONDA",0,3,316,11,26,356
"UTTAR PRADESH","HAMIRPUR",0,0,0,7,0,7
"UTTAR PRADESH","JALAUN",2,22,272,2,39,337
"UTTAR PRADESH","JAUNPUR",0,0,26,0,0,26
"UTTAR PRADESH","JHANSI",0,0,159,0,0,159
"UTTAR PRADESH","KANPUR DEHAT",0,0,173,0,0,173
"UTTAR PRADESH","KUSHI NAGAR",0,0,1,0,0,1
"UTTAR PRADESH","LALITPUR",0,0,0,0,1,1
"UTTAR PRADESH","LUCKNOW",0,0,1,0,0,1
"UTTAR PRADESH","MAHRAJGANJ",0,0,12,0,0,12
"UTTAR PRADESH","MIRZAPUR",4,5,353,0,19,381
"UTTAR PRADESH","NAINITAL",1,0,17,0,7,25
"UTTAR PRADESH","PAURI GARHWAL",53,2,9,0,3,67
"UTTAR PRADESH","RAEBARELY",0,0,1,0,0,1
"UTTAR PRADESH","SANT RAVIDAS NAGAR",0,0,40,0,0,40
"UTTAR PRADESH","TEHRI GARHWAL",12,0,18,2,3,35
"UTTAR PRADESH","UDHAMSINGH NAGAR",0,1,58,0,2,61
"UTTAR PRADESH","UTTARKASHI",3,0,9,6,11,29
"UTTAR PRADESH","VARANASI",1,1,80,0,0,82
"WEST BENGAL","BANKURA",90,64,2388,136,340,3018
"WEST BENGAL","BIRBHUM",759,56,15120,91,1320,17346
"WEST BENGAL","BURDWAN",341,30,5551,232,442,6596
"WEST BENGAL","COOCHBEHAR",0,21,2201,211,4,2437
"WEST BENGAL","DAKSHIN DINAJPUR",8,10,1490,216,9,1733
"WEST BENGAL","DARJEELING",39,0,2,22,0,63
"WEST BENGAL","HOOGLY",73,49,3829,338,90,4379
"WEST BENGAL","HOWRAH",216,16,7218,104,1110,8664
