-----
{
 "description": "The table refers to Block wise Distribution of Deep Tubewells according to source of Finance. The report has been sourced from 3rd census of minor irrigation scheme (2000-01) from Ministry of Water Resources.", 
 "file_name": "dptbwldistr3.6.csv", 
 "title": "Download CSV for Blockwise Distribution of Deep Tubewells according to source of Finance", 
 "url": "http://data.gov.in/sites/default/files/dptbwldistr3.6.csv"
}
-----
STATENAME,DISTNAME,BLOCKNAME,Government Funds,Farmer's saving,Loan & Saving,Subsidy & Bank loan,Others,Total
MAHARASHTRA,NANDURBAR,AKKALKUWA,90,9,0,0,55,154
MAHARASHTRA,NANDURBAR,AKRANI,1,7,2,0,153,163
MAHARASHTRA,NANDURBAR,NANDURBAR,121,267,0,1,39,428
MAHARASHTRA,NANDURBAR,NAWAPUR,416,26,114,1,121,678
MAHARASHTRA,NANDURBAR,SHAHADE,1581,2808,1008,178,40,5615
MAHARASHTRA,NANDURBAR,TALODA,0,211,0,0,81,292
MAHARASHTRA,NASHIK,BAGLAN,5,5,0,0,19,29
MAHARASHTRA,NASHIK,CHANDWAD,895,410,86,21,12,1424
MAHARASHTRA,NASHIK,DINDORI,187,132,120,9,1,449
MAHARASHTRA,NASHIK,IGATPURI,0,0,0,0,99,99
MAHARASHTRA,NASHIK,KALWAN,198,1,1,3,85,288
MAHARASHTRA,NASHIK,MALEGAON,0,0,0,0,115,115
MAHARASHTRA,NASHIK,NANDGAON,80,0,6,2,72,160
MAHARASHTRA,NASHIK,NASHIK,37,0,0,0,22,59
MAHARASHTRA,NASHIK,NIPHAD,1065,90,523,20,15,1713
MAHARASHTRA,NASHIK,PEINT,1,0,0,0,22,23
MAHARASHTRA,NASHIK,SINNAR,32,1,7,0,2,42
MAHARASHTRA,NASHIK,TRIMBAKESHWAR,0,0,0,0,104,104
MAHARASHTRA,NASHIK,YEOLA,3,0,0,0,69,72
MAHARASHTRA,OSMANABAD,BHOOM,237,16,0,0,0,253
MAHARASHTRA,OSMANABAD,KALAMB,2319,310,8,1,28,2666
MAHARASHTRA,OSMANABAD,LOHARA,474,470,5,0,0,949
MAHARASHTRA,OSMANABAD,OMARGA,497,294,18,1,5,815
MAHARASHTRA,OSMANABAD,OSMANABAD,2186,1589,244,3,13,4035
MAHARASHTRA,OSMANABAD,PARANDA,77,11,0,0,0,88
MAHARASHTRA,OSMANABAD,TULJAPUR,456,385,25,1,11,878
MAHARASHTRA,OSMANABAD,WASHI,378,169,2,0,2,551
MAHARASHTRA,PARBHANI,GANGAKHED,0,2,2,0,0,4
MAHARASHTRA,PARBHANI,JINTUR,6,0,0,0,0,6
MAHARASHTRA,PARBHANI,PALAM,33,0,0,0,0,33
MAHARASHTRA,PARBHANI,PARBHANI,0,3,0,0,0,3
MAHARASHTRA,PARBHANI,PURNA,4,0,0,0,0,4
MAHARASHTRA,PARBHANI,SAILU,53,0,0,0,0,53
MAHARASHTRA,PARBHANI,SONPETH,1,0,0,0,0,1
MAHARASHTRA,PUNE,AMBEGAON,16,0,5,0,0,21
MAHARASHTRA,PUNE,BARAMATI,7,1,0,0,0,8
MAHARASHTRA,PUNE,DAUND,18,70,0,0,0,88
MAHARASHTRA,PUNE,HAVELI,697,49,42,2,0,790
MAHARASHTRA,PUNE,INDAPUR,4,0,0,0,0,4
MAHARASHTRA,PUNE,JUNNAR,16,0,0,0,0,16
MAHARASHTRA,PUNE,MAWAL,28,14,0,1,0,43
MAHARASHTRA,PUNE,MULSHI,64,8,0,3,1,76
MAHARASHTRA,PUNE,PURANDHAR,31,1,0,0,0,32
MAHARASHTRA,PUNE,SHIRUR,361,0,1,2,0,364
MAHARASHTRA,RAIGHAR,KHALAPUR,26,11,0,0,0,37
MAHARASHTRA,RAIGHAR,MAHAD,1,0,0,0,0,1
MAHARASHTRA,RAIGHAR,MANGOAN,7,0,0,0,0,7
MAHARASHTRA,RAIGHAR,SHRIVARDHAN,0,0,3,0,0,3
MAHARASHTRA,RAIGHAR,SUDHAGAD,6,0,0,68,1,75
MAHARASHTRA,RAIGHAR,TALA,2,0,0,0,0,2
MAHARASHTRA,SANGLI,ATPADI,10,257,60,0,0,327
MAHARASHTRA,SANGLI,JAT,49,875,33,1,13,971
MAHARASHTRA,SANGLI,KAVATHE-MAHANKLA,39,913,99,8,24,1083
MAHARASHTRA,SANGLI,KHANAPUR,170,1323,342,0,17,1852
MAHARASHTRA,SANGLI,MIRAJ,380,2183,130,9,2,2704
MAHARASHTRA,SANGLI,PALUS,19,505,24,2,5,555
MAHARASHTRA,SANGLI,SHIRALA,86,2,0,0,0,88
MAHARASHTRA,SANGLI,TASGAON,114,1815,2087,13,21,4050
MAHARASHTRA,SANGLI,WALWA,16,82,0,0,0,98
MAHARASHTRA,SATARA,KARAD,92,12,0,0,0,104
MAHARASHTRA,SATARA,KOREGAON,16,0,0,0,0,16
MAHARASHTRA,SATARA,MAHABALESHWAR,17,21,0,0,0,38
MAHARASHTRA,SATARA,MAN,217,3,1,0,0,221
MAHARASHTRA,SATARA,PHALTAN,148,12,6,0,0,166
MAHARASHTRA,SATARA,SATARA,27,1,0,0,0,28
MAHARASHTRA,SINDHUDURGA,KANKAVLI,1,2,0,0,0,3
MAHARASHTRA,SOLAPUR,AKKALKOT,145,109,1,1,1,257
MAHARASHTRA,SOLAPUR,BARSHI,208,310,188,11,5,722
MAHARASHTRA,SOLAPUR,KARMALA,550,394,20,0,3,967
MAHARASHTRA,SOLAPUR,MADHA,360,1129,37,25,11,1562
