-----
{
 "description": "The table refers to District wise Distribution of Dugwells in use and their Potential Created/Utilised according to Public and Private. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "dgwlState1.16.csv", 
 "title": "Download CSV for Districtwise Distribution of Dugwells in use and their Potential Created/Utilised according to Public and Private", 
 "url": "http://data.gov.in/sites/default/files/dgwlState1.16.csv"
}
-----
"State","District","No. in use - Public","No. in use - Private","No. in use - Total","Potential created (Ha) - Public","Potential created (Ha) - Private","Potential created (Ha) - Total","Potential utilised (Ha) - Public","Potential utilised (Ha) - Private","Potential utilised (Ha) - Total"
"JHARKHAND","SIMDEGA",26,15013,15039,8,7201,7209,4,4290,4293
"JHARKHAND","WEST SINGHBHUM",35,1291,1326,43,1490,1533,27,499,526
"KARNATAKA","Bagalkote",42,11199,11241,76,37161,37237,62,31640,31702
"KARNATAKA","Bangalore",0,628,628,0,927,927,0,790,790
"KARNATAKA","Bangalore Rural",0,8641,8641,0,9513,9513,0,8662,8662
"KARNATAKA","Belgaum",23,64129,64152,74,121626,121700,60,100658,100718
"KARNATAKA","Bellary",4,2433,2437,8,8216,8224,8,7523,7530
"KARNATAKA","Bidar",2,14742,14744,3,23766,23769,2,14150,14152
"KARNATAKA","Bijapur",3,41473,41476,9,95978,95987,9,82624,82633
"KARNATAKA","Chamaraja Nagara",0,7235,7235,0,15597,15597,0,15049,15049
"KARNATAKA","Chikmagalur",0,1266,1266,0,2981,2981,0,2861,2861
"KARNATAKA","Chitradurga",1,2044,2045,1,4421,4423,1,3843,3844
"KARNATAKA","Dakshina Kannada",3,36386,36389,5,46138,46144,5,41976,41981
"KARNATAKA","Davanagere",0,747,747,0,1641,1641,0,1448,1448
"KARNATAKA","Dharwar",2,394,396,7,874,881,7,595,602
"KARNATAKA","Gadag",0,2092,2092,0,6071,6071,0,4668,4668
"KARNATAKA","Gulbarga",17,17672,17689,46,37082,37128,27,28008,28035
"KARNATAKA","Hassan",12,1657,1669,18,3090,3108,9,2682,2691
"KARNATAKA","Haveri",0,171,171,0,423,423,0,289,289
"KARNATAKA","Kodagu",0,118,118,0,100,100,0,75,75
"KARNATAKA","Kolar",0,10405,10405,0,15310,15310,0,11330,11330
"KARNATAKA","Koppal",0,1687,1687,0,4423,4423,0,4059,4059
"KARNATAKA","Mandya",0,8334,8334,0,11504,11504,0,10520,10520
"KARNATAKA","Mysore",0,4501,4501,0,8378,8378,0,6668,6668
"KARNATAKA","Raichur",1,9754,9755,4,21285,21289,4,16940,16944
"KARNATAKA","Shimoga",32,7206,7238,87,9431,9517,53,7995,8048
"KARNATAKA","Tumkur",1,13584,13585,0,18687,18687,0,14742,14742
"KARNATAKA","Udupi",0,28508,28508,0,24790,24790,0,22255,22255
"KARNATAKA","Uttara Kannada",20,18635,18655,12,9884,9896,11,9372,9383
"KERALA","ALAPPUZHA",1,4679,4680,1,1890,1891,1,1638,1639
