-----
{
 "description": "The table refers to Block wise Distribution of Surface Lift Schemes according to ownership. The report has been sourced from 3rd census of minor irrigation scheme (2000-01) from Ministry of Water Resources.", 
 "file_name": "srfcliftdistr5.2.csv", 
 "title": "Download CSV for Blockwise Distribution of Surface Lift Schemes according to Ownership", 
 "url": "http://data.gov.in/sites/default/files/srfcliftdistr5.2.csv"
}
-----
STATENAME,DISTNAME,BLOCKNAME,Government,Cooperative Societies,Panchayat,Group of farmers,Individual farmers,Others,Total
ANDHRA PRADESH,KRISHNA,PENAMALURU,0,2,0,0,0,2,4
ANDHRA PRADESH,KRISHNA,PENUGANCHIPROLU,0,0,0,1,0,0,1
ANDHRA PRADESH,KRISHNA,REDDIGUDEM,1,0,0,0,0,0,1
ANDHRA PRADESH,KRISHNA,TIRUVURU,1,0,0,0,1,0,2
ANDHRA PRADESH,KRISHNA,UNGUTURU,1,0,0,2,0,1,4
ANDHRA PRADESH,KRISHNA,VATSAVAI,2,0,0,0,1,0,3
ANDHRA PRADESH,KRISHNA,VEERULLAPADU,3,1,0,2,0,0,6
ANDHRA PRADESH,KRISHNA,VISSANNAPET,1,0,0,0,0,0,1
ANDHRA PRADESH,KURNOOL,ADONI,10,0,0,0,95,0,105
ANDHRA PRADESH,KURNOOL,BANAGANAPALLE,1,0,0,0,0,0,1
ANDHRA PRADESH,KURNOOL,BANDI ATMAKUR,0,0,0,0,208,0,208
ANDHRA PRADESH,KURNOOL,C.BELAGAL,2,0,0,87,95,0,184
ANDHRA PRADESH,KURNOOL,DORNIPADU,0,0,0,0,25,0,25
ANDHRA PRADESH,KURNOOL,GOSPADU,0,0,0,0,94,0,94
ANDHRA PRADESH,KURNOOL,HALAHARVI,0,0,0,0,48,2,50
ANDHRA PRADESH,KURNOOL,HOLAGUNDA,1,0,0,6,68,0,75
ANDHRA PRADESH,KURNOOL,KOILKUNTLA,1,0,0,80,261,0,342
ANDHRA PRADESH,KURNOOL,KOTHAPALLE,0,0,0,0,16,0,16
ANDHRA PRADESH,KURNOOL,KOWTHALAM,0,0,0,0,61,0,61
ANDHRA PRADESH,KURNOOL,MAHANANDI,0,0,0,0,0,8,8
ANDHRA PRADESH,KURNOOL,MANTRALAYAM,1,1,0,0,156,0,158
ANDHRA PRADESH,KURNOOL,NANDAVARAM,2,0,0,0,229,0,231
ANDHRA PRADESH,KURNOOL,NANDYAL,0,0,0,0,149,0,149
ANDHRA PRADESH,KURNOOL,PANYAM,0,0,0,0,87,0,87
ANDHRA PRADESH,KURNOOL,UYYALAWADA,1,0,0,0,354,0,355
ANDHRA PRADESH,MAHABOOBNAGAR,AIZA,0,0,0,0,90,0,90
ANDHRA PRADESH,MAHABOOBNAGAR,ATMAKUR,6,0,1,24,185,0,216
ANDHRA PRADESH,MAHABOOBNAGAR,GADWAL,1,0,0,0,195,0,196
ANDHRA PRADESH,MAHABOOBNAGAR,ITIKYAL,0,0,0,0,26,0,26
ANDHRA PRADESH,MAHABOOBNAGAR,MAGANOOR,7,0,0,0,0,0,7
ANDHRA PRADESH,MAHABOOBNAGAR,MAKTHAL,2,0,0,0,0,0,2
ANDHRA PRADESH,MAHABOOBNAGAR,MANOPADU,1,0,0,7,472,0,480
ANDHRA PRADESH,MAHABOOBNAGAR,UTKOOR,0,0,0,0,26,0,26
ANDHRA PRADESH,MAHABOOBNAGAR,VEEPANGANDLA,2,0,0,0,0,0,2
ANDHRA PRADESH,MAHABOOBNAGAR,WADDEPALLE,0,0,0,66,268,0,334
ANDHRA PRADESH,MEDAK,ANDOLE,0,0,0,0,115,0,115
ANDHRA PRADESH,MEDAK,KOWDIPALLE,0,0,0,1,76,0,77
ANDHRA PRADESH,MEDAK,KULCHARAM,0,0,0,0,157,0,157
ANDHRA PRADESH,MEDAK,MANOOR,0,0,0,0,31,0,31
ANDHRA PRADESH,MEDAK,PAPANNAPET,0,0,0,0,213,0,213
ANDHRA PRADESH,MEDAK,PULKAL,0,0,0,0,113,0,113
ANDHRA PRADESH,MEDAK,SADASIVPET,0,0,0,0,4,0,4
ANDHRA PRADESH,MEDAK,SHANKARAMPET (A),0,0,0,0,277,0,277
ANDHRA PRADESH,NALGONDA,ANUMULA,0,0,0,0,7,0,7
ANDHRA PRADESH,NALGONDA,CHILKUR,2,0,0,51,81,0,134
ANDHRA PRADESH,NALGONDA,DAMERACHERLA,1,0,2,0,943,0,946
ANDHRA PRADESH,NALGONDA,GARIDE PALLE,1,0,0,100,304,0,405
ANDHRA PRADESH,NALGONDA,HUZURNAGAR,2,0,0,28,281,0,311
ANDHRA PRADESH,NALGONDA,KETHEPALLE,0,0,0,1,0,0,1
ANDHRA PRADESH,NALGONDA,KODAD,0,0,0,110,625,1,736
ANDHRA PRADESH,NALGONDA,MATTAMPALLE,9,1,0,0,318,7,335
ANDHRA PRADESH,NALGONDA,MELLACHERVU,0,0,0,0,224,0,224
ANDHRA PRADESH,NALGONDA,MIRYALAGUDA,0,0,0,0,442,0,442
ANDHRA PRADESH,NALGONDA,MOTHEY,0,0,0,1,0,0,1
ANDHRA PRADESH,NALGONDA,MUNAGALA,2,0,0,0,0,0,2
ANDHRA PRADESH,NALGONDA,NADIGUDEM,4,0,0,1,106,0,111
ANDHRA PRADESH,NALGONDA,NERED CHERLA,7,0,0,12,231,0,250
ANDHRA PRADESH,NALGONDA,NIDAMANUR,2,0,0,0,9,0,11
ANDHRA PRADESH,NALGONDA,PEDDAVURA,305,0,0,0,148,0,453
ANDHRA PRADESH,NALGONDA,PENPAHAD,0,0,0,0,19,0,19
ANDHRA PRADESH,NALGONDA,RAMANNAPETA,0,0,0,3,3,0,6
ANDHRA PRADESH,NALGONDA,THRIPURARAM,0,0,0,0,16,0,16
ANDHRA PRADESH,NALGONDA,VEMULAPALLE,0,0,13,0,0,0,13
ANDHRA PRADESH,NELLORE,ALLUR,6,0,0,0,57,2,65
ANDHRA PRADESH,NELLORE,ANANTHASAGARAM,1,0,0,3,14,0,18
ANDHRA PRADESH,NELLORE,ATMAKUR,0,0,0,12,43,0,55
ANDHRA PRADESH,NELLORE,BALAYAPALLE,0,0,0,1,288,0,289
ANDHRA PRADESH,NELLORE,BUTCHIREDDIPALEM,0,0,0,9,15,0,24
ANDHRA PRADESH,NELLORE,CHEJERLA,0,2,0,0,84,0,86
ANDHRA PRADESH,NELLORE,CHILLAKUR,0,0,0,0,118,0,118
ANDHRA PRADESH,NELLORE,CHITTAMUR,1,0,0,0,0,0,1
ANDHRA PRADESH,NELLORE,DAGADARTHI,2,1,0,1,0,0,4
ANDHRA PRADESH,NELLORE,DAKKILI,0,0,0,38,223,0,261
ANDHRA PRADESH,NELLORE,DUTTALUR,2,0,0,33,15,0,50
ANDHRA PRADESH,NELLORE,GUDUR,0,0,0,7,0,0,7
ANDHRA PRADESH,NELLORE,KALIGIRI,0,0,0,0,0,1,1
