-----
{
 "description": "The table refers to District wise Distribution of Surface Lift Schemes in use according to Utilization of Potential Created. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "srfcliftstate5.15.csv", 
 "title": "Download CSV for Districtwise Distribution of Surface Lift Schemes in use according to Utilization of Potential Created", 
 "url": "http://data.gov.in/sites/default/files/srfcliftstate5.15.csv"
}
-----
"State","District","No. of constraints in utilisation","Constraints in utilisation - Inadequate power supply","Constraints in utilisation - Mechanical breakdown","Constraints in utilisation - Less water discharge","Constraints in utilisation - Storage siltation","Constraints in utilisation - Channel break down","Constraints in utilisation - Other reasons","Total","Total in use"
"TAMIL NADU","PERAMBALUR",0,1,0,85,61,0,0,147,147
"TAMIL NADU","SALEM",0,0,0,0,69,0,1,70,70
"TAMIL NADU","SIVAGANGA",0,0,0,0,3,0,9,12,12
"TAMIL NADU","THANJAVUR",0,2,156,1,32,0,0,191,191
"TAMIL NADU","THENI",0,57,17,231,2,0,0,307,307
"TAMIL NADU","THIRUVALLUR",0,0,1,1,41,0,43,86,86
"TAMIL NADU","THIRUVARUR",0,0,4,0,5,0,0,9,9
"TAMIL NADU","TIRUCHIRAPPALLI",0,15,13,558,4,18,1,609,609
"TAMIL NADU","TIRUNELVELI",0,0,0,2,8,0,1,11,11
"TAMIL NADU","TIRUVANNAMALAI",0,0,0,4,1,12,0,17,17
"TAMIL NADU","TUTICORIN DISTRICT",0,2,0,0,1,0,0,3,3
"TAMIL NADU","VELLORE",0,2,0,111,0,0,65,178,178
"TAMIL NADU","VILLUPPURAM",0,0,3,180,2,98,0,283,283
"TRIPURA","DHALAI",69,0,15,2,0,2,1,20,89
"TRIPURA","NORTH TRIPURA",20,7,6,14,8,37,44,116,136
"TRIPURA","SOUTH TRIPURA",182,29,80,51,22,59,142,383,565
"TRIPURA","WEST TRIPURA",73,79,40,19,14,25,77,254,327
"UTTAR PRADESH","ALIGARH",0,0,0,0,0,0,0,0,0
"UTTAR PRADESH","ALLAHABAD",0,0,25,19,4,56,21,125,125
"UTTAR PRADESH","BAHARAICH",0,0,0,0,3,0,0,3,3
"UTTAR PRADESH","BALRAMPUR",0,1,0,9,10,0,4,24,24
"UTTAR PRADESH","BANDA",0,3,28,8,22,3,57,121,121
"UTTAR PRADESH","BAREILLY",0,0,0,0,0,12,0,12,12
"UTTAR PRADESH","BIJNOR",0,0,6,0,0,0,0,6,6
"UTTAR PRADESH","BULAND SAHAR",0,0,0,0,0,0,1,1,1
"UTTAR PRADESH","CHANDAULI",0,2,2,0,61,0,15,80,80
"UTTAR PRADESH","CHITRAKOOT",0,18,287,311,186,69,236,1107,1107
"UTTAR PRADESH","DEORIA",0,0,0,0,4,0,0,4,4
"UTTAR PRADESH","FARRUKHABAD",0,0,0,0,0,8,0,8,8
"UTTAR PRADESH","GHAZIABAD",0,0,8,0,0,0,0,8,8
"UTTAR PRADESH","GHAZIPUR",0,1,0,0,0,0,0,1,1
"UTTAR PRADESH","GONDA",0,0,0,0,22,0,0,22,22
"UTTAR PRADESH","HAMIRPUR",2,6,14,18,224,41,87,390,392
"UTTAR PRADESH","HARDOI",0,0,0,0,24,0,0,24,24
"UTTAR PRADESH","JALAUN",0,0,0,10,62,3,129,204,204
"UTTAR PRADESH","JAUNPUR",0,0,0,0,8,1,1,10,10
"UTTAR PRADESH","JHANSI",0,69,134,232,81,22,470,1008,1008
"UTTAR PRADESH","KANNAUJ",0,0,0,16,0,0,0,16,16
"UTTAR PRADESH","KANPUR DEHAT",0,0,0,5,0,0,0,5,5
"UTTAR PRADESH","KANPUR NAGAR",0,13,0,4,12,0,0,29,29
"UTTAR PRADESH","LALITPUR",0,21,40,50,31,18,202,362,362
"UTTAR PRADESH","LUCKNOW",0,0,0,0,0,0,29,29,29
"UTTAR PRADESH","MAHARAJ GANJ",0,0,0,0,0,26,0,26,26
"UTTAR PRADESH","MAHOBA",0,0,18,53,17,9,118,215,215
"UTTAR PRADESH","MEERUT",0,0,0,0,17,0,0,17,17
"UTTAR PRADESH","MIRZAPUR",0,6,1,156,45,42,12,262,262
"UTTAR PRADESH","MUZZAFARNAGAR",0,0,0,0,13,0,0,13,13
"UTTAR PRADESH","RAEBARELI",0,0,0,0,1,0,0,1,1
"UTTAR PRADESH","RAMPUR",0,0,0,0,14,0,4,18,18
"UTTAR PRADESH","SANT KABIR NAGAR",0,1,2,0,2,0,0,5,5
"UTTAR PRADESH","SANT RAVI DAS NAGAR",0,10,0,1,0,1,0,12,12
"UTTAR PRADESH","SHRAWASTI",0,0,0,0,0,0,0,0,0
"UTTAR PRADESH","SIDDHARTH NAGAR",0,7,1,47,6,0,5,66,66
"UTTAR PRADESH","SONBHADRA",0,0,34,136,68,508,58,804,804
"UTTAR PRADESH","SULTANPUR",0,0,0,0,0,0,0,0,0
"UTTAR PRADESH","VARANASI",0,2,3,0,1,0,2,8,8
"UTTARANCHAL","ALMORA",24,4,1,3,1,26,2,37,61
"UTTARANCHAL","BAGESHWAR",35,0,0,0,0,1,1,2,37
"UTTARANCHAL","CHAMOLI",5,0,5,19,10,7,0,41,46
"UTTARANCHAL","CHAMPAWAT",12,0,0,0,0,0,0,0,12
"UTTARANCHAL","DEHRA DUN",0,0,1,1,29,1,0,32,32
"UTTARANCHAL","HARIDWAR",0,0,0,0,2,0,0,2,2
"UTTARANCHAL","NAINITAL",74,0,0,0,0,2,1,3,77
"UTTARANCHAL","PAURI",13,0,14,25,1,21,22,83,96
"UTTARANCHAL","PITHORAGARH",70,0,0,1,1,4,14,20,90
"UTTARANCHAL","RUDHARAPARYAG",0,1,3,0,0,4,6,14,14
"UTTARANCHAL","TEHARI GARHWAL",0,1,13,0,2,5,21,42,42
"UTTARANCHAL","UDHAM SINGH NAGAR",30,0,0,0,4,47,2,53,83
"UTTARANCHAL","UTTARKASHI",0,7,2,4,3,0,3,19,19
"WEST BENGAL","BANKURA",97,0,0,0,0,0,1845,1845,1942
"WEST BENGAL","BIRBHUM",94,0,0,0,0,0,8191,8191,8285
"WEST BENGAL","BURDWAN",1666,0,0,0,0,0,2425,2425,4091
"WEST BENGAL","COOCHBEHAR",10,0,0,0,0,0,995,995,1005
"WEST BENGAL","DAKSHIN DINAJPUR",43,0,0,0,0,0,4422,4422,4465
"WEST BENGAL","DARJEELING",40,0,0,0,0,0,55,55,95
"WEST BENGAL","HAORA",2193,0,0,0,0,0,7132,7132,9325
"WEST BENGAL","HOOGHLY",3621,0,0,0,0,0,5143,5143,8764
"WEST BENGAL","JALPAIGURI",393,0,7,13,22,19,326,387,780
"WEST BENGAL","MALDA",1684,0,0,0,0,0,2305,2305,3989
"WEST BENGAL","MIDNAPORE",24396,0,0,0,0,0,8433,8433,32829
"WEST BENGAL","MURSHIDABAD",72,0,0,0,0,0,1629,1629,1701
"WEST BENGAL","NADIA",23,0,0,0,0,0,299,299,322
"WEST BENGAL","NORTH 24 PARGANAS",101,43,11,110,60,576,113,913,1014
"WEST BENGAL","PURULIA",77,0,0,0,0,0,208,208,285
"WEST BENGAL","SOUTH 24 PARGANAS",2089,0,0,0,0,0,22685,22685,24774
"WEST BENGAL","UTTAR DINAJPUR",30,0,0,0,0,0,305,305,335
