-----
{
 "description": "The table refers to District wise Distribution of Dugwells in use according to Utilization of Potential Created. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "dgwlState1.15.csv", 
 "title": "Download CSV for Districtwise Distribution of Dugwells in use according to Utilization of Potential Created", 
 "url": "http://data.gov.in/sites/default/files/dgwlState1.15.csv"
}
-----
"State","District","No constraints in utilisation","Constraints in utilisation - Inadequate power supply","Constraints in utilisation - Mechanical break down","Constraints in utilisation - Less water discharge","Constraints in utilisation - Other reason","Total Constraints in utilisation","Total in use"
"UTTAR PRADESH","AZAMGARH",11,0,0,0,0,0,11
"UTTAR PRADESH","BAGHPAT",0,44,12,0,1,57,57
"UTTAR PRADESH","BAHARAICH",0,21,16,24,5,66,66
"UTTAR PRADESH","BALLIA",166,0,6,6,17,29,195
"UTTAR PRADESH","BALRAMPUR",0,0,0,10,4,14,14
"UTTAR PRADESH","BANDA",3,119,240,920,1609,2888,2891
"UTTAR PRADESH","BARABANKI",323,0,0,13,3,16,339
"UTTAR PRADESH","BAREILLY",74,0,0,0,0,0,74
"UTTAR PRADESH","BASTI",0,0,0,0,44,44,44
"UTTAR PRADESH","CHANDAULI",0,54,15,80,148,297,297
"UTTAR PRADESH","CHITRAKOOT",3,16,318,2143,1119,3596,3599
"UTTAR PRADESH","DEORIA",1,0,0,0,26,26,27
"UTTAR PRADESH","FAIZABAD",235,8,0,125,3,136,371
"UTTAR PRADESH","FARRUKHABAD",0,0,0,0,29,29,29
"UTTAR PRADESH","FATEHPUR",421,0,0,1,12,13,434
"UTTAR PRADESH","FIROZABAD",0,2,0,18,28,48,48
"UTTAR PRADESH","GHAZIPUR",0,0,0,0,1,1,1
"UTTAR PRADESH","GONDA",0,0,0,0,0,0,0
"UTTAR PRADESH","GORAKHPUR",0,0,0,2,83,85,85
"UTTAR PRADESH","HAMIRPUR",13,309,251,360,1695,2615,2628
"UTTAR PRADESH","HARDOI",0,0,0,0,156,156,156
"UTTAR PRADESH","JALAUN",1,31,174,95,2324,2624,2625
"UTTAR PRADESH","JAUNPUR",1,33,48,2,434,517,518
"UTTAR PRADESH","JHANSI",13,239,2153,20318,2457,25167,25180
"UTTAR PRADESH","KANNAUJ",0,0,0,0,57,57,57
"UTTAR PRADESH","KANPUR DEHAT",0,0,0,172,0,172,172
"UTTAR PRADESH","KANPUR NAGAR",0,166,0,0,0,166,166
"UTTAR PRADESH","KAUSHAMBI",0,2,3,0,10,15,15
"UTTAR PRADESH","KHERI",80,51,0,5,28,84,164
"UTTAR PRADESH","LALITPUR",0,32,229,12334,12778,25373,25373
"UTTAR PRADESH","LUCKNOW",0,0,0,0,16,16,16
"UTTAR PRADESH","MAHARAJ GANJ",23,0,0,0,5,5,28
"UTTAR PRADESH","MAHOBA",32,14,70,10900,3880,14864,14896
"UTTAR PRADESH","MAINPURI",0,0,0,1,0,1,1
"UTTAR PRADESH","MATHURA",0,0,0,238,184,422,422
"UTTAR PRADESH","MAU",117,12,0,0,0,12,129
"UTTAR PRADESH","MEERUT",0,18,2,0,0,20,20
"UTTAR PRADESH","MIRZAPUR",6336,1694,1097,5498,1916,10205,16541
"UTTAR PRADESH","MUZZAFARNAGAR",0,0,0,0,184,184,184
"UTTAR PRADESH","PRATAPGARH",136,0,0,0,9,9,145
"UTTAR PRADESH","RAEBARELI",35,0,1,0,302,303,338
"UTTAR PRADESH","SANT KABIR NAGAR",0,26,1,0,156,183,183
"UTTAR PRADESH","SANT RAVI DAS NAGAR",1,17,2,28,17,64,65
"UTTAR PRADESH","SHRAWASTI",0,0,0,1,16,17,17
"UTTAR PRADESH","SIDDHARTH NAGAR",0,9,10,32,335,386,386
"UTTAR PRADESH","SONBHADRA",4561,291,447,1850,1422,4010,8571
"UTTAR PRADESH","SULTANPUR",32,11,7,4,11,33,65
"UTTAR PRADESH","UNNAO",16,0,10,0,185,195,211
"UTTAR PRADESH","VARANASI",0,284,33,5,98,420,420
"UTTARANCHAL","DEHRA DUN",0,0,0,5,11,16,16
"UTTARANCHAL","HARIDWAR",0,0,0,0,242,242,242
"UTTARANCHAL","NAINITAL",1,0,0,0,0,0,1
"UTTARANCHAL","PAURI",0,0,0,0,0,0,0
"UTTARANCHAL","UDHAM SINGH NAGAR",531,1,0,0,8,9,540
"WEST BENGAL","BANKURA",1784,0,0,0,2425,2425,4209
"WEST BENGAL","BIRBHUM",6,0,0,0,315,315,321
"WEST BENGAL","BURDWAN",4,0,0,0,56,56,60
"WEST BENGAL","COOCHBEHAR",22,0,0,0,6433,6433,6455
"WEST BENGAL","DAKSHIN DINAJPUR",0,0,0,0,122,122,122
"WEST BENGAL","DARJEELING",0,0,0,0,212,212,212
"WEST BENGAL","HOOGHLY",1,0,0,8,10,18,19
"WEST BENGAL","JALPAIGURI",160,110,128,372,2443,3053,3213
"WEST BENGAL","MALDA",0,0,0,0,1,1,1
"WEST BENGAL","MIDNAPORE",5001,0,0,0,3598,3598,8599
"WEST BENGAL","MURSHIDABAD",0,0,0,0,1,1,1
"WEST BENGAL","NADIA",0,0,0,0,2,2,2
"WEST BENGAL","PURULIA",16,0,0,0,12084,12084,12100
"WEST BENGAL","UTTAR DINAJPUR",2,0,0,0,0,0,2
