-----
{
 "description": "The table refers to District wise Distribution of Surface Flow Schemes by type. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "srfcflowstate4.5.csv", 
 "title": "Download CSV for Districtwise Distribution of Surface Flow Schemes by type", 
 "url": "http://data.gov.in/sites/default/files/srfcflowstate4.5.csv"
}
-----
"State","District","Tanks","Storage","Permanent Diversion","Temporary Diversion","Water Conversation","Total"
"UTTAR PRADESH","KANPUR NAGAR",0,4,0,0,0,4
"UTTAR PRADESH","KAUSHAMBI",0,2,0,0,0,2
"UTTAR PRADESH","LALITPUR",261,174,74,13,14,536
"UTTAR PRADESH","LUCKNOW",0,1,0,0,0,1
"UTTAR PRADESH","MAHARAJ GANJ",42,28,8,21,1,100
"UTTAR PRADESH","MAHOBA",24,16,1,15,3,59
"UTTAR PRADESH","MEERUT",1,0,0,0,0,1
"UTTAR PRADESH","MIRZAPUR",13,99,30,19,3,164
"UTTAR PRADESH","MORADABAD",0,0,13,0,0,13
"UTTAR PRADESH","MUZZAFARNAGAR",0,0,15,0,0,15
"UTTAR PRADESH","RAMPUR",0,0,0,4,0,4
"UTTAR PRADESH","SAHARANPUR",0,0,1,0,0,1
"UTTAR PRADESH","SANT KABIR NAGAR",2,8,5,12,0,27
"UTTAR PRADESH","SANT RAVI DAS NAGAR",1,0,0,1,0,2
"UTTAR PRADESH","SHRAWASTI",0,0,3,10,0,13
"UTTAR PRADESH","SIDDHARTH NAGAR",14,13,7,8,0,42
"UTTAR PRADESH","SONBHADRA",217,345,911,14,10,1497
"UTTAR PRADESH","VARANASI",26,6,1,0,0,33
"UTTARANCHAL","ALMORA",1786,63,231,1257,9,3346
"UTTARANCHAL","BAGESHWAR",321,43,162,1021,11,1558
"UTTARANCHAL","CHAMOLI",717,12,20,871,1,1621
"UTTARANCHAL","CHAMPAWAT",203,14,25,567,18,827
"UTTARANCHAL","DEHRA DUN",86,44,256,463,18,867
"UTTARANCHAL","HARIDWAR",8,0,9,2,0,19
"UTTARANCHAL","NAINITAL",1862,83,817,391,8,3161
"UTTARANCHAL","PAURI",663,151,403,1353,41,2611
"UTTARANCHAL","PITHORAGARH",955,141,303,1946,71,3416
"UTTARANCHAL","RUDHARAPARYAG",179,109,155,282,18,743
"UTTARANCHAL","TEHARI GARHWAL",1330,246,178,3004,19,4777
"UTTARANCHAL","UDHAM SINGH NAGAR",257,49,108,67,2,483
"UTTARANCHAL","UTTARKASHI",268,89,463,1273,4,2097
"WEST BENGAL","BANKURA",8270,6281,106,100,12,14769
"WEST BENGAL","BIRBHUM",5391,2422,47,120,8,7988
"WEST BENGAL","BURDWAN",1146,360,52,24,1,1583
"WEST BENGAL","DARJEELING",14,14,98,181,4,311
"WEST BENGAL","HAORA",5,17,302,154,3,481
"WEST BENGAL","HOOGHLY",37,8,40,120,0,205
"WEST BENGAL","JALPAIGURI",15,13,81,270,0,379
"WEST BENGAL","MALDA",175,173,26,27,0,401
"WEST BENGAL","MIDNAPORE",261,544,514,362,211,1892
"WEST BENGAL","MURSHIDABAD",1516,311,40,3,0,1870
"WEST BENGAL","NADIA",17,21,0,0,0,38
"WEST BENGAL","NORTH 24 PARGANAS",338,227,344,88,2,999
"WEST BENGAL","PURULIA",4403,16661,119,65,38,21286
"WEST BENGAL","SOUTH 24 PARGANAS",306,185,582,501,1,1575
"WEST BENGAL","UTTAR DINAJPUR",3,0,1,0,0,4
