-----
{
 "description": "The table refers to District wise Distribution of Surface Lift Schemes by Status. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "srfcliftstate5.6.csv", 
 "title": "Download CSV for Districtwise Distribution of Surface Lift Schemes by Status", 
 "url": "http://data.gov.in/sites/default/files/srfcliftstate5.6.csv"
}
-----
"State","District","In use","Not in use - Temporarily","Not in use - Salinity","Not in use - Dried up","Not in use - Sinking","Not in use - Others","Total - Not in use","Grand total ( Use  + Not in use)"
"UTTAR PRADESH","DEORIA",4,0,0,0,0,0,0,4
"UTTAR PRADESH","FARRUKHABAD",8,0,0,2,0,0,2,10
"UTTAR PRADESH","GHAZIABAD",8,0,0,0,0,0,0,8
"UTTAR PRADESH","GHAZIPUR",1,0,0,0,0,0,0,1
"UTTAR PRADESH","GONDA",22,0,0,0,0,6,6,28
"UTTAR PRADESH","HAMIRPUR",392,5,6,35,0,47,93,485
"UTTAR PRADESH","HARDOI",24,0,0,0,0,0,0,24
"UTTAR PRADESH","JALAUN",204,28,2,5,0,5,40,244
"UTTAR PRADESH","JAUNPUR",10,0,0,0,0,0,0,10
"UTTAR PRADESH","JHANSI",1008,11,1,154,0,26,192,1200
"UTTAR PRADESH","KANNAUJ",16,1,0,0,0,0,1,17
"UTTAR PRADESH","KANPUR DEHAT",5,0,0,0,0,0,0,5
"UTTAR PRADESH","KANPUR NAGAR",29,12,3,13,0,6,34,63
"UTTAR PRADESH","LALITPUR",362,8,0,60,0,1,69,431
"UTTAR PRADESH","LUCKNOW",29,0,0,0,0,0,0,29
"UTTAR PRADESH","MAHARAJ GANJ",26,0,0,0,0,0,0,26
"UTTAR PRADESH","MAHOBA",215,0,0,41,0,3,44,259
"UTTAR PRADESH","MEERUT",17,0,0,0,0,1,1,18
"UTTAR PRADESH","MIRZAPUR",262,17,0,80,0,1,98,360
"UTTAR PRADESH","MUZZAFARNAGAR",13,0,0,0,3,0,3,16
"UTTAR PRADESH","RAEBARELI",1,0,0,0,0,0,0,1
"UTTAR PRADESH","RAMPUR",18,5,0,0,0,0,5,23
"UTTAR PRADESH","SANT KABIR NAGAR",5,13,0,0,0,0,13,18
"UTTAR PRADESH","SANT RAVI DAS NAGAR",12,0,0,0,0,0,0,12
"UTTAR PRADESH","SHRAWASTI",0,0,0,0,0,13,13,13
"UTTAR PRADESH","SIDDHARTH NAGAR",66,5,0,0,0,2,7,73
"UTTAR PRADESH","SONBHADRA",804,235,20,185,2,98,540,1344
"UTTAR PRADESH","SULTANPUR",0,2,0,0,0,0,2,2
"UTTAR PRADESH","VARANASI",8,0,0,5,0,1,6,14
"UTTARANCHAL","ALMORA",61,16,0,0,0,5,21,82
"UTTARANCHAL","BAGESHWAR",37,7,2,0,0,1,10,47
"UTTARANCHAL","CHAMOLI",46,12,1,0,0,0,13,59
"UTTARANCHAL","CHAMPAWAT",12,0,0,0,0,0,0,12
"UTTARANCHAL","DEHRA DUN",32,1,0,0,0,0,1,33
"UTTARANCHAL","HARIDWAR",2,0,0,0,0,0,0,2
"UTTARANCHAL","NAINITAL",77,7,0,0,0,1,8,85
"UTTARANCHAL","PAURI",96,3,0,0,0,0,3,99
"UTTARANCHAL","PITHORAGARH",90,7,1,1,0,5,14,104
"UTTARANCHAL","RUDHARAPARYAG",14,1,0,0,0,0,1,15
"UTTARANCHAL","TEHARI GARHWAL",42,9,4,1,3,2,19,61
"UTTARANCHAL","UDHAM SINGH NAGAR",83,0,0,0,0,0,0,83
"UTTARANCHAL","UTTARKASHI",19,4,0,0,0,3,7,26
"WEST BENGAL","BANKURA",1942,94,4,10,2,38,148,2090
"WEST BENGAL","BIRBHUM",8285,475,0,8,0,19,502,8787
"WEST BENGAL","BURDWAN",4091,60,7,34,3,96,200,4291
"WEST BENGAL","COOCHBEHAR",1005,11,0,1,1,5,18,1023
"WEST BENGAL","DAKSHIN DINAJPUR",4465,49,0,5,0,31,85,4550
"WEST BENGAL","DARJEELING",95,4,1,0,0,16,21,116
"WEST BENGAL","HAORA",9325,56,0,0,0,9,65,9390
"WEST BENGAL","HOOGHLY",8764,196,10,33,1,16,256,9020
"WEST BENGAL","JALPAIGURI",780,27,3,3,0,6,39,819
"WEST BENGAL","MALDA",3989,47,0,0,0,51,98,4087
"WEST BENGAL","MIDNAPORE",32829,1527,0,0,0,0,1527,34356
"WEST BENGAL","MURSHIDABAD",1701,84,0,38,0,35,157,1858
"WEST BENGAL","NADIA",322,18,0,0,0,31,49,371
"WEST BENGAL","NORTH 24 PARGANAS",1014,12,3,4,0,0,19,1033
"WEST BENGAL","PURULIA",285,26,0,2,0,0,28,313
"WEST BENGAL","SOUTH 24 PARGANAS",24774,138,84,72,12,30,336,25110
"WEST BENGAL","UTTAR DINAJPUR",335,15,2,23,1,5,46,381
