-----
{
 "description": "The table refers to Block wise Distribution of Surface Flow Schemes in use according to Utilization of Potential Created. The report has been sourced from 3rd census of minor irrigation scheme (2000-01) from Ministry of Water Resources.", 
 "file_name": "srfcflowdistr4.13.csv", 
 "title": "Download CSV for Blockwise Distribution of Surface Flow Schemes in use according to Utilization of Potential Created", 
 "url": "http://data.gov.in/sites/default/files/srfcflowdistr4.13.csv"
}
-----
STATENAME,DISTNAME,BLOCKNAME,No. of constraints in utilisation,Constraints in utilisation - Non-filling up of storage,Constraints in utilisation - Siltation of storage,Constraints in utilisation - Breakdown of channel,Constraints in utilisation - Other reason,Total
ANDHRA PRADESH,WEST GODAVARI,BUTTAYAGUDEM,42,14,9,0,0,65
ANDHRA PRADESH,WEST GODAVARI,CHINTALAPUDI,166,0,0,0,0,166
ANDHRA PRADESH,WEST GODAVARI,DENDULURU,52,46,0,0,0,98
ANDHRA PRADESH,WEST GODAVARI,DEVARAPALLE,9,1,0,0,0,10
ANDHRA PRADESH,WEST GODAVARI,DWARAKA TIRUMALA,90,22,2,0,0,114
ANDHRA PRADESH,WEST GODAVARI,GOPALAPURAM,101,14,0,0,0,115
ANDHRA PRADESH,WEST GODAVARI,JANGAREDDIGUDEM,46,0,0,0,0,46
ANDHRA PRADESH,WEST GODAVARI,JEELUGUMILLI,2,42,0,0,0,44
ANDHRA PRADESH,WEST GODAVARI,KAMAVARAPUKOTA,175,0,0,0,0,175
ANDHRA PRADESH,WEST GODAVARI,KOVVUR,0,1,0,0,0,1
ANDHRA PRADESH,WEST GODAVARI,KOYYALAGUDEM,72,18,0,0,0,90
ANDHRA PRADESH,WEST GODAVARI,LINGAPALEM,96,0,0,0,0,96
ANDHRA PRADESH,WEST GODAVARI,NALLAJERLA,3,28,0,0,0,31
ANDHRA PRADESH,WEST GODAVARI,NIDADAVOLE,0,0,0,0,0,0
ANDHRA PRADESH,WEST GODAVARI,PEDAPADU,0,0,0,0,0,0
ANDHRA PRADESH,WEST GODAVARI,PEDAVEGI,35,63,0,0,0,98
ANDHRA PRADESH,WEST GODAVARI,POLAVARAM,7,3,8,0,0,18
ANDHRA PRADESH,WEST GODAVARI,T NARASAPURAM,87,0,0,0,0,87
ANDHRA PRADESH,WEST GODAVARI,TADEPALLIGUDEM,18,11,7,0,0,36
ANDHRA PRADESH,WEST GODAVARI,THALLAPUDI,1,2,0,0,0,3
ANDHRA PRADESH,WEST GODAVARI,UNGUTURU,25,1,16,0,0,42
ARUNACHAL PRADESH,CHANGLANG,BORDUMSA-DIYUN,2,0,0,2,7,11
ARUNACHAL PRADESH,CHANGLANG,CHANGLANG,26,3,14,10,50,103
ARUNACHAL PRADESH,CHANGLANG,KHAGAM MIAO,65,9,3,7,4,88
ARUNACHAL PRADESH,CHANGLANG,NAMPONG-MANMAO,11,7,0,11,19,48
ARUNACHAL PRADESH,DIBANG VALLEY,ANINI-ETALIN,2,0,0,3,0,5
ARUNACHAL PRADESH,DIBANG VALLEY,HUNLI KRONLI,16,0,0,1,0,17
ARUNACHAL PRADESH,DIBANG VALLEY,ROING-DAMBUK,34,0,0,2,7,43
ARUNACHAL PRADESH,EAST KAMENG,BAMENG,0,0,0,1,28,29
ARUNACHAL PRADESH,EAST KAMENG,CHIYAN-TAJO,8,0,12,3,7,30
ARUNACHAL PRADESH,EAST KAMENG,PAKKE-KESSANG,2,1,0,0,32,35
ARUNACHAL PRADESH,EAST KAMENG,SEPPA,4,0,24,1,23,52
ARUNACHAL PRADESH,EAST SIANG,BOLENG,3,0,0,262,0,265
ARUNACHAL PRADESH,EAST SIANG,MEBO,167,0,0,0,66,233
ARUNACHAL PRADESH,EAST SIANG,PASIGHAT,205,1,0,5,48,259
ARUNACHAL PRADESH,EAST SIANG,RAMLE-BANGO,52,1,0,8,22,83
ARUNACHAL PRADESH,LOHIT,HAWAI-WALLONG,3,0,0,7,1,11
ARUNACHAL PRADESH,LOHIT,HAYULIANG,1,0,0,1,5,7
ARUNACHAL PRADESH,LOHIT,NAMSAI-CHOWKHAM,7,0,0,2,0,9
ARUNACHAL PRADESH,LOHIT,TEZU-SUNPURA,2,0,0,3,1,6
ARUNACHAL PRADESH,LOHIT,WAKRO,0,0,0,0,0,0
ARUNACHAL PRADESH,LOWER SUBANSIRI,CHAMBANG,51,0,0,1,2,54
ARUNACHAL PRADESH,LOWER SUBANSIRI,DAMIN,8,0,0,6,0,14
ARUNACHAL PRADESH,LOWER SUBANSIRI,KOLORIANG,1,0,1,43,3,48
ARUNACHAL PRADESH,LOWER SUBANSIRI,NYAPIN,5,0,0,38,0,43
ARUNACHAL PRADESH,LOWER SUBANSIRI,PALIN,32,0,0,0,40,72
ARUNACHAL PRADESH,LOWER SUBANSIRI,PARSIPARLO,0,0,0,15,5,20
ARUNACHAL PRADESH,LOWER SUBANSIRI,PISTANA,11,0,0,3,74,88
ARUNACHAL PRADESH,LOWER SUBANSIRI,RAGA,0,0,0,20,3,23
ARUNACHAL PRADESH,LOWER SUBANSIRI,SANGRAM,18,0,0,2,0,20
ARUNACHAL PRADESH,LOWER SUBANSIRI,SARLI,3,0,0,27,5,35
ARUNACHAL PRADESH,LOWER SUBANSIRI,TALI,0,0,0,5,1,6
ARUNACHAL PRADESH,LOWER SUBANSIRI,YACHULI,8,0,0,0,73,81
ARUNACHAL PRADESH,LOWER SUBANSIRI,ZIRO-I,40,1,0,0,1,42
ARUNACHAL PRADESH,PAPUMPARE,KIMIN-DOIMUKH,31,11,1,7,23,73
ARUNACHAL PRADESH,PAPUMPARE,SAGALEE,22,0,0,5,73,100
ARUNACHAL PRADESH,TAWANG,LUMLA,4,0,1,41,2,48
ARUNACHAL PRADESH,TAWANG,TAWANG,6,0,0,2,0,8
ARUNACHAL PRADESH,TAWANG,THIMBU-MUKTO,1,0,0,17,1,19
ARUNACHAL PRADESH,TIRAP,NAMSANG,21,5,0,5,12,43
ARUNACHAL PRADESH,TIRAP,NIAUSA,45,0,0,5,2,52
ARUNACHAL PRADESH,TIRAP,PONGCHAU-WAKKA,0,0,4,0,1,5
ARUNACHAL PRADESH,UPPER SIANG,JENGGING,24,0,0,5,32,61
ARUNACHAL PRADESH,UPPER SIANG,MARIYANG,184,0,0,79,63,326
ARUNACHAL PRADESH,UPPER SIANG,TUTING,12,0,0,11,81,104
ARUNACHAL PRADESH,UPPER SIANG,YINGKIONG,39,0,0,0,11,50
ARUNACHAL PRADESH,UPPER SUBANSIRI,DAPORIJO,9,0,0,3,8,20
ARUNACHAL PRADESH,UPPER SUBANSIRI,DUMPORIJO,96,0,0,34,40,170
ARUNACHAL PRADESH,UPPER SUBANSIRI,GIBA,7,0,0,3,9,19
ARUNACHAL PRADESH,UPPER SUBANSIRI,NACHO,34,1,0,4,0,39
ARUNACHAL PRADESH,UPPER SUBANSIRI,TALIHA,12,0,0,4,1,17
ARUNACHAL PRADESH,WEST KAMENG,DIRANG,4,0,0,0,15,19
ARUNACHAL PRADESH,WEST KAMENG,KALAKTANG,4,0,0,0,7,11
ARUNACHAL PRADESH,WEST KAMENG,THRIZINO,2,0,0,0,7,9
ARUNACHAL PRADESH,WEST SIANG,ALONG,0,1,0,9,2,12
ARUNACHAL PRADESH,WEST SIANG,BASAR,1,0,0,2,16,19
ARUNACHAL PRADESH,WEST SIANG,GENSI,35,0,0,18,6,59
ARUNACHAL PRADESH,WEST SIANG,KAYING PAYUM,5,0,0,0,0,5
ARUNACHAL PRADESH,WEST SIANG,LIROMOBA,33,0,1,0,38,72
ARUNACHAL PRADESH,WEST SIANG,MECHUKA,0,0,0,0,0,0
ARUNACHAL PRADESH,WEST SIANG,RUMGONG,8,0,0,0,0,8
ASSAM,BARPETA,BAJALI,38,0,0,0,0,38
ASSAM,BARPETA,GOBARDHANA,0,0,0,0,2,2
ASSAM,BARPETA,JALAH,17,0,0,0,1,18
ASSAM,BONGAIGAON,BOROBAZAR,43,0,0,0,1,44
ASSAM,BONGAIGAON,MANIKPUR,0,0,0,0,0,0
ASSAM,BONGAIGAON,SIDLI- CHIRANG PT,2,0,0,0,0,2
ASSAM,CACHAR,BARJALENGA,0,2,0,0,0,2
ASSAM,CACHAR,LAKHIPUR,0,0,0,1,0,1
ASSAM,CACHAR,NARSINGPUR,0,0,0,0,0,0
ASSAM,CACHAR,PALANGHAT,0,0,0,0,8,8
ASSAM,CACHAR,SILCHAR,0,0,0,0,0,0
ASSAM,CACHAR,SONAI,0,0,0,4,3,7
ASSAM,DARRANG,BECHIMARI,12,0,0,0,0,12
ASSAM,DARRANG,BHERGAON,47,0,0,0,10,57
ASSAM,DARRANG,KALAIGAON,96,0,0,0,4,100
ASSAM,DARRANG,KHIRABARI,0,0,0,0,8,8
ASSAM,DARRANG,MAZBAT,13,0,0,0,0,13
ASSAM,DARRANG,PACHIM-MANGALDAI,15,0,0,0,0,15
ASSAM,DARRANG,PUB-MANGALDAI,0,0,0,0,9,9
ASSAM,DARRANG,SIPAJHAR,26,0,0,0,0,26
ASSAM,DARRANG,UDALGURI,16,0,0,0,8,24
ASSAM,DHUBRI,DEBITOLA,6,0,0,0,0,6
ASSAM,DHUBRI,MANKACHAR,0,0,0,0,62,62
ASSAM,GOALPARA,DUDHNAI,2,0,0,0,0,2
ASSAM,GOALPARA,JALESWAR,5,0,0,0,2,7
ASSAM,GOALPARA,KUSHDHAWA,1,4,1,16,18,40
ASSAM,GOALPARA,LAKHIPUR,3,0,0,0,0,3
ASSAM,GOLAGHAT,GAMARIGURI,2,0,0,0,0,2
ASSAM,HAILAKANDI,ALGAPUR,0,0,0,0,1,1
ASSAM,HAILAKANDI,HAILAKANDI,0,0,0,0,0,0
ASSAM,JORHAT,JORHAT CENTRAL,1,0,0,0,0,1
ASSAM,JORHAT,KALIAPANI,0,0,0,0,1,1
ASSAM,JORHAT,TITABAR,34,0,0,0,4,38
ASSAM,KAMRUP,BOKO BONGAON,1,0,0,0,5,6
ASSAM,KAMRUP,BONGAON,0,0,0,0,2,2
ASSAM,KAMRUP,CHANDRAPUR,2,0,0,0,0,2
ASSAM,KAMRUP,CHHAYGAON,0,0,0,0,1,1
ASSAM,KAMRUP,DIMORIA,0,0,0,0,1,1
ASSAM,KAMRUP,RANI,0,0,0,0,30,30
ASSAM,KARBIANGLONG,AMRI,0,0,0,0,10,10
ASSAM,KARBIANGLONG,BOKAJAN,0,0,0,0,6,6
ASSAM,KARBIANGLONG,CHINTHONG,0,0,0,0,3,3
ASSAM,KARBIANGLONG,HOWRAGHAT,0,0,0,0,16,16
ASSAM,KARBIANGLONG,LONGSOMEPI,0,0,0,0,8,8
ASSAM,KARBIANGLONG,LUMBATANG,0,0,0,0,2,2
ASSAM,KARBIANGLONG,NILIP,0,0,0,0,57,57
ASSAM,KARBIANGLONG,RONGKHAG,0,0,0,0,63,63
ASSAM,KARBIANGLONG,RONGMONGWAY,0,0,0,0,67,67
ASSAM,KARBIANGLONG,SOCHENG,0,0,0,0,9,9
ASSAM,KARBIANGLONG,SOMILANGSO,0,0,0,0,25,25
ASSAM,KARIMGANJ,PATHERKANDI,0,0,0,0,0,0
ASSAM,KOKRAJHAR,DOTOMA,11,3,2,72,18,106
ASSAM,KOKRAJHAR,KACHUGAON,6,1,0,0,4,11
ASSAM,KOKRAJHAR,KOKRAJHAR,5,0,0,2,2,9
ASSAM,KOKRAJHAR,SIDLI-CHIRANG PT,24,1,7,2,25,59
ASSAM,LAKHIMPUR,DHAKUAKHANA,0,0,0,0,0,0
ASSAM,LAKHIMPUR,NARAYANPUR,3,0,0,5,0,8
ASSAM,MORIGAON,BHUR- BANDHA,0,0,0,0,1,1
ASSAM,MORIGAON,MAYONG,1,0,0,0,0,1
ASSAM,NAGOAN,BARHAMPUR,2,0,0,0,0,2
ASSAM,NAGOAN,BINNAKANDI,0,0,0,0,4,4
ASSAM,NAGOAN,KALIABOR,0,0,0,0,1,1
ASSAM,NAGOAN,KATHITOLI,5,0,0,0,1,6
ASSAM,NAGOAN,KHAGARIJAN,0,0,0,1,0,1
ASSAM,NAGOAN,LIMDING DEV,5,0,0,0,0,5
ASSAM,NAGOAN,RAHA,3,0,0,0,0,3
ASSAM,NALBARI,BASKA,0,0,0,1,4,5
ASSAM,NALBARI,DHAMDHAMA,3,0,0,17,2,22
ASSAM,NALBARI,TAMULPUR,0,0,0,0,0,0
ASSAM,NC HILLS,DIYANG VELLEY,73,0,0,0,0,73
ASSAM,NC HILLS,DIYUNGBRA,48,0,1,0,4,53
ASSAM,NC HILLS,HARANGAJAO,70,0,0,0,1,71
ASSAM,NC HILLS,JATINGA VALLEY,55,0,0,0,0,55
ASSAM,NC HILLS,NEW SANGBAR,18,0,0,0,1,19
ASSAM,SIBSAGAR,DEMOW,0,0,0,0,0,0
ASSAM,SIBSAGAR,LAKWA,0,0,0,0,0,0
ASSAM,SIBSAGAR,NAZIRA,0,0,0,1,2,3
ASSAM,SIBSAGAR,SEPEKHATI,0,0,0,0,1,1
ASSAM,SIBSAGAR,SIBSAGAR,0,0,0,0,0,0
ASSAM,SONITPUR,BAGHMARA,0,0,0,0,3,3
ASSAM,SONITPUR,BALIPARA,0,1,0,0,0,1
ASSAM,SONITPUR,BEHELI,0,0,0,0,2,2
ASSAM,SONITPUR,BORCHALA,0,0,0,0,1,1
ASSAM,SONITPUR,CHATIA,1,0,0,0,0,1
ASSAM,SONITPUR,DHEKIAJULI,0,0,0,0,4,4
ASSAM,SONITPUR,NADUAR,8,0,0,0,0,8
ASSAM,SONITPUR,PUB-CHAIDUAR,0,0,0,0,1,1
ASSAM,SONITPUR,SOKAMATHA,0,0,0,0,4,4
BIHAR,ARARIA,BHARGAMA,20,31,6,57,0,114
BIHAR,AURANGABAD,AURANGABAD,0,6,27,22,2,57
BIHAR,AURANGABAD,BARUN,0,2,0,0,6,8
BIHAR,AURANGABAD,DEO,0,111,31,48,2,192
BIHAR,AURANGABAD,GOH,0,19,5,23,3,50
BIHAR,AURANGABAD,HASPURA,0,0,17,0,0,17
BIHAR,AURANGABAD,KUTUMBA,0,0,0,30,0,30
BIHAR,AURANGABAD,MADANPUR,0,26,246,164,3,439
BIHAR,AURANGABAD,NABINAGAR,0,29,42,156,1,228
BIHAR,AURANGABAD,OBRA,0,0,3,0,0,3
BIHAR,AURANGABAD,RAFIGANAJ,0,13,154,60,0,227
BIHAR,BANKA,AMARPUR,0,0,7,190,3,200
BIHAR,BANKA,BANKA,21,2,2,46,0,71
BIHAR,BANKA,BARAHAT,0,2,41,127,0,170
BIHAR,BANKA,BELHAR,40,1,3,32,0,76
BIHAR,BANKA,BOUNSI,28,24,96,23,8,179
BIHAR,BANKA,CHANAN,0,47,87,6,12,152
BIHAR,BANKA,DHORAIYA,0,82,84,44,0,210
BIHAR,BANKA,KATORIYA,0,381,128,87,3,599
BIHAR,BANKA,PHULLIDUMER,1,1,128,0,0,130
BIHAR,BANKA,RAJOUN,10,0,110,49,3,172
BIHAR,BANKA,SAMBHUGANJ,12,1,147,26,1,187
BIHAR,BEGUSARAI,BACHHAWARA,25,75,2,0,0,102
BIHAR,BEGUSARAI,BAKHRI,0,0,0,0,0,0
BIHAR,BEGUSARAI,GADHPURA,0,2,0,0,0,2
BIHAR,BEGUSARAI,S.KAMAL,3,0,0,0,12,15
BIHAR,BHAGALPUR,GOURADIH,53,0,2,4,0,59
BIHAR,BHAGALPUR,JAGDISHPUR,1,16,3,4,3,27
BIHAR,BHAGALPUR,KHARIK,0,0,0,0,0,0
BIHAR,BHAGALPUR,PIRPAINTY,4,0,1,13,0,18
BIHAR,BHAGALPUR,SANHAULA,190,13,96,8,5,312
BIHAR,BHAGALPUR,SHAHKUND,0,1,11,41,2,55
BIHAR,BHAGALPUR,SULTANGANJ,0,0,0,0,1,1
BIHAR,BHOJPUR,JAGDISHPUR,2,0,0,6,0,8
BIHAR,BHOJPUR,PIRO,19,1,1,0,15,36
BIHAR,BHOJPUR,SAHAR,14,1,0,0,0,15
BIHAR,BHOJPUR,SANDESH,30,0,0,0,0,30
BIHAR,BHOJPUR,UDWANTNAGAR,1,2,1,0,0,4
BIHAR,BUXAR,ITARHI,0,0,0,0,65,65
BIHAR,BUXAR,NAWANAGAR,0,0,4,0,0,4
BIHAR,EAST CHAMPARAN,CHIRIYA,9,23,0,0,0,32
BIHAR,EAST CHAMPARAN,KALYANPUR,1,0,0,0,0,1
BIHAR,GAYA,AMAS,164,35,6,3,17,225
BIHAR,GAYA,ATRI,225,0,7,0,0,232
BIHAR,GAYA,BANKE BAZAR,133,8,7,9,0,157
BIHAR,GAYA,BARACHATTY,118,51,50,16,0,235
BIHAR,GAYA,BATHANI,30,11,73,4,0,118
BIHAR,GAYA,BELAGANJ,47,3,33,4,21,108
BIHAR,GAYA,BODHGAYA,34,35,35,0,0,104
BIHAR,GAYA,DOBHI,112,19,12,1,0,144
BIHAR,GAYA,DUMARIYA,305,37,22,4,5,373
BIHAR,GAYA,FATEHPUR,572,1,95,30,32,730
BIHAR,GAYA,GAYA NAGAR,22,68,27,0,0,117
BIHAR,GAYA,GURARU,164,13,4,61,59,301
BIHAR,GAYA,GURUA,242,1,180,8,6,437
BIHAR,GAYA,IMAMGANJ,374,0,8,115,0,497
BIHAR,GAYA,KHIZARSARAI,125,11,35,0,0,171
BIHAR,GAYA,KONCH,117,12,36,19,0,184
BIHAR,GAYA,MANPUR,60,44,34,0,3,141
BIHAR,GAYA,MOHANPUR,30,33,531,16,0,610
BIHAR,GAYA,PARAIYA,117,42,10,0,0,169
BIHAR,GAYA,SHERGHATTY,239,18,21,1,0,279
BIHAR,GAYA,TANKUPPA,8,57,207,133,0,405
BIHAR,GAYA,TEKARI,190,5,5,0,0,200
BIHAR,GAYA,WAZIRGANJ,93,140,276,49,7,565
BIHAR,GOPAALGANJ,BAIKUNTHPUR,0,0,0,0,1,1
BIHAR,GOPAALGANJ,BARAULI,0,0,0,0,1,1
BIHAR,GOPAALGANJ,BIJAIPUR,0,0,0,0,0,0
BIHAR,GOPAALGANJ,HATHUA,0,0,0,0,2,2
BIHAR,GOPAALGANJ,MANJHA,0,1,0,0,2,3
BIHAR,GOPAALGANJ,PHULWARIYA,0,0,0,0,0,0
BIHAR,JAMUI,ALIGANJ,0,0,20,0,186,206
BIHAR,JAMUI,BARHAT,0,0,0,0,4,4
BIHAR,JAMUI,CHAKAI,528,29,28,110,0,695
BIHAR,JAMUI,GHIDHOR,0,12,10,0,16,38
BIHAR,JAMUI,JAMUI,180,24,34,42,5,285
BIHAR,JAMUI,JHAJHA,25,30,17,25,0,97
BIHAR,JAMUI,KHAIRA,1,59,153,13,0,226
BIHAR,JAMUI,LAXMIPUR,251,0,0,3,1,255
BIHAR,JAMUI,SIKANDARA,196,161,0,14,0,371
BIHAR,JAMUI,SONO,67,92,88,16,9,272
BIHAR,JEHANABAD,ARWAL,6,0,15,3,0,24
BIHAR,JEHANABAD,GHOSHI,1,9,13,11,3,37
BIHAR,JEHANABAD,HULASGANJ,13,0,13,13,1,40
BIHAR,JEHANABAD,JEHANABAD,17,0,64,28,0,109
BIHAR,JEHANABAD,KAKO,25,6,9,2,0,42
BIHAR,JEHANABAD,KARPI,2,3,3,1,2,11
BIHAR,JEHANABAD,KURTHA,0,0,0,0,0,0
BIHAR,JEHANABAD,MAKHDUMPUR,57,51,4,13,0,125
BIHAR,JEHANABAD,MODANGANJ,0,1,34,9,1,45
BIHAR,JEHANABAD,RATNI,17,33,13,1,0,64
BIHAR,KAIMUR (BHABUA),ADHAURA,1,32,18,8,1,60
BIHAR,KAIMUR (BHABUA),BHABUA,55,1038,24,0,0,1117
BIHAR,KAIMUR (BHABUA),BHAGWANPUR,2,0,0,0,0,2
BIHAR,KAIMUR (BHABUA),CHAINPUR,0,12,0,39,1,52
BIHAR,KAIMUR (BHABUA),CHAND,7,17,13,0,0,37
BIHAR,KAIMUR (BHABUA),MOHANIA,0,0,2,0,0,2
BIHAR,KAIMUR (BHABUA),NUAON,9,8,8,9,0,34
BIHAR,KAIMUR (BHABUA),RAMGARH,19,4,0,0,0,23
BIHAR,KAIMUR (BHABUA),RAMPUR,2,0,1,0,0,3
BIHAR,KATIHAR,AZAMNAGAR,1,0,0,0,0,1
BIHAR,LAKHISARAI,BARHIYA,0,0,0,0,0,0
BIHAR,LAKHISARAI,HALSI,0,0,39,0,2,41
BIHAR,LAKHISARAI,LAKHISARAI,0,15,0,1,66,82
BIHAR,LAKHISARAI,PIPARYA,0,0,0,0,5,5
BIHAR,LAKHISARAI,RAMGHAR CHOK,0,0,5,0,35,40
BIHAR,LAKHISARAI,SURYAGARAH,0,0,17,9,57,83
BIHAR,MADHEPURA,SINGHESHWAR,0,0,0,0,1,1
BIHAR,MADHUBANI,BABUBARHI,0,0,10,0,0,10
BIHAR,MADHUBANI,BASOPATTI,6,346,0,0,1,353
BIHAR,MADHUBANI,GHOGHARDIHA,0,0,0,0,0,0
BIHAR,MADHUBANI,JAYNAGAR,0,0,0,0,1,1
BIHAR,MADHUBANI,JHANJHARPUR,3,0,0,0,0,3
BIHAR,MADHUBANI,KHUTAUNA,1,0,2,0,0,3
BIHAR,MADHUBANI,LAUKHI,0,3,0,0,38,41
BIHAR,MADHUBANI,MADHWAPUR,0,0,10,0,0,10
BIHAR,MADHUBANI,RAJNAGAR,0,0,0,0,4,4
BIHAR,MADHUBANI,ROHIKA,1,0,0,0,0,1
BIHAR,MUNGER,DHARAHARA,35,0,0,3,0,38
BIHAR,MUNGER,HAWALI KHAGARHPUR,15,9,45,3,2,74
BIHAR,MUNGER,SANGRAMPUR,1,0,0,1,0,2
BIHAR,MUNGER,TARAPUR,2,2,1,0,0,5
BIHAR,MUNGER,TATIA BAMBAR,8,0,13,2,20,43
BIHAR,MUZAFFARPUR,AURAI,0,0,0,0,0,0
BIHAR,MUZAFFARPUR,MOTIPUR,6,17,0,0,0,23
BIHAR,NALANDA,ASTHAWAN,4,0,0,0,0,4
BIHAR,NALANDA,BEN,18,0,0,0,0,18
BIHAR,NALANDA,BIND,3,0,0,0,1,4
BIHAR,NALANDA,CHANDI,3,0,0,0,0,3
BIHAR,NALANDA,EKANGARSARAI,7,0,0,0,0,7
BIHAR,NALANDA,GIRIYAK,19,0,0,0,0,19
BIHAR,NALANDA,HARNAUT,5,0,3,0,0,8
BIHAR,NALANDA,HILSA,78,0,0,0,3,81
BIHAR,NALANDA,ISLAMPUR,3,0,0,0,0,3
BIHAR,NALANDA,KARAIPARSURAI,13,0,0,0,0,13
BIHAR,NALANDA,KATRISARAI,2,0,0,0,0,2
BIHAR,NALANDA,NOORSARAI,0,0,0,0,0,0
BIHAR,NALANDA,PARWALPUR,38,16,2,0,0,56
BIHAR,NALANDA,RAJGIR,19,0,0,0,0,19
BIHAR,NALANDA,SILAO,1,0,0,0,0,1
BIHAR,NAWADA,AKBARPUR,0,61,3,162,0,226
BIHAR,NAWADA,GOVINDPUR,0,33,23,101,2,159
BIHAR,NAWADA,HASUA,0,8,82,0,6,96
BIHAR,NAWADA,KASHICHAK,0,13,0,0,42,55
BIHAR,NAWADA,KAWAKOLE,1,0,4,76,6,87
BIHAR,NAWADA,MESKAUR,0,23,190,45,0,258
BIHAR,NAWADA,NARDIGUNJ,0,2,0,51,0,53
BIHAR,NAWADA,NARHAT,0,2,5,2,24,33
BIHAR,NAWADA,NAWADA,0,39,35,48,3,125
BIHAR,NAWADA,PAKRIBRAWAN,0,16,0,17,30,63
BIHAR,NAWADA,RAJAULI,0,74,8,52,1,135
BIHAR,NAWADA,ROH,0,1,40,1,5,47
BIHAR,NAWADA,SIRDALA,0,2,12,27,0,41
BIHAR,NAWADA,WARISALIGUNJ,0,0,17,93,0,110
BIHAR,PATNA,MASAURHI,0,54,0,0,0,54
BIHAR,PATNA,PALIGANJ,0,148,0,0,10,158
BIHAR,PATNA,PUNPUN,0,0,0,0,0,0
BIHAR,ROHTAS(SASARAM),CHENARI,19,28,33,12,20,112
BIHAR,ROHTAS(SASARAM),ROHTAS,3,19,1,0,0,23
BIHAR,ROHTAS(SASARAM),SASARAM,28,1,71,0,15,115
BIHAR,ROHTAS(SASARAM),SHEOSAGAR,15,39,78,2,14,148
BIHAR,SARAN,GARKHA,6,0,0,1,0,7
BIHAR,SARAN,MAKER,0,0,0,4,0,4
BIHAR,SARAN,TRAIYA,6,0,0,0,0,6
BIHAR,SHEKHPURA,ARIYARI,2,11,52,3,4,72
BIHAR,SHEKHPURA,BARBIGHA,0,6,10,0,0,16
BIHAR,SHEKHPURA,CHEWARA,0,0,0,0,0,0
BIHAR,SHEKHPURA,GHAT KUSUMBHA,1,0,1,0,0,2
BIHAR,SHEKHPURA,SHEKHOPURA SARAI,0,3,3,0,1,7
BIHAR,SHEKHPURA,SHEKHPURA,9,0,6,13,0,28
BIHAR,SITAMARHI,PUPARI,0,0,0,0,0,0
BIHAR,SITAMARHI,RUNNISAIDPUR,10,0,1,2,1,14
BIHAR,SITAMARHI,SONWARSA,0,0,0,0,2,2
BIHAR,SIWAN,BARHARIA,0,0,0,0,18,18
BIHAR,SIWAN,DARAULI,0,0,0,0,37,37
BIHAR,SIWAN,GOREAKOTHI,0,0,0,0,1,1
BIHAR,SIWAN,RAGHUNATHPUR,0,0,0,0,4,4
BIHAR,SUPAUL,MARAUNA,1,0,0,0,0,1
BIHAR,SUPAUL,TRIVENIGANJ,74,0,0,0,0,74
BIHAR,VAISHALI,BHAGWANPUR,0,0,1,0,0,1
BIHAR,VAISHALI,PATEDHI BELSAR,0,0,0,0,0,0
BIHAR,WEST CHAMPARAN,CHANPATIA,0,0,7,0,0,7
BIHAR,WEST CHAMPARAN,GAUNAHA,0,0,0,160,0,160
BIHAR,WEST CHAMPARAN,LAURIA,0,0,0,0,0,0
BIHAR,WEST CHAMPARAN,NARKATIAGANJ,0,0,0,17,0,17
BIHAR,WEST CHAMPARAN,SIDHAW,0,3,0,1,0,4
BIHAR,WEST CHAMPARAN,THAKRAHA,0,0,0,15,0,15
CHHATTISGARH,BASTER,JAGDALPUR,0,48,1,203,1375,1627
CHHATTISGARH,BASTER,KESHKAL,0,0,0,2,128,130
CHHATTISGARH,BASTER,KONDAGAON,0,9,1,22,48,80
CHHATTISGARH,BASTER,NARAYANPUR,0,0,0,0,23,23
CHHATTISGARH,BILASPUR,BELHA,12,57,3,0,237,309
CHHATTISGARH,BILASPUR,BILASPUR,14,0,0,0,52,66
CHHATTISGARH,BILASPUR,KOTA,9,25,0,0,159,193
CHHATTISGARH,BILASPUR,LORMI,2,1,0,0,33,36
CHHATTISGARH,BILASPUR,MASTURI,4,0,0,0,32,36
CHHATTISGARH,BILASPUR,MUNGELI,1,0,0,0,13,14
CHHATTISGARH,BILASPUR,PENDRA-ROAD,6,2,0,0,689,697
CHHATTISGARH,BILASPUR,TAKHATPUR,1,2,0,0,57,60
CHHATTISGARH,DANTEWADA,BEEJAPUR,0,0,0,6,49,55
CHHATTISGARH,DANTEWADA,BHOPALPATNAM,0,34,3,7,85,129
CHHATTISGARH,DANTEWADA,DANTEVADA,0,0,0,8,4,12
CHHATTISGARH,DANTEWADA,KONTA,0,0,0,2,18,20
CHHATTISGARH,DHAMTARI,DHAMTARI,0,0,0,0,1,1
CHHATTISGARH,DHAMTARI,KURUD,0,0,0,0,22,22
CHHATTISGARH,DHAMTARI,NAGARI,0,5,2,6,42,55
CHHATTISGARH,DURG,BALOD,0,42,2,6,12,62
CHHATTISGARH,DURG,BEMETARA,1,19,0,0,7,27
CHHATTISGARH,DURG,BERLA,0,1,1,3,60,65
CHHATTISGARH,DURG,DHMADHA,0,38,0,1,13,52
CHHATTISGARH,DURG,DONDILOHAR,1,22,0,1,18,42
CHHATTISGARH,DURG,DURG,0,2,0,0,9,11
CHHATTISGARH,DURG,GUNDERDEHI,0,11,0,1,9,21
