-----
{
 "description": "The table refers to District wise Surface Flow Schemes in the command of Major/Medium Projects and Supplimentary Irrigation. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "srfcflowstate4.11.csv", 
 "title": "Download CSV for Districtwise Surface Flow Schemes in the command of Major/Medium Projects and Supplimentary Irrigation", 
 "url": "http://data.gov.in/sites/default/files/srfcflowstate4.11.csv"
}
-----
"State","District","Location of Tubewell (Nos) - Inside Command","Location of Tubewell (Nos) - Outside Command","Augmentation","Total","Supplementary Irrigation (Ha) - Kharif","Supplementary Irrigation (Ha) - Rabi","Supplementary Irrigation (Ha) - Perennial","Supplementary Irrigation (Ha) - Others","Total.1"
"PUNJAB","HOSHIARPUR",0,40,0,40,63,65,2,0,129
"PUNJAB","MOGA",6,14,0,20,11,12,0,0,23
"PUNJAB","PATIALA",0,34,0,34,0,0,0,0,0
"PUNJAB","ROPAR",53,1811,2,1866,8,27,0,0,35
"RAJASTHAN","AJMER",9,942,0,951,0,0,0,0,0
"RAJASTHAN","ALWAR",4,1,0,5,0,0,0,0,0
"RAJASTHAN","BANSWARA",50,90,3,143,0,66,0,8,74
"RAJASTHAN","BARAN",18,98,0,116,0,87,0,0,87
"RAJASTHAN","BHARATPUR",1,3,0,4,0,0,0,0,0
"RAJASTHAN","BHILWARA",47,443,1,491,0,0,0,0,0
"RAJASTHAN","BUNDI",58,26,0,84,0,0,0,6,6
"RAJASTHAN","CHITTORGARH",4,83,0,87,0,0,0,0,0
"RAJASTHAN","DAUSA",0,9,0,9,0,0,0,0,0
"RAJASTHAN","DHOLPUR",5,70,0,75,0,0,0,0,0
"RAJASTHAN","DUNGARPUR",4,36,0,40,0,0,0,0,0
"RAJASTHAN","JAIPUR",1,17,0,18,0,0,0,0,0
"RAJASTHAN","JAISALMER",0,1,0,1,0,0,0,0,0
"RAJASTHAN","JALORE",10,0,0,10,0,0,0,0,0
"RAJASTHAN","JHALAWAR",12,25,0,37,0,78,0,0,78
"RAJASTHAN","JHUNJHUNU",0,4,0,4,0,0,0,0,0
"RAJASTHAN","KAROLI",4,176,0,180,0,0,0,0,0
"RAJASTHAN","KOTA",2,25,5,32,0,0,0,0,0
"RAJASTHAN","NAGAUR",2,3,0,5,0,0,0,0,0
"RAJASTHAN","PALI",12,30,0,42,0,0,0,0,0
"RAJASTHAN","RAJSAMAND",5,69,1,75,0,0,0,0,0
"RAJASTHAN","SAWAI MADHOPUR",1,71,0,72,0,0,0,0,0
"RAJASTHAN","SIROHI",10,21,0,31,0,0,0,0,0
"RAJASTHAN","TONK",38,402,0,440,0,0,0,0,0
"RAJASTHAN","UDAIPUR",34,118,1,153,0,0,0,0,0
"SIKKIM","EAST",0,436,0,436,0,0,0,0,0
"SIKKIM","NORTH",0,83,0,83,0,0,0,0,0
"SIKKIM","SOUTH",0,276,1,277,0,0,0,0,0
"SIKKIM","WEST",0,280,0,280,0,0,0,0,0
"TAMIL NADU","COIMBATORE",75,251,2,328,2,17,119,0,138
"TAMIL NADU","CUDDALORE",126,781,1,908,350,150,0,0,500
"TAMIL NADU","DHARMAPURI",89,2485,25,2599,95,224,24,3,346
"TAMIL NADU","DINDIGUL",68,3449,40,3557,76,34,19,14,143
"TAMIL NADU","ERODE",62,784,0,846,289,0,32,0,321
"TAMIL NADU","KANCHEEPURAM",438,1690,450,2578,1673,1176,88,162,3099
"TAMIL NADU","KANYAKUMARI",262,3039,0,3301,1303,1303,63,5,2674
"TAMIL NADU","KARUR",44,1005,23,1072,16,118,10,7,151
"TAMIL NADU","MADURAI",14,2503,2,2519,2,60,91,0,153
"TAMIL NADU","NAGAPATTINAM",0,1,0,1,0,0,0,0,0
"TAMIL NADU","NAMAKKAL",1,556,0,557,0,0,0,6,6
"TAMIL NADU","NILGIRIS",4,515,1,520,4,0,16,0,21
"TAMIL NADU","PERAMBALUR",51,1084,4,1139,4,52,0,0,56
"TAMIL NADU","PUDUKKOTTAI",8,4826,69,4903,9,59,0,4,72
"TAMIL NADU","RAMANATHAPURAM",3,1639,52,1694,0,132,0,0,132
"TAMIL NADU","SALEM",6,349,0,355,2,0,0,0,2
"TAMIL NADU","SIVAGANGA",55,4031,199,4285,37,225,1,0,264
"TAMIL NADU","THANJAVUR",219,89,1,309,8689,20199,141,139,29168
"TAMIL NADU","THENI",0,299,0,299,0,0,0,0,0
"TAMIL NADU","THIRUVALLUR",1,1953,268,2222,1,0,0,0,1
"TAMIL NADU","THIRUVARUR",4,15,0,19,213,32,9,1,255
"TAMIL NADU","TIRUCHIRAPPALLI",7,1011,3,1021,3,364,0,0,368
"TAMIL NADU","TIRUNELVELI",112,2336,9,2457,1870,1770,166,212,4017
"TAMIL NADU","TIRUVANNAMALAI",454,2129,550,3133,59,30,13,216,319
"TAMIL NADU","TUTICORIN DISTRICT",11,1512,63,1586,0,131,0,0,131
"TAMIL NADU","VELLORE",19,1268,9,1296,204,245,44,93,587
"TAMIL NADU","VILLUPPURAM",3,1419,18,1440,0,378,0,0,378
"TAMIL NADU","VIRUDHUNAGAR",3,639,13,655,0,196,0,0,196
"TRIPURA","DHALAI",0,13,0,13,0,0,0,0,0
"TRIPURA","NORTH TRIPURA",4,140,0,144,12,15,3,4,33
"TRIPURA","SOUTH TRIPURA",24,464,1,489,266,399,17,26,707
"TRIPURA","WEST TRIPURA",60,226,4,290,889,1345,0,15,2249
"UTTAR PRADESH","ALIGARH",34,5,0,39,0,0,0,0,0
"UTTAR PRADESH","ALLAHABAD",285,204,4,493,272,492,403,302,1469
"UTTAR PRADESH","BAGHPAT",2,0,0,2,0,0,0,0,0
"UTTAR PRADESH","BAHARAICH",3,0,0,3,0,0,0,0,0
"UTTAR PRADESH","BANDA",34,190,14,238,0,68,51,0,119
"UTTAR PRADESH","BAREILLY",251,164,0,415,188,189,325,211,913
"UTTAR PRADESH","BASTI",0,0,5,5,0,0,0,0,0
"UTTAR PRADESH","BULAND SAHAR",13,1,0,14,0,0,0,0,0
"UTTAR PRADESH","CHANDAULI",99,13,0,112,26,27,3,0,57
"UTTAR PRADESH","CHITRAKOOT",215,257,0,472,83,173,0,0,257
"UTTAR PRADESH","DEORIA",0,10,0,10,0,0,0,0,0
"UTTAR PRADESH","FATEHPUR",30,1,0,31,0,0,0,0,0
"UTTAR PRADESH","GHAZIABAD",81,22,0,103,128,168,237,32,565
"UTTAR PRADESH","GORAKHPUR",1,0,0,1,0,0,0,0,0
"UTTAR PRADESH","HAMIRPUR",235,141,1,377,36,28,19,0,82
"UTTAR PRADESH","JALAUN",429,173,0,602,0,53,0,0,53
"UTTAR PRADESH","JAUNPUR",0,6,0,6,0,0,0,0,0
"UTTAR PRADESH","JHANSI",298,501,20,819,0,19,0,0,19
"UTTAR PRADESH","KANNAUJ",14,2,0,16,6,2,0,0,8
"UTTAR PRADESH","KANPUR DEHAT",14,13,0,27,0,0,0,0,0
"UTTAR PRADESH","KANPUR NAGAR",4,0,0,4,0,0,0,0,0
"UTTAR PRADESH","KAUSHAMBI",0,2,0,2,0,0,0,0,0
"UTTAR PRADESH","LALITPUR",174,342,20,536,0,0,0,0,0
"UTTAR PRADESH","LUCKNOW",1,0,0,1,0,0,0,0,0
"UTTAR PRADESH","MAHARAJ GANJ",10,90,0,100,0,0,0,0,0
"UTTAR PRADESH","MAHOBA",47,12,0,59,0,19,0,0,19
"UTTAR PRADESH","MEERUT",1,0,0,1,0,0,0,0,0
"UTTAR PRADESH","MIRZAPUR",96,66,2,164,146,148,236,120,650
"UTTAR PRADESH","MORADABAD",12,1,0,13,0,0,0,0,0
"UTTAR PRADESH","MUZZAFARNAGAR",0,15,0,15,0,0,0,0,0
"UTTAR PRADESH","RAMPUR",0,4,0,4,0,0,0,0,0
"UTTAR PRADESH","SAHARANPUR",0,1,0,1,0,0,0,0,0
"UTTAR PRADESH","SANT KABIR NAGAR",18,9,0,27,75,75,25,14,189
"UTTAR PRADESH","SANT RAVI DAS NAGAR",2,0,0,2,0,0,0,0,0
"UTTAR PRADESH","SHRAWASTI",0,13,0,13,0,0,0,0,0
"UTTAR PRADESH","SIDDHARTH NAGAR",4,37,1,42,189,191,1,0,381
"UTTAR PRADESH","SONBHADRA",813,652,32,1497,341,341,101,101,885
"UTTAR PRADESH","VARANASI",4,29,0,33,2,2,2,2,8
"UTTARANCHAL","ALMORA",9,3333,4,3346,0,0,0,0,0
"UTTARANCHAL","BAGESHWAR",79,1472,7,1558,0,0,0,0,0
"UTTARANCHAL","CHAMOLI",16,1603,2,1621,0,0,0,0,0
"UTTARANCHAL","CHAMPAWAT",34,763,30,827,2,0,0,0,2
"UTTARANCHAL","DEHRA DUN",62,790,15,867,276,258,66,0,599
"UTTARANCHAL","HARIDWAR",4,15,0,19,208,123,331,88,752
"UTTARANCHAL","NAINITAL",47,3110,4,3161,5,6,0,0,11
"UTTARANCHAL","PAURI",257,2311,43,2611,638,678,1,3,1321
"UTTARANCHAL","PITHORAGARH",52,3307,57,3416,1128,756,43,3,1931
"UTTARANCHAL","RUDHARAPARYAG",168,559,16,743,34,30,26,0,90
"UTTARANCHAL","TEHARI GARHWAL",24,4753,0,4777,10,3,0,0,14
"UTTARANCHAL","UDHAM SINGH NAGAR",31,450,2,483,153,153,123,10,438
"UTTARANCHAL","UTTARKASHI",36,1949,112,2097,0,0,0,0,0
"WEST BENGAL","BANKURA",9501,5268,0,14769,5822,1375,2,758,7957
"WEST BENGAL","BIRBHUM",6388,1600,0,7988,740,95,6,180,1020
"WEST BENGAL","BURDWAN",991,592,0,1583,1137,222,0,17,1375
"WEST BENGAL","DARJEELING",19,292,0,311,0,0,0,0,0
"WEST BENGAL","HAORA",73,408,0,481,30,0,0,226,256
"WEST BENGAL","HOOGHLY",5,200,0,205,54,0,0,16,70
"WEST BENGAL","JALPAIGURI",17,362,0,379,25,25,5,0,55
"WEST BENGAL","MALDA",0,401,0,401,0,0,0,0,0
"WEST BENGAL","MIDNAPORE",364,1528,0,1892,859,23,0,222,1105
"WEST BENGAL","MURSHIDABAD",1788,82,0,1870,5,149,0,2,156
"WEST BENGAL","NADIA",0,38,0,38,0,0,0,0,0
"WEST BENGAL","NORTH 24 PARGANAS",8,991,0,999,0,0,0,0,0
"WEST BENGAL","PURULIA",327,20959,0,21286,345,90,2,44,481
"WEST BENGAL","SOUTH 24 PARGANAS",0,1575,0,1575,452,558,665,0,1674
"WEST BENGAL","UTTAR DINAJPUR",0,4,0,4,0,0,0,0,0
