-----
{
 "description": "The table refers to Block wise Distribution of Surface Lift Schemes according to Horse Power of Lifting Device. The report has been sourced from 3rd census of minor irrigation scheme (2000-01) from Ministry of Water Resources.", 
 "file_name": "srfcliftdistr5.10.csv", 
 "title": "Download CSV for Blockwise Distribution of Surface Lift Schemes according to Horse Power of Lifting Device", 
 "url": "http://data.gov.in/sites/default/files/srfcliftdistr5.10.csv"
}
-----
STATENAME,DISTNAME,BLOCKNAME,Horse Power (0-2),Horse Power (2 - 4),Horse Power (4 - 6),Horse Power (6 -8),Horse Power (8 - 10),Horse Power (Above 10),Unspecified,Total
MAHARASHTRA,SANGLI,WALWA,10,518,1980,200,194,271,71,3244
MAHARASHTRA,SATARA,JAOLI,0,4,37,4,17,18,0,80
MAHARASHTRA,SATARA,KARAD,1,41,442,9,125,118,0,736
MAHARASHTRA,SATARA,KOREGAON,0,14,25,14,19,6,1,79
MAHARASHTRA,SATARA,MAHABALESHWAR,0,0,0,0,1,2,1,4
MAHARASHTRA,SATARA,PATAN,0,41,2001,23,69,41,0,2175
MAHARASHTRA,SATARA,PHALTAN,1,790,316,9,323,1,0,1440
MAHARASHTRA,SATARA,SATARA,0,10,1858,0,4,11,0,1883
MAHARASHTRA,SATARA,WAI,0,6,39,4,3,11,0,63
MAHARASHTRA,SINDHUDURGA,DEVGAD,29,18,26,6,7,0,0,86
MAHARASHTRA,SINDHUDURGA,KANKAVLI,45,82,97,7,16,4,0,251
MAHARASHTRA,SINDHUDURGA,KUDAL,1108,369,183,27,20,1,17,1725
MAHARASHTRA,SINDHUDURGA,MALWAN,47,38,44,7,5,0,5,146
MAHARASHTRA,SINDHUDURGA,SAWANTWADI,37,124,114,9,20,0,1,305
MAHARASHTRA,SINDHUDURGA,VAIBHAVWADI,2,2,5,0,0,1,1,11
MAHARASHTRA,SINDHUDURGA,VENGURLA,110,55,17,1,2,0,1,186
MAHARASHTRA,SOLAPUR,AKKALKOT,0,3,728,2,16,0,7,756
MAHARASHTRA,SOLAPUR,BARSHI,12,280,676,94,5,4,46,1117
MAHARASHTRA,SOLAPUR,KARMALA,0,60,247,130,56,0,59,552
MAHARASHTRA,SOLAPUR,MADHA,9,42,895,213,132,115,41,1447
MAHARASHTRA,SOLAPUR,MALSHIRAS,4,185,602,435,184,34,1,1445
MAHARASHTRA,SOLAPUR,MANGALVEDHA,39,20,396,157,263,168,1413,2456
MAHARASHTRA,SOLAPUR,MOHOL,2,246,953,197,223,98,30,1749
MAHARASHTRA,SOLAPUR,NORTH  SOLAPUR,7,52,345,83,73,0,18,578
MAHARASHTRA,SOLAPUR,PANDHARPUR,5,203,4028,1870,1114,559,43,7822
MAHARASHTRA,SOLAPUR,SANGOLA,0,0,0,39,27,8,0,74
MAHARASHTRA,SOLAPUR,SOUTH  SOLAPUR,1,56,2455,398,189,35,0,3134
MAHARASHTRA,THANE,DHANU,0,9,10,0,0,0,0,19
MAHARASHTRA,THANE,JAWHAR,0,0,145,0,0,0,14,159
MAHARASHTRA,THANE,KALYAN,0,0,6,0,0,6,1,13
MAHARASHTRA,THANE,MURBAD,277,52,186,17,1,11,32,576
MAHARASHTRA,THANE,PALGHAR,12,26,44,0,0,1,9,92
MAHARASHTRA,THANE,SHAHAPUR,23,62,131,4,1,3,0,224
MAHARASHTRA,THANE,VIKRAMGAD,0,28,15,0,1,0,0,44
MAHARASHTRA,THANE,WADA,0,3,34,3,2,1,1,44
MAHARASHTRA,WARDHA,ARVI,0,11,5,0,1,0,5,22
MAHARASHTRA,WARDHA,ASHTI,0,7,3,0,1,0,1,12
MAHARASHTRA,WARDHA,DEOLI,0,2,8,0,0,0,7,17
MAHARASHTRA,WARDHA,HINGANGHAT,0,17,1,0,0,0,4,22
MAHARASHTRA,WARDHA,KARANJA,1,4,0,0,0,0,1,6
MAHARASHTRA,WARDHA,SAMUDRAPUR,5,79,24,0,0,0,43,151
MAHARASHTRA,WARDHA,SELOO,0,26,10,0,0,0,8,44
MAHARASHTRA,WARDHA,WARDHA,0,10,2,0,0,1,1,14
MAHARASHTRA,WASHIM,KARANJA,2,64,30,0,3,0,21,120
MAHARASHTRA,WASHIM,MALEGAON,66,111,88,3,0,4,3,275
