-----
{
 "description": "The table refers to block wise shallow tubewells according to water distribution system . The report has been sourced from 2nd census of minor irrigation scheme(1993-94) from ministry of water resources.", 
 "file_name": "Blockshtbwl2.8.csv", 
 "title": "Download CSV for Block wise Shallow Tubewells according to Water Distribution System for 2nd Census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/Blockshtbwl2.8.csv"
}
-----
State,District,Block,Sprinkler,Drip Irrigation,Open channel,Under ground channel,Others,Total
ANDHRA PRADESH,CHITTOOR,YADAMARI,0,0,17,1,0,18
ANDHRA PRADESH,CHITTOOR,YERPEDU,1,3,622,359,0,985
ANDHRA PRADESH,CHITTOOR,YERRAVARIPALEM,0,0,30,9,0,39
ANDHRA PRADESH,CUDDAPAH,ATLUR,0,0,35,0,0,35
ANDHRA PRADESH,CUDDAPAH,B.KODUR,0,1,120,0,3,124
ANDHRA PRADESH,CUDDAPAH,BADVEL,0,0,72,10,1,83
ANDHRA PRADESH,CUDDAPAH,BRAHMAMGARIMATHAM,0,0,33,0,0,33
ANDHRA PRADESH,CUDDAPAH,CHAKARAYAPET,0,2,369,22,0,393
ANDHRA PRADESH,CUDDAPAH,CHAPAD,0,0,776,132,0,908
ANDHRA PRADESH,CUDDAPAH,CHENNAMANDEM,0,0,10,1,0,11
ANDHRA PRADESH,CUDDAPAH,CHENNUR,8,0,195,20,0,223
ANDHRA PRADESH,CUDDAPAH,CHINTHAKOMMADINNE,0,0,22,0,0,22
ANDHRA PRADESH,CUDDAPAH,CHITVEL,0,0,762,0,0,762
ANDHRA PRADESH,CUDDAPAH,CUDDAPAH,0,0,1,0,0,1
ANDHRA PRADESH,CUDDAPAH,DUVVUR,1,0,160,17,0,178
ANDHRA PRADESH,CUDDAPAH,GALIVEEDU,0,0,12,6,0,18
ANDHRA PRADESH,CUDDAPAH,JAMMALAMADUGU,0,0,97,60,0,157
ANDHRA PRADESH,CUDDAPAH,KAMALAPURAM,0,0,952,2,0,954
ANDHRA PRADESH,CUDDAPAH,KHAJIPET,0,12,405,58,0,475
ANDHRA PRADESH,CUDDAPAH,KODUR,1,0,62,0,0,63
