-----
{
 "description": "The table refers to block wise distribution of shallow tubewells according to water lifting device . The report has been sourced from 2nd census of minor irrigation scheme(1993-94) from ministry of water resources.", 
 "file_name": "Blockshtbwl2.9.csv", 
 "title": "Download CSV for Block wise Distribution of Shallow Tubewells according to Water Lifting Device for 2nd Census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/Blockshtbwl2.9.csv"
}
-----
State,District,Block,Electric pumps,Diesel pumps,Wind mills,Solar pumps,Man/Animal operated,Others,Total
ANDHRA PRADESH,EAST GODAVARI,MALIKIPURAM,0,301,0,0,0,0,301
ANDHRA PRADESH,EAST GODAVARI,MAMIDIKUDURU,5,425,0,0,0,0,430
ANDHRA PRADESH,EAST GODAVARI,MANDAPETA,652,78,0,0,0,0,730
ANDHRA PRADESH,EAST GODAVARI,MUMMIDIVARAM,53,511,0,0,0,0,564
ANDHRA PRADESH,EAST GODAVARI,P.GANNAVARAM,236,552,0,0,1,0,789
ANDHRA PRADESH,EAST GODAVARI,PAMARRU,140,161,0,0,0,0,301
ANDHRA PRADESH,EAST GODAVARI,PEDAPUDI,172,87,0,0,0,0,259
ANDHRA PRADESH,EAST GODAVARI,PEDDAPURAM,272,59,0,0,0,0,331
ANDHRA PRADESH,EAST GODAVARI,PITHAPURAM,575,30,0,0,0,0,605
ANDHRA PRADESH,EAST GODAVARI,PRATHIPADU,224,79,0,0,0,0,303
ANDHRA PRADESH,EAST GODAVARI,RAJAHMUNDRY RURAL,171,37,0,0,0,0,208
ANDHRA PRADESH,EAST GODAVARI,RAJAVOMMANGI,2,0,0,0,0,0,2
ANDHRA PRADESH,EAST GODAVARI,RAMACHANDRAPURAM,491,83,1,0,0,0,575
ANDHRA PRADESH,EAST GODAVARI,RANGAMPETA,17,0,0,0,0,0,17
ANDHRA PRADESH,EAST GODAVARI,RAVULAPALEM,417,648,0,0,1,0,1066
ANDHRA PRADESH,EAST GODAVARI,RAYAVARAM,306,65,0,0,0,0,371
ANDHRA PRADESH,EAST GODAVARI,RAZOLE,25,105,0,0,0,0,130
ANDHRA PRADESH,EAST GODAVARI,SAMALKOTA,66,0,0,0,0,0,66
ANDHRA PRADESH,EAST GODAVARI,SANKHAVARAM,257,25,0,0,0,0,282
ANDHRA PRADESH,EAST GODAVARI,SEETHANAGARAM,462,175,0,0,0,0,637
ANDHRA PRADESH,EAST GODAVARI,THALLAREVU,1,28,0,0,0,0,29
