-----
{
 "description": "The table refers to Block wise Distribution of Surface Flow Schemes (Temporary diversion) in use and their Potential Created and Utilized according to Public and Private. The report has been sourced from 3rd census of minor irrigation scheme (2000-01) from Ministry of Water Resources.", 
 "file_name": "srfcflowdistr4.17.csv", 
 "title": "Download CSV for Blockwise Distribution of Surface Flow Schemes (Temporary Diversion) in use and their Potential Created and Utilized according to Public and Private", 
 "url": "http://data.gov.in/sites/default/files/srfcflowdistr4.17.csv"
}
-----
STATENAME,DISTNAME,BLOCKNAME,No. in use - Public,No. in use - Private,No. in use - Total,Potential created (Ha) - Public,Potential created (Ha) - Private,Potential created (Ha) - Total,Potential utilised (Ha) - Public,Potential utilised (Ha) - Private,Potential utilised (Ha) - Total
ANDHRA PRADESH,CHITTOOR,PUTTUR,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,RAMA KUPPAM,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,RAMACHANDRAPURAM,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,RAMASAMUDRAM,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,RENIGUNTA,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,ROMPICHERLA,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,SANTHI PURAM,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,SATYAVEDU,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,SODAM,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,SOMALA,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,SRIKALAHASTI,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,SRIRANGARAJAPURAM,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,THAMBALLAPALLE,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,THAVANAMPALLE,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,THOTTAMBEDU,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,TIRUPATI RURAL,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,TIRUPATI URBAN,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,VADAMALAPETA,3,0,3,3,0,3,0,0,0
ANDHRA PRADESH,CHITTOOR,VARADAIAHPALEM,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,VAYALPAD,0,0,0,0,0,0,0,0,0
