-----
{
 "description": "The table refers to Block wise Distribution of Dugwells according to Average Pumping Hours. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "dgwldistr1.11.csv", 
 "title": "Download CSV for Blockwise Distribution of Dugwells according to Average Pumping Hours", 
 "url": "http://data.gov.in/sites/default/files/dgwldistr1.11.csv"
}
-----
STATENAME,DISTNAME,BLOCKNAME,Avg pumping hours (0-4),Avg pumping hours (4 - 8),Avg pumping hours (8-12),Avg pumping hours (12 -16),Avg pumping hours (16 - 20),Avg pumping hours (20 - 24),Total
TAMIL NADU,TIRUNELVELI,KEELAPAVOOR,5545,1661,55,6,4,5,7276
TAMIL NADU,TIRUNELVELI,KURUVIKULAM,7224,700,88,3,0,0,8015
TAMIL NADU,TIRUNELVELI,MANUR,4948,475,2,0,0,1,5426
TAMIL NADU,TIRUNELVELI,MELANEELITHANALLUR,7677,83,3,0,0,0,7763
TAMIL NADU,TIRUNELVELI,NANGUNERI,4512,802,86,3,0,0,5403
TAMIL NADU,TIRUNELVELI,PALAYAMKOTTAI,2482,250,6,1,0,0,2739
TAMIL NADU,TIRUNELVELI,PAPPAKUDI,1893,126,64,0,0,0,2083
TAMIL NADU,TIRUNELVELI,RADHAPURAM,3878,472,60,0,0,0,4410
TAMIL NADU,TIRUNELVELI,SANKARANKOVIL,6253,713,165,28,1,0,7160
TAMIL NADU,TIRUNELVELI,SHENCOTTAI,1244,386,14,3,1,1,1649
TAMIL NADU,TIRUNELVELI,TENKASI,1100,902,123,0,0,0,2125
TAMIL NADU,TIRUNELVELI,VALLIOOR,4992,765,263,8,0,0,6028
TAMIL NADU,TIRUNELVELI,VASUDEVANALLUR,5702,1882,754,59,1,0,8398
TAMIL NADU,TIRUVANNAMALAI,ANAKKAVUR,7214,639,7,4,1,1,7866
TAMIL NADU,TIRUVANNAMALAI,ARNI,4121,1796,271,11,0,4,6203
TAMIL NADU,TIRUVANNAMALAI,CHENGAM,11218,1144,32,2,0,9,12405
TAMIL NADU,TIRUVANNAMALAI,CHETPET,6047,3358,213,13,4,7,9642
TAMIL NADU,TIRUVANNAMALAI,CHEYYAR,7330,348,27,8,1,11,7725
TAMIL NADU,TIRUVANNAMALAI,JAMNAMARATHUR,878,40,4,3,0,1,926
TAMIL NADU,TIRUVANNAMALAI,KALASAPAKKAM,6842,3283,251,32,2,33,10443
TAMIL NADU,TIRUVANNAMALAI,KILPENNATHUR,8112,2568,342,3,1,2,11028
TAMIL NADU,TIRUVANNAMALAI,PERNAMALLUR,8852,1947,40,4,0,3,10846
TAMIL NADU,TIRUVANNAMALAI,POLUR,9648,2512,189,18,5,5,12377
TAMIL NADU,TIRUVANNAMALAI,PUDUPALAYAM,6653,2294,151,20,11,8,9137
TAMIL NADU,TIRUVANNAMALAI,THANDARAMPET,7276,3172,1016,92,19,3,11578
TAMIL NADU,TIRUVANNAMALAI,THELLAR,9400,1924,49,2,2,8,11385
TAMIL NADU,TIRUVANNAMALAI,THURINJAPURAM,10305,1014,97,51,3,20,11490
TAMIL NADU,TIRUVANNAMALAI,TIRUVANNAMALAI,10400,1190,333,21,5,5,11954
TAMIL NADU,TIRUVANNAMALAI,VANDAVASI,7737,1719,132,4,1,4,9597
TAMIL NADU,TIRUVANNAMALAI,VEMBAKKAM,5940,1036,205,73,11,8,7273
TAMIL NADU,TIRUVANNAMALAI,WEST ARNI,6260,1260,68,3,4,1,7596
TAMIL NADU,TUTICORIN DISTRICT,ALWARTHIRUNAGARI,2050,237,36,1,3,0,2327
TAMIL NADU,TUTICORIN DISTRICT,KARUNGULAM,1393,78,114,7,0,2,1594
TAMIL NADU,TUTICORIN DISTRICT,KAYATHAR,6275,451,13,0,0,0,6739
TAMIL NADU,TUTICORIN DISTRICT,KOVILPATTI,2982,442,7,2,1,2,3436
TAMIL NADU,TUTICORIN DISTRICT,OTTAPIDARAM,4173,241,13,3,0,1,4431
TAMIL NADU,TUTICORIN DISTRICT,PUDUR,1869,160,35,1,0,0,2065
TAMIL NADU,TUTICORIN DISTRICT,SATTANKULAM,4205,388,32,0,1,0,4626
TAMIL NADU,TUTICORIN DISTRICT,SRIVAIKUNTAM,539,115,49,0,0,1,704
TAMIL NADU,TUTICORIN DISTRICT,THOOTHUKKUDI,1105,105,5,1,1,0,1217
TAMIL NADU,TUTICORIN DISTRICT,TIRUCHENDUR,794,432,64,7,7,0,1304
TAMIL NADU,TUTICORIN DISTRICT,UDANGUDI,743,1187,217,84,20,0,2251
TAMIL NADU,TUTICORIN DISTRICT,VILATHIKULAM,863,185,16,2,0,0,1066
TAMIL NADU,VELLORE,ALANGAYAM,4903,508,142,17,1,0,5571
TAMIL NADU,VELLORE,ANAICUT,8049,668,11,0,0,0,8728
TAMIL NADU,VELLORE,ARAKONAM,1722,572,181,2,0,0,2477
TAMIL NADU,VELLORE,ARCOT,3982,1171,79,9,2,0,5243
TAMIL NADU,VELLORE,GUDIYATHAM,5761,1841,97,0,0,0,7699
TAMIL NADU,VELLORE,JOLARPET,7961,550,4,2,0,1,8518
TAMIL NADU,VELLORE,K.V.KUPPAM,7015,601,81,4,1,0,7702
TAMIL NADU,VELLORE,KANDHILI,8358,420,8,1,0,1,8788
TAMIL NADU,VELLORE,KANIYAMBADI,4874,486,15,0,0,0,5375
TAMIL NADU,VELLORE,KATPADI,3556,696,31,10,0,19,4312
TAMIL NADU,VELLORE,KAVERIPAKKAM,3905,2146,453,153,23,3,6683
TAMIL NADU,VELLORE,MADHANUR,4028,1267,39,0,0,0,5334
TAMIL NADU,VELLORE,NATRAMPALLI,4313,804,7,0,0,0,5124
TAMIL NADU,VELLORE,NEMILI,2689,1805,1288,141,4,0,5927
TAMIL NADU,VELLORE,PERNAMBUT,5553,1784,206,11,2,1,7557
TAMIL NADU,VELLORE,SHOLINGUR,5175,1216,258,51,90,20,6810
TAMIL NADU,VELLORE,THIMIRI,7960,1947,547,13,0,1,10468
TAMIL NADU,VELLORE,THIRUPATTUR,5387,1946,98,1,0,0,7432
TAMIL NADU,VELLORE,VELLORE,3253,571,0,0,0,0,3824
TAMIL NADU,VELLORE,WALAJAH,2713,1329,134,22,6,2,4206
TAMIL NADU,VILLUPPURAM,CHINNA SALEM,11347,2769,96,9,0,25,14246
TAMIL NADU,VILLUPPURAM,GINGEE,8198,3297,21,2,1,2,11521
TAMIL NADU,VILLUPPURAM,KALLAKURICHI,7672,2321,268,0,0,1,10262
TAMIL NADU,VILLUPPURAM,KALRAYAN KILLS,791,630,1,0,0,0,1422
TAMIL NADU,VILLUPPURAM,KANAI,4462,1089,361,12,0,2,5926
TAMIL NADU,VILLUPPURAM,KANDAMANGALAM,70,303,23,131,0,0,527
TAMIL NADU,VILLUPPURAM,KOLIYANUR,598,243,450,140,9,1,1441
TAMIL NADU,VILLUPPURAM,MARAKKANAM,8344,1121,9,2,0,9,9485
TAMIL NADU,VILLUPPURAM,MAYILAM,6691,969,10,0,0,10,7680
TAMIL NADU,VILLUPPURAM,MELMALAIYANUR,10827,1746,155,7,1,24,12760
TAMIL NADU,VILLUPPURAM,MUGAIYUR,7808,815,54,2,0,2,8681
TAMIL NADU,VILLUPPURAM,OLAKKUR,7819,878,39,2,0,7,8745
TAMIL NADU,VILLUPPURAM,RISHIVANTHAYAM,7112,1507,66,4,0,2,8691
TAMIL NADU,VILLUPPURAM,SANKARAPURAM,7194,2019,446,84,2,9,9754
TAMIL NADU,VILLUPPURAM,THIRUKKOYILUR,6390,418,28,4,5,0,6845
TAMIL NADU,VILLUPPURAM,THIRUNAVALUR,2761,650,148,0,0,3,3562
TAMIL NADU,VILLUPPURAM,THIRUVENNAINALLUR,776,307,151,1,1,1,1237
TAMIL NADU,VILLUPPURAM,THIYAGADHURGAM,6510,1017,10,0,0,1,7538
TAMIL NADU,VILLUPPURAM,ULUNDURPET,8164,815,94,2,1,2,9078
TAMIL NADU,VILLUPPURAM,VAANOOR,1630,603,32,2,1,0,2268
TAMIL NADU,VILLUPPURAM,VALLAM,9010,2145,278,22,33,8,11496
TAMIL NADU,VILLUPPURAM,VIKKIRAVANDI,2771,836,62,1,2,0,3672
TAMIL NADU,VIRUDHUNAGAR,ARUPPUKOTTAI,1546,189,12,0,0,0,1747
TAMIL NADU,VIRUDHUNAGAR,KARIAPATTI,2918,249,24,2,1,2,3196
TAMIL NADU,VIRUDHUNAGAR,NARIKUDI,700,518,52,4,0,4,1278
TAMIL NADU,VIRUDHUNAGAR,RAJAPALAYAM,6075,2166,586,109,29,1,8966
TAMIL NADU,VIRUDHUNAGAR,SATTUR,2600,48,1,0,0,0,2649
TAMIL NADU,VIRUDHUNAGAR,SIVAKASI,3508,493,5,0,0,0,4006
TAMIL NADU,VIRUDHUNAGAR,SRIVILLIPUTUR,5107,1770,148,0,0,0,7025
TAMIL NADU,VIRUDHUNAGAR,TIRUCHULI,1840,559,40,4,0,0,2443
TAMIL NADU,VIRUDHUNAGAR,VEMBAKKOTTAI,4083,151,5,0,0,0,4239
TAMIL NADU,VIRUDHUNAGAR,VIRUDHUNAGAR,3772,171,0,0,0,0,3943
TAMIL NADU,VIRUDHUNAGAR,WATRAP,3387,2073,191,20,0,3,5674
TRIPURA,DHALAI,SALEMA,1,4,0,0,0,0,5
TRIPURA,SOUTH TRIPURA,BAGAFA,4,2,0,0,0,2,8
TRIPURA,SOUTH TRIPURA,KILLA,7,0,0,0,0,1,8
TRIPURA,SOUTH TRIPURA,RAJNAGAR,162,0,0,0,0,28,190
TRIPURA,WEST TRIPURA,BISHALGARH,1,1,0,0,0,3,5
TRIPURA,WEST TRIPURA,JAMPUIJALA,7,10,0,0,0,0,17
TRIPURA,WEST TRIPURA,KHOWAI,4,0,0,0,0,0,4
TRIPURA,WEST TRIPURA,MOHANPUR,8,0,0,0,0,0,8
