-----
{
 "description": "The table provides India's Share in World Exports by Commodity Divisions and Groups (in US $ Mn) for the years 1970, 1975, 1980, 1985, 1990, 2000, 2010 and 2011. It gives details regarding World exports, India's exports and the percentage share of India's exports.", 
 "file_name": "tab75.xls", 
 "title": "Download XLS for India&#039;s Share in World Exports by Commodity Divisions and Groups(External Link that opens in a new window)", 
 "url": "http://indiabudget.nic.in/tab2012/tab75.xls"
}
-----
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"7.5 INDIA’S SHARE IN WORLD EXPORTS BY COMMODITY DIVISIONS AND GROUPS","","","","","","","",""
"","","","","","","","",""
"","","","","","","","(US $ million)",""
"Div.","Code","Commodity","","","","","",""
"Sl. No.","Group","Division/Group",1970.0,"","",1975.0,"",""
"","","","World","India","India’s","World","India","India’s"
"","","","","","share","","","share"
"","","","","","(%)","","","(%)"
74.0,"","General industrial machinery & equipment",528000.0,3885.611284,0.73591122803,629868.0,4855.916686,0.770941957045
"","","& machine parts thereof","","","","","",""
75.0,"","Office machinery and ADP equipment",577100.0,619.155592,0.107287401144,592222.1,721.493997,0.121828279796
76.0,"","Telecommunication and sound recording and","","","","","",""
"","","reproducing apparatus and equipment",626000.0,2407.575785,0.384596770767,679072.1,5137.092148,0.756486998656
77.0,"","Electrical machinery, apparatus and","","","","","",""
"","","appliances",1247900.0,5522.405012,0.442535861207,1346529.4,5575.877331,0.414092505593
78.0,"","Road vehicles (including air cushion vehicles)",1063200.0,8745.546507,0.822568332111,1252570.5,9501.117041,0.758529523169
79.0,"","Other transport equipment",333600.0,5804.019926,1.7398141265,371477.4,9457.449846,2.54590180883
84.0,"","Articles of apparel and clothing accessories",369600.0,11229.331868,3.03823914177,432554.8,14671.994102,3.3919388022
"","","Total exports",15064970.0,222576.0,1.4774407118,17979656.0,302588.0,1.7
"Source : Various issues of United Nations' International Trade Statistics Year Book ,","","","","","","","",""
"","       and for the years 2010 & 2011 data accessed on 28th Jan 2013 from http://comtrade.un.org/","","","","","","",""
"Note:    A zero in India's share means negligible or no share at all.","","","","","","","",""
