-----
{
 "description": "The table refers to district wise distribution of shallow tubewells according to major/medium projects and  average pumping hours . The report has been sourced from 2nd census of minor irrigation scheme(1993-94) from ministry of water resources.", 
 "file_name": "Districtshtbwl2.11.csv", 
 "title": "Download CSV for District wise Distribution of Shallow Tubewells according to major/medium projects and  Average Pumping Hours for 2nd Census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/Districtshtbwl2.11.csv"
}
-----
State,District,On the Maj/Med,Outside Command,Total,Avg pumping hours (0-4),Avg pumping hours (4 - 8),Avg pumping hours (8-12),Avg pumping hours (12 -16),Avg pumping hours (16 - 20),Avg pumping hours (20 - 24),Total
UTTAR PRADESH,LUCKNOW,4716,17713,22429,4320,14142,2938,785,224,20,22429
UTTAR PRADESH,MAHOBA,18,155,173,97,47,29,0,0,0,173
UTTAR PRADESH,MAHRAJGANJ,9290,21134,30424,5279,20536,4349,193,55,12,30424
UTTAR PRADESH,MAINPURI,4764,15261,20025,4161,13080,2406,97,280,1,20025
UTTAR PRADESH,MATHURA,6872,31803,38675,4424,28204,5752,281,14,0,38675
UTTAR PRADESH,MAU,801,9899,10700,1143,6036,3188,317,13,3,10700
UTTAR PRADESH,MEERUT,11144,42002,53146,4518,34452,11818,1663,676,19,53146
UTTAR PRADESH,MIRZAPUR,860,1297,2157,555,1055,406,41,34,66,2157
UTTAR PRADESH,MORADABAD,10451,58278,68729,12375,39762,15136,1169,172,115,68729
UTTAR PRADESH,MUZAFFER NAGAR,15954,46701,62655,5726,44263,11443,1007,71,145,62655
UTTAR PRADESH,NAINITAL,165,21,186,9,171,6,0,0,0,186
UTTAR PRADESH,PILIBHIT,5962,20817,26779,1841,15466,7696,1199,413,164,26779
UTTAR PRADESH,PRATAPGARH,16107,22100,38207,5678,26417,5295,398,418,1,38207
UTTAR PRADESH,RAEBARELY,14044,25668,39712,6402,23686,8658,924,36,6,39712
UTTAR PRADESH,RAMPUR,135,45678,45813,3368,36416,5883,146,0,0,45813
UTTAR PRADESH,SAHARANPUR,7729,47684,55413,12478,33951,8027,895,54,8,55413
UTTAR PRADESH,SANT RAVIDAS NAGAR,1778,5491,7269,915,4484,1629,233,7,1,7269
UTTAR PRADESH,SHAHJAHANPUR,7834,66961,74795,13013,42958,17287,1093,398,46,74795
UTTAR PRADESH,SIDDHARTH NAGAR,0,22689,22689,2533,17443,2328,291,4,90,22689
UTTAR PRADESH,SITAPUR,6331,51723,58054,15716,28706,9488,2926,1019,199,58054
UTTAR PRADESH,SONBHADRA,754,486,1240,358,692,161,29,0,0,1240
UTTAR PRADESH,SULTANPUR,0,32576,32576,13997,12697,5331,417,98,36,32576
UTTAR PRADESH,UDHAMSINGH NAGAR,2735,19705,22440,2003,15523,3786,928,195,5,22440
UTTAR PRADESH,UNNAO,12227,35533,47760,10019,25943,10055,1583,136,24,47760
UTTAR PRADESH,VARANASI,6574,11993,18567,2603,10469,4508,806,155,26,18567
WEST BENGAL,BANKURA,6859,15292,22151,7111,11119,2913,766,242,0,22151
WEST BENGAL,BIRBHUM,8986,10503,19489,3275,9749,4911,917,637,0,19489
WEST BENGAL,BURDWAN,15760,29898,45658,3967,16972,14661,6662,3396,0,45658
WEST BENGAL,COOCHBEHAR,858,21526,22384,6610,9656,5828,176,114,0,22384
WEST BENGAL,DAKSHIN DINAJPUR,640,12080,12720,2841,3936,4170,1369,404,0,12720
WEST BENGAL,DARJEELING,94,2498,2592,2128,205,258,1,0,0,2592
WEST BENGAL,HOOGLY,2734,17921,20655,2457,6699,6766,3385,1348,0,20655
WEST BENGAL,HOWRAH,1,1049,1050,406,405,120,104,15,0,1050
WEST BENGAL,JALPAIGURI,306,6718,7024,3525,2616,675,206,2,0,7024
WEST BENGAL,MALDA,765,29026,29791,2704,10559,10483,4279,1766,0,29791
WEST BENGAL,MIDNAPORE,5817,56916,62733,10332,21632,17747,7636,5386,0,62733
WEST BENGAL,MURSHIDABAD,5491,70144,75635,11986,27293,22068,9929,4359,0,75635
WEST BENGAL,NADIA,3585,81573,85158,16792,30612,25223,8913,3618,0,85158
WEST BENGAL,NORTH 24 PARGANAS,1797,55542,57339,8806,23503,18925,5160,945,0,57339
WEST BENGAL,PURULIA,0,11,11,11,0,0,0,0,0,11
WEST BENGAL,SOUTH 24 PARGANAS,732,5482,6214,667,1808,2274,1202,263,0,6214
WEST BENGAL,UTTAR DINAJPUR,617,33417,34034,1834,8550,15198,6244,2208,0,34034
DELHI,EAST,0,346,346,6,338,2,0,0,0,346
DELHI,NORTH-EAST,0,471,471,1,470,0,0,0,0,471
DELHI,NORTH-WEST,2,3673,3675,122,1319,2127,97,9,1,3675
DELHI,SOUTH-WEST,8,4172,4180,764,2361,1034,17,4,0,4180
DELHI,WEST,142,206,348,14,293,30,11,0,0,348
PONDICHERRY,KARAIKAL,0,250,250,30,152,43,17,8,0,250
PONDICHERRY,PONDICHERRY,1,3644,3645,206,1431,882,281,303,542,3645
