-----
{
 "description": "The table refers to Block wise Culturable Command Area and Potential Created through Dugwells. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "dgwldistr1.12.csv", 
 "title": "Download CSV for Blockwise Culturable Command Area and Potential Created through Dugwells", 
 "url": "http://data.gov.in/sites/default/files/dgwldistr1.12.csv"
}
-----
STATENAME,DISTNAME,BLOCKNAME,Culturable Command Area,Irrigation potential created - Kharif,Irrigation potential created - Rabi,Irrigation potential created - Perennial,Irrigation potential created - Others,Total,
ANDHRA PRADESH,VISAKHAPATNAM,RAVIKAMATHAM,670,452,100,122,9,683,
ANDHRA PRADESH,VISAKHAPATNAM,ROLUGUNTA,489,441,56,42,13,552,
ANDHRA PRADESH,VISAKHAPATNAM,S RAYAVARAM,640,176,63,425,1,665,
ANDHRA PRADESH,VISAKHAPATNAM,SABBAVARAM,2039,953,1130,212,6,2302,
ANDHRA PRADESH,VISAKHAPATNAM,VISAKHAPATNAM,61,2,59,0,0,61,
ANDHRA PRADESH,VISAKHAPATNAM,YELAMANCHILI,801,156,167,512,0,834,
ANDHRA PRADESH,VIZIANAGARAM,BADANGI,297,148,142,94,8,393,
ANDHRA PRADESH,VIZIANAGARAM,BALAJIPETA,446,95,349,9,11,464,
ANDHRA PRADESH,VIZIANAGARAM,BHOGHAPURAM,1328,291,826,307,40,1465,
ANDHRA PRADESH,VIZIANAGARAM,BOBBILI,553,34,512,23,9,578,
ANDHRA PRADESH,VIZIANAGARAM,BONDAPALLE,566,129,519,29,2,679,
ANDHRA PRADESH,VIZIANAGARAM,CHEEPURUPALLE,1743,268,1725,2,0,1995,
ANDHRA PRADESH,VIZIANAGARAM,DATTIRAJERU,1019,375,758,0,9,1141,
ANDHRA PRADESH,VIZIANAGARAM,DENKADA,1417,3,1404,40,6,1454,
ANDHRA PRADESH,VIZIANAGARAM,GAJAPATHINAGARAM,618,92,518,33,12,655,
ANDHRA PRADESH,VIZIANAGARAM,GANTYADA,473,441,417,0,0,858,
ANDHRA PRADESH,VIZIANAGARAM,GARIVIDI,1981,937,1419,27,1,2383,
ANDHRA PRADESH,VIZIANAGARAM,GARUGUBILLI,239,149,97,20,2,268,
ANDHRA PRADESH,VIZIANAGARAM,GUMMALAKSHMIPURAM,89,89,0,0,0,89,
ANDHRA PRADESH,VIZIANAGARAM,GURLA,1229,84,1199,0,0,1283,
ANDHRA PRADESH,VIZIANAGARAM,JAMI,506,94,375,59,0,527,
ANDHRA PRADESH,VIZIANAGARAM,JIYYAMMA VALASA,38,0,38,0,0,38,
ANDHRA PRADESH,VIZIANAGARAM,KOMARADA,217,35,189,0,0,224,
ANDHRA PRADESH,VIZIANAGARAM,KOTHAVALASA,663,11,642,22,0,675,
ANDHRA PRADESH,VIZIANAGARAM,KURUPAM,65,60,0,5,0,65,
ANDHRA PRADESH,VIZIANAGARAM,LAKKAVARAPUKOTA,403,8,404,0,0,413,
ANDHRA PRADESH,VIZIANAGARAM,MAKKUVA,147,77,86,19,5,187,
ANDHRA PRADESH,VIZIANAGARAM,MENTADA,433,59,411,10,0,480,
ANDHRA PRADESH,VIZIANAGARAM,MERAKAMUDIDAM,1095,268,1039,7,9,1323,
ANDHRA PRADESH,VIZIANAGARAM,NELLIMARLA,1116,109,1033,106,0,1248,
ANDHRA PRADESH,VIZIANAGARAM,PACHIPENTA,56,0,56,0,0,56,
ANDHRA PRADESH,VIZIANAGARAM,PARVATHIPURAM,423,423,309,0,0,733,
ANDHRA PRADESH,VIZIANAGARAM,PUSAPATIREGA,2839,77,2522,214,72,2884,
ANDHRA PRADESH,VIZIANAGARAM,RAMABHADRAPURAM,510,34,440,42,1,517,
ANDHRA PRADESH,VIZIANAGARAM,SALUR,165,100,75,0,0,175,
ANDHRA PRADESH,VIZIANAGARAM,SEETHANAGARAM,273,266,213,0,0,479,
ANDHRA PRADESH,VIZIANAGARAM,SRUNGAVARAPUKOTA,248,181,76,0,0,258,
ANDHRA PRADESH,VIZIANAGARAM,THERLAM,739,45,673,108,0,827,
ANDHRA PRADESH,VIZIANAGARAM,VEPADA,376,25,305,82,0,412,
ANDHRA PRADESH,VIZIANAGARAM,VIZIANAGARAM,663,283,454,14,3,754,
ANDHRA PRADESH,WARANGAL,ATMAKUR,4096,3756,2290,0,0,6045,
ANDHRA PRADESH,WARANGAL,BACHANNAPETA,3169,2815,2143,1,0,4958,
ANDHRA PRADESH,WARANGAL,BHUPALPALLE,1559,706,1023,0,0,1729,
ANDHRA PRADESH,WARANGAL,CHENNARAOPET,4072,2528,853,938,39,4358,
ANDHRA PRADESH,WARANGAL,CHERIYAL,2006,1667,627,70,10,2375,
ANDHRA PRADESH,WARANGAL,CHITYAL,5256,5133,668,0,0,5801,
ANDHRA PRADESH,WARANGAL,DEVARUPPULA,2504,1886,1101,84,367,3438,
ANDHRA PRADESH,WARANGAL,DHARMASAGAR,4756,3719,1866,2,0,5588,
ANDHRA PRADESH,WARANGAL,DORNAKAL,4281,3346,1199,1,1,4547,
ANDHRA PRADESH,WARANGAL,DUGGONDI,3700,3479,776,2,0,4256,
ANDHRA PRADESH,WARANGAL,ETURNAGARAM,26,26,0,0,0,26,
ANDHRA PRADESH,WARANGAL,GEESUGONDA,3906,3607,1066,10,11,4694,
ANDHRA PRADESH,WARANGAL,GHANAPUR,1155,1122,137,0,0,1259,
ANDHRA PRADESH,WARANGAL,GHANPUR(stn),5919,4617,2871,218,283,7989,
ANDHRA PRADESH,WARANGAL,GOVINDARAOPET,133,130,40,0,0,170,
ANDHRA PRADESH,WARANGAL,GUDUR,2798,2487,1454,15,14,3970,
ANDHRA PRADESH,WARANGAL,HANAMKONDA,3480,3083,1380,31,5,4499,
ANDHRA PRADESH,WARANGAL,HASANPARTHY,3336,3276,2141,12,35,5464,
ANDHRA PRADESH,WARANGAL,JANGAON,2520,2066,826,5,61,2959,
ANDHRA PRADESH,WARANGAL,KESAMUDRAM,4023,3152,1665,8,38,4863,
ANDHRA PRADESH,WARANGAL,KHANAPUR,1269,224,120,993,1,1339,
ANDHRA PRADESH,WARANGAL,KODAKANDLA,2724,2290,1419,12,332,4053,
ANDHRA PRADESH,WARANGAL,KOTHAGUDEM,353,353,4,0,0,356,
ANDHRA PRADESH,WARANGAL,KURAVI,5410,4113,2268,0,22,6404,
ANDHRA PRADESH,WARANGAL,LINGALA GHANPUR,2142,1598,983,1,3,2585,
ANDHRA PRADESH,WARANGAL,MADDUR,1601,1268,547,1,12,1827,
ANDHRA PRADESH,WARANGAL,MAHABUBABAD,4448,3128,2175,20,0,5323,
ANDHRA PRADESH,WARANGAL,MANGAPET,262,254,173,0,0,428,
ANDHRA PRADESH,WARANGAL,MARIPEDA,6843,5397,3581,153,226,9357,
ANDHRA PRADESH,WARANGAL,MOGULLAPALLE,4587,4514,1037,226,2,5779,
ANDHRA PRADESH,WARANGAL,MULUG,781,699,217,0,0,915,
ANDHRA PRADESH,WARANGAL,NALLABELLY,2293,1185,1014,533,1,2734,
ANDHRA PRADESH,WARANGAL,NARMETTA,1663,1562,963,0,0,2525,
ANDHRA PRADESH,WARANGAL,NARSAMPET,2851,1503,1464,831,1,3799,
ANDHRA PRADESH,WARANGAL,NARSIMHULAPET,4776,2974,2094,6,0,5073,
ANDHRA PRADESH,WARANGAL,NEKKONDA,3599,3325,2032,39,0,5395,
ANDHRA PRADESH,WARANGAL,NELLIKUDUR,4507,3075,1972,76,37,5160,
ANDHRA PRADESH,WARANGAL,PALAKURTHI,4763,3981,2314,5,3,6302,
ANDHRA PRADESH,WARANGAL,PARKAL,5150,4934,329,0,0,5263,
ANDHRA PRADESH,WARANGAL,PARVATHAGIRI,3776,3176,2348,71,3,5598,
ANDHRA PRADESH,WARANGAL,RAGHUNATHA PALLE,3643,3213,1422,1,27,4663,
ANDHRA PRADESH,WARANGAL,RAIPARTHY,4151,3955,1897,24,11,5888,
ANDHRA PRADESH,WARANGAL,REGONDA,4610,4607,18,1,0,4626,
ANDHRA PRADESH,WARANGAL,SANGEM,4498,3952,1225,5,19,5201,
ANDHRA PRADESH,WARANGAL,SHAYAMPET,2704,2626,412,34,1,3073,
ANDHRA PRADESH,WARANGAL,TADVAI,232,192,110,0,0,302,
ANDHRA PRADESH,WARANGAL,THORRUR,4380,4327,2758,7,6,7099,
ANDHRA PRADESH,WARANGAL,VENKATAPUR,596,512,101,0,0,614,
ANDHRA PRADESH,WARANGAL,WARDHANNAPET,7243,6239,3240,14,2,9494,
ANDHRA PRADESH,WARANGAL,ZAFFERGADH,3922,3250,2427,72,176,5925,
ANDHRA PRADESH,WEST GODAVARI,BHIMADOLE,1308,1308,966,0,0,2274,
ANDHRA PRADESH,WEST GODAVARI,BUTTAYAGUDEM,330,164,212,48,0,424,
ANDHRA PRADESH,WEST GODAVARI,CHINTALAPUDI,1042,273,271,499,0,1043,
ANDHRA PRADESH,WEST GODAVARI,DENDULURU,2125,1217,682,716,14,2630,
ANDHRA PRADESH,WEST GODAVARI,DEVARAPALLE,2558,2097,790,325,0,3212,
ANDHRA PRADESH,WEST GODAVARI,DWARAKA TIRUMALA,969,751,358,125,18,1252,
ANDHRA PRADESH,WEST GODAVARI,GOPALAPURAM,4190,1506,3020,266,4,4796,
ANDHRA PRADESH,WEST GODAVARI,JANGAREDDIGUDEM,2155,1293,729,239,241,2502,
ANDHRA PRADESH,WEST GODAVARI,JEELUGUMILLI,11,5,5,0,0,11,
ANDHRA PRADESH,WEST GODAVARI,KAMAVARAPUKOTA,546,168,155,223,0,546,
ANDHRA PRADESH,WEST GODAVARI,KOYYALAGUDEM,2232,1783,732,4,4,2524,
ANDHRA PRADESH,WEST GODAVARI,LINGAPALEM,2768,58,2717,11,0,2787,
ANDHRA PRADESH,WEST GODAVARI,PEDAVEGI,2966,1327,455,1593,0,3375,
ANDHRA PRADESH,WEST GODAVARI,POLAVARAM,94,66,28,0,0,94,
ANDHRA PRADESH,WEST GODAVARI,T NARASAPURAM,2822,1669,1993,117,16,3795,
ANDHRA PRADESH,WEST GODAVARI,THALLAPUDI,77,74,67,0,0,141,
ANDHRA PRADESH,WEST GODAVARI,UNGUTURU,68,68,0,0,0,68,
ARUNACHAL PRADESH,CHANGLANG,BORDUMSA-DIYUN,1,0,0,0,1,1,
ARUNACHAL PRADESH,EAST SIANG,MEBO,1,1,0,0,0,1,
ARUNACHAL PRADESH,PAPUMPARE,KIMIN-DOIMUKH,2,2,0,0,0,2,
ASSAM,BARPETA,CHAK-CHAKA,46,39,20,6,3,67,
ASSAM,CACHAR,LAKHIPUR,2,1,1,0,0,2,
ASSAM,DHUBRI,GOLOKGANJ,41,19,18,4,0,41,
ASSAM,GOALPARA,DUDHNAI,20,7,32,0,0,39,
ASSAM,GOALPARA,KUSHDHAWA,198,178,24,0,8,210,
ASSAM,JORHAT,JORHAT NORTH WEST,14,14,2,0,1,17,
ASSAM,KOKRAJHAR,KACHUGAON,6,4,2,0,1,7,
ASSAM,KOKRAJHAR,SIDLI-CHIRANG PT,1,1,0,0,0,1,
ASSAM,LAKHIMPUR,BIHPURIA,11,7,4,0,0,11,
ASSAM,LAKHIMPUR,NARAYANPUR,108,77,23,5,4,109,
ASSAM,MORIGAON,MAYONG,28,27,23,0,0,50,
ASSAM,NAGOAN,BAJIAGAON,2,1,1,0,0,2,
ASSAM,NAGOAN,BARHAMPUR,2,1,1,0,0,2,
ASSAM,SIBSAGAR,PACHIM ABHOYPUR,3,3,0,0,0,3,
ASSAM,SONITPUR,BAGHMARA,1,1,0,0,0,1,
BIHAR,AURANGABAD,AURANGABAD,784,515,399,97,67,1078,
BIHAR,AURANGABAD,BARUN,2135,1602,1507,80,100,3289,
BIHAR,AURANGABAD,DAUDNAGAR,539,411,342,86,96,934,
BIHAR,AURANGABAD,DEO,849,485,517,59,110,1173,
BIHAR,AURANGABAD,GOH,621,488,357,8,19,872,
BIHAR,AURANGABAD,HASPURA,332,680,640,12,19,1352,
BIHAR,AURANGABAD,KUTUMBA,1606,1203,914,348,217,2681,
BIHAR,AURANGABAD,MADANPUR,1369,987,888,102,32,2008,
BIHAR,AURANGABAD,NABINAGAR,841,521,189,133,238,1080,
BIHAR,AURANGABAD,OBRA,345,471,493,16,3,983,
BIHAR,AURANGABAD,RAFIGANAJ,782,440,384,25,7,856,
BIHAR,BANKA,AMARPUR,338,117,198,53,0,368,
BIHAR,BANKA,BANKA,624,376,515,81,14,985,
BIHAR,BANKA,BARAHAT,248,195,178,3,57,432,
BIHAR,BANKA,BELHAR,390,237,230,61,7,535,
BIHAR,BANKA,BOUNSI,389,125,298,110,16,549,
BIHAR,BANKA,CHANAN,765,510,430,104,28,1072,
BIHAR,BANKA,DHORAIYA,137,106,100,21,9,236,
BIHAR,BANKA,KATORIYA,1463,1150,746,57,62,2015,
BIHAR,BANKA,PHULLIDUMER,193,158,96,3,34,291,
BIHAR,BANKA,RAJOUN,296,166,288,120,125,699,
BIHAR,BANKA,SAMBHUGANJ,614,281,323,27,165,795,
BIHAR,BHAGALPUR,GOURADIH,343,201,171,18,1,391,
BIHAR,BHAGALPUR,JAGDISHPUR,224,190,155,0,1,346,
BIHAR,BHAGALPUR,KAHALGAON,192,148,109,5,12,274,
BIHAR,BHAGALPUR,NATHNAGAR,126,71,105,0,4,180,
BIHAR,BHAGALPUR,PIRPAINTY,1026,305,951,396,179,1831,
BIHAR,BHAGALPUR,SABOUR,209,86,197,5,1,289,
BIHAR,BHAGALPUR,SANHAULA,204,125,92,5,42,263,
BIHAR,BHAGALPUR,SHAHKUND,486,301,257,12,3,574,
BIHAR,BHAGALPUR,SULTANGANJ,77,46,49,0,2,98,
BIHAR,BHOJPUR,ARA,38,33,98,3,1,135,
BIHAR,BHOJPUR,BARHARA,10,5,40,0,0,45,
BIHAR,BHOJPUR,BEHEA,51,31,22,5,0,59,
BIHAR,BHOJPUR,CHARPOKHARI,64,63,48,0,0,111,
BIHAR,BHOJPUR,GARHANI,50,28,23,0,0,50,
BIHAR,BHOJPUR,JAGDISHPUR,513,431,290,5,5,731,
BIHAR,BHOJPUR,KOILWAR,154,125,96,124,56,401,
BIHAR,BHOJPUR,PIRO,1282,1555,1168,33,30,2786,
BIHAR,BHOJPUR,SAHAR,147,126,52,17,5,200,
BIHAR,BHOJPUR,SANDESH,133,21,115,4,1,141,
BIHAR,BHOJPUR,SHAHPUR,25,13,36,15,0,65,
BIHAR,BHOJPUR,TARARI,823,673,579,176,25,1453,
BIHAR,BHOJPUR,UDWANTNAGAR,81,159,90,8,0,257,
BIHAR,BUXAR,BRAHMPUR,247,128,129,3,8,268,
BIHAR,BUXAR,BUXAR,82,79,79,0,0,158,
BIHAR,BUXAR,CHOUGAI,81,55,42,1,4,103,
BIHAR,BUXAR,CHOUSA,96,95,94,0,2,190,
BIHAR,BUXAR,DUMRAON,168,110,100,21,4,234,
BIHAR,BUXAR,ITARHI,216,156,108,8,27,299,
BIHAR,BUXAR,RAJPUR,551,539,541,13,15,1107,
BIHAR,BUXAR,SIMRI,108,50,48,10,1,109,
BIHAR,EAST CHAMPARAN,AREARAJ,4992,191,5717,0,0,5907,
BIHAR,EAST CHAMPARAN,GHORASAHAN,0,0,0,0,0,0,
BIHAR,GAYA,AMAS,232,198,112,11,3,324,
BIHAR,GAYA,ATRI,537,622,520,37,57,1236,
BIHAR,GAYA,BANKE BAZAR,294,218,90,0,2,311,
BIHAR,GAYA,BARACHATTY,1136,971,409,30,16,1426,
BIHAR,GAYA,BATHANI,331,337,319,0,7,663,
BIHAR,GAYA,BELAGANJ,834,1259,1099,260,121,2738,
BIHAR,GAYA,BODHGAYA,558,723,694,69,51,1537,
BIHAR,GAYA,DOBHI,862,1799,1085,10,6,2900,
BIHAR,GAYA,DUMARIYA,727,592,798,142,46,1579,
BIHAR,GAYA,FATEHPUR,675,409,506,22,47,985,
BIHAR,GAYA,GAYA NAGAR,66,56,40,0,0,96,
BIHAR,GAYA,GURARU,254,216,173,30,25,445,
BIHAR,GAYA,GURUA,534,772,689,13,6,1480,
BIHAR,GAYA,IMAMGANJ,1294,2052,1034,162,41,3289,
BIHAR,GAYA,KHIZARSARAI,263,255,196,7,2,459,
BIHAR,GAYA,KONCH,548,531,497,67,18,1113,
BIHAR,GAYA,MANPUR,984,1184,1036,592,16,2828,
BIHAR,GAYA,MOHANPUR,283,270,92,9,3,374,
BIHAR,GAYA,PARAIYA,608,1156,827,41,1,2025,
BIHAR,GAYA,SHERGHATTY,218,617,232,4,8,860,
BIHAR,GAYA,TANKUPPA,250,318,234,2,22,577,
BIHAR,GAYA,TEKARI,858,1332,1288,51,27,2697,
BIHAR,GAYA,WAZIRGANJ,974,650,820,60,42,1571,
BIHAR,GOPAALGANJ,BAIKUNTHPUR,43,13,33,5,2,52,
BIHAR,GOPAALGANJ,BARAULI,1346,773,631,0,0,1404,
BIHAR,GOPAALGANJ,BHOREY,1045,417,725,0,0,1142,
BIHAR,GOPAALGANJ,BIJAIPUR,301,167,95,28,25,315,
BIHAR,GOPAALGANJ,HATHUA,831,425,557,6,5,994,
BIHAR,GOPAALGANJ,KATEYA,465,244,212,8,8,472,
BIHAR,GOPAALGANJ,KUCHAIKOTE,1074,677,517,0,0,1194,
BIHAR,GOPAALGANJ,MANJHA,283,83,130,36,36,285,
BIHAR,GOPAALGANJ,PANCHDEWRI,245,227,45,0,9,280,
BIHAR,GOPAALGANJ,PHULWARIYA,1099,354,645,39,96,1135,
BIHAR,GOPAALGANJ,THAWE,10,4,6,0,0,10,
BIHAR,GOPAALGANJ,UCHKAGAON,1117,537,541,38,7,1124,
BIHAR,JAMUI,ALIGANJ,139,119,36,0,0,155,
BIHAR,JAMUI,BARHAT,267,133,170,5,0,308,
BIHAR,JAMUI,CHAKAI,1406,1001,676,54,7,1738,
BIHAR,JAMUI,GHIDHOR,130,77,30,16,26,149,
BIHAR,JAMUI,JAMUI,100,88,64,16,7,175,
BIHAR,JAMUI,JHAJHA,368,185,283,28,13,510,
BIHAR,JAMUI,KHAIRA,1003,1013,569,70,187,1839,
BIHAR,JAMUI,LAXMIPUR,417,20,402,0,0,422,
BIHAR,JAMUI,SIKANDARA,250,107,148,0,0,256,
BIHAR,JAMUI,SONO,1319,814,993,122,139,2069,
BIHAR,JEHANABAD,ARWAL,175,82,76,1,22,181,
BIHAR,JEHANABAD,GHOSHI,173,136,123,27,12,298,
BIHAR,JEHANABAD,HULASGANJ,242,98,147,19,24,289,
BIHAR,JEHANABAD,JEHANABAD,148,72,80,14,3,168,
BIHAR,JEHANABAD,KAKO,591,268,269,73,44,655,
BIHAR,JEHANABAD,KALER,89,45,53,1,7,106,
BIHAR,JEHANABAD,KARPI,453,377,147,24,11,559,
BIHAR,JEHANABAD,KURTHA,247,126,95,15,31,266,
BIHAR,JEHANABAD,MAKHDUMPUR,525,422,297,38,6,763,
BIHAR,JEHANABAD,MODANGANJ,118,50,72,10,6,138,
BIHAR,JEHANABAD,RATNI,163,87,63,18,4,173,
BIHAR,JEHANABAD,VANSHI,27,21,6,0,0,27,
BIHAR,KAIMUR (BHABUA),ADHAURA,241,188,82,1,0,270,
BIHAR,KAIMUR (BHABUA),BHABUA,4399,3023,2020,26,1,5070,
BIHAR,KAIMUR (BHABUA),BHAGWANPUR,1016,819,668,50,19,1556,
BIHAR,KAIMUR (BHABUA),CHAINPUR,3443,3307,3285,0,9,6601,
BIHAR,KAIMUR (BHABUA),CHAND,2143,1615,1428,1,0,3045,
BIHAR,KAIMUR (BHABUA),DURGAWATI,1477,904,827,53,50,1834,
BIHAR,KAIMUR (BHABUA),KUDRA,1773,1733,1624,10,65,3432,
BIHAR,KAIMUR (BHABUA),MOHANIA,1062,960,764,48,13,1784,
BIHAR,KAIMUR (BHABUA),NUAON,1657,1131,869,259,60,2318,
BIHAR,KAIMUR (BHABUA),RAMGARH,2653,1409,1027,386,257,3078,
BIHAR,KAIMUR (BHABUA),RAMPUR,1043,620,518,47,41,1226,
BIHAR,KATIHAR,AZAMNAGAR,18,15,15,0,0,30,
BIHAR,LAKHISARAI,HALSI,100,86,92,0,0,179,
BIHAR,LAKHISARAI,LAKHISARAI,233,134,183,23,10,350,
BIHAR,LAKHISARAI,RAMGHAR CHOK,37,16,19,1,2,39,
BIHAR,LAKHISARAI,SURYAGARAH,170,70,107,11,9,198,
BIHAR,MADHEPURA,GAMHARIA,1,1,1,0,0,1,
BIHAR,MADHEPURA,KUMAR KHAND,1,1,1,0,0,2,
BIHAR,MADHEPURA,SINGHESHWAR,1,1,1,0,0,1,
BIHAR,MADHUBANI,BABUBARHI,15,6,6,3,1,15,
BIHAR,MADHUBANI,HARLAKHI,24,56,36,0,9,101,
BIHAR,MADHUBANI,JAYNAGAR,78,43,45,14,12,115,
BIHAR,MADHUBANI,LAKHANAUR,14,2,5,4,4,15,
BIHAR,MUNGER,ASARGANJ,44,43,49,1,25,117,
BIHAR,MUNGER,BARIYARPUR,33,18,20,10,9,58,
BIHAR,MUNGER,DHARAHARA,381,3,379,0,0,382,
BIHAR,MUNGER,HAWALI KHAGARHPUR,332,95,271,4,0,370,
BIHAR,MUNGER,JAMALPUR,346,76,364,2,0,442,
BIHAR,MUNGER,SADAR MUNGER,497,21,497,17,4,539,
BIHAR,MUNGER,SANGRAMPUR,133,40,72,12,23,147,
BIHAR,MUNGER,TARAPUR,167,55,106,39,17,217,
BIHAR,MUNGER,TATIA BAMBAR,64,14,56,0,0,70,
BIHAR,MUZAFFARPUR,KANTI,110,61,58,26,1,146,
BIHAR,MUZAFFARPUR,KATRA,5,2,4,1,0,7,
BIHAR,MUZAFFARPUR,KURHANI,62,11,32,22,8,73,
BIHAR,MUZAFFARPUR,MINAPUR,12,3,9,0,0,12,
BIHAR,MUZAFFARPUR,MORAUL,24,9,20,2,2,33,
BIHAR,MUZAFFARPUR,MUSHAHARI,2,1,1,0,0,2,
BIHAR,NALANDA,ASTHAWAN,1513,1035,974,11,22,2041,
BIHAR,NALANDA,BEN,1663,936,1289,57,3,2285,
BIHAR,NALANDA,BIHARSHARIF,3539,3245,3579,261,50,7135,
BIHAR,NALANDA,BIND,401,353,332,3,1,689,
BIHAR,NALANDA,CHANDI,2329,1445,1085,264,4,2799,
BIHAR,NALANDA,EKANGARSARAI,641,457,530,2,3,992,
BIHAR,NALANDA,GIRIYAK,814,590,511,44,41,1185,
BIHAR,NALANDA,HARNAUT,2024,1310,1128,46,77,2562,
BIHAR,NALANDA,HILSA,2683,1625,1355,178,58,3216,
BIHAR,NALANDA,ISLAMPUR,289,145,182,23,26,376,
BIHAR,NALANDA,KARAIPARSURAI,903,527,496,124,51,1198,
BIHAR,NALANDA,KATRISARAI,314,260,202,0,2,464,
BIHAR,NALANDA,NAGARNAUSA,955,678,645,36,191,1550,
BIHAR,NALANDA,NOORSARAI,5290,3389,3833,634,151,8006,
BIHAR,NALANDA,PARWALPUR,1472,1284,1225,593,246,3348,
BIHAR,NALANDA,RAHUI,2997,1952,2281,167,221,4620,
BIHAR,NALANDA,RAJGIR,1246,702,729,2,88,1522,
BIHAR,NALANDA,SARMERA,522,325,341,8,14,687,
BIHAR,NALANDA,SILAO,2293,1618,1558,171,33,3381,
BIHAR,NALANDA,THARTHARI,678,411,389,12,19,830,
BIHAR,NAWADA,AKBARPUR,798,657,328,18,20,1022,
BIHAR,NAWADA,GOVINDPUR,3679,1916,1912,155,49,4032,
BIHAR,NAWADA,HASUA,255,97,179,49,45,370,
BIHAR,NAWADA,KASHICHAK,122,110,178,159,13,460,
BIHAR,NAWADA,KAWAKOLE,1170,779,343,64,39,1225,
BIHAR,NAWADA,MESKAUR,198,93,116,35,0,244,
BIHAR,NAWADA,NARDIGUNJ,640,425,279,53,11,767,
BIHAR,NAWADA,NARHAT,426,147,223,72,19,461,
BIHAR,NAWADA,NAWADA,1040,690,390,78,19,1177,
BIHAR,NAWADA,PAKRIBRAWAN,48,30,22,3,11,66,
BIHAR,NAWADA,RAJAULI,504,334,245,40,4,622,
BIHAR,NAWADA,ROH,352,239,142,21,1,403,
BIHAR,NAWADA,SIRDALA,1554,905,590,191,16,1703,
BIHAR,NAWADA,WARISALIGUNJ,739,506,214,54,38,812,
BIHAR,PATNA,ATHAMALGOLA,34,17,17,0,0,35,
BIHAR,PATNA,BAKHTIARPUR,136,72,70,3,1,146,
BIHAR,PATNA,BARH,360,180,162,21,0,363,
BIHAR,PATNA,BELCHCHI,40,14,14,6,7,41,
BIHAR,PATNA,BIHTA,258,116,119,20,29,285,
BIHAR,PATNA,DANIYAWAN,464,262,257,14,2,535,
BIHAR,PATNA,DHANARUA,871,630,657,13,0,1300,
BIHAR,PATNA,DULHIN BAZAR,182,115,91,0,0,207,
BIHAR,PATNA,FATUHA,162,70,104,10,17,201,
BIHAR,PATNA,GHOSWARI,81,38,43,0,0,81,
BIHAR,PATNA,KHUSRUPUR,72,59,59,0,0,117,
BIHAR,PATNA,MANER,48,17,14,14,3,48,
BIHAR,PATNA,MASAURHI,484,432,336,5,0,773,
BIHAR,PATNA,MOKAMA,65,33,33,0,0,65,
BIHAR,PATNA,NAUBATPUR,412,214,199,9,2,424,
BIHAR,PATNA,PALIGANJ,221,130,130,7,4,272,
BIHAR,PATNA,PANDARAK,120,81,124,0,0,205,
BIHAR,PATNA,PATNA SADAR,164,108,113,0,3,223,
BIHAR,PATNA,PHULWARI,298,162,172,1,35,370,
BIHAR,PATNA,PUNPUN,368,307,307,0,1,615,
BIHAR,PATNA,SAMPATCHAK,169,141,141,0,0,281,
BIHAR,PATNA,VIKRAM,236,132,119,0,0,251,
BIHAR,ROHTAS(SASARAM),AKHORIGOLA,3,3,3,0,0,6,
BIHAR,ROHTAS(SASARAM),BIKRAMGANJ,381,294,289,0,1,584,
BIHAR,ROHTAS(SASARAM),CHENARI,2328,1946,1300,33,17,3297,
BIHAR,ROHTAS(SASARAM),DAWATH,316,308,273,0,1,582,
BIHAR,ROHTAS(SASARAM),DEHRI,313,210,187,14,8,419,
BIHAR,ROHTAS(SASARAM),DINARA,194,165,145,0,0,309,
BIHAR,ROHTAS(SASARAM),KARAKAT,569,469,457,40,0,966,
BIHAR,ROHTAS(SASARAM),KARGAHAR,813,599,478,11,0,1087,
BIHAR,ROHTAS(SASARAM),KOCHAS,925,634,657,3,2,1296,
BIHAR,ROHTAS(SASARAM),NASRIGANJ,109,97,64,12,0,174,
BIHAR,ROHTAS(SASARAM),NAUHATTA,1667,916,1627,2,0,2545,
BIHAR,ROHTAS(SASARAM),NOKHA,8,5,7,0,0,12,
BIHAR,ROHTAS(SASARAM),RAJPUR,84,68,66,5,6,144,
BIHAR,ROHTAS(SASARAM),ROHTAS,866,851,597,3,37,1489,
BIHAR,ROHTAS(SASARAM),SANJHAULI,160,112,113,8,0,233,
BIHAR,ROHTAS(SASARAM),SASARAM,1299,950,882,76,30,1938,
BIHAR,ROHTAS(SASARAM),SHEOSAGAR,991,803,468,17,2,1290,
BIHAR,ROHTAS(SASARAM),SURAJPURA,457,443,310,0,101,854,
BIHAR,ROHTAS(SASARAM),TILOUTTHU,198,134,135,13,3,285,
BIHAR,SARAN,AMNAUR,1145,320,685,40,116,1161,
BIHAR,SARAN,BANIYAPUR,1187,94,1100,3,9,1206,
BIHAR,SARAN,DARIYAPUR,146,50,152,2,0,204,
BIHAR,SARAN,DIGHWARA,82,4,68,8,3,83,
BIHAR,SARAN,EKMA,586,137,405,56,5,602,
BIHAR,SARAN,GARKHA,403,209,461,14,16,700,
BIHAR,SARAN,ISHUAPUR,1200,485,1032,18,136,1670,
BIHAR,SARAN,JALAPUR,883,442,442,2,18,903,
BIHAR,SARAN,LAHLADPUR,428,706,739,3,151,1598,
BIHAR,SARAN,MAKER,160,159,159,0,0,317,
BIHAR,SARAN,MANJHI,19,19,19,0,0,38,
