-----
{
 "description": "The table refers to Block wise Distribution of Surface Lift Schemes in use according to Utilization of Potential Created. The report has been sourced from 3rd census of minor irrigation scheme (2000-01) from Ministry of Water Resources.", 
 "file_name": "srfcliftdistr5.15.csv", 
 "title": "Download CSV for Blockwise Distribution of Surface Lift Schemes in use according to Utilization of Potential Created", 
 "url": "http://data.gov.in/sites/default/files/srfcliftdistr5.15.csv"
}
-----
STATENAME,DISTNAME,BLOCKNAME,No. of constraints in utilisation,Constraints in utilisation - Inadequate power supply,Constraints in utilisation - Mechanical breakdown,Constraints in utilisation - Less water discharge,Constraints in utilisation - Storage siltation,Constraints in utilisation - Channel break down,Constraints in utilisation - Other reasons,Total,Total in use
ANDHRA PRADESH,KRISHNA,KANCHIKA CHERLA,3,0,0,0,0,0,0,0,3
ANDHRA PRADESH,KRISHNA,MUSUNURU,1,0,0,0,0,0,0,0,1
ANDHRA PRADESH,KRISHNA,NAGAYALANKA,0,0,0,1,0,0,0,1,1
ANDHRA PRADESH,KRISHNA,NANDIGAMA,3,2,0,0,0,0,1,3,6
ANDHRA PRADESH,KRISHNA,NANDIVADA,1,0,0,0,0,0,0,0,1
ANDHRA PRADESH,KRISHNA,PEDANA,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,KRISHNA,PEDAPARUPUDI,2,0,0,0,0,0,0,0,2
ANDHRA PRADESH,KRISHNA,PENAMALURU,1,0,1,0,1,0,0,2,3
ANDHRA PRADESH,KRISHNA,PENUGANCHIPROLU,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,KRISHNA,REDDIGUDEM,1,0,0,0,0,0,0,0,1
ANDHRA PRADESH,KRISHNA,TIRUVURU,0,1,0,1,0,0,0,2,2
ANDHRA PRADESH,KRISHNA,UNGUTURU,4,0,0,0,0,0,0,0,4
ANDHRA PRADESH,KRISHNA,VATSAVAI,1,1,1,0,0,0,0,2,3
ANDHRA PRADESH,KRISHNA,VEERULLAPADU,3,3,0,0,0,0,0,3,6
ANDHRA PRADESH,KRISHNA,VISSANNAPET,1,0,0,0,0,0,0,0,1
ANDHRA PRADESH,KURNOOL,ADONI,22,0,0,48,0,0,16,64,86
ANDHRA PRADESH,KURNOOL,BANAGANAPALLE,0,1,0,0,0,0,0,1,1
ANDHRA PRADESH,KURNOOL,BANDI ATMAKUR,38,0,0,167,0,0,0,167,205
ANDHRA PRADESH,KURNOOL,C.BELAGAL,132,0,0,50,0,0,0,50,182
ANDHRA PRADESH,KURNOOL,DORNIPADU,25,0,0,0,0,0,0,0,25
ANDHRA PRADESH,KURNOOL,GOSPADU,75,0,0,19,0,0,0,19,94
ANDHRA PRADESH,KURNOOL,HALAHARVI,30,0,19,0,1,0,0,20,50
ANDHRA PRADESH,KURNOOL,HOLAGUNDA,59,0,0,16,0,0,0,16,75
ANDHRA PRADESH,KURNOOL,KOILKUNTLA,138,0,8,176,0,0,9,193,331
ANDHRA PRADESH,KURNOOL,KOTHAPALLE,0,0,0,16,0,0,0,16,16
ANDHRA PRADESH,KURNOOL,KOWTHALAM,61,0,0,0,0,0,0,0,61
ANDHRA PRADESH,KURNOOL,MAHANANDI,6,0,0,0,0,0,0,0,6
ANDHRA PRADESH,KURNOOL,MANTRALAYAM,157,0,0,1,0,0,0,1,158
ANDHRA PRADESH,KURNOOL,NANDAVARAM,99,47,4,52,1,0,5,109,208
ANDHRA PRADESH,KURNOOL,NANDYAL,140,0,0,0,0,0,0,0,140
ANDHRA PRADESH,KURNOOL,PANYAM,83,0,0,2,0,0,0,2,85
ANDHRA PRADESH,KURNOOL,UYYALAWADA,196,5,27,102,0,0,22,156,352
ANDHRA PRADESH,MAHABOOBNAGAR,AIZA,58,9,0,14,0,0,0,23,81
ANDHRA PRADESH,MAHABOOBNAGAR,ATMAKUR,78,81,0,57,0,0,0,138,216
ANDHRA PRADESH,MAHABOOBNAGAR,GADWAL,169,27,0,0,0,0,0,27,196
ANDHRA PRADESH,MAHABOOBNAGAR,ITIKYAL,23,1,0,2,0,0,0,3,26
ANDHRA PRADESH,MAHABOOBNAGAR,MAGANOOR,1,2,0,0,0,0,0,2,3
ANDHRA PRADESH,MAHABOOBNAGAR,MAKTHAL,0,0,0,0,0,0,0,0,0
