-----
{
 "description": "The table refers to District wise Distribution of Shallow Tubewells according to ownership. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "shltbstate2.2.csv", 
 "title": "Download CSV for Districtwise Distribution of Shallow Tubewells according to ownership", 
 "url": "http://data.gov.in/sites/default/files/shltbstate2.2.csv"
}
-----
"State","District","Government","Cooperative Societies","Panchayat","Group of farmers","Individual farmers","Others","Total"
"MADHYA PRADESH","NEEMUCH",1,0,0,105,306,1,413
"MADHYA PRADESH","PANNA",2,0,0,213,2036,0,2251
"MADHYA PRADESH","RAISEN",4,1,0,5,12247,3,12260
"MADHYA PRADESH","RAJGARH",0,1,0,823,3329,54,4207
"MADHYA PRADESH","RATLAM",29,3,1,790,8725,8,9556
"MADHYA PRADESH","REWA",9,0,0,120,6237,2,6368
"MADHYA PRADESH","SAGAR",1,1,0,1,5400,6,5409
"MADHYA PRADESH","SATNA",10,1,0,21,11262,6,11300
"MADHYA PRADESH","SEHORE",2,2,2,344,10923,3,11276
"MADHYA PRADESH","SEONI",3,0,0,1,95,1,100
"MADHYA PRADESH","SHAHDOL",0,0,0,0,194,0,194
"MADHYA PRADESH","SHAJAPUR",3,1,1,757,8929,9,9700
"MADHYA PRADESH","SHEOPUR",4,1,2,220,4530,1,4758
"MADHYA PRADESH","SHIVPURI",139,7,16,341,2199,1,2703
"MADHYA PRADESH","SIDHI",76,0,0,0,1396,0,1472
"MADHYA PRADESH","TIKAMGARH",2,1,0,430,607,0,1040
"MADHYA PRADESH","UJJAIN",47,7,1,590,34774,76,35495
"MADHYA PRADESH","UMARIA",7,0,0,0,554,0,561
"MADHYA PRADESH","VIDISHA",1,0,1,4,9943,0,9949
"MAHARASHTRA","AHMEDNAGAR",72,85,48,1202,9707,17,11131
"MAHARASHTRA","AKOLA",0,0,0,23,201,1,225
"MAHARASHTRA","AMRAVATI",0,0,0,0,137,0,137
"MAHARASHTRA","AURANGABAD",9,0,0,77,1358,0,1444
"MAHARASHTRA","BEED",0,0,0,232,257,0,489
"MAHARASHTRA","BHANDARA",6,0,0,3,49,0,58
"MAHARASHTRA","BULDANA",0,0,0,0,459,0,459
"MAHARASHTRA","CHANDRAPUR",0,0,0,0,141,0,141
"MAHARASHTRA","DHULE",5,7,0,11,399,255,677
"MAHARASHTRA","GADCHIROLI",5,0,1,0,136,0,142
"MAHARASHTRA","GONDIYA",85,0,0,1,160,0,246
"MAHARASHTRA","HINGOLI",0,0,0,57,3196,0,3253
"MAHARASHTRA","JALGAON",0,0,5,147,1167,1,1320
"MAHARASHTRA","JALNA",0,0,0,22,141,0,163
"MAHARASHTRA","KOLHAPUR",18,2,8,688,1799,4,2519
"MAHARASHTRA","LATUR",0,0,0,0,1036,0,1036
"MAHARASHTRA","NAGPUR",0,0,2,0,512,0,514
"MAHARASHTRA","NANDED",0,0,0,480,6391,1,6872
"MAHARASHTRA","NANDURBAR",1,1,0,79,1852,592,2525
"MAHARASHTRA","NASHIK",9,4,379,178,2318,577,3465
"MAHARASHTRA","OSMANABAD",4,1,0,306,991,0,1302
"MAHARASHTRA","PARBHANI",12,4,1,204,1999,3,2223
"MAHARASHTRA","PUNE",43,13,5,1219,2558,4,3842
"MAHARASHTRA","RAIGHAR",7,0,0,0,350,0,357
"MAHARASHTRA","RATNAGIRI",0,0,0,0,6,0,6
"MAHARASHTRA","SANGLI",79,10,13,2791,2530,2,5425
"MAHARASHTRA","SATARA",0,0,0,8,1514,0,1522
"MAHARASHTRA","SINDHUDURGA",2,0,0,0,16,0,18
"MAHARASHTRA","SOLAPUR",7,8,2,932,3929,11,4889
"MAHARASHTRA","THANE",0,0,0,314,1697,0,2011
"MAHARASHTRA","WARDHA",1,1,45,5,13,45,110
"MAHARASHTRA","WASHIM",0,0,0,0,131,0,131
"MAHARASHTRA","YAVATMAL",0,0,0,0,768,0,768
"MANIPUR","IMPHAL EAST",3,0,0,0,0,0,3
"MEGHALAYA","WEST GARO HILLS",26,0,0,6,43,0,75
"NAGALAND","DIMAPUR",0,0,0,0,2,0,2
"ORISSA","ANGUL",2,0,0,0,8,0,10
"ORISSA","BALASORE",10,0,0,26,13309,0,13345
"ORISSA","BARGARH",1,0,2,3,1455,0,1461
"ORISSA","BHADRAK",0,0,0,13,3889,0,3902
"ORISSA","BOLANGIR",1,0,0,0,47,0,48
"ORISSA","CUTTACK",59,2,1,8,4508,0,4578
"ORISSA","DEOGARH",0,0,0,0,1,0,1
"ORISSA","DHENKANAL",0,0,0,0,12,0,12
"ORISSA","GAJAPATI",7,0,0,0,134,0,141
"ORISSA","GANJAM",469,5,2,10,1473,0,1959
"ORISSA","JAGATSINGHPUR",35,2,5,111,3848,1,4002
"ORISSA","JAJAPUR",13,0,0,7,3124,1,3145
"ORISSA","JHARSUGUDA",0,0,0,0,10,0,10
"ORISSA","KALAHANDI",0,0,0,0,38,0,38
"ORISSA","KANDHAMAL",1,0,0,0,0,0,1
"ORISSA","KENDRAPARA",90,0,0,2,1161,0,1253
