-----
{
 "description": "The table refers to District wise Construction of Surface Flow Schemes over the years. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "srfcflowstate4.1.csv", 
 "title": "Download CSV for Districtwise Construction of Surface Flow Schemes over the years", 
 "url": "http://data.gov.in/sites/default/files/srfcflowstate4.1.csv"
}
-----
"State","District","Upto 1993-94","Upto 1994-95","Upto 1995-96","Upto 1996-97","Upto 1997-98","Upto 1998-99","Upto 1999-00","Upto 2000-01","Total (1994-01)"
"RAJASTHAN","BHILWARA",474,0,9,2,2,1,3,0,491
"RAJASTHAN","BUNDI",83,1,0,0,0,0,0,0,84
"RAJASTHAN","CHITTORGARH",68,8,1,9,0,0,0,1,87
"RAJASTHAN","DAUSA",9,0,0,0,0,0,0,0,9
"RAJASTHAN","DHOLPUR",56,10,0,1,0,1,2,5,75
"RAJASTHAN","DUNGARPUR",35,0,1,0,1,0,0,3,40
"RAJASTHAN","JAIPUR",17,0,1,0,0,0,0,0,18
"RAJASTHAN","JAISALMER",0,0,0,0,0,0,0,1,1
"RAJASTHAN","JALORE",10,0,0,0,0,0,0,0,10
"RAJASTHAN","JHALAWAR",18,1,0,0,1,1,2,14,37
"RAJASTHAN","JHUNJHUNU",4,0,0,0,0,0,0,0,4
"RAJASTHAN","KAROLI",135,13,11,1,9,7,4,0,180
"RAJASTHAN","KOTA",30,0,0,0,0,0,0,2,32
"RAJASTHAN","NAGAUR",5,0,0,0,0,0,0,0,5
"RAJASTHAN","PALI",39,0,0,0,2,1,0,0,42
"RAJASTHAN","RAJSAMAND",75,0,0,0,0,0,0,0,75
"RAJASTHAN","SAWAI MADHOPUR",31,0,0,1,1,1,3,35,72
"RAJASTHAN","SIROHI",31,0,0,0,0,0,0,0,31
"RAJASTHAN","TONK",423,1,2,2,5,3,3,1,440
"RAJASTHAN","UDAIPUR",152,0,0,1,0,0,0,0,153
"SIKKIM","EAST",348,1,3,7,13,5,2,57,436
"SIKKIM","NORTH",51,0,0,5,7,0,0,20,83
"SIKKIM","SOUTH",240,1,3,0,2,0,6,25,277
"SIKKIM","WEST",216,0,2,7,6,0,0,49,280
"TAMIL NADU","COIMBATORE",328,0,0,0,0,0,0,0,328
"TAMIL NADU","CUDDALORE",897,5,3,2,0,1,0,0,908
"TAMIL NADU","DHARMAPURI",2553,4,16,26,0,0,0,0,2599
"TAMIL NADU","DINDIGUL",3349,157,51,0,0,0,0,0,3557
"TAMIL NADU","ERODE",814,1,4,11,6,5,4,1,846
"TAMIL NADU","KANCHEEPURAM",2556,0,2,0,8,12,0,0,2578
"TAMIL NADU","KANYAKUMARI",3097,4,1,1,0,0,0,198,3301
"TAMIL NADU","KARUR",1046,13,12,1,0,0,0,0,1072
"TAMIL NADU","MADURAI",2317,25,22,99,53,1,2,0,2519
"TAMIL NADU","NAGAPATTINAM",1,0,0,0,0,0,0,0,1
"TAMIL NADU","NAMAKKAL",556,1,0,0,0,0,0,0,557
"TAMIL NADU","NILGIRIS",2,0,1,0,0,0,0,517,520
"TAMIL NADU","PERAMBALUR",1116,5,17,1,0,0,0,0,1139
"TAMIL NADU","PUDUKKOTTAI",4859,12,17,13,1,1,0,0,4903
"TAMIL NADU","RAMANATHAPURAM",1682,3,7,2,0,0,0,0,1694
"TAMIL NADU","SALEM",355,0,0,0,0,0,0,0,355
"TAMIL NADU","SIVAGANGA",4153,13,86,0,0,16,0,17,4285
"TAMIL NADU","THANJAVUR",184,9,22,86,6,2,0,0,309
"TAMIL NADU","THENI",275,0,21,0,0,0,0,3,299
"TAMIL NADU","THIRUVALLUR",2213,4,5,0,0,0,0,0,2222
"TAMIL NADU","THIRUVARUR",19,0,0,0,0,0,0,0,19
"TAMIL NADU","TIRUCHIRAPPALLI",919,6,2,94,0,0,0,0,1021
"TAMIL NADU","TIRUNELVELI",2433,5,7,6,3,3,0,0,2457
"TAMIL NADU","TIRUVANNAMALAI",2680,10,26,12,0,0,1,404,3133
"TAMIL NADU","TUTICORIN DISTRICT",1558,6,22,0,0,0,0,0,1586
"TAMIL NADU","VELLORE",1293,0,3,0,0,0,0,0,1296
"TAMIL NADU","VILLUPPURAM",1392,19,11,14,1,0,0,3,1440
"TAMIL NADU","VIRUDHUNAGAR",650,1,2,1,0,0,1,0,655
"TRIPURA","DHALAI",7,0,0,1,1,0,3,1,13
"TRIPURA","NORTH TRIPURA",10,6,15,10,22,14,58,9,144
"TRIPURA","SOUTH TRIPURA",194,8,20,18,61,33,46,109,489
"TRIPURA","WEST TRIPURA",51,11,15,22,26,22,75,68,290
"UTTAR PRADESH","ALIGARH",0,39,0,0,0,0,0,0,39
"UTTAR PRADESH","ALLAHABAD",311,34,46,54,13,11,13,11,493
"UTTAR PRADESH","BAGHPAT",0,0,0,0,0,0,0,2,2
"UTTAR PRADESH","BAHARAICH",1,0,0,1,1,0,0,0,3
"UTTAR PRADESH","BANDA",107,44,34,10,5,11,5,22,238
"UTTAR PRADESH","BAREILLY",390,1,14,0,1,1,2,6,415
"UTTAR PRADESH","BASTI",0,0,3,2,0,0,0,0,5
"UTTAR PRADESH","BULAND SAHAR",14,0,0,0,0,0,0,0,14
"UTTAR PRADESH","CHANDAULI",24,15,26,11,11,8,13,4,112
"UTTAR PRADESH","CHITRAKOOT",274,20,36,47,40,27,16,12,472
"UTTAR PRADESH","DEORIA",4,0,1,0,3,0,0,2,10
"UTTAR PRADESH","FATEHPUR",31,0,0,0,0,0,0,0,31
"UTTAR PRADESH","GHAZIABAD",103,0,0,0,0,0,0,0,103
"UTTAR PRADESH","GORAKHPUR",1,0,0,0,0,0,0,0,1
"UTTAR PRADESH","HAMIRPUR",272,6,15,12,47,18,6,1,377
"UTTAR PRADESH","JALAUN",137,45,36,17,10,4,6,347,602
"UTTAR PRADESH","JAUNPUR",5,0,0,0,0,0,0,1,6
"UTTAR PRADESH","JHANSI",559,74,86,35,31,21,5,8,819
"UTTAR PRADESH","KANNAUJ",16,0,0,0,0,0,0,0,16
"UTTAR PRADESH","KANPUR DEHAT",0,0,0,0,1,0,1,25,27
"UTTAR PRADESH","KANPUR NAGAR",0,0,4,0,0,0,0,0,4
"UTTAR PRADESH","KAUSHAMBI",0,0,0,0,1,1,0,0,2
"UTTAR PRADESH","LALITPUR",369,43,50,31,26,8,3,6,536
"UTTAR PRADESH","LUCKNOW",1,0,0,0,0,0,0,0,1
"UTTAR PRADESH","MAHARAJ GANJ",36,19,14,9,15,6,0,1,100
"UTTAR PRADESH","MAHOBA",29,4,7,3,7,5,3,1,59
"UTTAR PRADESH","MEERUT",0,0,0,0,0,0,0,1,1
"UTTAR PRADESH","MIRZAPUR",155,1,0,2,0,3,3,0,164
"UTTAR PRADESH","MORADABAD",13,0,0,0,0,0,0,0,13
"UTTAR PRADESH","MUZZAFARNAGAR",1,3,4,5,1,0,0,1,15
"UTTAR PRADESH","RAMPUR",0,1,1,1,1,0,0,0,4
"UTTAR PRADESH","SAHARANPUR",1,0,0,0,0,0,0,0,1
"UTTAR PRADESH","SANT KABIR NAGAR",5,0,17,2,3,0,0,0,27
"UTTAR PRADESH","SANT RAVI DAS NAGAR",1,0,0,1,0,0,0,0,2
"UTTAR PRADESH","SHRAWASTI",13,0,0,0,0,0,0,0,13
"UTTAR PRADESH","SIDDHARTH NAGAR",9,1,9,3,6,9,2,3,42
"UTTAR PRADESH","SONBHADRA",1263,51,64,42,20,24,22,11,1497
"UTTAR PRADESH","VARANASI",30,1,1,0,0,1,0,0,33
"UTTARANCHAL","ALMORA",2415,233,161,103,105,152,116,61,3346
"UTTARANCHAL","BAGESHWAR",1200,119,44,36,32,40,56,31,1558
"UTTARANCHAL","CHAMOLI",1036,147,68,101,62,91,57,59,1621
"UTTARANCHAL","CHAMPAWAT",433,61,65,72,71,73,41,11,827
"UTTARANCHAL","DEHRA DUN",659,47,55,30,29,19,16,12,867
"UTTARANCHAL","HARIDWAR",17,2,0,0,0,0,0,0,19
"UTTARANCHAL","NAINITAL",2364,149,141,104,64,67,164,108,3161
"UTTARANCHAL","PAURI",1770,209,155,105,133,108,76,55,2611
"UTTARANCHAL","PITHORAGARH",2180,210,194,219,216,261,94,42,3416
"UTTARANCHAL","RUDHARAPARYAG",471,28,44,65,46,28,30,31,743
"UTTARANCHAL","TEHARI GARHWAL",2606,391,282,263,318,436,316,165,4777
"UTTARANCHAL","UDHAM SINGH NAGAR",423,30,20,9,0,0,0,1,483
"UTTARANCHAL","UTTARKASHI",1220,171,147,106,115,143,95,100,2097
"WEST BENGAL","BANKURA",14232,290,118,52,33,11,15,18,14769
"WEST BENGAL","BIRBHUM",7674,65,54,64,39,33,24,35,7988
"WEST BENGAL","BURDWAN",1361,48,59,17,9,10,8,71,1583
"WEST BENGAL","DARJEELING",203,16,15,13,5,15,23,21,311
"WEST BENGAL","HAORA",443,7,5,4,1,9,2,10,481
"WEST BENGAL","HOOGHLY",205,0,0,0,0,0,0,0,205
"WEST BENGAL","JALPAIGURI",312,6,18,9,5,6,19,4,379
"WEST BENGAL","MALDA",371,9,3,11,7,0,0,0,401
"WEST BENGAL","MIDNAPORE",1686,51,52,34,27,21,9,12,1892
"WEST BENGAL","MURSHIDABAD",1783,24,24,11,9,15,0,4,1870
"WEST BENGAL","NADIA",21,1,10,5,1,0,0,0,38
"WEST BENGAL","NORTH 24 PARGANAS",509,205,125,92,26,29,6,7,999
"WEST BENGAL","PURULIA",20032,407,239,125,119,143,121,100,21286
"WEST BENGAL","SOUTH 24 PARGANAS",1306,38,29,44,54,65,34,5,1575
"WEST BENGAL","UTTAR DINAJPUR",1,3,0,0,0,0,0,0,4
