-----
{
 "description": "This data provides details of Hon\u2019ble Members of the Seventh Lok Sabha from 18th January 1980 to 31st December 1984. It consists of name of members, constituency name, state name and party name.", 
 "file_name": "Members_of_Seventh_Lok_Sabha_From_18th_January_1980_to_31st_December_1984.xls", 
 "title": "Download XLS for Members of Seventh Lok Sabha from 18th January 1980 to 31st December 1984", 
 "url": "http://data.gov.in/sites/default/files/Members_of_Seventh_Lok_Sabha_From_18th_January_1980_to_31st_December_1984.xls"
}
-----
"Lok Sabha","Member Name","Gender","Constituency Name","State Name","Party Name"
"Seventh Lok Sabha","Shri Gigabhai Gohil","Male","Bhavnagar                                                                                           ","Gujarat                                                     ","Congress (I)"
"Seventh Lok Sabha","Smt. Suseela Gopalan","Female","Alleppey                                                                                            ","Kerala                                                      ","Communist Party of India (Marxist)"
"Seventh Lok Sabha","Shri Senapathi A. Gounder","Male","Palani                                                                                              ","Tamil Nadu                                                  ","Congress (I)"
"Seventh Lok Sabha","Shri N. Gouzagin","Male","Outer Manipur-ST                                                                                    ","Manipur                                                     ","Congress (I)"
"Seventh Lok Sabha","Shri D.M. Putte Gowda","Male","Chikmagalur                                                                                         ","Karnataka                                                   ","Congress (I)"
"Seventh Lok Sabha","Shri H.N. Nanje Gowda","Male","Hassan                                                                                              ","Karnataka                                                   ","Congress (I)"
"Seventh Lok Sabha","Shri Krishna Kumar Goyal","Male","Kota                                                                                                ","Rajasthan                                                   ","Bharatiya Janata Party"
"Seventh Lok Sabha","Shri Gulsher Ahmed","Male","Satna                                                                                               ","Madhya Pradesh                                              ","Congress (I)"
"Seventh Lok Sabha","Shri Indrajit Gupta","Male","Basirhat                                                                                            ","West Bengal                                                 ","Communist Party of India"
"Seventh Lok Sabha","Shri Hakam Singh","Male","Bhatinda-SC                                                                                         ","Punjab                                                      ","Congress (I)"
"Seventh Lok Sabha","Shri Krishna Chandra Halder","Male","Durgapur-SC                                                                                         ","West Bengal                                                 ","Communist Party of India (Marxist)"
"Seventh Lok Sabha","Shri Matilal Hansda","Male","Jhargram-ST                                                                                         ","West Bengal                                                 ","Communist Party of India (Marxist)"
"Seventh Lok Sabha","Shri Harikesh Bahadur","Male","Gorakhpur                                                                                           ","Uttar Pradesh                                               ","Congress (I)"
"Seventh Lok Sabha","Shri Seth Hembram","Male","Rajmahal-ST                                                                                         ","Bihar                                                       ","Congress (I)"
"Seventh Lok Sabha","Shri Niral Enem Horo","Male","Khunti-ST                                                                                           ","Bihar                                                       ","Unattached"
"Seventh Lok Sabha","Shri Syed Masudal Hossain","Male","Murshidabad                                                                                         ","West Bengal                                                 ","Communist Party of India (Marxist)"
"Seventh Lok Sabha","Shri Ezhu Kudikkal Imbichibava","Male","Calicut                                                                                             ","Kerala                                                      ","Communist Party of India (Marxist)"
"Seventh Lok Sabha","Smt. Indra Kumari","Female","Aligarh                                                                                             ","Uttar Pradesh                                               ","Janata (S)"
"Seventh Lok Sabha","Shri Nurul Islam","Male","Aligarh                                                                                             ","Uttar Pradesh                                               ","Congress (I)"
"Seventh Lok Sabha","Shri Daulatsinhji Pratapsinhji Jadeja","Male","Jamnagar                                                                                            ","Gujarat                                                     ","Congress (I)"
"Seventh Lok Sabha","Shri C.K. Jaffer Sharief","Male","Bangalore North                                                                                     ","Karnataka                                                   ","Congress (I)"
"Seventh Lok Sabha","Shri Jag Pal Singh","Male","Hardwar-SC                                                                                          ","Uttar Pradesh                                               ","Janata (S)"
"Seventh Lok Sabha","Shri Jagjivan Ram","Male","Sasaram-SC                                                                                          ","Bihar                                                       ","Unattached"
"Seventh Lok Sabha","Shri Jaideep Singh","Male","Godhra                                                                                              ","Gujarat                                                     ","Congress (I)"
"Seventh Lok Sabha","Shri Bhiku Ram Jain","Male","Chandni Chowk                                                                                       ","Delhi                                                       ","Congress (I)"
"Seventh Lok Sabha","Shri Nihal Singh Jain","Male","Agra                                                                                                ","Uttar Pradesh                                               ","Congress (I)"
"Seventh Lok Sabha","Shri Virdhi Chand Jain","Male","Barmer                                                                                              ","Rajasthan                                                   ","Congress (I)"
"Seventh Lok Sabha","Dr. Bal Ram Jakhar","Male","Ferozepur                                                                                       ","Punjab                                                      ","Congress (I)"
"Seventh Lok Sabha","Shri S.T.K. Jakkayan","Male","Periyakulam                                                                                         ","Tamil Nadu                                                  ","All India Anna Dravida Munnetra Kazhagam"
"Seventh Lok Sabha","Shri Jamilur Rahman","Male","Kishanganj                                                                                          ","Bihar                                                       ","Congress (I)"
"Seventh Lok Sabha","Dr. Satyanarayan Jatiya","Male","Ujjain-SC                                                                                           ","Madhya Pradesh                                              ","Bharatiya Janata Party"
"Seventh Lok Sabha","Shri Chintamani Jena","Male","Balasore                                                                                            ","Odisha                                                      ","Congress (I)"
"Seventh Lok Sabha","Shri Ram Jethmalani","Male","Bombay North West                                                                                   ","Maharashtra                                                 ","Bharatiya Janata Party"
"Seventh Lok Sabha","Shri Bhogendra Jha","Male","Madhubani                                                                                           ","Bihar                                                       ","Communist Party of India"
"Seventh Lok Sabha","Shri Kamal Nath Jha","Male","Saharsa                                                                                             ","Bihar                                                       ","Congress (I)"
"Seventh Lok Sabha","Shri Jharkhande Rai","Male","Ghosi                                                                                               ","Uttar Pradesh                                               ","Communist Party of India"
"Seventh Lok Sabha","Shri Jitendra Prasada","Male","Shahjahanpur                                                                                        ","Uttar Pradesh                                               ","Congress (I)"
"Seventh Lok Sabha","Shri Abdul Rashid Kabuli","Male","Srinagar                                                                                            ","Jammu and Kashmir                                           ","National Conference"
"Seventh Lok Sabha","Shri Zambru Mangalu Kahandole","Male","Malegaon-ST                                                                                         ","Maharashtra                                                 ","Congress (I)"
"Seventh Lok Sabha","Smt. Kailaspati","Female","Mohanlalganj-SC                                                                                     ","Uttar Pradesh                                               ","Congress (I)"
