-----
{
 "description": "The table refers to Block wise Distribution of Dugwells according to Horse Power of Lifting Device. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "dgwldistr1.10.csv", 
 "title": "Download CSV for Blockwise Distribution of Dugwells according to Horse Power of Lifting Device", 
 "url": "http://data.gov.in/sites/default/files/dgwldistr1.10.csv"
}
-----
STATENAME,DISTNAME,BLOCKNAME,Horse Power (0-2),Horse Power (2 - 4),Horse Power (4 - 6),Horse Power (6 -8),Horse Power (8 - 10),Horse Power (Above 10),Unspecified,Total
MADHYA PRADESH,BETUL,MULTAI,224,8683,554,9,6,0,514,9990
MADHYA PRADESH,BETUL,PRABHAT PATTAN,501,6636,566,41,0,0,39,7783
MADHYA PRADESH,BETUL,SHAHPUR,64,2505,551,22,1,0,82,3225
MADHYA PRADESH,BHIND,ATER,9,1,26,43,1427,446,0,1952
MADHYA PRADESH,BHIND,BHIND,0,1,36,36,889,104,16,1082
MADHYA PRADESH,BHIND,GOHAD,2,6,1043,611,220,16,85,1983
MADHYA PRADESH,BHIND,LAHAR,9,6,1797,775,1196,8,227,4018
MADHYA PRADESH,BHIND,MEHAGOAN,78,2,1098,1215,1309,162,59,3923
MADHYA PRADESH,BHIND,ROUN(MIHONA),9,0,1065,653,467,12,18,2224
MADHYA PRADESH,BHOPAL,BERASIA,34,1460,5939,7,26,43,201,7710
MADHYA PRADESH,BHOPAL,FUNDA,23,357,2093,7,0,6,15,2501
MADHYA PRADESH,CHHATARPUR,BADAMALAHERA,29,3354,1662,4,13,0,115,5177
MADHYA PRADESH,CHHATARPUR,BIJAWAR,9,3635,1857,8,2,8,179,5698
MADHYA PRADESH,CHHATARPUR,BUXWAHA,26,391,963,1,0,1,15,1397
MADHYA PRADESH,CHHATARPUR,CHHATARPUR,31,8009,4137,13,1,7,235,12433
MADHYA PRADESH,CHHATARPUR,GAURIHAR,0,59,745,60,8,0,40,912
MADHYA PRADESH,CHHATARPUR,LAUNDI,11,689,4036,36,1,0,280,5053
MADHYA PRADESH,CHHATARPUR,NOWGONG,36,6466,3512,32,0,12,162,10220
MADHYA PRADESH,CHHATARPUR,RAJNAGAR,13,10919,1672,4,3,9,210,12830
MADHYA PRADESH,CHHINDWARA,AMARWADA,295,6692,213,1,12,11,148,7372
MADHYA PRADESH,CHHINDWARA,BICHHUA,123,3305,38,1,0,3,232,3702
MADHYA PRADESH,CHHINDWARA,CHHINDWADA,457,9474,121,5,0,10,773,10840
MADHYA PRADESH,CHHINDWARA,CHOURAI,186,10988,688,200,91,14,197,12364
MADHYA PRADESH,CHHINDWARA,HARAI,171,2062,295,0,31,4,55,2618
MADHYA PRADESH,CHHINDWARA,JAMAI,650,2927,53,1,1,1,200,3833
MADHYA PRADESH,CHHINDWARA,MOHKHED,1029,10079,235,2,0,9,361,11715
MADHYA PRADESH,CHHINDWARA,PANDHURANA,118,9593,69,2,60,17,521,10380
MADHYA PRADESH,CHHINDWARA,PARASIA,166,6700,204,0,0,6,335,7411
MADHYA PRADESH,CHHINDWARA,SAUSAR,132,6876,168,1,1,4,104,7286
MADHYA PRADESH,CHHINDWARA,TAMIA,87,351,14,0,0,3,0,455
MADHYA PRADESH,DAMOH,BATIYAGHAR,89,877,855,6,8,8,74,1917
MADHYA PRADESH,DAMOH,DAMOH,131,2015,1593,32,4,7,96,3878
MADHYA PRADESH,DAMOH,HATTA,439,337,940,6,4,1,37,1764
MADHYA PRADESH,DAMOH,JABERA,134,425,623,25,3,2,36,1248
MADHYA PRADESH,DAMOH,PATERA,207,586,631,38,2,3,17,1484
MADHYA PRADESH,DAMOH,PATHARIA,42,517,1404,1,2,2,12,1980
MADHYA PRADESH,DAMOH,TENDUKHEDA,119,83,745,8,1,3,39,998
MADHYA PRADESH,DATIA,BHANDER,93,16,2031,233,23,6,256,2658
MADHYA PRADESH,DATIA,DATIA,718,2008,9201,52,28,5,966,12978
MADHYA PRADESH,DATIA,SEONDHA,185,264,2422,860,185,6,434,4356
MADHYA PRADESH,DEWAS,BAGLEE,24,6812,1357,17,1,7,540,8758
MADHYA PRADESH,DEWAS,DEWAS,50,4523,2219,3,9,8,370,7182
MADHYA PRADESH,DEWAS,KANNOD,68,4471,1196,11,0,3,201,5950
MADHYA PRADESH,DEWAS,KHATEGAON,4,2639,1111,13,5,3,231,4006
MADHYA PRADESH,DEWAS,SONKUCH,3,3788,507,5,1,2,60,4366
MADHYA PRADESH,DEWAS,TONKHURD,0,2595,618,3,0,0,16,3232
MADHYA PRADESH,DHAR,BADNAWER,31,2220,2773,1,1,14,44,5084
MADHYA PRADESH,DHAR,BAGH,768,1195,22,1,0,18,156,2160
MADHYA PRADESH,DHAR,DAHI,17,2586,223,1,0,5,345,3177
MADHYA PRADESH,DHAR,DHAR,2,1,115,0,0,1,8,127
MADHYA PRADESH,DHAR,DHARAMPURI,168,4671,962,7,23,11,165,6007
MADHYA PRADESH,DHAR,GANDHWANI,17,1439,346,8,0,3,27,1840
MADHYA PRADESH,DHAR,KUKSHI,691,1858,1126,0,2,29,121,3827
MADHYA PRADESH,DHAR,MANAWAR,2,2472,963,9,0,3,176,3625
MADHYA PRADESH,DHAR,NALACHHA,60,238,698,0,0,6,45,1047
MADHYA PRADESH,DHAR,NISARPUR,10,1562,157,2,0,4,178,1913
MADHYA PRADESH,DHAR,SARDARPUR,123,5940,1249,8,22,36,156,7534
MADHYA PRADESH,DHAR,TIRLA,3,110,150,0,1,0,71,335
MADHYA PRADESH,DHAR,UMARBAN,0,586,135,0,0,2,5,728
MADHYA PRADESH,DINDORI,AMARPUR,0,0,0,0,0,0,11,11
MADHYA PRADESH,DINDORI,BAJAG,0,0,0,0,0,0,3,3
