-----
{
 "description": "The table refers to Block wise Distribution of Surface Flow Schemes by type. The report has been sourced from 3rd census of minor irrigation scheme (2000-01) from Ministry of Water Resources.", 
 "file_name": "srfcflowdistr4.5.csv", 
 "title": "Download CSV for Blockwise Distribution of Surface Flow Schemes by type", 
 "url": "http://data.gov.in/sites/default/files/srfcflowdistr4.5.csv"
}
-----
STATENAME,DISTNAME,BLOCKNAME,Tanks,Storage,Permanent Diversion,Temporary Diversion,Water Conversation,Total
ANDHRA PRADESH,EAST GODAVARI,GANGAVARAM,110,0,4,0,16,130
ANDHRA PRADESH,EAST GODAVARI,GOKAVARAM,110,6,0,0,0,116
ANDHRA PRADESH,EAST GODAVARI,GOLLAPROLU,50,0,0,0,0,50
ANDHRA PRADESH,EAST GODAVARI,JAGGAMPETA,102,0,0,0,0,102
ANDHRA PRADESH,EAST GODAVARI,KADIAM,9,0,0,0,0,9
ANDHRA PRADESH,EAST GODAVARI,KIRLAMPUDI,6,0,0,0,0,6
ANDHRA PRADESH,EAST GODAVARI,KORUKONDA,110,0,0,0,0,110
ANDHRA PRADESH,EAST GODAVARI,KOTANANDURU,90,0,2,1,1,94
ANDHRA PRADESH,EAST GODAVARI,MANDAPETA,30,0,0,0,0,30
ANDHRA PRADESH,EAST GODAVARI,MAREDUMILLI,2,0,0,0,0,2
ANDHRA PRADESH,EAST GODAVARI,PEDDAPURAM,52,0,0,0,0,52
ANDHRA PRADESH,EAST GODAVARI,PRATHIPADU,73,0,16,0,1,90
ANDHRA PRADESH,EAST GODAVARI,RAJAHMUNDRY(RURAL),17,0,0,0,0,17
ANDHRA PRADESH,EAST GODAVARI,RAJANAGARAM,202,0,0,0,0,202
ANDHRA PRADESH,EAST GODAVARI,RAJAVOMMANGI,36,6,21,17,6,86
ANDHRA PRADESH,EAST GODAVARI,RAMPACHODAVARAM,17,0,1,0,32,50
ANDHRA PRADESH,EAST GODAVARI,RANGAMPETA,143,0,0,0,0,143
ANDHRA PRADESH,EAST GODAVARI,SAMALKOTA,29,0,0,0,0,29
ANDHRA PRADESH,EAST GODAVARI,SANKHAVARAM,97,2,13,0,0,112
ANDHRA PRADESH,EAST GODAVARI,THONDANGI,38,1,0,0,0,39
ANDHRA PRADESH,EAST GODAVARI,TUNI,102,0,0,0,0,102
ANDHRA PRADESH,EAST GODAVARI,Y RAMAVARAM,10,24,1,6,0,41
ANDHRA PRADESH,EAST GODAVARI,YELESWARAM,17,7,0,0,0,24
ANDHRA PRADESH,GUNTUR,ACHAMPETA,5,0,0,0,0,5
ANDHRA PRADESH,GUNTUR,AMARAVATHI,6,0,0,0,0,6
ANDHRA PRADESH,GUNTUR,BELLAMKONDA,6,0,0,0,0,6
ANDHRA PRADESH,GUNTUR,BOLLAPALLE,16,0,0,0,0,16
ANDHRA PRADESH,GUNTUR,CHILAKALURIPET,1,0,0,0,0,1
ANDHRA PRADESH,GUNTUR,DURGI,3,0,0,0,0,3
ANDHRA PRADESH,GUNTUR,EDLAPADU,5,0,0,0,0,5
ANDHRA PRADESH,GUNTUR,GUNTUR,12,0,0,0,0,12
ANDHRA PRADESH,GUNTUR,IPURU,11,2,2,0,0,15
ANDHRA PRADESH,GUNTUR,KAREMPUDI,5,1,0,0,0,6
ANDHRA PRADESH,GUNTUR,KROSURU,6,0,0,0,0,6
ANDHRA PRADESH,GUNTUR,MACHAVARAM,4,2,1,1,6,14
ANDHRA PRADESH,GUNTUR,MACHERLA,5,0,0,0,0,5
ANDHRA PRADESH,GUNTUR,MANGALAGIRI,12,0,1,0,0,13
ANDHRA PRADESH,GUNTUR,MEDIKONDURU,1,0,0,0,0,1
ANDHRA PRADESH,GUNTUR,MUPPALLA,10,0,0,1,0,11
ANDHRA PRADESH,GUNTUR,NAKARIKALLU,6,0,0,0,0,6
ANDHRA PRADESH,GUNTUR,NARASARAOPETA,6,2,2,1,0,11
ANDHRA PRADESH,GUNTUR,NUZENDLA,13,0,0,0,0,13
ANDHRA PRADESH,GUNTUR,PEDAKAKANI,8,0,0,0,0,8
ANDHRA PRADESH,GUNTUR,PEDAKURAPADU,1,0,0,0,0,1
ANDHRA PRADESH,GUNTUR,PHIRANGIPURAM,4,0,0,0,0,4
ANDHRA PRADESH,GUNTUR,PIDUGURALLA,7,0,0,0,0,7
ANDHRA PRADESH,GUNTUR,PRATHIPADU,6,0,0,1,0,7
