-----
{
 "description": "The table refers to district wise distribution of shallow tubewells according to the farmers holding size . The report has been sourced from 2nd census of minor irrigation scheme(1993-94) from ministry of water resources.", 
 "file_name": "Districtshtbwl2.3.csv", 
 "title": "Download CSV for District wise Distribution of Shallow Tubewells according to The Farmers holding size for 2nd Census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/Districtshtbwl2.3.csv"
}
-----
State,District,Marginal (0-1 ha),Small (1-2 ha),Medium (2-10 ha),Big ( > 10 ha),Total
RAJASTHAN,JHALAWAR,1,3,43,22,69
RAJASTHAN,JODHPUR,1,10,161,92,264
RAJASTHAN,KOTA,30,169,1368,344,1911
RAJASTHAN,NAGAUR,6,40,441,34,521
RAJASTHAN,PALI,3,3,40,88,134
RAJASTHAN,RAJSAMAND,0,0,4,3,7
RAJASTHAN,SAWAI-MADHOPUR,226,693,1393,65,2377
RAJASTHAN,SIROHI,0,0,0,1,1
RAJASTHAN,TONK,0,2,3,0,5
RAJASTHAN,UDAIPUR,3,7,16,0,26
TAMIL NADU,COIMBATORE,189,214,349,20,772
TAMIL NADU,CUDDALORE,9403,6933,4910,348,21594
TAMIL NADU,DHARMAPURI,56,21,0,0,77
TAMIL NADU,DINDIGUL,29,14,0,0,43
TAMIL NADU,ERODE,71,59,46,4,180
TAMIL NADU,KANCHIPURAM,1939,1006,805,48,3798
TAMIL NADU,KANNIYAKUMARI,41,14,0,0,55
TAMIL NADU,KARUR,72,83,140,6,301
TAMIL NADU,MADURAI,38,9,2,0,49
TAMIL NADU,NAGAPATTINAM,1157,700,374,13,2244
TAMIL NADU,NAMAKKAL,5,9,22,0,36
TAMIL NADU,PERAMBALUR,2401,511,303,51,3266
TAMIL NADU,PUDUKOTTAI,268,207,107,8,590
TAMIL NADU,RAMNATHAPURAM,122,88,68,1,279
TAMIL NADU,SALEM,76,41,30,0,147
TAMIL NADU,SIVAGANGA,7,8,22,1,38
TAMIL NADU,THANJAVUR,8084,6137,3621,649,18491
TAMIL NADU,THENI,281,80,26,6,393
TAMIL NADU,TIRUNELVELI,25,1,3,3,32
TAMIL NADU,TIRUVALLUR,1963,1495,1675,36,5169
TAMIL NADU,TIRUVARUR,3977,4232,2940,164,11313
TAMIL NADU,TRICHIRAPPALLI,516,161,62,9,748
TAMIL NADU,VILLUPURAM,2977,1453,1243,191,5864
TRIPURA,DHALAI,41,0,0,14,55
TRIPURA,NORTH,5,0,0,0,5
TRIPURA,SOUTH,31,3,0,2,36
TRIPURA,WEST,1,4,7,0,12
UTTAR PRADESH,AGRA,7089,8573,19405,282,35349
UTTAR PRADESH,ALIGARH,11296,16354,20726,734,49110
UTTAR PRADESH,ALLAHABAD,11345,10877,4916,585,27723
UTTAR PRADESH,AMBEDKAR NAGAR,17805,12723,4712,391,35631
UTTAR PRADESH,AZAMGARH,17290,8502,2595,151,28538
UTTAR PRADESH,BADAUN,22141,19474,11777,686,54078
UTTAR PRADESH,BAHRAICH,24789,17577,9815,801,52982
UTTAR PRADESH,BALLIA,13330,7327,2636,194,23487
UTTAR PRADESH,BANDA,644,2066,3023,426,6159
UTTAR PRADESH,BARABANKI,21073,9056,2936,176,33241
UTTAR PRADESH,BAREILLY,22403,15855,9903,447,48608
UTTAR PRADESH,BASTI,27472,13568,4650,561,46251
UTTAR PRADESH,BIJNOR,15259,22837,22001,787,60884
UTTAR PRADESH,BULANDSHAHR,11913,16585,15741,796,45035
UTTAR PRADESH,DEHRADUN,195,90,160,7,452
UTTAR PRADESH,DEORIA,22065,10203,2652,189,35109
UTTAR PRADESH,ETAH,14019,16793,10723,443,41978
UTTAR PRADESH,ETAWAH,11307,11175,6854,352,29688
UTTAR PRADESH,FAIZABAD,19542,8534,2276,329,30681
UTTAR PRADESH,FARUKHABAD,19324,18767,10885,968,49944
UTTAR PRADESH,FATEHPUR,3350,4743,4112,304,12509
UTTAR PRADESH,FIROZABAD,5061,7952,7198,178,20389
UTTAR PRADESH,GHAZIABAD,11700,11260,7738,485,31183
UTTAR PRADESH,GHAZIPUR,8924,7079,3791,263,20057
UTTAR PRADESH,GONDA,30844,13474,6846,326,51490
UTTAR PRADESH,GORAKHPUR,33666,8414,2594,1610,46284
UTTAR PRADESH,HAMIRPUR,794,1967,3705,1005,7471
