-----
{
 "description": "The table refers to District wise Culturable Command Area and Potential Created through Shallow Tubewells . The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "shltbstate2.12.csv", 
 "title": "Download CSV for Districtwise Culturable Command Area and Potential Created through Shallow Tubewells", 
 "url": "http://data.gov.in/sites/default/files/shltbstate2.12.csv"
}
-----
"State","District","Culturable Command Area","Irrigation potential created - Kharif","Irrigation potential created - Rabi","Irrigation potential created - Perennial","Irrigation potential created - Others","Total - Irrigation potential created"
"MAHARASHTRA","LATUR",3132,1590,1454,927,24,3996
"MAHARASHTRA","NAGPUR",1271,1056,536,179,14,1784
"MAHARASHTRA","NANDED",13502,6750,8638,3797,987,20172
"MAHARASHTRA","NANDURBAR",4462,1062,180,3315,61,4619
"MAHARASHTRA","NASHIK",6110,3748,1855,427,474,6504
"MAHARASHTRA","OSMANABAD",3184,1319,1377,830,201,3726
"MAHARASHTRA","PARBHANI",5044,1864,3093,1000,675,6631
"MAHARASHTRA","PUNE",7065,3343,4166,1112,464,9085
"MAHARASHTRA","RAIGHAR",304,64,39,202,0,304
"MAHARASHTRA","RATNAGIRI",3,1,0,0,2,3
"MAHARASHTRA","SANGLI",8849,4960,2717,2181,329,10187
"MAHARASHTRA","SATARA",1990,1301,1097,624,0,3023
"MAHARASHTRA","SINDHUDURGA",14,7,1,0,8,16
"MAHARASHTRA","SOLAPUR",10045,3773,5664,2656,447,12540
"MAHARASHTRA","THANE",3427,116,1416,1868,204,3603
"MAHARASHTRA","WARDHA",536,519,226,11,1,757
"MAHARASHTRA","WASHIM",390,21,315,7,48,391
"MAHARASHTRA","YAVATMAL",2200,1330,1005,67,96,2498
"MANIPUR","IMPHAL EAST",32,0,65,0,0,65
"MEGHALAYA","WEST GARO HILLS",441,397,162,41,20,620
"NAGALAND","DIMAPUR",6,4,2,0,0,6
"ORISSA","ANGUL",10,8,4,1,1,13
"ORISSA","BALASORE",37996,16975,31860,126,6,48967
"ORISSA","BARGARH",3521,2669,1712,523,87,4991
"ORISSA","BHADRAK",10845,3245,9286,30,134,12696
"ORISSA","BOLANGIR",113,97,20,8,0,125
"ORISSA","CUTTACK",8700,4847,6478,605,77,12006
"ORISSA","DEOGARH",1,1,0,0,0,1
"ORISSA","DHENKANAL",54,25,8,8,20,60
"ORISSA","GAJAPATI",892,883,465,116,3,1467
"ORISSA","GANJAM",14861,13658,7025,251,0,20934
"ORISSA","JAGATSINGHPUR",7189,2848,4662,251,113,7875
"ORISSA","JAJAPUR",8003,4828,6335,89,12,11264
"ORISSA","JHARSUGUDA",17,17,7,4,0,28
"ORISSA","KALAHANDI",146,106,56,13,0,176
"ORISSA","KANDHAMAL",5,5,0,0,0,5
"ORISSA","KENDRAPARA",3205,1370,2075,50,19,3514
"ORISSA","KEONJHAR",1463,1395,804,17,0,2217
"ORISSA","KHURDA",1919,624,1392,190,86,2291
"ORISSA","KORAPUT",13,13,6,0,0,18
"ORISSA","MAYURBHANJA",2714,2438,2261,10,0,4710
"ORISSA","NAWARANGAPUR",23,23,19,1,0,43
"ORISSA","NAYAGARH",871,364,227,404,12,1007
"ORISSA","NUAPADA",54,47,22,0,0,69
"ORISSA","PURI",12057,3333,9803,339,492,13966
"ORISSA","RAYAGADA",3232,3231,865,7,40,4143
"ORISSA","SAMBALPUR",27,27,14,0,0,41
"ORISSA","SONEPUR",43,41,5,0,0,47
"ORISSA","SUNDARGARH",57,34,52,3,0,89
"PONDICHERRY","KARAIKAL",558,485,110,0,0,595
"PONDICHERRY","PONDICHERRY",6142,4059,3332,1256,788,9434
"PUNJAB","AMRITSER",397049,390780,391570,5519,5027,792896
"PUNJAB","BATHINDA",148072,148072,148072,536,15,296694
"PUNJAB","FARIDKOT",86502,86502,86502,0,0,173004
"PUNJAB","FATEHGARH SAHIB",88581,88581,88581,3668,62,180892
"PUNJAB","FEROZEPUR",244714,240602,242163,2583,199,485547
"PUNJAB","GURDASPUR",181627,168082,166078,15316,1648,351124
"PUNJAB","HOSHIARPUR",131774,131284,130636,1928,70,263919
"PUNJAB","JALANDHAR",207494,189944,190395,13923,3587,397849
"PUNJAB","KAPURTHALA",133590,133588,133588,4098,2829,274103
"PUNJAB","LUDHIANA",294543,287827,287597,7118,1413,583955
"PUNJAB","MANSA",140565,140565,140565,0,0,281130
"PUNJAB","MOGA",183830,183816,183816,1379,132,369142
"PUNJAB","MUKATSAR",44109,44109,44109,363,894,89476
"PUNJAB","NAWANSHAHAR",77495,61888,62268,9271,528,133956
"PUNJAB","PATIALA",250578,250148,250145,287,104,500684
"PUNJAB","ROPAR",66470,66403,66415,41,0,132859
"PUNJAB","SANGRUR",416827,416059,416057,1505,5,833626
"RAJASTHAN","AJMER",339,115,299,6,13,434
"RAJASTHAN","ALWAR",134447,13210,137140,439,1751,152539
"RAJASTHAN","BANSWARA",352,18,342,3,11,373
"RAJASTHAN","BARAN",14641,2336,14621,15,0,16971
"RAJASTHAN","BARMER",352,130,304,0,0,434
"RAJASTHAN","BHARATPUR",231032,5515,229835,345,335,236030
"RAJASTHAN","BHILWARA",1457,689,1107,7,37,1841
"RAJASTHAN","BIKANER",67,15,55,0,0,70
"RAJASTHAN","BUNDI",14274,6183,12977,133,2010,21304
"RAJASTHAN","CHITTORGARH",6714,1356,6690,140,387,8574
"RAJASTHAN","CHURU",1015,756,859,0,0,1615
"RAJASTHAN","DAUSA",17888,941,17905,0,23,18869
"RAJASTHAN","DHOLPUR",46456,1416,45715,400,177,47708
"RAJASTHAN","DUNGARPUR",545,161,510,3,31,705
"RAJASTHAN","GANGANAGAR",782,792,792,0,0,1583
"RAJASTHAN","HANUMANGARH",4818,3542,3738,2,4,7285
"RAJASTHAN","JAIPUR",12729,4610,9148,4,1143,14906
"RAJASTHAN","JAISALMER",43,15,43,0,0,58
"RAJASTHAN","JALORE",1357,350,1104,11,103,1568
"RAJASTHAN","JHALAWAR",3918,116,3831,1,2,3950
"RAJASTHAN","JHUNJHUNU",114,42,97,0,3,143
"RAJASTHAN","JODHPUR",11294,6138,8755,35,261,15189
"RAJASTHAN","KAROLI",15461,840,16329,0,11,17180
"RAJASTHAN","KOTA",46597,7405,46862,26,41,54333
"RAJASTHAN","NAGAUR",4095,1468,4597,10,108,6182
"RAJASTHAN","PALI",6553,1502,5379,108,99,7088
"RAJASTHAN","RAJSAMAND",156,66,140,9,3,218
"RAJASTHAN","SAWAI MADHOPUR",7023,314,7244,0,7,7565
"RAJASTHAN","SIKAR",864,412,798,0,82,1292
"RAJASTHAN","SIROHI",25,12,15,2,2,31
"RAJASTHAN","TONK",348,1,350,0,0,352
"RAJASTHAN","UDAIPUR",1499,197,1266,84,44,1592
"TAMIL NADU","COIMBATORE",379,316,29,100,41,487
"TAMIL NADU","CUDDALORE",51655,30216,16492,15835,3921,66463
"TAMIL NADU","DHARMAPURI",462,922,88,116,2,1127
"TAMIL NADU","DINDIGUL",433,315,157,54,6,532
"TAMIL NADU","ERODE",1424,1056,326,138,172,1692
