-----
{
 "description": "The table refers to Block wise Distribution of Shallow Tubewells according to source of Finance. The report has been sourced from 3rd census of minor irrigation scheme (2000-01) from Ministry of Water Resources.", 
 "file_name": "shltbdistr2.7.csv", 
 "title": "Download CSV for Blockwise Distribution of Shallow Tubewells according to source of Finance", 
 "url": "http://data.gov.in/sites/default/files/shltbdistr2.7.csv"
}
-----
STATENAME,DISTNAME,BLOCKNAME,Government fund,Farmer's saving,Loan & Saving,Subsidy & Bank loan,Subsidy only,Others,Total
ASSAM,KAMRUP,CHANDRAPUR,0,5,0,0,76,0,81
ASSAM,KAMRUP,CHAYANI BARDUAR,2,3,13,27,85,0,130
ASSAM,KAMRUP,CHHAYGAON,5,37,4,28,260,0,334
ASSAM,KAMRUP,DIMORIA,53,0,18,1,119,1,192
ASSAM,KAMRUP,GAROI MARI,0,38,0,0,396,0,434
ASSAM,KAMRUP,GORESWAR,0,258,6,19,0,0,283
ASSAM,KAMRUP,HAJO,24,313,10,150,1162,2,1661
ASSAM,KAMRUP,KAMALPUR,0,1,391,0,14,0,406
ASSAM,KAMRUP,RAMPUR (PALAS BARI),2,321,2,0,110,1,436
ASSAM,KAMRUP,RANGIA,0,63,0,241,74,0,378
ASSAM,KAMRUP,RANI,18,18,0,0,1,0,37
ASSAM,KAMRUP,SUALKUCHI,9,176,4,3,310,0,502
ASSAM,KARBIANGLONG,RONGKHAG,0,65,0,0,0,0,65
ASSAM,KARIMGANJ,NORTH KARIMGANJ,0,0,0,0,4,0,4
ASSAM,KOKRAJHAR,DOTOMA,3,20,3,0,613,61,700
ASSAM,KOKRAJHAR,GOSSAIGAON,13,241,0,2,127,18,401
ASSAM,KOKRAJHAR,HATIDHURA,1,82,1,1,49,4,138
ASSAM,KOKRAJHAR,KACHUGAON,1,52,1,17,45,0,116
ASSAM,KOKRAJHAR,KOKRAJHAR,25,82,0,10,909,0,1026
ASSAM,KOKRAJHAR,SIDLI-CHIRANG PT,10,18,0,0,71,0,99
ASSAM,LAKHIMPUR,BIHPURIA,11,28,1,1,124,0,165
ASSAM,LAKHIMPUR,BOGINODI,35,18,6,16,72,0,147
ASSAM,LAKHIMPUR,DHAKUAKHANA,9,0,0,1,146,0,156
ASSAM,LAKHIMPUR,GHILAMARI,37,0,0,26,0,0,63
ASSAM,LAKHIMPUR,KARUNABARI,35,7,6,2,61,0,111
ASSAM,LAKHIMPUR,LAKHIMPUR,8,6,1,9,73,0,97
ASSAM,LAKHIMPUR,NARAYANPUR,43,14,2,17,327,0,403
ASSAM,LAKHIMPUR,NOWBOICHA,22,70,1,3,44,0,140
ASSAM,LAKHIMPUR,TELAHI,7,21,0,0,26,0,54
ASSAM,MORIGAON,BHUR- BANDHA,49,304,1,119,0,9,482
ASSAM,MORIGAON,DULONGGHAT,0,99,0,0,149,3,251
ASSAM,MORIGAON,KAPILI,0,0,1,0,0,0,1
ASSAM,MORIGAON,LAHORIGHAT,33,1460,359,186,407,24,2469
ASSAM,MORIGAON,MAIRABARI,2,354,77,50,74,25,582
ASSAM,MORIGAON,MAYONG,19,1320,62,117,166,8,1692
ASSAM,NAGOAN,BAJIAGAON,12,173,3,7,715,0,910
ASSAM,NAGOAN,BARHAMPUR,0,33,0,1,21,0,55
ASSAM,NAGOAN,BATADRAWA,1,9,0,11,860,0,881
ASSAM,NAGOAN,BINNAKANDI,35,36,9,33,0,0,113
ASSAM,NAGOAN,DALONG GHAT,0,2,0,37,121,0,160
ASSAM,NAGOAN,DHALPUKHURI,5,707,1,1,32,0,746
ASSAM,NAGOAN,JOGIJAN,0,68,14,350,1,0,433
ASSAM,NAGOAN,JURIA,0,41,0,0,1236,0,1277
ASSAM,NAGOAN,KALIABOR,1,191,0,0,0,0,192
ASSAM,NAGOAN,KATHITOLI,2,317,2,6,269,1,597
ASSAM,NAGOAN,KHAGARIJAN,0,0,0,94,145,1,240
ASSAM,NAGOAN,LAO-KHOWA,0,43,0,1,381,0,425
ASSAM,NAGOAN,LIMDING DEV,1,0,0,0,0,0,1
ASSAM,NAGOAN,PACHIM KALIABOR,0,0,0,0,25,0,25
ASSAM,NAGOAN,PAKHIMORIA,0,1,3,29,44,1,78
ASSAM,NAGOAN,RAHA,0,1,1,124,2,0,128
ASSAM,NAGOAN,RUPAHI,0,8,0,0,379,0,387
ASSAM,NAGOAN,UDALI,5,13,0,0,0,0,18
ASSAM,NALBARI,BARBHAG,21,13,4,0,33,88,159
ASSAM,NALBARI,BARIGOG-BANBHAG,3,148,0,0,0,0,151
ASSAM,NALBARI,BARKHETRI,137,193,6,2,1290,15,1643
ASSAM,NALBARI,BASKA,45,2,0,0,53,3,103
ASSAM,NALBARI,DHAMDHAMA,0,0,0,0,32,0,32
ASSAM,NALBARI,MADHUPUR,0,0,0,0,1,73,74
ASSAM,NALBARI,NAGRIJULI,7,42,0,1,315,0,365
ASSAM,NALBARI,PACHIM NALBARI,2,0,0,0,0,343,345
ASSAM,NALBARI,PUB-NALBARI,0,1,0,0,179,0,180
ASSAM,NALBARI,TAMULPUR,3,15,2,3,59,1,83
ASSAM,NALBARI,TIHU,4,8,0,88,38,0,138
ASSAM,NALBARI,TIHU BARAMA,4,14,0,145,0,0,163
ASSAM,SIBSAGAR,DEMOW,8,4,1,2,604,0,619
ASSAM,SIBSAGAR,GOURISAGAR,52,0,0,203,103,0,358
ASSAM,SIBSAGAR,LAKWA,0,2,0,100,0,0,102
ASSAM,SIBSAGAR,NAZIRA,0,0,0,0,53,0,53
ASSAM,SIBSAGAR,PACHIM ABHOYPUR,0,0,69,0,0,0,69
ASSAM,SIBSAGAR,SEPEKHATI,4,3,20,206,0,0,233
ASSAM,SIBSAGAR,SIBSAGAR,9,6,0,65,381,0,461
ASSAM,SIBSAGAR,SONARI,0,0,0,0,191,0,191
ASSAM,SONITPUR,BAGHMARA,93,10,6,5,21,6,141
ASSAM,SONITPUR,BALIPARA,1,126,10,4,350,3,494
ASSAM,SONITPUR,BEHELI,2,3,1,5,44,3,58
ASSAM,SONITPUR,BIHAGURI,24,18,1,4,104,26,177
ASSAM,SONITPUR,BISHWANATH,0,0,0,0,35,0,35
ASSAM,SONITPUR,BORCHALA,2,77,3,304,251,0,637
ASSAM,SONITPUR,CHAIDUAR,11,3,1,0,0,0,15
ASSAM,SONITPUR,CHATIA,3,0,49,11,4,0,67
ASSAM,SONITPUR,DHEKIAJULI,48,39,16,10,144,11,268
ASSAM,SONITPUR,GABHARU,12,285,6,130,46,0,479
ASSAM,SONITPUR,NADUAR,3,5,65,15,152,1,241
ASSAM,SONITPUR,PUB-CHAIDUAR,18,2,0,5,33,0,58
ASSAM,SONITPUR,RANGAPARA,2,0,3,6,13,0,24
ASSAM,SONITPUR,SOKAMATHA,0,0,0,1,25,0,26
ASSAM,TINSUKIA,GUIJAN,9,18,26,83,87,0,223
ASSAM,TINSUKIA,HAPJAN,2,118,2,112,185,2,421
ASSAM,TINSUKIA,ITAKHULI,1,78,1,62,92,1,235
ASSAM,TINSUKIA,KAKAPATHAR,68,181,4,267,186,0,706
ASSAM,TINSUKIA,MARGHERITA,2,24,0,13,253,0,292
ASSAM,TINSUKIA,SADIYA,3,5,4,2,79,0,93
ASSAM,TINSUKIA,SAIKHOWA,7,35,1,132,136,0,311
BIHAR,ARARIA,ARARIA,38,660,52,60,195,0,1005
BIHAR,ARARIA,BHARGAMA,132,3111,2,17,0,0,3262
BIHAR,ARARIA,FORBESGANJ,117,1191,50,154,146,0,1658
BIHAR,ARARIA,JOKIHAT,83,1715,0,0,0,0,1798
BIHAR,ARARIA,KURSAKANTA,3,1091,3,0,18,0,1115
BIHAR,ARARIA,NARPATGANJ,0,706,0,83,681,0,1470
BIHAR,ARARIA,PALASI,373,811,63,36,210,0,1493
BIHAR,ARARIA,RANIGANJ,178,637,1,178,291,0,1285
BIHAR,ARARIA,SIKTI,95,427,3,23,18,0,566
BIHAR,AURANGABAD,AURANGABAD,60,284,19,17,1,1,382
BIHAR,AURANGABAD,BARUN,175,659,22,5,67,1,929
BIHAR,AURANGABAD,DAUDNAGAR,156,200,13,79,95,0,543
BIHAR,AURANGABAD,DEO,6,47,4,9,1,8,75
BIHAR,AURANGABAD,GOH,392,1131,73,44,312,0,1952
BIHAR,AURANGABAD,HASPURA,337,629,66,137,211,0,1380
BIHAR,AURANGABAD,KUTUMBA,279,156,41,6,43,0,525
BIHAR,AURANGABAD,MADANPUR,99,252,45,79,53,0,528
BIHAR,AURANGABAD,NABINAGAR,112,49,1,1,2,0,165
BIHAR,AURANGABAD,OBRA,159,464,3,11,102,0,739
BIHAR,AURANGABAD,RAFIGANAJ,552,675,60,40,44,0,1371
BIHAR,BANKA,AMARPUR,111,987,3,0,0,1,1102
BIHAR,BANKA,BANKA,64,218,2,4,26,18,332
BIHAR,BANKA,BARAHAT,152,129,14,12,13,20,340
BIHAR,BANKA,BELHAR,158,189,0,119,35,0,501
BIHAR,BANKA,BOUNSI,8,78,0,3,2,0,91
BIHAR,BANKA,DHORAIYA,253,802,8,17,48,0,1128
BIHAR,BANKA,PHULLIDUMER,19,56,15,11,0,0,101
BIHAR,BANKA,RAJOUN,342,375,42,61,92,0,912
BIHAR,BANKA,SAMBHUGANJ,342,610,8,36,13,0,1009
BIHAR,BEGUSARAI,BACHHAWARA,102,1252,62,43,578,0,2037
BIHAR,BEGUSARAI,BAKHRI,154,437,51,92,26,0,760
BIHAR,BEGUSARAI,BALLIA,120,567,193,141,67,1,1089
BIHAR,BEGUSARAI,BARAUNI,353,391,267,110,205,94,1420
BIHAR,BEGUSARAI,BEGUSARAI,1038,764,506,115,123,0,2546
BIHAR,BEGUSARAI,BHAGWANPUR,99,574,177,108,190,64,1212
BIHAR,BEGUSARAI,BIRPUR,196,546,164,22,10,28,966
BIHAR,BEGUSARAI,CH.BARIYARPUR,311,459,2,259,474,0,1505
BIHAR,BEGUSARAI,CHHAURAHI,686,259,84,247,11,0,1287
BIHAR,BEGUSARAI,DANDARI,106,490,9,149,15,0,769
BIHAR,BEGUSARAI,GADHPURA,182,485,76,44,71,0,858
BIHAR,BEGUSARAI,KHODAWANDPUR,9,535,9,9,244,44,850
BIHAR,BEGUSARAI,MANSOORCHAK,26,328,48,37,47,0,486
BIHAR,BEGUSARAI,MATIHANI,141,1060,22,66,72,124,1485
BIHAR,BEGUSARAI,NAWAKOTHI,178,497,30,203,214,0,1122
BIHAR,BEGUSARAI,S.KAMAL,417,957,175,74,107,0,1730
BIHAR,BEGUSARAI,SAMHO AKHA KURHA,1,210,7,0,0,35,253
BIHAR,BEGUSARAI,TEGHRA,2,396,3,2,402,0,805
BIHAR,BHAGALPUR,BIHPUR,1,1293,0,0,0,0,1294
BIHAR,BHAGALPUR,GOPALPUR,559,72,0,55,42,0,728
BIHAR,BHAGALPUR,GOURADIH,134,160,37,44,3,0,378
BIHAR,BHAGALPUR,ISMAILPUR,189,0,0,0,0,0,189
BIHAR,BHAGALPUR,JAGDISHPUR,22,42,0,0,0,0,64
BIHAR,BHAGALPUR,KAHALGAON,139,265,22,0,35,0,461
BIHAR,BHAGALPUR,KHARIK,39,615,4,61,7,175,901
BIHAR,BHAGALPUR,NARAYANPUR,229,170,0,2,17,0,418
BIHAR,BHAGALPUR,NATHNAGAR,209,375,29,116,106,0,835
BIHAR,BHAGALPUR,NAVGACHHIA,341,564,38,10,53,97,1103
BIHAR,BHAGALPUR,PIRPAINTY,223,720,14,29,9,18,1013
BIHAR,BHAGALPUR,RANGRA CHOWK,29,289,76,0,18,0,412
BIHAR,BHAGALPUR,SABOUR,146,129,21,47,98,0,441
BIHAR,BHAGALPUR,SANHAULA,203,493,8,133,253,0,1090
BIHAR,BHAGALPUR,SHAHKUND,649,904,23,43,107,2,1728
BIHAR,BHAGALPUR,SULTANGANJ,276,489,30,26,29,0,850
BIHAR,BHOJPUR,AGIAON,275,504,60,74,21,0,934
BIHAR,BHOJPUR,ARA,82,674,243,611,4,0,1614
BIHAR,BHOJPUR,BARHARA,221,129,81,251,0,0,682
BIHAR,BHOJPUR,BEHEA,132,1308,84,35,12,0,1571
BIHAR,BHOJPUR,CHARPOKHARI,128,523,34,25,60,0,770
BIHAR,BHOJPUR,GARHANI,138,454,18,45,21,0,676
BIHAR,BHOJPUR,JAGDISHPUR,585,1859,87,421,248,0,3200
BIHAR,BHOJPUR,KOILWAR,607,498,131,97,38,0,1371
BIHAR,BHOJPUR,PIRO,512,522,386,255,622,0,2297
BIHAR,BHOJPUR,SAHAR,69,175,44,5,74,0,367
BIHAR,BHOJPUR,SANDESH,872,85,6,25,0,0,988
BIHAR,BHOJPUR,SHAHPUR,212,600,265,80,86,0,1243
BIHAR,BHOJPUR,TARARI,476,761,116,20,10,0,1383
BIHAR,BHOJPUR,UDWANTNAGAR,242,582,141,112,132,1,1210
BIHAR,BUXAR,BRAHMPUR,192,1363,30,12,79,0,1676
BIHAR,BUXAR,BUXAR,126,1023,215,21,26,73,1484
BIHAR,BUXAR,CHAKKI,0,195,0,0,0,0,195
BIHAR,BUXAR,CHOUGAI,154,545,2,8,0,0,709
BIHAR,BUXAR,CHOUSA,196,802,1,0,2,0,1001
BIHAR,BUXAR,DUMRAON,96,787,279,12,3,4,1181
BIHAR,BUXAR,ITARHI,366,1693,61,24,6,0,2150
BIHAR,BUXAR,KESATH,278,37,28,21,0,0,364
BIHAR,BUXAR,NAWANAGAR,116,1036,22,0,0,0,1174
BIHAR,BUXAR,RAJPUR,87,2207,123,45,2,0,2464
BIHAR,BUXAR,SIMRI,200,1195,21,3,0,0,1419
BIHAR,DARBHANGA,ALINAGAR,77,244,25,7,0,0,353
BIHAR,DARBHANGA,BAHADURPUR,46,265,275,141,43,43,813
BIHAR,DARBHANGA,BAHERI,117,513,347,546,203,26,1752
BIHAR,DARBHANGA,BENIPUR,381,254,133,4,1,0,773
BIHAR,DARBHANGA,BIRAUL,174,908,32,51,37,67,1269
BIHAR,DARBHANGA,DARBHANGA,116,423,174,83,21,0,817
BIHAR,DARBHANGA,GAURA BAURAM,21,647,23,70,14,0,775
BIHAR,DARBHANGA,GHANSHYAMPUR,97,149,20,0,298,0,564
BIHAR,DARBHANGA,HANUMAN NAGAR,144,367,168,73,0,0,752
BIHAR,DARBHANGA,HAYAGHAT,2,197,221,42,16,0,478
BIHAR,DARBHANGA,JALE,97,106,146,132,213,41,735
BIHAR,DARBHANGA,KEOTI RUNWAY,13,191,130,468,63,0,865
BIHAR,DARBHANGA,KIRATPUR,19,154,0,40,9,0,222
BIHAR,DARBHANGA,KUSESHWAR ASTHAN,75,61,71,70,75,0,352
BIHAR,DARBHANGA,KUSESHWAR ASTHAN (E),4,269,2,12,11,0,298
BIHAR,DARBHANGA,MANIGACHHI,14,152,90,38,226,0,520
BIHAR,DARBHANGA,SINGHWARA,226,290,245,87,14,24,886
BIHAR,DARBHANGA,TARDIH,113,90,105,14,23,0,345
BIHAR,EAST CHAMPARAN,ADAPUR,140,861,33,94,265,35,1428
BIHAR,EAST CHAMPARAN,AREARAJ,13,411,41,19,42,413,939
BIHAR,EAST CHAMPARAN,BANJARIYA,621,233,46,92,7,0,999
BIHAR,EAST CHAMPARAN,BANKATWA,6,615,25,11,8,0,665
BIHAR,EAST CHAMPARAN,CHAKIYA,454,891,55,79,282,134,1895
BIHAR,EAST CHAMPARAN,CHAURADANO,111,521,128,165,54,338,1317
BIHAR,EAST CHAMPARAN,CHIRIYA,407,351,158,57,3,0,976
BIHAR,EAST CHAMPARAN,DHAKA,88,743,176,197,48,0,1252
BIHAR,EAST CHAMPARAN,GHORASAHAN,236,625,53,23,54,0,991
BIHAR,EAST CHAMPARAN,HARSIDHI,214,986,48,66,144,781,2239
BIHAR,EAST CHAMPARAN,KALYANPUR,1810,185,28,226,3,19,2271
BIHAR,EAST CHAMPARAN,KESARIA,376,530,27,35,27,3,998
BIHAR,EAST CHAMPARAN,KOTWA,4,439,1,14,184,0,642
BIHAR,EAST CHAMPARAN,MADHUBAN,423,1421,26,26,45,26,1967
BIHAR,EAST CHAMPARAN,MEHSI,593,1303,31,20,19,82,2048
BIHAR,EAST CHAMPARAN,MOTIHARI,243,1210,23,254,33,67,1830
BIHAR,EAST CHAMPARAN,PAHARPUR,94,395,63,829,121,132,1634
BIHAR,EAST CHAMPARAN,PAKRIDYAL,1,1153,4,37,56,254,1505
BIHAR,EAST CHAMPARAN,PATAHI,7,344,424,164,408,0,1347
BIHAR,EAST CHAMPARAN,PHENHARA,28,610,92,57,128,0,915
BIHAR,EAST CHAMPARAN,PIPRAKOTHI,0,758,0,0,19,0,777
BIHAR,EAST CHAMPARAN,RAMGARHWA,256,370,1,75,42,0,744
BIHAR,EAST CHAMPARAN,RAXAUL,6,12,53,224,383,32,710
BIHAR,EAST CHAMPARAN,SANGRAMPUR,4,696,6,15,97,0,818
BIHAR,EAST CHAMPARAN,SUGAULI,8,775,9,0,542,0,1334
BIHAR,EAST CHAMPARAN,TETARIA,20,808,121,108,14,56,1127
BIHAR,EAST CHAMPARAN,TURKAULIA,43,1075,25,10,189,194,1536
BIHAR,GAYA,AMAS,17,161,1,0,5,0,184
BIHAR,GAYA,ATRI,60,564,16,6,0,0,646
BIHAR,GAYA,BANKE BAZAR,80,633,11,7,92,0,823
BIHAR,GAYA,BARACHATTY,108,282,0,39,25,0,454
BIHAR,GAYA,BATHANI,466,282,2,10,3,0,763
BIHAR,GAYA,BELAGANJ,384,1936,4,37,61,0,2422
BIHAR,GAYA,BODHGAYA,233,528,6,12,10,0,789
BIHAR,GAYA,DOBHI,221,115,7,15,2,0,360
BIHAR,GAYA,DUMARIYA,165,105,3,72,57,0,402
BIHAR,GAYA,FATEHPUR,214,438,16,15,22,0,705
BIHAR,GAYA,GAYA NAGAR,529,864,22,27,74,0,1516
BIHAR,GAYA,GURARU,529,444,4,113,30,0,1120
BIHAR,GAYA,GURUA,162,960,15,61,28,0,1226
BIHAR,GAYA,IMAMGANJ,370,421,7,68,104,0,970
BIHAR,GAYA,KHIZARSARAI,620,1501,24,8,88,0,2241
BIHAR,GAYA,KONCH,278,1671,38,46,30,0,2063
BIHAR,GAYA,MANPUR,349,534,2,54,29,0,968
BIHAR,GAYA,MOHANPUR,211,105,4,0,9,0,329
BIHAR,GAYA,PARAIYA,81,1197,18,42,20,0,1358
BIHAR,GAYA,SHERGHATTY,291,240,6,6,0,2,545
BIHAR,GAYA,TANKUPPA,48,775,11,0,119,0,953
BIHAR,GAYA,TEKARI,471,1762,121,66,49,0,2469
BIHAR,GAYA,WAZIRGANJ,340,996,37,80,41,10,1504
BIHAR,GOPAALGANJ,BAIKUNTHPUR,141,1440,163,81,87,0,1912
BIHAR,GOPAALGANJ,BARAULI,95,1054,125,186,67,0,1527
BIHAR,GOPAALGANJ,BHOREY,433,1332,221,342,38,6,2372
BIHAR,GOPAALGANJ,BIJAIPUR,661,779,607,62,55,0,2164
BIHAR,GOPAALGANJ,GOPALGANJ,36,753,36,82,11,1,919
BIHAR,GOPAALGANJ,HATHUA,312,1012,447,111,92,67,2041
BIHAR,GOPAALGANJ,KATEYA,195,925,4,77,30,0,1231
BIHAR,GOPAALGANJ,KUCHAIKOTE,331,1823,31,58,374,0,2617
BIHAR,GOPAALGANJ,MANJHA,362,590,313,202,32,0,1499
BIHAR,GOPAALGANJ,PANCHDEWRI,210,661,20,34,53,1,979
BIHAR,GOPAALGANJ,PHULWARIYA,184,452,43,139,291,0,1109
BIHAR,GOPAALGANJ,SIDHWALIYA,8,495,0,0,31,1,535
BIHAR,GOPAALGANJ,THAWE,87,471,23,12,17,0,610
BIHAR,GOPAALGANJ,UCHKAGAON,639,702,39,228,111,9,1728
BIHAR,JAMUI,ALIGANJ,3,182,6,0,3,0,194
BIHAR,JAMUI,BARHAT,0,20,0,0,0,0,20
BIHAR,JAMUI,CHAKAI,5,0,0,0,0,0,5
BIHAR,JAMUI,GHIDHOR,47,395,0,5,0,0,447
BIHAR,JAMUI,JAMUI,246,992,17,5,55,0,1315
BIHAR,JAMUI,JHAJHA,116,92,2,11,0,0,221
BIHAR,JAMUI,KHAIRA,509,452,15,12,10,0,998
BIHAR,JAMUI,LAXMIPUR,0,11,0,0,16,0,27
BIHAR,JAMUI,SIKANDARA,67,417,40,1,0,0,525
BIHAR,JAMUI,SONO,23,191,2,0,1,1,218
BIHAR,JEHANABAD,ARWAL,266,324,119,85,192,0,986
BIHAR,JEHANABAD,GHOSHI,77,1386,71,51,18,0,1603
BIHAR,JEHANABAD,HULASGANJ,111,892,0,11,51,0,1065
BIHAR,JEHANABAD,JEHANABAD,351,1079,17,62,502,104,2115
BIHAR,JEHANABAD,KAKO,900,1427,36,56,255,0,2674
BIHAR,JEHANABAD,KALER,238,254,51,9,73,0,625
BIHAR,JEHANABAD,KARPI,319,1954,8,53,178,0,2512
BIHAR,JEHANABAD,KURTHA,942,617,32,115,0,0,1706
BIHAR,JEHANABAD,MAKHDUMPUR,1225,1047,59,84,6,0,2421
BIHAR,JEHANABAD,MODANGANJ,93,834,7,11,173,0,1118
BIHAR,JEHANABAD,RATNI,365,1323,38,202,7,0,1935
BIHAR,JEHANABAD,VANSHI,426,615,0,1,0,0,1042
BIHAR,KAIMUR (BHABUA),BHABUA,175,1438,38,20,33,0,1704
BIHAR,KAIMUR (BHABUA),BHAGWANPUR,99,171,15,4,1,0,290
BIHAR,KAIMUR (BHABUA),CHAINPUR,137,383,26,13,35,0,594
BIHAR,KAIMUR (BHABUA),CHAND,279,186,10,8,20,2,505
BIHAR,KAIMUR (BHABUA),DURGAWATI,336,527,81,80,412,81,1517
BIHAR,KAIMUR (BHABUA),KUDRA,690,1778,32,41,394,10,2945
BIHAR,KAIMUR (BHABUA),MOHANIA,759,855,162,103,64,1,1944
BIHAR,KAIMUR (BHABUA),NUAON,220,1068,1,25,104,0,1418
BIHAR,KAIMUR (BHABUA),RAMGARH,342,698,13,83,17,1,1154
BIHAR,KAIMUR (BHABUA),RAMPUR,388,170,30,5,5,1,599
BIHAR,KATIHAR,AMDABAD,214,722,10,23,103,0,1072
BIHAR,KATIHAR,AZAMNAGAR,348,5113,0,4,37,0,5502
BIHAR,KATIHAR,BALRAMPUR,61,2350,41,8,98,0,2558
BIHAR,KATIHAR,BARARI,65,2836,1,15,60,0,2977
BIHAR,KATIHAR,BARSOI,82,3137,0,105,0,0,3324
BIHAR,KATIHAR,DANDKHORA,73,1116,62,8,5,0,1264
BIHAR,KATIHAR,FALKA,469,850,1,61,37,7,1425
BIHAR,KATIHAR,HASANGANJ,246,600,23,13,7,0,889
BIHAR,KATIHAR,KADWA,398,4285,0,4,8,0,4695
BIHAR,KATIHAR,KATIHAR,204,595,66,0,0,0,865
BIHAR,KATIHAR,KORHA,466,2296,2,20,19,0,2803
BIHAR,KATIHAR,KURSELA,188,303,0,0,23,0,514
BIHAR,KATIHAR,MANIHARI,0,1695,0,0,0,0,1695
BIHAR,KATIHAR,MANSAHI,0,760,0,0,73,0,833
BIHAR,KATIHAR,PRANPUR,319,1856,56,0,9,0,2240
BIHAR,KATIHAR,SAMELI,4,1351,1,0,140,0,1496
BIHAR,KHAGARIA,ALAULI,17,1554,40,37,140,195,1983
BIHAR,KHAGARIA,BELDAUR,0,622,17,0,1561,0,2200
BIHAR,KHAGARIA,CHAUTHAM,27,1183,29,89,119,255,1702
BIHAR,KHAGARIA,GOGRI,6,1692,24,17,207,1,1947
BIHAR,KHAGARIA,KHAGARIA,367,1738,69,143,376,0,2693
BIHAR,KHAGARIA,MANSI,34,129,0,53,467,17,700
BIHAR,KHAGARIA,PARBATTA,193,2484,110,49,0,20,2856
BIHAR,KISHANGANJ,BAHADURGANJ,3,1449,3,0,97,0,1552
BIHAR,KISHANGANJ,DIGHAL BANK,0,966,69,10,409,0,1454
BIHAR,KISHANGANJ,KISHANGANJ,1,990,0,8,9,0,1008
BIHAR,KISHANGANJ,KOCHADHAMAN,255,2238,6,19,200,0,2718
BIHAR,KISHANGANJ,POTHIA,2,1022,48,38,205,1,1316
BIHAR,KISHANGANJ,TERHAGACHH,12,239,294,129,46,0,720
BIHAR,KISHANGANJ,THAKURGANJ,278,669,21,343,357,0,1668
BIHAR,LAKHISARAI,BARHIYA,247,453,49,72,59,0,880
BIHAR,LAKHISARAI,HALSI,488,854,50,169,23,0,1584
BIHAR,LAKHISARAI,LAKHISARAI,324,1663,38,70,149,0,2244
BIHAR,LAKHISARAI,PIPARYA,1,345,21,10,73,0,450
BIHAR,LAKHISARAI,RAMGHAR CHOK,148,666,42,24,1,67,948
BIHAR,LAKHISARAI,SURYAGARAH,450,434,19,117,9,0,1029
BIHAR,MADHEPURA,ALAMNAGAR,0,401,0,21,883,0,1305
BIHAR,MADHEPURA,BIHARIGANJ,569,316,2,1,29,2,919
BIHAR,MADHEPURA,CHAUSA,87,1175,140,116,168,152,1838
BIHAR,MADHEPURA,GAMHARIA,8,600,0,0,199,0,807
BIHAR,MADHEPURA,GAWALPARA,358,620,36,38,66,122,1240
BIHAR,MADHEPURA,GHAILARH,143,339,0,7,229,0,718
BIHAR,MADHEPURA,KUMAR KHAND,151,886,23,35,1458,343,2896
BIHAR,MADHEPURA,MADHEPURA,258,234,10,237,219,148,1106
BIHAR,MADHEPURA,MURLIGANJ,915,845,1,64,199,11,2035
BIHAR,MADHEPURA,PURAINI,51,553,10,0,203,0,817
BIHAR,MADHEPURA,SHANKARPUR,114,670,2,7,187,0,980
BIHAR,MADHEPURA,SINGHESHWAR,23,906,0,11,299,54,1293
BIHAR,MADHEPURA,UDAKISHUNGANJ,35,849,49,67,229,478,1707
BIHAR,MADHUBANI,ANDHARATHADHI,20,77,22,141,91,2,353
BIHAR,MADHUBANI,BABUBARHI,118,220,110,218,0,4,670
BIHAR,MADHUBANI,BASOPATTI,48,11,87,78,144,465,833
BIHAR,MADHUBANI,BENIPATTI,60,93,168,176,62,125,684
BIHAR,MADHUBANI,BISFI,30,152,427,298,157,2,1066
BIHAR,MADHUBANI,GHOGHARDIHA,81,826,118,116,19,44,1204
BIHAR,MADHUBANI,HARLAKHI,69,188,26,82,148,42,555
BIHAR,MADHUBANI,JAYNAGAR,47,116,32,49,158,102,504
BIHAR,MADHUBANI,JHANJHARPUR,9,7,28,582,0,0,626
BIHAR,MADHUBANI,KHAJAULI,261,473,541,329,4,0,1608
BIHAR,MADHUBANI,KHUTAUNA,174,48,59,142,18,1,442
BIHAR,MADHUBANI,LADANIA,650,348,88,47,6,52,1191
BIHAR,MADHUBANI,LAKHANAUR,2,0,10,27,334,29,402
BIHAR,MADHUBANI,LAUKHI,449,187,98,106,10,3,853
BIHAR,MADHUBANI,MADHEPUR,7,7,10,149,281,18,472
BIHAR,MADHUBANI,MADHWAPUR,48,50,24,105,50,88,365
BIHAR,MADHUBANI,PANDAUL,191,239,123,213,241,126,1133
BIHAR,MADHUBANI,PHULPRAS,24,138,24,49,106,637,978
BIHAR,MADHUBANI,RAJNAGAR,387,342,256,154,85,204,1428
BIHAR,MADHUBANI,ROHIKA,26,58,41,93,93,29,340
BIHAR,MUNGER,ASARGANJ,4,287,17,11,54,0,373
BIHAR,MUNGER,BARIYARPUR,26,106,5,1,0,0,138
BIHAR,MUNGER,DHARAHARA,51,71,19,0,0,0,141
BIHAR,MUNGER,HAWALI KHAGARHPUR,36,400,24,5,32,0,497
BIHAR,MUNGER,JAMALPUR,17,89,46,6,25,0,183
BIHAR,MUNGER,SADAR MUNGER,91,127,17,6,0,0,241
BIHAR,MUNGER,SANGRAMPUR,23,328,24,164,15,0,554
BIHAR,MUNGER,TARAPUR,2,614,42,40,67,0,765
BIHAR,MUNGER,TATIA BAMBAR,43,358,56,13,10,0,480
BIHAR,MUZAFFARPUR,AURAI,894,477,145,116,179,0,1811
