-----
{
 "description": "The table refers to block wise distribution of shallow tubewells by type . The report has been sourced from 2nd census of minor irrigation scheme(1993-94) from ministry of water resources.", 
 "file_name": "Blockshtbwl2.5.csv", 
 "title": "Download CSV for Block wise Distribution of Shallow Tubewells by type for 2nd Census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/Blockshtbwl2.5.csv"
}
-----
State,District,Block,Shallow tubewell,Filter,Borewell,Others,Total
WEST BENGAL,UTTAR DINAJPUR,HEMTABAD,2910,51,0,0,2961
WEST BENGAL,UTTAR DINAJPUR,ISLAMPUR,1722,2,0,0,1724
WEST BENGAL,UTTAR DINAJPUR,ITAHAR,5826,237,4,3,6070
WEST BENGAL,UTTAR DINAJPUR,KALIYAGANJ,4177,81,7,10,4275
WEST BENGAL,UTTAR DINAJPUR,KARANDIGHI,4062,356,441,161,5020
WEST BENGAL,UTTAR DINAJPUR,RAIGANJ,7232,75,6,0,7313
DELHI,EAST,SHAHDARA-NE,345,1,0,0,346
DELHI,NORTH-EAST,SHAHDARA-EAST,470,0,1,0,471
DELHI,NORTH-WEST,ALIPUR,3667,4,1,3,3675
DELHI,SOUTH-WEST,NAJFGARH,4165,8,6,1,4180
DELHI,WEST,NANGLOI,267,1,80,0,348
PONDICHERRY,KARAIKAL,KOTTUCHERRY,19,1,0,0,20
PONDICHERRY,KARAIKAL,NEDUNGADU,49,1,0,0,50
PONDICHERRY,KARAIKAL,NERAVY,7,0,0,0,7
PONDICHERRY,KARAIKAL,THIRUNALLAR,20,15,138,0,173
PONDICHERRY,PONDICHERRY,ARIYANKUPPAM,226,0,0,0,226
PONDICHERRY,PONDICHERRY,BAHOUR,617,4,235,0,856
PONDICHERRY,PONDICHERRY,MANNADIPET,539,3,590,0,1132
PONDICHERRY,PONDICHERRY,NETTAPAKKAM,515,13,0,0,528
PONDICHERRY,PONDICHERRY,OULGARET,65,0,0,0,65
PONDICHERRY,PONDICHERRY,PONDICHERRY,119,0,0,0,119
PONDICHERRY,PONDICHERRY,VILLIANUR,485,1,231,2,719
