-----
{
 "description": "The table refers to Block wise Construction of Surface Lift Schemes over the years. The report has been sourced from 3rd census of minor irrigation scheme (2000-01) from Ministry of Water Resources.", 
 "file_name": "srfcliftdistr5.1.csv", 
 "title": "Download CSV for Blockwise Construction of Surface Lift Schemes over the years", 
 "url": "http://data.gov.in/sites/default/files/srfcliftdistr5.1.csv"
}
-----
STATENAME,DISTNAME,BLOCKNAME,Upto 1993-94,During 1994-95,During 1995-96,During 1996-97,During 1997-98,During 1998-99,During 1999-00,During 2000-01,Total (1994-01)
ORISSA,JAJAPUR,KOREI,1,0,0,0,0,0,0,0,1
ORISSA,JAJAPUR,RASULPUR,1,0,0,0,0,0,0,0,1
ORISSA,JAJAPUR,SUKINDA,2,6,6,8,6,1,0,0,29
ORISSA,JHARSUGUDA,JHARSUGUDA,56,1,0,0,0,0,0,0,57
ORISSA,JHARSUGUDA,KIRMIRA,130,0,0,0,1,0,0,1,132
ORISSA,JHARSUGUDA,KOLABIRA,75,0,1,4,2,3,0,3,88
ORISSA,JHARSUGUDA,LAIKERA,16,113,3,4,2,1,0,8,147
ORISSA,JHARSUGUDA,LAKHANPUR,143,0,0,3,1,1,1,2,151
ORISSA,KALAHANDI,BHAWANIPATANA,21,3,4,4,2,3,2,2,41
ORISSA,KALAHANDI,DHARMGAD,23,0,2,0,0,0,0,0,25
ORISSA,KALAHANDI,GOLAMUNDA,31,0,0,0,0,0,0,0,31
ORISSA,KALAHANDI,JAIPATNA,6,0,0,0,0,0,0,0,6
ORISSA,KALAHANDI,JUNAGAD,52,2,1,2,0,0,0,0,57
ORISSA,KALAHANDI,KALAMPUR,27,0,1,5,3,4,0,2,42
ORISSA,KALAHANDI,KARLAMUNDA,3,0,0,0,0,0,0,0,3
ORISSA,KALAHANDI,KESINGA,66,6,7,7,3,2,0,1,92
ORISSA,KALAHANDI,KOKASARA,9,0,0,1,0,0,0,0,10
ORISSA,KALAHANDI,LANJIGARH,21,1,0,5,3,2,0,2,34
ORISSA,KALAHANDI,MADANPUR RAMAPUR,31,1,2,3,1,4,3,1,46
ORISSA,KALAHANDI,NARLA,58,5,2,0,0,4,4,0,73
ORISSA,KANDHAMAL,BALIGUDA,3,0,0,1,2,1,1,0,8
ORISSA,KANDHAMAL,CHAKAPAD,10,0,1,0,1,0,0,1,13
ORISSA,KANDHAMAL,DARINGBADI,1,0,0,0,0,0,0,0,1
ORISSA,KANDHAMAL,FIRINGIA,26,0,3,1,2,0,1,2,35
ORISSA,KANDHAMAL,G.UDAYAGIRI,8,2,1,0,0,0,0,0,11
ORISSA,KANDHAMAL,KHAJURIPADA,11,2,0,0,3,0,0,0,16
ORISSA,KANDHAMAL,KOTAGARH,5,0,0,0,0,0,0,1,6
ORISSA,KANDHAMAL,NUAGAON,11,1,2,0,1,1,0,0,16
ORISSA,KANDHAMAL,PHULBANI,24,1,1,0,0,1,1,2,30
ORISSA,KANDHAMAL,RAIKIA,4,0,2,0,0,2,1,0,9
ORISSA,KANDHAMAL,TIKABALI,12,2,0,0,0,0,0,0,14
ORISSA,KANDHAMAL,TUMUDIBANDHA,11,0,0,0,0,1,0,0,12
ORISSA,KENDRAPARA,AUL,264,3,2,0,6,1,2,127,405
ORISSA,KENDRAPARA,DERABISHI,14,5,14,27,4,5,8,4,81
ORISSA,KENDRAPARA,GARADPUR,68,1,0,0,0,0,0,29,98
ORISSA,KENDRAPARA,KENDRAPADA,62,1,3,0,1,0,0,0,67
ORISSA,KENDRAPARA,MAHAKALPADA,113,1,4,6,26,31,21,38,240
ORISSA,KENDRAPARA,MARSHAGHAI,126,1,1,0,0,0,0,21,149
ORISSA,KENDRAPARA,PATTAMUNDAI,221,2,5,4,2,0,2,52,288
ORISSA,KENDRAPARA,RAJKANIKA,89,16,14,44,73,84,76,84,480
ORISSA,KENDRAPARA,RAJNAGAR,313,6,6,1,3,4,4,0,337
ORISSA,KEONJHAR,ANANDPUR,44,1,0,0,0,0,0,0,45
ORISSA,KEONJHAR,BANSPAL,26,13,15,5,18,10,5,3,95
ORISSA,KEONJHAR,CHAMPUA,222,0,1,2,0,1,0,0,226
ORISSA,KEONJHAR,GHASIPURA,53,0,0,0,1,2,0,4,60
ORISSA,KEONJHAR,GHATAGAON,56,1,1,0,0,1,0,0,59
ORISSA,KEONJHAR,HARICHANDANPUR,147,3,2,6,4,0,0,0,162
ORISSA,KEONJHAR,HATADIHI,100,0,1,1,2,1,0,4,109
ORISSA,KEONJHAR,JHUMPURA,187,0,7,9,0,0,1,1,205
ORISSA,KEONJHAR,JODA,47,0,0,0,0,0,0,0,47
ORISSA,KEONJHAR,KEONJHAR SADAR,146,10,9,24,10,12,2,4,217
ORISSA,KEONJHAR,PATANA,76,4,3,3,3,5,1,0,95
ORISSA,KEONJHAR,SAHARPADA,40,4,5,3,1,1,2,1,57
ORISSA,KEONJHAR,TELKOI,144,2,0,0,0,1,3,1,151
ORISSA,KHURDA,BALIANTA,12,1,0,2,0,2,0,0,17
ORISSA,KHURDA,BANAPUR,44,4,0,1,4,0,0,0,53
ORISSA,KHURDA,BEGUNIA,99,0,0,0,0,0,0,0,99
ORISSA,KHURDA,BHUBANESWAR,27,3,0,4,1,2,2,0,39
ORISSA,KHURDA,BOLAGARH,44,0,0,0,0,1,0,1,46
ORISSA,KHURDA,CHILIKA,8,1,0,0,0,1,0,2,12
ORISSA,KHURDA,JATANI,24,2,0,0,0,1,0,0,27
ORISSA,KHURDA,KHURDA,38,0,0,0,4,1,0,0,43
ORISSA,KHURDA,TANGI,189,1,1,1,0,1,0,0,193
ORISSA,KORAPUT,BANDHUGAON,49,0,0,0,0,0,0,0,49
ORISSA,KORAPUT,BOIPARIGUDA,131,25,20,24,13,29,25,20,287
ORISSA,KORAPUT,BORIGUMMA,723,16,5,19,20,11,15,15,824
ORISSA,KORAPUT,DASAMANTAPUR,2,0,1,1,0,1,0,0,5
ORISSA,KORAPUT,JEYPORE,45,1,2,5,9,12,15,8,97
ORISSA,KORAPUT,KORAPUT,20,2,4,3,3,3,5,4,44
ORISSA,KORAPUT,KOTPAD,274,3,3,1,1,3,1,0,286
