-----
{
 "description": "The table refers to block wise distribution of surface lift schemes according to horse power of lifting devices. It has been sourced from 2nd census of minor irrigation scheme(1993-94) from Ministry of Water Resources.", 
 "file_name": "srfclftblck5.10.csv", 
 "title": "Download CSV for Blockwise Distribution of surface lift schemes according to horsepower for 2nd census of minor irrigation schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/srfclftblck5.10.csv"
}
-----
"State","District","Block","Horse power (0-2)","Horse power (2-4)","Horse power (4-6)","Horse power (6-8)","Horse power (8-10)","Horse power (Above 10)","Unspecified","Total"
"ANDHRA PRADESH","ADILABAD","TALAMADUGU",0,1,16,0,64,52,0,133
"ANDHRA PRADESH","ADILABAD","TAMSI",0,5,57,27,3,4,0,96
"ANDHRA PRADESH","ADILABAD","TIRYANI",0,21,30,0,2,1,0,54
"ANDHRA PRADESH","ANANTHAPUR","TANAKAL",0,1,0,0,0,0,0,1
"ANDHRA PRADESH","CHITTOOR","BUCHINAIDU KHANDRIGA",0,5,37,26,0,1,0,69
"ANDHRA PRADESH","CHITTOOR","RENIGUNTA",0,10,3,0,0,0,0,13
"ANDHRA PRADESH","CHITTOOR","THOTTAMBEDA",0,1,19,3,0,0,0,23
"ANDHRA PRADESH","CUDDAPAH","ATLUR",0,0,0,0,0,1,0,1
"ANDHRA PRADESH","CUDDAPAH","BADVEL",0,0,0,0,0,2,0,2
"ANDHRA PRADESH","CUDDAPAH","DUVVUR",0,0,4,0,0,0,0,4
"ANDHRA PRADESH","CUDDAPAH","KHAJIPET",0,0,7,0,3,23,0,33
"ANDHRA PRADESH","CUDDAPAH","PEDDAMUDIUM",1,0,13,11,0,0,0,25
"ANDHRA PRADESH","CUDDAPAH","RAMAPURAM",0,0,2,0,0,0,0,2
"ANDHRA PRADESH","CUDDAPAH","VALLUR",0,0,0,0,1,4,0,5
"ANDHRA PRADESH","CUDDAPAH","VONTIMITTA",0,0,0,1,0,0,0,1
"ANDHRA PRADESH","EAST GODAVARI","ADDATEEGALA",0,0,0,0,0,1,0,1
"ANDHRA PRADESH","EAST GODAVARI","ATREYAPURAM",0,0,2,11,0,0,0,13
"ANDHRA PRADESH","EAST GODAVARI","JAGGAMPETA",0,0,0,0,6,1,0,7
"ANDHRA PRADESH","EAST GODAVARI","KADIAM",0,0,0,0,0,1,0,1
"ANDHRA PRADESH","EAST GODAVARI","KAJULURU",0,0,2,0,0,0,0,2
"ANDHRA PRADESH","EAST GODAVARI","KAPILESWARAPURAM",0,0,8,8,0,0,0,16
"ANDHRA PRADESH","EAST GODAVARI","KARAPA",0,0,3,0,1,7,0,11
"ANDHRA PRADESH","EAST GODAVARI","KIRLAMPUDI",0,0,0,0,0,1,0,1
"ANDHRA PRADESH","EAST GODAVARI","PAMARRU",0,0,5,0,0,0,0,5
"ANDHRA PRADESH","EAST GODAVARI","PEDAPUDI",0,0,0,0,0,1,0,1
"ANDHRA PRADESH","EAST GODAVARI","PRATHIPADU",0,0,10,0,0,0,0,10
"ANDHRA PRADESH","EAST GODAVARI","RAJAHMUNDRY RURAL",0,0,0,0,0,3,0,3
"ANDHRA PRADESH","EAST GODAVARI","RAJAVOMMANGI",0,0,0,0,0,2,0,2
"ANDHRA PRADESH","EAST GODAVARI","RANGAMPETA",0,0,0,0,0,1,0,1
"ANDHRA PRADESH","EAST GODAVARI","SAMALKOTA",0,0,0,0,0,1,0,1
"ANDHRA PRADESH","EAST GODAVARI","THALLAREVU",0,0,2,0,0,0,0,2
"ANDHRA PRADESH","EAST GODAVARI","Y. RAMAVARAM",0,0,0,0,0,1,0,1
"ANDHRA PRADESH","GUNTUR","ACHAMPET",1,0,36,0,1,2,0,40
"ANDHRA PRADESH","GUNTUR","AMARAVATHI",0,0,60,1,0,5,0,66
"ANDHRA PRADESH","GUNTUR","BAPATLA",0,4,11,9,9,18,0,51
"ANDHRA PRADESH","GUNTUR","BELLAMKONDA",0,0,10,2,0,0,0,12
"ANDHRA PRADESH","GUNTUR","BOLLAPALLE",0,0,0,0,1,0,0,1
"ANDHRA PRADESH","GUNTUR","CHEBROLE",0,0,0,1,0,4,0,5
"ANDHRA PRADESH","GUNTUR","CHERUKUPALLE",0,0,0,0,1,0,0,1
