-----
{
 "description": "The table refers to district wise distribution of shallow tubewells according to the constraints. The report has been sourced from 2nd census of minor irrigation scheme(1993-94) from ministry of water resources.", 
 "file_name": "Districtshtbwl2.16.csv", 
 "title": "Download CSV for District wise Distribution of Shallow Tubewells according to the constraints for 2nd Census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/Districtshtbwl2.16.csv"
}
-----
State,District,No. of Tubewell in use,No. of Tubewell with no constraints,Constraints in utilisation - Inadequate power supply,Constraints in utilisation - Mechanical break down,Constraints in utilisation - Less water discharge,Constraints in utilisation - Other reason,Total - Constraints in utilisation,Grand Total
RAJASTHAN,KOTA,1670,1498,14,6,143,9,172,1670
RAJASTHAN,NAGAUR,445,364,13,1,66,1,81,445
RAJASTHAN,PALI,119,119,0,0,0,0,0,119
RAJASTHAN,RAJSAMAND,7,7,0,0,0,0,0,7
RAJASTHAN,SAWAI-MADHOPUR,2288,2288,0,0,0,0,0,2288
RAJASTHAN,SIROHI,1,0,1,0,0,0,1,1
RAJASTHAN,TONK,5,0,0,0,0,5,5,5
RAJASTHAN,UDAIPUR,26,13,0,0,11,2,13,26
TAMIL NADU,COIMBATORE,630,0,0,0,538,92,630,630
TAMIL NADU,CUDDALORE,20229,0,3157,95,117,16860,20229,20229
TAMIL NADU,DHARMAPURI,72,0,4,0,68,0,72,72
TAMIL NADU,DINDIGUL,253,0,10,0,238,5,253,253
TAMIL NADU,ERODE,166,0,1,0,0,165,166,166
TAMIL NADU,KANCHIPURAM,3189,0,227,42,552,2368,3189,3189
TAMIL NADU,KANNIYAKUMARI,55,0,0,0,0,55,55,55
TAMIL NADU,KARUR,295,294,0,0,0,1,1,295
TAMIL NADU,MADURAI,14,0,0,0,0,14,14,14
TAMIL NADU,NAGAPATTINAM,2139,0,544,5,105,1485,2139,2139
TAMIL NADU,NAMAKKAL,32,0,0,0,0,32,32,32
TAMIL NADU,PERAMBALUR,2142,0,0,0,24,2118,2142,2142
TAMIL NADU,PUDUKOTTAI,587,0,60,9,207,311,587,587
TAMIL NADU,RAMNATHAPURAM,283,0,81,1,11,190,283,283
TAMIL NADU,SALEM,106,0,0,0,0,106,106,106
TAMIL NADU,SIVAGANGA,38,0,6,0,0,32,38,38
TAMIL NADU,THANJAVUR,18538,20,9077,36,38,9367,18518,18538
TAMIL NADU,THENI,341,0,16,0,1,324,341,341
TAMIL NADU,TIRUNELVELI,37,0,0,0,2,35,37,37
TAMIL NADU,TIRUVALLUR,4969,0,289,62,76,4542,4969,4969
TAMIL NADU,TIRUVARUR,10697,7031,434,128,104,3000,3666,10697
TAMIL NADU,TRICHIRAPPALLI,164,0,0,0,0,164,164,164
TAMIL NADU,VILLUPURAM,5177,0,811,4,77,4285,5177,5177
TRIPURA,DHALAI,58,58,0,0,0,0,0,58
TRIPURA,NORTH,5,5,0,0,0,0,0,5
TRIPURA,SOUTH,38,4,34,0,0,0,34,38
TRIPURA,WEST,12,8,0,2,2,0,4,12
UTTAR PRADESH,AGRA,35349,0,4250,6433,2872,21794,35349,35349
UTTAR PRADESH,ALIGARH,49123,0,935,646,666,46876,49123,49123
UTTAR PRADESH,ALLAHABAD,27368,0,5422,4521,6840,10585,27368,27368
UTTAR PRADESH,AMBEDKAR NAGAR,34577,32925,1007,178,0,467,1652,34577
UTTAR PRADESH,AZAMGARH,28543,0,3339,426,167,24611,28543,28543
UTTAR PRADESH,BADAUN,54126,0,186,184,307,53449,54126,54126
UTTAR PRADESH,BAHRAICH,52298,34930,1587,862,1269,13650,17368,52298
UTTAR PRADESH,BALLIA,22983,0,3456,2575,569,16383,22983,22983
UTTAR PRADESH,BANDA,6155,0,2869,407,1377,1502,6155,6155
UTTAR PRADESH,BARABANKI,32757,0,27350,2274,665,2468,32757,32757
UTTAR PRADESH,BAREILLY,48614,0,0,0,0,48614,48614,48614
UTTAR PRADESH,BASTI,46251,0,20215,3909,339,21788,46251,46251
UTTAR PRADESH,BIJNOR,59894,0,10818,3346,976,44754,59894,59894
UTTAR PRADESH,BULANDSHAHR,45035,0,21942,4445,1863,16785,45035,45035
UTTAR PRADESH,DEHRADUN,435,0,2,10,17,406,435,435
UTTAR PRADESH,DEORIA,34971,0,2701,457,62,31751,34971,34971
UTTAR PRADESH,ETAH,41738,0,1266,88,9,40375,41738,41738
UTTAR PRADESH,ETAWAH,29593,10,255,171,26,29131,29583,29593
UTTAR PRADESH,FAIZABAD,30527,18797,4060,4062,1985,1623,11730,30527
UTTAR PRADESH,FARUKHABAD,49959,0,932,2887,8242,37898,49959,49959
UTTAR PRADESH,FATEHPUR,12230,0,2308,946,303,8673,12230,12230
