-----
{
 "description": "The table refers to District wise Distribution of Shallow Tubewells in use according to Utilization of Potential Created. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "shltbstate2.15.csv", 
 "title": "Download CSV for Districtwise Distribution of Shallow Tubewells in use according to Utilization of Potential Created", 
 "url": "http://data.gov.in/sites/default/files/shltbstate2.15.csv"
}
-----
"State","District","No constraints in utilisation","Constraints in utilisation - Inadequate power supply","Constraints in utilisation - Mechanical break down","Constraints in utilisation - Less water discharge","Constraints in utilisation - Other reason","Total - Constraints in utilisation","Total in use"
"UTTAR PRADESH","ALLAHABAD",17165,5353,1326,1065,4141,11885,29050
"UTTAR PRADESH","AMBEDAKAR NAGAR",30975,1496,3522,389,19601,25008,55983
"UTTAR PRADESH","AURAIYA",32561,0,0,0,0,0,32561
"UTTAR PRADESH","AZAMGARH",43638,7295,4417,912,7736,20360,63998
"UTTAR PRADESH","BAGHPAT",0,16082,2029,807,5708,24626,24626
"UTTAR PRADESH","BAHARAICH",13,244,1295,578,48895,51012,51025
"UTTAR PRADESH","BALLIA",21802,1443,1853,1034,6893,11223,33025
"UTTAR PRADESH","BALRAMPUR",1,323,3895,12272,28963,45453,45454
"UTTAR PRADESH","BANDA",76,419,1333,865,7410,10027,10103
"UTTAR PRADESH","BARABANKI",61369,3270,1557,851,17391,23069,84438
"UTTAR PRADESH","BAREILLY",75354,1761,4761,6688,19966,33176,108530
"UTTAR PRADESH","BASTI",120,29,2,1,67017,67049,67169
"UTTAR PRADESH","BIJNOR",0,1,85468,0,0,85469,85469
"UTTAR PRADESH","BUDAUN",46307,5755,5747,7102,29869,48473,94780
"UTTAR PRADESH","BULAND SAHAR",0,21705,6623,3418,29515,61261,61261
"UTTAR PRADESH","CHANDAULI",6,4169,1589,275,5722,11755,11761
"UTTAR PRADESH","CHITRAKOOT",8,159,1086,852,1286,3383,3391
"UTTAR PRADESH","DEORIA",0,0,0,0,55627,55627,55627
"UTTAR PRADESH","ETAH",88,1780,27772,1848,33853,65253,65341
"UTTAR PRADESH","ETAWAH",30217,0,0,0,0,0,30217
"UTTAR PRADESH","FAIZABAD",27400,7505,8596,296,18770,35167,62567
"UTTAR PRADESH","FARRUKHABAD",2356,620,2346,1328,19220,23514,25870
"UTTAR PRADESH","FATEHPUR",20024,3994,2095,3518,4872,14479,34503
"UTTAR PRADESH","FIROZABAD",0,6340,2638,9083,11887,29948,29948
"UTTAR PRADESH","GAUTAM BUDHA NAGAR",0,1029,1035,60,21277,23401,23401
"UTTAR PRADESH","GHAZIABAD",0,6391,3150,384,24929,34854,34854
"UTTAR PRADESH","GHAZIPUR",26181,12012,6949,713,20761,40435,66616
"UTTAR PRADESH","GONDA",0,4482,13842,5090,68969,92383,92383
"UTTAR PRADESH","GORAKHPUR",0,541,1455,102,74184,76282,76282
"UTTAR PRADESH","HAMIRPUR",381,519,1075,1090,7055,9739,10120
"UTTAR PRADESH","HARDOI",0,27,6989,2670,54612,64298,64298
"UTTAR PRADESH","HATHRAS",30440,6,5,0,3,14,30454
"UTTAR PRADESH","JALAUN",0,511,60,20,8756,9347,9347
"UTTAR PRADESH","JAUNPUR",253,10589,5835,2752,55911,75087,75340
"UTTAR PRADESH","JHANSI",9,183,2610,3982,2363,9138,9147
"UTTAR PRADESH","JYOTIBA PHULENAGAR",27,4189,48617,962,15850,69618,69645
"UTTAR PRADESH","KANNAUJ",8035,463,882,9803,7536,18684,26719
"UTTAR PRADESH","KANPUR DEHAT",0,93,0,25664,0,25757,25757
"UTTAR PRADESH","KANPUR NAGAR",5,19707,1768,2226,3434,27135,27140
"UTTAR PRADESH","KAUSHAMBI",0,648,2514,117,10318,13597,13597
"UTTAR PRADESH","KHERI",50101,3071,8571,1131,34935,47708,97809
"UTTAR PRADESH","KUSHINAGAR",0,544,2070,2764,36382,41760,41760
"UTTAR PRADESH","LALITPUR",0,0,1,26,910,937,937
"UTTAR PRADESH","LUCKNOW",0,1076,1400,1448,26538,30462,30462
"UTTAR PRADESH","MAHARAJ GANJ",39215,27,2917,3384,16828,23156,62371
"UTTAR PRADESH","MAHOBA",5,1,26,303,404,734,739
"UTTAR PRADESH","MAINPURI",0,2370,3937,13096,37615,57018,57018
"UTTAR PRADESH","MATHURA",0,1157,4004,9718,37774,52653,52653
"UTTAR PRADESH","MAU",18295,3924,1449,1470,4849,11692,29987
"UTTAR PRADESH","MEERUT",0,18133,9561,1580,21964,51238,51238
"UTTAR PRADESH","MIRZAPUR",1389,1509,286,657,2929,5381,6770
"UTTAR PRADESH","MORADABAD",41,6509,69794,1363,23665,101331,101372
"UTTAR PRADESH","MUZZAFARNAGAR",0,23206,6104,3640,57961,90911,90911
"UTTAR PRADESH","PILIBHIT",0,996,2002,614,69501,73113,73113
"UTTAR PRADESH","PRATAPGARH",42733,1917,3361,2642,39328,47248,89981
"UTTAR PRADESH","RAEBARELI",28782,2972,3649,5042,27209,38872,67654
"UTTAR PRADESH","RAMPUR",30,4453,50295,995,15608,71351,71381
"UTTAR PRADESH","SAHARANPUR",0,2947,1237,2000,73450,79634,79634
"UTTAR PRADESH","SANT KABIR NAGAR",52,947,2402,11289,20931,35569,35621
"UTTAR PRADESH","SANT RAVI DAS NAGAR",3,4914,708,167,1349,7138,7141
"UTTAR PRADESH","SHAHJAHANPUR",0,1488,2275,10244,79545,93552,93552
"UTTAR PRADESH","SHRAWASTI",16,324,1377,8933,29234,39868,39884
"UTTAR PRADESH","SIDDHARTH NAGAR",84,516,5141,3406,37539,46602,46686
"UTTAR PRADESH","SITAPUR",0,0,0,0,116701,116701,116701
"UTTAR PRADESH","SONBHADRA",2485,338,32,412,1465,2247,4732
"UTTAR PRADESH","SULTANPUR",50772,6434,15885,5043,40146,67508,118280
"UTTAR PRADESH","UNNAO",43190,375,4883,2285,17200,24743,67933
"UTTAR PRADESH","VARANASI",3,7718,2051,388,4063,14220,14223
"UTTARANCHAL","CHAMPAWAT",611,0,0,0,0,0,611
"UTTARANCHAL","DEHRA DUN",0,10,4,0,157,171,171
"UTTARANCHAL","HARIDWAR",29,89,61,66,25535,25751,25780
"UTTARANCHAL","NAINITAL",553,0,0,0,1,1,554
"UTTARANCHAL","UDHAM SINGH NAGAR",21147,1094,466,227,1366,3153,24300
"WEST BENGAL","BANKURA",14156,0,0,0,13088,13088,27244
"WEST BENGAL","BIRBHUM",1712,0,0,0,14733,14733,16445
"WEST BENGAL","BURDWAN",4810,0,0,0,41779,41779,46589
"WEST BENGAL","COOCHBEHAR",1156,0,0,0,38531,38531,39687
"WEST BENGAL","DAKSHIN DINAJPUR",10431,0,0,0,13585,13585,24016
"WEST BENGAL","DARJEELING",0,0,0,0,1212,1212,1212
"WEST BENGAL","HAORA",238,0,0,0,822,822,1060
"WEST BENGAL","HOOGHLY",6789,0,0,0,12989,12989,19778
"WEST BENGAL","JALPAIGURI",263,86,313,217,5909,6525,6788
"WEST BENGAL","MALDA",20997,0,0,0,15417,15417,36414
"WEST BENGAL","MIDNAPORE",35151,0,0,0,37863,37863,73014
"WEST BENGAL","MURSHIDABAD",10168,0,0,0,69894,69894,80062
"WEST BENGAL","NADIA",58338,0,0,0,34733,34733,93071
"WEST BENGAL","NORTH 24 PARGANAS",8156,0,0,0,53986,53986,62142
"WEST BENGAL","PURULIA",0,0,2,0,0,2,2
"WEST BENGAL","SOUTH 24 PARGANAS",4927,0,0,0,4217,4217,9144
"WEST BENGAL","UTTAR DINAJPUR",5028,0,0,0,35250,35250,40278
