-----
{
 "description": "The table refers to District wise Distribution of Shallow Tubewells according to source of Finance. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "shltbstate2.7.csv", 
 "title": "Download CSV for Districtwise Distribution of Shallow Tubewells according to source of Finance", 
 "url": "http://data.gov.in/sites/default/files/shltbstate2.7.csv"
}
-----
"State","District","Government fund","Farmer's saving","Loan & Saving","Subsidy & Bank loan","Subsidy only","Others","Total"
"UTTAR PRADESH","BARABANKI",4361,64751,5594,13815,1355,100,89976
"UTTAR PRADESH","BAREILLY",5203,70881,9616,13396,9984,422,109502
"UTTAR PRADESH","BASTI",172,37435,790,28728,107,10,67242
"UTTAR PRADESH","BIJNOR",7252,70127,3721,2343,1890,136,85469
"UTTAR PRADESH","BUDAUN",8675,70810,6724,7711,2282,306,96508
"UTTAR PRADESH","BULAND SAHAR",4976,47032,2260,6884,372,148,61672
"UTTAR PRADESH","CHANDAULI",2058,6583,1126,2109,79,10,11965
"UTTAR PRADESH","CHITRAKOOT",316,2568,339,192,38,3,3456
"UTTAR PRADESH","DEORIA",147,23853,1446,29751,583,9,55789
"UTTAR PRADESH","ETAH",3010,44090,7990,10075,710,353,66228
"UTTAR PRADESH","ETAWAH",0,30217,0,0,0,0,30217
"UTTAR PRADESH","FAIZABAD",3171,42929,3180,13670,552,56,63558
"UTTAR PRADESH","FARRUKHABAD",1177,16443,3692,4190,133,262,25897
"UTTAR PRADESH","FATEHPUR",4010,20307,3885,6738,132,104,35176
"UTTAR PRADESH","FIROZABAD",2362,22877,2558,2072,403,0,30272
"UTTAR PRADESH","GAUTAM BUDHA NAGAR",1028,18639,1304,1986,494,88,23539
"UTTAR PRADESH","GHAZIABAD",3414,26604,954,3364,895,11,35242
"UTTAR PRADESH","GHAZIPUR",3131,39560,8611,15752,90,165,67309
"UTTAR PRADESH","GONDA",2160,45336,6970,38142,189,8,92805
"UTTAR PRADESH","GORAKHPUR",556,28330,1372,44677,1534,139,76608
"UTTAR PRADESH","HAMIRPUR",1010,6618,1899,875,33,54,10489
"UTTAR PRADESH","HARDOI",2273,21773,4939,27488,6667,2037,65177
"UTTAR PRADESH","HATHRAS",594,22715,3014,3262,660,239,30484
"UTTAR PRADESH","JALAUN",1497,5113,1092,1769,84,15,9570
"UTTAR PRADESH","JAUNPUR",3122,33455,10277,28571,318,139,75882
"UTTAR PRADESH","JHANSI",2184,4065,528,2339,208,34,9358
"UTTAR PRADESH","JYOTIBA PHULENAGAR",172,59767,2974,2531,4214,26,69684
"UTTAR PRADESH","KANNAUJ",2213,15838,4682,3505,235,340,26813
"UTTAR PRADESH","KANPUR DEHAT",1282,15625,3663,4619,934,167,26290
"UTTAR PRADESH","KANPUR NAGAR",2180,15754,3458,5386,645,272,27695
"UTTAR PRADESH","KAUSHAMBI",1626,8962,1816,1692,51,97,14244
"UTTAR PRADESH","KHERI",7117,74771,4938,7480,5112,328,99746
"UTTAR PRADESH","KUSHINAGAR",1516,15606,4296,20093,723,473,42707
"UTTAR PRADESH","LALITPUR",925,7,5,0,0,0,937
"UTTAR PRADESH","LUCKNOW",2164,15424,3051,9445,414,1468,31966
"UTTAR PRADESH","MAHARAJ GANJ",1498,22958,7039,28689,1988,201,62373
"UTTAR PRADESH","MAHOBA",134,537,31,49,2,0,753
"UTTAR PRADESH","MAINPURI",4201,32560,9418,8998,2807,0,57984
"UTTAR PRADESH","MATHURA",3372,39599,3298,5113,3104,0,54486
"UTTAR PRADESH","MAU",1977,14200,3282,10956,219,89,30723
"UTTAR PRADESH","MEERUT",1210,40490,784,8523,721,117,51845
"UTTAR PRADESH","MIRZAPUR",1300,3539,961,1012,117,83,7012
"UTTAR PRADESH","MORADABAD",237,86980,4396,3533,6239,37,101422
"UTTAR PRADESH","MUZZAFARNAGAR",4757,71437,2532,11589,578,815,91708
"UTTAR PRADESH","PILIBHIT",2928,48099,5987,10111,6650,145,73920
"UTTAR PRADESH","PRATAPGARH",1179,37525,3959,47919,73,92,90747
"UTTAR PRADESH","RAEBARELI",3385,28291,8273,28217,439,120,68725
"UTTAR PRADESH","RAMPUR",183,61114,3175,2529,4391,27,71419
"UTTAR PRADESH","SAHARANPUR",1668,64543,1859,10554,1461,25,80110
"UTTAR PRADESH","SANT KABIR NAGAR",1183,16930,2840,13062,2064,152,36231
"UTTAR PRADESH","SANT RAVI DAS NAGAR",701,5636,392,419,17,19,7184
"UTTAR PRADESH","SHAHJAHANPUR",4442,63752,6274,13671,5567,1222,94928
"UTTAR PRADESH","SHRAWASTI",735,20067,1039,14667,3389,47,39944
"UTTAR PRADESH","SIDDHARTH NAGAR",2025,21765,3280,18528,858,550,47006
"UTTAR PRADESH","SITAPUR",6952,84809,4521,18748,1837,125,116992
"UTTAR PRADESH","SONBHADRA",1027,1956,1126,778,28,0,4915
"UTTAR PRADESH","SULTANPUR",6128,44683,25264,42360,1090,400,119925
"UTTAR PRADESH","UNNAO",2586,36548,4190,22276,2900,199,68699
"UTTAR PRADESH","VARANASI",1466,10242,1613,1123,14,18,14476
"UTTARANCHAL","CHAMPAWAT",178,430,2,5,11,2,628
"UTTARANCHAL","DEHRA DUN",1,157,11,4,4,1,178
"UTTARANCHAL","HARIDWAR",2451,21278,366,1127,708,101,26031
"UTTARANCHAL","NAINITAL",35,370,26,97,31,0,559
"UTTARANCHAL","UDHAM SINGH NAGAR",1083,16094,4089,3126,237,74,24703
"WEST BENGAL","BANKURA",1030,25644,764,308,244,93,28083
"WEST BENGAL","BIRBHUM",321,14761,1964,239,60,116,17461
"WEST BENGAL","BURDWAN",1572,43344,3387,1846,347,1214,51710
"WEST BENGAL","COOCHBEHAR",7116,29060,791,650,2899,690,41206
"WEST BENGAL","DAKSHIN DINAJPUR",1777,22043,574,154,301,246,25095
"WEST BENGAL","DARJEELING",479,623,114,78,187,2,1483
"WEST BENGAL","HAORA",38,978,67,23,10,15,1131
"WEST BENGAL","HOOGHLY",1407,14979,3023,884,195,347,20835
"WEST BENGAL","JALPAIGURI",1557,2901,779,267,2952,34,8490
"WEST BENGAL","MALDA",1133,34120,1479,287,169,67,37255
"WEST BENGAL","MIDNAPORE",3172,66613,5681,688,717,1357,78228
"WEST BENGAL","MURSHIDABAD",2356,78422,1938,484,305,462,83967
"WEST BENGAL","NADIA",3951,82868,5950,1318,481,221,94789
"WEST BENGAL","NORTH 24 PARGANAS",2043,58373,1895,611,142,138,63202
"WEST BENGAL","PURULIA",0,2,0,0,0,0,2
"WEST BENGAL","SOUTH 24 PARGANAS",92,9012,213,64,5,66,9452
"WEST BENGAL","UTTAR DINAJPUR",1985,38007,550,129,431,176,41278
