-----
{
 "description": "The table refers to block wise distribution of shallow tubewells according to horse power of lifting device . The report has been sourced from 2nd census of minor irrigation scheme(1993-94) from ministry of water resources.", 
 "file_name": "Blockshtbwl2.10.csv", 
 "title": "Download CSV for Block wise Distribution of Shallow Tubewells according to Horse Power of Lifting Device for 2nd Census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/Blockshtbwl2.10.csv"
}
-----
State,District,Block,Horse Power (0-2),Horse Power (2 - 4),Horse Power (4 - 6),Horse Power (6 -8),Horse Power (8 - 10),Horse Power (Above 10),Unspecified,Total
ORISSA,BOLANGIR,BONGOMUNDA,1,2,0,0,0,0,0,3
ORISSA,BOLANGIR,TUREKELA,0,4,0,0,0,0,0,4
ORISSA,CUTTACK,ATHGARH,0,1,0,0,0,0,0,1
ORISSA,CUTTACK,BARANGA,33,83,47,8,0,0,4,175
ORISSA,CUTTACK,CUTTACK(SADAR),116,105,73,2,5,0,0,301
ORISSA,CUTTACK,KANTAPARA,18,106,121,1,1,3,37,287
ORISSA,CUTTACK,MAHANGA,14,30,42,0,2,0,14,102
ORISSA,CUTTACK,NIALI,23,104,187,1,14,1,3,333
ORISSA,CUTTACK,NISCHINTAKOILI,53,125,116,14,1,0,37,346
ORISSA,CUTTACK,SALIPUR,39,48,66,1,0,0,3,157
ORISSA,CUTTACK,TANGI-CHOUDWAR,7,2,1,0,0,0,1,11
ORISSA,GAJAPATI,GUMMA,0,0,1,0,0,0,0,1
ORISSA,GAJAPATI,PARALAKHEMUNDI,2,25,54,0,1,0,1,83
ORISSA,GAJAPATI,RAYAGADA,2,1,0,0,0,0,0,3
ORISSA,GANJAM,ASKA,8,21,72,11,6,1,0,119
ORISSA,GANJAM,BELAGUNTHA,2,0,18,1,19,1,0,41
ORISSA,GANJAM,BHANJANAGAR,0,0,9,0,19,0,0,28
ORISSA,GANJAM,CHATRAPUR,31,32,38,1,9,5,1,117
ORISSA,GANJAM,CHIKITI,42,23,4,0,2,0,0,71
ORISSA,GANJAM,DHARAKOT,0,3,22,0,4,3,0,32
ORISSA,GANJAM,DIGAPAHANDI,42,36,0,2,0,1,0,81
ORISSA,GANJAM,GANJAM,6,6,23,0,4,0,0,39
ORISSA,GANJAM,HINJILIKUT,28,9,50,2,1,1,0,91
ORISSA,GANJAM,J.N.PRASAD,0,0,20,0,2,0,0,22
ORISSA,GANJAM,K.KHANDI,0,1,0,0,0,0,0,1
ORISSA,GANJAM,K.S.NAGAR,1,2,5,2,1,2,0,13
ORISSA,GANJAM,P.PUR,10,9,87,2,3,0,0,111
ORISSA,GANJAM,PATRAPUR,4,22,6,0,1,0,0,33
ORISSA,GANJAM,POLASARA,0,6,4,0,0,0,0,10
ORISSA,GANJAM,R.LUNDA,0,6,0,0,0,0,0,6
ORISSA,GANJAM,S.KHEMUNDI,4,2,6,4,6,0,1,23
