-----
{
 "description": "The table refers to District wise Shallow Tubewells in the command of Major/Medium Projects and Supplimentary Irrigation. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "shltbstate2.14.csv", 
 "title": "Download CSV for Districtwise Shallow Tubewells in the command of Major/Medium Projects and Supplimentary Irrigation", 
 "url": "http://data.gov.in/sites/default/files/shltbstate2.14.csv"
}
-----
"State","District","Location of Tubewell (Nos) - Inside Command","Location of Tubewell (Nos) - Outside Command","Total","Supplementary Irrigation (Ha) - Kharif","Supplementary Irrigation (Ha) - Rabi","Supplementary Irrigation (Ha) - Perennial","Supplementary Irrigation (Ha) - Others","Total.1"
"ORISSA","NAWARANGAPUR",0,11,11,0,0,0,0,0
"ORISSA","NAYAGARH",1,259,260,1,0,0,0,1
"ORISSA","NUAPADA",0,11,11,0,0,0,0,0
"ORISSA","PURI",231,5516,5747,114,194,0,0,308
"ORISSA","RAYAGADA",21,360,381,166,0,0,0,166
"ORISSA","SAMBALPUR",0,23,23,0,0,0,0,0
"ORISSA","SONEPUR",0,20,20,0,0,0,0,0
"ORISSA","SUNDARGARH",0,33,33,0,0,0,0,0
"PONDICHERRY","KARAIKAL",0,291,291,0,0,0,0,0
"PONDICHERRY","PONDICHERRY",7,4072,4079,0,0,0,0,0
"PUNJAB","AMRITSER",76720,48089,124809,103921,103875,782,781,209359
"PUNJAB","BATHINDA",38697,4676,43373,56775,58794,535,15,116119
"PUNJAB","FARIDKOT",28432,124,28556,45102,37102,0,0,82204
"PUNJAB","FATEHGARH SAHIB",239,32162,32401,316,309,7,0,632
"PUNJAB","FEROZEPUR",53670,37992,91662,47947,36351,631,12,84941
"PUNJAB","GURDASPUR",10178,60662,70840,10426,10409,144,11,20990
"PUNJAB","HOSHIARPUR",1131,58748,59879,400,419,77,6,902
"PUNJAB","JALANDHAR",1904,67178,69082,1622,1622,204,3,3452
"PUNJAB","KAPURTHALA",160,48563,48723,123,100,11,12,247
"PUNJAB","LUDHIANA",4090,104767,108857,6869,6356,119,12,13357
"PUNJAB","MANSA",38175,3798,41973,59685,62135,0,0,121820
"PUNJAB","MOGA",23133,30508,53641,36130,41182,421,3,77737
"PUNJAB","MUKATSAR",27147,71,27218,42310,42198,267,0,84775
"PUNJAB","NAWANSHAHAR",136,27855,27991,192,190,2,0,384
"PUNJAB","PATIALA",6554,73944,80498,6128,5945,65,10,12148
"PUNJAB","ROPAR",117,30041,30158,256,249,13,2,519
"PUNJAB","SANGRUR",39640,87816,127456,49942,45752,147,2,95843
"RAJASTHAN","AJMER",0,98,98,0,0,0,0,0
"RAJASTHAN","ALWAR",13,22039,22052,510,1003,0,3,1515
"RAJASTHAN","BANSWARA",64,29,93,0,0,0,0,0
"RAJASTHAN","BARAN",1052,2538,3590,19,71,0,0,90
"RAJASTHAN","BARMER",0,53,53,0,23,0,0,23
"RAJASTHAN","BHARATPUR",647,35081,35728,0,45,0,1,46
"RAJASTHAN","BHILWARA",23,311,334,0,0,0,0,0
"RAJASTHAN","BIKANER",0,10,10,0,0,0,0,0
"RAJASTHAN","BUNDI",3158,968,4126,900,1164,1,270,2335
"RAJASTHAN","CHITTORGARH",10,2452,2462,0,0,0,0,0
"RAJASTHAN","CHURU",0,115,115,0,0,0,0,0
"RAJASTHAN","DAUSA",12,4177,4189,0,0,0,10,10
"RAJASTHAN","DHOLPUR",3595,11167,14762,0,220,0,6,226
"RAJASTHAN","DUNGARPUR",10,213,223,0,5,0,2,7
"RAJASTHAN","GANGANAGAR",94,9,103,150,150,0,0,299
"RAJASTHAN","HANUMANGARH",321,860,1181,0,0,0,0,0
"RAJASTHAN","JAIPUR",4,2931,2935,6,0,0,3,9
"RAJASTHAN","JAISALMER",1,5,6,0,0,0,0,0
"RAJASTHAN","JALORE",5,234,239,0,0,0,0,0
"RAJASTHAN","JHALAWAR",1,902,903,0,10,0,0,10
"RAJASTHAN","JHUNJHUNU",0,21,21,0,0,0,0,0
"RAJASTHAN","JODHPUR",15,1290,1305,0,0,0,0,0
"RAJASTHAN","KAROLI",504,3701,4205,0,257,0,0,257
"RAJASTHAN","KOTA",2876,7303,10179,1,8,0,0,10
"RAJASTHAN","NAGAUR",4,513,517,0,0,0,0,0
"RAJASTHAN","PALI",4,781,785,0,0,0,0,0
