-----
{
 "description": "The table refers to Block wise Culturable Command Area and Potential Created through Surface Flow Schemes. The report has been sourced from 3rd census of minor irrigation scheme (2000-01) from Ministry of Water Resources.", 
 "file_name": "srfcflowdistr4.9.csv", 
 "title": "Download CSV for Blockwise Culturable Command Area and Potential Created through Surface Flow Schemes", 
 "url": "http://data.gov.in/sites/default/files/srfcflowdistr4.9.csv"
}
-----
STATENAME,DISTNAME,BLOCKNAME,Culturable Command Area,Irrigation potential created - Kharif,Irrigation potential created - Rabi,Irrigation potential created - Perennial,Irrigation potential created - Others
ANDHRA PRADESH,CHITTOOR,NIMMANAPALLE,1295,1276,1397,0,0
ANDHRA PRADESH,CHITTOOR,NINDRA,1302,0,1302,0,0
ANDHRA PRADESH,CHITTOOR,PAKALA,1327,0,1327,0,0
ANDHRA PRADESH,CHITTOOR,PALAMANER,926,700,693,0,0
ANDHRA PRADESH,CHITTOOR,PALASAMUDRAM,726,662,756,0,0
ANDHRA PRADESH,CHITTOOR,PEDDA PANJANI,2303,2243,711,0,0
ANDHRA PRADESH,CHITTOOR,PEDDAMANDYAM,689,679,537,0,0
ANDHRA PRADESH,CHITTOOR,PEDDATHIPPASAMUDRAM,2131,225,1905,2,0
ANDHRA PRADESH,CHITTOOR,PENUMURU,1018,0,1018,0,0
ANDHRA PRADESH,CHITTOOR,PICHATUR,1560,1294,1513,0,0
ANDHRA PRADESH,CHITTOOR,PILERU,1298,1288,1062,2,0
ANDHRA PRADESH,CHITTOOR,PULICHERLA,1503,1503,1493,0,0
ANDHRA PRADESH,CHITTOOR,PUNGANUR,2642,2520,1967,0,0
ANDHRA PRADESH,CHITTOOR,PUTHALAPATTU,1358,705,893,0,0
ANDHRA PRADESH,CHITTOOR,PUTTUR,789,0,737,53,0
ANDHRA PRADESH,CHITTOOR,RAMA KUPPAM,951,880,319,0,0
ANDHRA PRADESH,CHITTOOR,RAMACHANDRAPURAM,214,33,181,0,0
ANDHRA PRADESH,CHITTOOR,RAMASAMUDRAM,1964,1920,161,0,0
ANDHRA PRADESH,CHITTOOR,RENIGUNTA,1854,101,1818,0,0
ANDHRA PRADESH,CHITTOOR,ROMPICHERLA,992,1043,1013,0,0
ANDHRA PRADESH,CHITTOOR,SANTHI PURAM,974,939,67,0,0
ANDHRA PRADESH,CHITTOOR,SATYAVEDU,3062,1259,2408,0,0
ANDHRA PRADESH,CHITTOOR,SODAM,1772,528,1549,0,0
ANDHRA PRADESH,CHITTOOR,SOMALA,1397,748,2021,0,0
ANDHRA PRADESH,CHITTOOR,SRIKALAHASTI,4942,70,4942,0,0
ANDHRA PRADESH,CHITTOOR,SRIRANGARAJAPURAM,970,0,970,0,0
ANDHRA PRADESH,CHITTOOR,THAMBALLAPALLE,1495,1026,975,0,0
ANDHRA PRADESH,CHITTOOR,THAVANAMPALLE,892,0,892,0,0
ANDHRA PRADESH,CHITTOOR,THOTTAMBEDU,3696,477,3693,0,0
ANDHRA PRADESH,CHITTOOR,TIRUPATI RURAL,801,15,786,0,0
ANDHRA PRADESH,CHITTOOR,TIRUPATI URBAN,257,25,242,0,0
ANDHRA PRADESH,CHITTOOR,VADAMALAPETA,934,37,897,0,0
ANDHRA PRADESH,CHITTOOR,VARADAIAHPALEM,4200,16,4200,0,0
ANDHRA PRADESH,CHITTOOR,VAYALPAD,1005,587,434,3,0
ANDHRA PRADESH,CHITTOOR,VEDURU KUPPAM,931,6,925,0,0
ANDHRA PRADESH,CHITTOOR,VENKATAGIRI KOTA,1005,788,343,0,0
ANDHRA PRADESH,CHITTOOR,VIJAYA PURAM,965,0,965,0,0
ANDHRA PRADESH,CHITTOOR,YADAMARI,726,3,723,0,0
ANDHRA PRADESH,CHITTOOR,YERPEDU,4753,0,4945,0,0
