-----
{
 "description": "The table refers to block wise distribution of shallow tubewells according to major/medium projects and  average pumping hours . The report has been sourced from 2nd census of minor irrigation scheme(1993-94) from ministry of water resources.", 
 "file_name": "Blockshtbwl2.11.csv", 
 "title": "Download CSV for Block wise Distribution of Shallow Tubewells according to major/medium projects and  Average Pumping Hours for 2nd Census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/Blockshtbwl2.11.csv"
}
-----
State,District,Block,On the Maj/Med,Outside Command,Total,Avg pumping hours (0-4),Avg pumping hours (4 - 8),Avg pumping hours (8-12),Avg pumping hours (12 -16),Avg pumping hours (16 - 20),Avg pumping hours (20 - 24),Total
ANDHRA PRADESH,VIJAYA NAGARAM,MERAKAMUDIDAM,0,17,17,7,7,3,0,0,0,17
ANDHRA PRADESH,VIJAYA NAGARAM,NELLIMARLA,0,56,56,6,45,5,0,0,0,56
ANDHRA PRADESH,VIJAYA NAGARAM,PARVATHIPURAM,0,21,21,19,2,0,0,0,0,21
ANDHRA PRADESH,VIJAYA NAGARAM,PUSAPATIREGA,0,198,198,16,125,56,1,0,0,198
ANDHRA PRADESH,VIJAYA NAGARAM,RAMABHADRAPURAM,0,75,75,12,63,0,0,0,0,75
ANDHRA PRADESH,VIJAYA NAGARAM,SALUR,0,577,577,101,317,156,3,0,0,577
ANDHRA PRADESH,VIJAYA NAGARAM,SEETHANAGARAM,39,284,323,15,108,200,0,0,0,323
ANDHRA PRADESH,VIJAYA NAGARAM,SRUNGAVARAPUKOTA,0,517,517,218,274,8,17,0,0,517
ANDHRA PRADESH,VIJAYA NAGARAM,THERLAM,0,122,122,85,36,1,0,0,0,122
ANDHRA PRADESH,VIJAYA NAGARAM,VEPADA,0,43,43,39,4,0,0,0,0,43
ANDHRA PRADESH,VIJAYA NAGARAM,VIZIANAGARAM,0,1,1,0,1,0,0,0,0,1
ANDHRA PRADESH,VISAKHAPATNAM,ANAKAPALLE,49,170,219,141,51,15,12,0,0,219
ANDHRA PRADESH,VISAKHAPATNAM,ANANDAPURAM,0,72,72,2,70,0,0,0,0,72
ANDHRA PRADESH,VISAKHAPATNAM,ANANTHAGIRI,0,8,8,0,8,0,0,0,0,8
ANDHRA PRADESH,VISAKHAPATNAM,ATCHUTAPURAM,8,340,348,132,154,62,0,0,0,348
ANDHRA PRADESH,VISAKHAPATNAM,BHEEMUNIPATNAM,0,35,35,16,11,8,0,0,0,35
ANDHRA PRADESH,VISAKHAPATNAM,BUTCHAYYAPETA,76,87,163,29,31,100,0,3,0,163
ANDHRA PRADESH,VISAKHAPATNAM,CHEEDIKADA,12,87,99,10,89,0,0,0,0,99
ANDHRA PRADESH,VISAKHAPATNAM,CHODAVARAM,5,643,648,306,342,0,0,0,0,648
ANDHRA PRADESH,VISAKHAPATNAM,DEVARAPALLE,131,280,411,97,277,37,0,0,0,411
ANDHRA PRADESH,VISAKHAPATNAM,GOLUGONDA,2,137,139,14,125,0,0,0,0,139
ANDHRA PRADESH,VISAKHAPATNAM,K.KOTAPADU,77,159,236,5,231,0,0,0,0,236
ANDHRA PRADESH,VISAKHAPATNAM,KASIMKOTA,8,264,272,33,167,69,2,1,0,272
ANDHRA PRADESH,VISAKHAPATNAM,KOTAURATLA,0,87,87,17,70,0,0,0,0,87
ANDHRA PRADESH,VISAKHAPATNAM,MADUGULA,18,519,537,9,351,142,35,0,0,537
ANDHRA PRADESH,VISAKHAPATNAM,MAKAVARAPALEM,0,65,65,9,53,3,0,0,0,65
ANDHRA PRADESH,VISAKHAPATNAM,MUNAGAPAKA,16,529,545,165,319,60,0,1,0,545
ANDHRA PRADESH,VISAKHAPATNAM,NARSIPATNAM,0,19,19,13,5,1,0,0,0,19
ANDHRA PRADESH,VISAKHAPATNAM,NATHAVARAM,56,4,60,5,55,0,0,0,0,60
ANDHRA PRADESH,VISAKHAPATNAM,PADMANABHAM,0,236,236,222,14,0,0,0,0,236
ANDHRA PRADESH,VISAKHAPATNAM,PARAVADA,0,20,20,18,2,0,0,0,0,20
ANDHRA PRADESH,VISAKHAPATNAM,PAYAKARAOPETA,245,278,523,145,272,106,0,0,0,523
ANDHRA PRADESH,VISAKHAPATNAM,PENDURTHI,0,9,9,9,0,0,0,0,0,9
ANDHRA PRADESH,VISAKHAPATNAM,RAMBILLI,0,38,38,38,0,0,0,0,0,38
ANDHRA PRADESH,VISAKHAPATNAM,RAVIKAMATHAM,0,15,15,5,5,3,0,2,0,15
ANDHRA PRADESH,VISAKHAPATNAM,ROLUGUNTA,0,35,35,22,10,3,0,0,0,35
ANDHRA PRADESH,VISAKHAPATNAM,S.RAYAVARAM,0,266,266,142,124,0,0,0,0,266
ANDHRA PRADESH,VISAKHAPATNAM,SABBAVARAM,0,7,7,7,0,0,0,0,0,7
ANDHRA PRADESH,VISAKHAPATNAM,VISAKHAPATNAM RURAL,0,1,1,0,1,0,0,0,0,1
ANDHRA PRADESH,VISAKHAPATNAM,YELAMANCHILI,25,250,275,21,121,127,2,0,4,275
ANDHRA PRADESH,WARANGAL,ATMAKUR,0,2,2,0,2,0,0,0,0,2
ANDHRA PRADESH,WARANGAL,BACHANNAPETA,0,140,140,52,26,55,6,1,0,140
ANDHRA PRADESH,WARANGAL,CHERIYAL,0,519,519,137,250,93,9,9,21,519
ANDHRA PRADESH,WARANGAL,CHITYAL,0,70,70,13,57,0,0,0,0,70
ANDHRA PRADESH,WARANGAL,DEVARUPPULA,2,336,338,234,85,13,0,0,6,338
ANDHRA PRADESH,WARANGAL,DORNAKAL,0,1,1,1,0,0,0,0,0,1
ANDHRA PRADESH,WARANGAL,DUGGONDI,0,6,6,5,1,0,0,0,0,6
ANDHRA PRADESH,WARANGAL,ETURNAGARAM,0,122,122,4,116,2,0,0,0,122
ANDHRA PRADESH,WARANGAL,GHANPUR(STATION),0,249,249,140,103,6,0,0,0,249
ANDHRA PRADESH,WARANGAL,GOVINDARAOPET,0,37,37,1,36,0,0,0,0,37
ANDHRA PRADESH,WARANGAL,HANAMKONDA,0,50,50,27,23,0,0,0,0,50
ANDHRA PRADESH,WARANGAL,JANGAON,0,68,68,55,8,2,0,0,3,68
ANDHRA PRADESH,WARANGAL,KODAKANDLA,0,91,91,33,47,10,1,0,0,91
ANDHRA PRADESH,WARANGAL,KOTHAGUDEM,0,124,124,37,34,2,51,0,0,124
ANDHRA PRADESH,WARANGAL,LINGALAGHANPUR,1,53,54,1,9,37,1,6,0,54
ANDHRA PRADESH,WARANGAL,MADDUR,0,102,102,93,6,1,0,0,2,102
ANDHRA PRADESH,WARANGAL,MAHABUBABAD,0,16,16,2,13,1,0,0,0,16
ANDHRA PRADESH,WARANGAL,MANGAPET,9,382,391,4,386,1,0,0,0,391
ANDHRA PRADESH,WARANGAL,MULUG,0,53,53,12,37,4,0,0,0,53
ANDHRA PRADESH,WARANGAL,NALLA BELLI,0,6,6,1,5,0,0,0,0,6
ANDHRA PRADESH,WARANGAL,NARSIMHULAPET,0,34,34,3,30,1,0,0,0,34
ANDHRA PRADESH,WARANGAL,NEKKONDA,0,6,6,1,1,4,0,0,0,6
ANDHRA PRADESH,WARANGAL,PALAKURTHI,5,221,226,73,29,49,13,55,7,226
ANDHRA PRADESH,WARANGAL,PARKAL,0,8,8,5,3,0,0,0,0,8
ANDHRA PRADESH,WARANGAL,RAGHUNATHPALLE,0,4,4,1,1,0,0,2,0,4
ANDHRA PRADESH,WARANGAL,TADVAI,0,226,226,112,105,9,0,0,0,226
ANDHRA PRADESH,WARANGAL,THORRUR,0,53,53,15,35,3,0,0,0,53
ANDHRA PRADESH,WARANGAL,VENKATAPUR,0,31,31,6,16,5,4,0,0,31
ANDHRA PRADESH,WARANGAL,WARDHANNA PET,0,484,484,110,363,11,0,0,0,484
ANDHRA PRADESH,WEST GODAVARI,ACHANTA,732,0,732,725,6,1,0,0,0,732
ANDHRA PRADESH,WEST GODAVARI,ATTILI,67,0,67,38,28,1,0,0,0,67
ANDHRA PRADESH,WEST GODAVARI,BHIMADOLE,1,131,132,0,132,0,0,0,0,132
ANDHRA PRADESH,WEST GODAVARI,BUTTAYAGUDEM,0,912,912,1,129,781,1,0,0,912
ANDHRA PRADESH,WEST GODAVARI,CHAGALLU,1,723,724,18,364,340,2,0,0,724
ANDHRA PRADESH,WEST GODAVARI,CHINTALAPUDI,0,1179,1179,0,262,825,91,1,0,1179
ANDHRA PRADESH,WEST GODAVARI,DEVARAPALLE,0,156,156,1,0,20,119,15,1,156
ANDHRA PRADESH,WEST GODAVARI,GOPALAPURAM,0,52,52,0,7,15,24,6,0,52
ANDHRA PRADESH,WEST GODAVARI,IRAGAVARAM,594,0,594,144,233,198,19,0,0,594
ANDHRA PRADESH,WEST GODAVARI,JANGAREDDIGUDEM,42,996,1038,125,154,528,228,3,0,1038
ANDHRA PRADESH,WEST GODAVARI,JEELUGU MILLI,0,608,608,0,151,180,244,33,0,608
ANDHRA PRADESH,WEST GODAVARI,KOVVUR,182,1356,1538,218,781,539,0,0,0,1538
ANDHRA PRADESH,WEST GODAVARI,KOYYALAGUDEM,0,374,374,62,183,127,2,0,0,374
ANDHRA PRADESH,WEST GODAVARI,LINGAPALEM,13,62,75,0,71,4,0,0,0,75
ANDHRA PRADESH,WEST GODAVARI,NALLAJERLA,0,287,287,0,0,260,27,0,0,287
ANDHRA PRADESH,WEST GODAVARI,NIDADAVOLE,462,334,796,38,97,317,36,308,0,796
ANDHRA PRADESH,WEST GODAVARI,PALACOLE,75,0,75,71,4,0,0,0,0,75
ANDHRA PRADESH,WEST GODAVARI,PEDAVEGI,0,9,9,0,0,0,4,5,0,9
ANDHRA PRADESH,WEST GODAVARI,PENTAPADU,3,0,3,3,0,0,0,0,0,3
ANDHRA PRADESH,WEST GODAVARI,PENUGONDA,527,0,527,282,187,38,19,1,0,527
ANDHRA PRADESH,WEST GODAVARI,PENUMANTRA,243,0,243,44,199,0,0,0,0,243
ANDHRA PRADESH,WEST GODAVARI,PERAVALI,351,572,923,1,200,677,40,5,0,923
ANDHRA PRADESH,WEST GODAVARI,PODURU,394,0,394,394,0,0,0,0,0,394
ANDHRA PRADESH,WEST GODAVARI,POLAVARAM,1,438,439,0,236,199,4,0,0,439
ANDHRA PRADESH,WEST GODAVARI,T.NARASAPURAM,0,112,112,0,25,75,12,0,0,112
ANDHRA PRADESH,WEST GODAVARI,TADEPALLIGUDEM,7,1,8,0,8,0,0,0,0,8
ANDHRA PRADESH,WEST GODAVARI,TANUKU,243,0,243,0,40,182,21,0,0,243
ANDHRA PRADESH,WEST GODAVARI,THALLAPUDI,1,501,502,3,208,113,64,114,0,502
ANDHRA PRADESH,WEST GODAVARI,UNDRAJAVARAM,483,368,851,1,22,813,15,0,0,851
ANDHRA PRADESH,WEST GODAVARI,VEERAVASARAM,170,0,170,157,10,3,0,0,0,170
ANDHRA PRADESH,WEST GODAVARI,YELAMANCHILI,313,0,313,312,0,0,0,1,0,313
ASSAM,BARPETA,BAJALI,0,438,438,412,26,0,0,0,0,438
ASSAM,BARPETA,BARPETA,0,404,404,332,72,0,0,0,0,404
ASSAM,BARPETA,BHAWANIPUR,0,211,211,130,81,0,0,0,0,211
ASSAM,BARPETA,CHENGA,0,316,316,218,98,0,0,0,0,316
ASSAM,BARPETA,GOBARDHANA,0,313,313,227,86,0,0,0,0,313
ASSAM,BARPETA,JALAH,0,328,328,322,6,0,0,0,0,328
ASSAM,BARPETA,MANDIA,0,293,293,148,145,0,0,0,0,293
ASSAM,BARPETA,RUPSI,0,60,60,40,20,0,0,0,0,60
ASSAM,BONGAIGAON,BOITAMARI,0,185,185,14,169,2,0,0,0,185
ASSAM,BONGAIGAON,BOROBAZAR,0,192,192,112,80,0,0,0,0,192
ASSAM,BONGAIGAON,MANIKPUR,0,186,186,130,56,0,0,0,0,186
ASSAM,BONGAIGAON,SIDLI-CHIRANG,0,73,73,9,52,12,0,0,0,73
ASSAM,BONGAIGAON,SRIJANGRAM,0,216,216,90,126,0,0,0,0,216
ASSAM,CACHAR,SONAI,0,1,1,1,0,0,0,0,0,1
ASSAM,DARRANG,DALGAON SIALMARI,0,747,747,134,613,0,0,0,0,747
ASSAM,DARRANG,KALAIGAON,0,342,342,151,171,20,0,0,0,342
ASSAM,DARRANG,KHAIRABARI,0,232,232,210,22,0,0,0,0,232
ASSAM,DARRANG,MAZBAT,0,649,649,75,574,0,0,0,0,649
ASSAM,DARRANG,SIPAJHAR,0,212,212,128,84,0,0,0,0,212
ASSAM,DARRANG,UDALGURI,0,69,69,23,46,0,0,0,0,69
ASSAM,DHEMAJI,BORDOLONI,0,219,219,195,24,0,0,0,0,219
ASSAM,DHEMAJI,DHEMAJI,0,422,422,393,29,0,0,0,0,422
ASSAM,DHEMAJI,MURKONGSELLECK,0,76,76,51,25,0,0,0,0,76
ASSAM,DHUBRI,AGAMONI,0,606,606,67,510,29,0,0,0,606
ASSAM,DHUBRI,BILASIPARA,0,605,605,175,425,5,0,0,0,605
ASSAM,DHUBRI,CHAPAR SALKOCHA,0,117,117,105,12,0,0,0,0,117
ASSAM,DHUBRI,GAURIPUR,0,550,550,154,395,0,1,0,0,550
ASSAM,DHUBRI,GOLOKGANJ,0,100,100,34,64,2,0,0,0,100
ASSAM,DHUBRI,MANKACHAR,0,131,131,65,66,0,0,0,0,131
ASSAM,DHUBRI,SOUTH SALMARA,0,379,379,199,179,1,0,0,0,379
ASSAM,DIBRUGARH,BARBARUAH,0,204,204,29,175,0,0,0,0,204
ASSAM,DIBRUGARH,JOYPUR,0,182,182,74,108,0,0,0,0,182
ASSAM,DIBRUGARH,KHOWANG,0,263,263,261,2,0,0,0,0,263
ASSAM,DIBRUGARH,LAHOWAL,0,277,277,238,39,0,0,0,0,277
ASSAM,DIBRUGARH,PANITOLA,0,303,303,266,37,0,0,0,0,303
ASSAM,DIBRUGARH,TENGAKHAT,0,232,232,161,71,0,0,0,0,232
ASSAM,GOALPARA,BALIJANA,0,88,88,42,46,0,0,0,0,88
ASSAM,GOALPARA,DUDHNOI,0,27,27,15,12,0,0,0,0,27
ASSAM,GOALPARA,LAKHIPUR,0,149,149,71,78,0,0,0,0,149
ASSAM,GOALPARA,MATIA,0,117,117,21,96,0,0,0,0,117
ASSAM,GOLAGHAT,GOLAGHAT CENTRAL,0,26,26,25,1,0,0,0,0,26
ASSAM,GOLAGHAT,GOLAGHAT EAST,0,32,32,16,16,0,0,0,0,32
ASSAM,GOLAGHAT,GOLAGHAT NORTH,0,110,110,110,0,0,0,0,0,110
ASSAM,GOLAGHAT,GOLAGHAT SOUTH,0,153,153,117,34,2,0,0,0,153
ASSAM,GOLAGHAT,GOLAGHAT WEST,0,170,170,144,26,0,0,0,0,170
ASSAM,GOLAGHAT,GOMARIGURI,0,4,4,3,1,0,0,0,0,4
ASSAM,HAILAKANDI,HAILAKANDI,0,76,76,1,75,0,0,0,0,76
ASSAM,HAILAKANDI,LALA,0,4,4,0,4,0,0,0,0,4
ASSAM,JORHAT,JORHAT,0,23,23,10,11,2,0,0,0,23
ASSAM,JORHAT,JORHAT CENTRAL,0,93,93,4,84,5,0,0,0,93
ASSAM,JORHAT,JORHAT EAST,0,156,156,5,123,28,0,0,0,156
ASSAM,JORHAT,MAJULI,0,1070,1070,230,618,222,0,0,0,1070
ASSAM,JORHAT,NORTH WEST JORHAT,0,144,144,95,49,0,0,0,0,144
ASSAM,JORHAT,TITABOR,0,4,4,2,2,0,0,0,0,4
ASSAM,KAMRUP,BOKO BANGAON,0,24,24,21,3,0,0,0,0,24
ASSAM,KAMRUP,CHAMARIA,0,46,46,43,3,0,0,0,0,46
ASSAM,KAMRUP,CHHAYGAON,0,49,49,42,7,0,0,0,0,49
ASSAM,KAMRUP,DIMORIA,0,32,32,0,19,13,0,0,0,32
ASSAM,KAMRUP,HAJO,0,199,199,143,56,0,0,0,0,199
ASSAM,KAMRUP,KAMALPUR,0,141,141,138,3,0,0,0,0,141
ASSAM,KAMRUP,KARARA,0,319,319,239,79,1,0,0,0,319
ASSAM,KAMRUP,RAMPUR,0,62,62,11,44,7,0,0,0,62
ASSAM,KAMRUP,RANGIA,0,310,310,290,20,0,0,0,0,310
ASSAM,KAMRUP,RANI,0,86,86,1,85,0,0,0,0,86
ASSAM,KARBI ANGLONG,AMRI,0,1,1,1,0,0,0,0,0,1
ASSAM,KARBI ANGLONG,BOKAJAN,0,4,4,1,3,0,0,0,0,4
ASSAM,KARBI ANGLONG,HOWRAGHAT,0,20,20,0,15,5,0,0,0,20
ASSAM,KARBI ANGLONG,LUMBAJONG,0,2,2,1,1,0,0,0,0,2
ASSAM,KARBI ANGLONG,RONGKHONG,0,52,52,0,49,3,0,0,0,52
ASSAM,KARBI ANGLONG,SAMILONGSO,0,2,2,0,2,0,0,0,0,2
ASSAM,KARIMGANJ,BADARPUR,0,1,1,0,1,0,0,0,0,1
ASSAM,KARIMGANJ,NORTH KARIMGANJ,0,14,14,0,14,0,0,0,0,14
ASSAM,KARIMGANJ,PATHARKANDI,0,23,23,0,23,0,0,0,0,23
ASSAM,KARIMGANJ,RAMKRISHNA NAGAR,0,18,18,1,17,0,0,0,0,18
ASSAM,KARIMGANJ,SOUTH KARIMGANJ,0,28,28,2,26,0,0,0,0,28
ASSAM,KOKRAJHAR,DOTOMA,0,249,249,221,28,0,0,0,0,249
ASSAM,KOKRAJHAR,GOSSAIGAON,0,62,62,14,48,0,0,0,0,62
ASSAM,KOKRAJHAR,KACHUGAON,0,281,281,71,210,0,0,0,0,281
ASSAM,KOKRAJHAR,KOKRAJHAR,0,113,113,26,87,0,0,0,0,113
ASSAM,KOKRAJHAR,SIDLI CHIRANG (PART),0,53,53,37,16,0,0,0,0,53
ASSAM,LAKHIMPUR,BIHPURIA,0,330,330,325,5,0,0,0,0,330
ASSAM,LAKHIMPUR,BORDALANI,0,51,51,43,8,0,0,0,0,51
ASSAM,LAKHIMPUR,DHAKUAKHANA,0,155,155,140,15,0,0,0,0,155
ASSAM,LAKHIMPUR,LAKHIMPUR,0,237,237,235,2,0,0,0,0,237
ASSAM,LAKHIMPUR,NARAYANPUR,0,197,197,197,0,0,0,0,0,197
ASSAM,LAKHIMPUR,NOWBOICHA,0,196,196,160,36,0,0,0,0,196
ASSAM,MARIGAON,BHURBANDHA,0,416,416,268,148,0,0,0,0,416
ASSAM,MARIGAON,KAPILI,0,10,10,9,1,0,0,0,0,10
ASSAM,MARIGAON,LAHARIGHAT,0,402,402,363,39,0,0,0,0,402
ASSAM,MARIGAON,MAYONG,0,567,567,474,93,0,0,0,0,567
ASSAM,NAGAON,BATADRAVA,0,218,218,87,131,0,0,0,0,218
ASSAM,NAGAON,JUGIJAN,0,335,335,249,86,0,0,0,0,335
ASSAM,NAGAON,JURIA,0,119,119,44,75,0,0,0,0,119
ASSAM,NAGAON,KALIABOR,0,434,434,417,16,1,0,0,0,434
ASSAM,NAGAON,KAPILI,0,10,10,9,1,0,0,0,0,10
ASSAM,NAGAON,KAPILI PT.I,0,337,337,313,24,0,0,0,0,337
ASSAM,NAGAON,KATHIATOLI,0,988,988,748,234,6,0,0,0,988
ASSAM,NAGAON,KHAGARIJAN,0,168,168,148,19,1,0,0,0,168
ASSAM,NAGAON,LANKA,0,369,369,310,59,0,0,0,0,369
ASSAM,NAGAON,LAOKHOWA,0,144,144,113,31,0,0,0,0,144
ASSAM,NAGAON,RUPAHI,0,135,135,99,36,0,0,0,0,135
ASSAM,NALBARI,BARIGOG BANBHAG,0,100,100,64,36,0,0,0,0,100
ASSAM,NALBARI,BARKHETRI,0,291,291,171,120,0,0,0,0,291
ASSAM,NALBARI,BASKA,0,245,245,71,174,0,0,0,0,245
ASSAM,NALBARI,PASCHIM NALBARI,0,182,182,122,60,0,0,0,0,182
ASSAM,NALBARI,PUB NALBARI,0,268,268,156,112,0,0,0,0,268
ASSAM,NALBARI,TAMULPUR,0,168,168,147,21,0,0,0,0,168
ASSAM,NALBARI,TIHU BARAMA,0,163,163,129,34,0,0,0,0,163
ASSAM,SIBSAGAR,AMGURI,0,109,109,59,50,0,0,0,0,109
ASSAM,SIBSAGAR,DEMOW,0,264,264,32,232,0,0,0,0,264
ASSAM,SIBSAGAR,NAZIRA,0,102,102,79,23,0,0,0,0,102
ASSAM,SIBSAGAR,SAPEKHATI,0,47,47,0,47,0,0,0,0,47
ASSAM,SIBSAGAR,SONARI,0,266,266,13,253,0,0,0,0,266
ASSAM,SONITPUR,BALIPARA,0,525,525,246,279,0,0,0,0,525
ASSAM,SONITPUR,BEHALI,0,225,225,102,123,0,0,0,0,225
ASSAM,SONITPUR,BISWANATH,0,60,60,50,10,0,0,0,0,60
ASSAM,SONITPUR,CHAIDUAR,0,758,758,650,101,7,0,0,0,758
ASSAM,SONITPUR,DHEKIAJULI,0,495,495,221,274,0,0,0,0,495
ASSAM,SONITPUR,GABHORU,0,410,410,56,351,3,0,0,0,410
ASSAM,SONITPUR,NADUAR,0,394,394,388,5,1,0,0,0,394
ASSAM,TINSUKIA,HAPJAN,0,458,458,9,449,0,0,0,0,458
ASSAM,TINSUKIA,KAKOPATHAR,0,701,701,111,590,0,0,0,0,701
ASSAM,TINSUKIA,MARGHERITA,0,93,93,85,8,0,0,0,0,93
ASSAM,TINSUKIA,SADIYA,0,160,160,113,47,0,0,0,0,160
BIHAR,ARARIA,ARARIA,3,1735,1738,37,1488,180,33,0,0,1738
BIHAR,ARARIA,BHARGAMA,8,1200,1208,34,904,270,0,0,0,1208
BIHAR,ARARIA,FORBESGANJ,0,2942,2942,37,2885,20,0,0,0,2942
BIHAR,ARARIA,JOKIHAT,0,1503,1503,216,1260,27,0,0,0,1503
BIHAR,ARARIA,KURSAKATTA,2,1021,1023,5,935,83,0,0,0,1023
BIHAR,ARARIA,NARPAIGANJ,3,914,917,177,699,41,0,0,0,917
BIHAR,ARARIA,PALASI,0,1913,1913,32,406,1291,183,1,0,1913
BIHAR,ARARIA,RANIGANJ,29,709,738,59,515,160,4,0,0,738
BIHAR,ARARIA,SIKTI,1,1108,1109,20,433,620,36,0,0,1109
BIHAR,AURANGABAD,AURANGABAD,352,311,663,145,457,60,0,1,0,663
BIHAR,AURANGABAD,BARUN,151,917,1068,200,699,139,18,12,0,1068
BIHAR,AURANGABAD,DAUDNAGAR,3,320,323,102,220,1,0,0,0,323
BIHAR,AURANGABAD,DEO,232,228,460,218,236,6,0,0,0,460
BIHAR,AURANGABAD,GOH,54,1163,1217,398,733,61,13,9,3,1217
BIHAR,AURANGABAD,HASPURA,241,693,934,105,688,133,8,0,0,934
BIHAR,AURANGABAD,KUTUMBA,174,623,797,149,595,48,5,0,0,797
BIHAR,AURANGABAD,MADANPUR,2,640,642,274,357,10,1,0,0,642
BIHAR,AURANGABAD,NABINAGAR,185,332,517,134,349,34,0,0,0,517
BIHAR,AURANGABAD,OBRA,604,115,719,209,501,9,0,0,0,719
BIHAR,AURANGABAD,RAFIGANJ,257,1180,1437,297,1100,40,0,0,0,1437
BIHAR,BANKA,AMARPUR,16,1260,1276,216,1059,1,0,0,0,1276
BIHAR,BANKA,BANKA,123,104,227,69,143,15,0,0,0,227
BIHAR,BANKA,BARAHAT,274,164,438,305,131,1,1,0,0,438
BIHAR,BANKA,BELHAR,305,98,403,138,265,0,0,0,0,403
BIHAR,BANKA,DHURAIYA,159,1069,1228,228,993,7,0,0,0,1228
BIHAR,BANKA,KATORIA,0,13,13,13,0,0,0,0,0,13
BIHAR,BANKA,PHULLIDUMAR,157,172,329,59,264,5,1,0,0,329
BIHAR,BANKA,RAJAN,127,886,1013,68,858,87,0,0,0,1013
BIHAR,BANKA,SAMBHUGANJ,536,462,998,95,572,184,109,38,0,998
BIHAR,BEGUSARAI,BACHHAWARA,41,2016,2057,19,2012,26,0,0,0,2057
BIHAR,BEGUSARAI,BAKHARI,0,730,730,108,622,0,0,0,0,730
BIHAR,BEGUSARAI,BALIA,1,1376,1377,73,1068,136,100,0,0,1377
BIHAR,BEGUSARAI,BARAUNI,0,1421,1421,86,1252,83,0,0,0,1421
BIHAR,BEGUSARAI,BEGUSARAI,1,2369,2370,44,2212,50,46,18,0,2370
BIHAR,BEGUSARAI,BHAGAWANPUR,0,1706,1706,210,1214,244,15,22,1,1706
BIHAR,BEGUSARAI,BIRPUR,0,795,795,764,13,17,0,1,0,795
BIHAR,BEGUSARAI,CHERIA BARIARPUR,0,1439,1439,35,1246,149,9,0,0,1439
BIHAR,BEGUSARAI,CHHAURAHI,0,1450,1450,639,789,22,0,0,0,1450
BIHAR,BEGUSARAI,DANDARI,23,1105,1128,231,807,90,0,0,0,1128
BIHAR,BEGUSARAI,GARHPURA,3,864,867,142,721,4,0,0,0,867
BIHAR,BEGUSARAI,KHUDABANDPUR,1,714,715,124,579,11,1,0,0,715
BIHAR,BEGUSARAI,MANSURCHAK,0,369,369,84,283,1,1,0,0,369
BIHAR,BEGUSARAI,MATIHANI,7,1613,1620,153,1385,82,0,0,0,1620
BIHAR,BEGUSARAI,NAOKHOTHI,1,1225,1226,4,1147,75,0,0,0,1226
BIHAR,BEGUSARAI,SAHEBPUR KAMAL,128,775,903,2,856,45,0,0,0,903
BIHAR,BEGUSARAI,TEGHRA,2,1348,1350,394,919,24,8,4,1,1350
BIHAR,BHABUA,BHABUA,409,926,1335,61,1166,107,1,0,0,1335
BIHAR,BHABUA,BHAGWANPUR,51,181,232,65,115,52,0,0,0,232
BIHAR,BHABUA,CHAINPUR,217,611,828,181,578,39,1,0,29,828
BIHAR,BHABUA,CHAND,55,476,531,345,114,40,0,32,0,531
BIHAR,BHABUA,DURGAWATI,88,1533,1621,420,1112,87,1,0,1,1621
BIHAR,BHABUA,KUDRA,290,1527,1817,570,1070,163,13,1,0,1817
BIHAR,BHABUA,MOHANIA,469,1950,2419,845,1176,398,0,0,0,2419
BIHAR,BHABUA,NUAWN,320,877,1197,36,1143,18,0,0,0,1197
BIHAR,BHABUA,RAMGAR,501,1047,1548,132,1354,54,8,0,0,1548
BIHAR,BHABUA,RAMPUR,32,81,113,14,66,22,6,5,0,113
BIHAR,BHAGALPUR,BIHPUR,3,843,846,14,785,47,0,0,0,846
BIHAR,BHAGALPUR,GAURIDIH,2,207,209,10,147,42,8,2,0,209
BIHAR,BHAGALPUR,GOPALPUR,111,581,692,217,474,1,0,0,0,692
BIHAR,BHAGALPUR,ISMAILPUR,3,320,323,144,155,15,9,0,0,323
BIHAR,BHAGALPUR,JAGDISHPUR,1,55,56,18,37,1,0,0,0,56
BIHAR,BHAGALPUR,KAHALGAON,1,551,552,125,363,63,0,1,0,552
BIHAR,BHAGALPUR,KHARIK,88,1016,1104,24,1074,6,0,0,0,1104
BIHAR,BHAGALPUR,NARAINPUR,20,355,375,4,359,12,0,0,0,375
BIHAR,BHAGALPUR,NATHNAGAR,21,664,685,11,670,4,0,0,0,685
BIHAR,BHAGALPUR,NAUGACHHIA,9,977,986,6,975,5,0,0,0,986
BIHAR,BHAGALPUR,PIRPAINTI,0,1161,1161,68,1093,0,0,0,0,1161
BIHAR,BHAGALPUR,RANGRACHOWK,1,498,499,96,402,1,0,0,0,499
BIHAR,BHAGALPUR,SABOUR,0,279,279,6,273,0,0,0,0,279
BIHAR,BHAGALPUR,SHAHKUND,0,1330,1330,46,1259,25,0,0,0,1330
BIHAR,BHAGALPUR,SONHAULLA,3,605,608,84,512,12,0,0,0,608
BIHAR,BHAGALPUR,SULTANGANJ,35,858,893,27,862,4,0,0,0,893
BIHAR,BHOJPUR,AGIAON,232,235,467,8,339,120,0,0,0,467
BIHAR,BHOJPUR,ARRAHSADAR,12,1305,1317,139,1139,37,1,1,0,1317
BIHAR,BHOJPUR,BARBARA,0,896,896,137,749,10,0,0,0,896
BIHAR,BHOJPUR,BEHIA,4,1374,1378,57,1113,166,42,0,0,1378
