-----
{
 "description": "The table refers to District wise Distribution of Surface Lift Schemes(on River) in use and their Potential Created and Utilized according to Public and Private. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "srfcliftstate5.16.csv", 
 "title": "Download CSV for Districtwise Distribution of Surface Lift Schemes(on River) in use and their Potential Created and Utilized according to Public and Private", 
 "url": "http://data.gov.in/sites/default/files/srfcliftstate5.16.csv"
}
-----
"State","District","No. in use - Public","No. in use - Private","No. in use - Total","Potential created (Ha) - Public","Potential created (Ha) - Private","Potential created (Ha) - Total","Potential utilised (Ha) - Public","Potential utilised (Ha) - Private","Potential utilised (Ha) - Total"
"JHARKHAND","SIMDEGA",7,52,59,713,76,789,181,21,201
"JHARKHAND","WEST SINGHBHUM",8,2,10,30,4,34,25,3,28
"KARNATAKA","Bagalkote",15,10646,10661,5806,38821,44627,1575,33494,35069
"KARNATAKA","Bangalore",3,97,100,400,185,586,299,140,440
"KARNATAKA","Bangalore Rural",4,260,264,350,304,655,293,301,594
"KARNATAKA","Belgaum",34,10937,10971,8739,45235,53974,4203,40982,45185
"KARNATAKA","Bellary",37,1334,1371,10983,20543,31526,5988,15035,21023
"KARNATAKA","Bidar",9,568,577,2257,1110,3367,248,888,1136
"KARNATAKA","Bijapur",8,3534,3542,2332,15147,17479,1496,14736,16231
"KARNATAKA","Chamaraja Nagara",1,0,1,89,0,89,80,0,80
"KARNATAKA","Chikmagalur",3,438,441,229,4731,4960,147,4542,4688
"KARNATAKA","Chitradurga",18,24,42,1133,51,1184,964,51,1015
"KARNATAKA","Dakshina Kannada",5,1278,1283,264,3515,3780,178,1840,2018
"KARNATAKA","Davanagere",15,1507,1522,2836,3595,6431,1557,2936,4492
"KARNATAKA","Dharwar",0,36,36,0,260,260,0,69,69
"KARNATAKA","Gadag",7,380,387,3416,1231,4647,1540,1060,2600
"KARNATAKA","Gulbarga",25,1098,1123,7766,3060,10826,3509,2769,6278
"KARNATAKA","Hassan",11,1,12,552,13,565,396,13,408
