-----
{
 "description": "This data provides details of Hon\u2019ble Members of the Tenth Lok Sabha from 20th June 1991 to 10th May 1996. It consists of name of members, constituency name, state name and party name.", 
 "file_name": "Members_of_Tenth_Lok_Sabha_From_20th_June_1991_to_10th_May_1996.xls", 
 "title": "Download XLS for Members of Tenth Lok Sabha from 20th June 1991 to 10th May 1996", 
 "url": "http://data.gov.in/sites/default/files/Members_of_Tenth_Lok_Sabha_From_20th_June_1991_to_10th_May_1996.xls"
}
-----
"Lok Sabha","Member Name","Gender","Constituency Name","State Name","Party Name"
"Tenth Lok Sabha","Shri B. Devarajan","Male","Rasipuram-SC                                                                                        ","Tamil Nadu                                                  ","Congress (I)"
"Tenth Lok Sabha","Shri H.D. Devegowda","Male","Hassan                                                                                              ","Karnataka                                                   ","Janata Party"
"Tenth Lok Sabha","Shri Venur Dhananjaya Kumar","Male","Mangalore                                                                                           ","Karnataka                                                   ","Bharatiya Janata Party"
"Tenth Lok Sabha","Shri Bommagani Dharmabhiksham","Male","Nalgonda                                                                                            ","Andhra Pradesh                                              ","Communist Party of India"
"Tenth Lok Sabha","Prof. Prem Kumar Dhumal","Male","Hamirpur                                                                                            ","Himachal Pradesh                                            ","Bharatiya Janata Party"
"Tenth Lok Sabha","Shri Sharad Dighe","Male","Bombay North Central                                                                                ","Maharashtra                                                 ","Congress (I)"
"Tenth Lok Sabha","Shri   Digvijaya Singh","Male","Raigarh-ST                                                                                          ","Madhya Pradesh                                              ","Congress (I)"
"Tenth Lok Sabha","Shri Shrish Chandra Dikshit","Male","Varanasi                                                                                            ","Uttar Pradesh                                               ","Bharatiya Janata Party"
"Tenth Lok Sabha","Shri Pawan Diwan","Male","Mahasamund                                                                                          ","Madhya Pradesh                                              ","Congress (I)"
"Tenth Lok Sabha","Dr. Ram Chandra Dome","Male","Birbhum-SC                                                                                          ","West Bengal                                                 ","Communist Party of India (Marxist)"
"Tenth Lok Sabha","Capt.(Retd.) Jagatvir Singh Drona","Male","Kanpur                                                                                              ","Uttar Pradesh                                               ","Bharatiya Janata Party"
"Tenth Lok Sabha","Smt. Saroj Dubey","Female","Allahabad                                                                                           ","Uttar Pradesh                                               ","Janata Dal"
"Tenth Lok Sabha","Shri Sunil Dutt","Male","Bombay North West                                                                                   ","Maharashtra                                                 ","Congress (I)"
"Tenth Lok Sabha","Shri Eduardo Faleiro","Male","Mormugao                                                                                            ","Goa                                                         ","Congress (I)"
"Tenth Lok Sabha","Shri M.O.H. Farook","Male","Pondicherry                                                                                         ","Pondicherry                                                 ","Congress (I)"
"Tenth Lok Sabha","Shri Mohmmad Ali Ashraf Fatmi","Male","Darbhanga                                                                                           ","Bihar                                                       ","Janata Dal"
"Tenth Lok Sabha","Shri George Fernandes","Male","Muzaffarpur                                                                                         ","Bihar                                                       ","Janata Dal"
"Tenth Lok Sabha","Shri Oscar Fernandes","Male","Udipi                                                                                               ","Karnataka                                                   ","Congress (I)"
"Tenth Lok Sabha","Shri Pandurang Pundalik Fundkar","Male","Akola                                                                                               ","Maharashtra                                                 ","Bharatiya Janata Party"
"Tenth Lok Sabha","Shri Udaysingrao Gaikwad","Male","Kolhapur                                                                                            ","Maharashtra                                                 ","Congress (I)"
"Tenth Lok Sabha","Shri Gopi Nath Gajapathi","Male","Berhampur                                                                                           ","Odisha                                                      ","Congress (I)"
"Tenth Lok Sabha","Shri Gurcharan Singh Galib","Male","Ludhiana                                                                                            ","Punjab                                                      ","Congress (I)"
"Tenth Lok Sabha","Shri Giridhar Gamang","Male","Koraput-ST                                                                                          ","Odisha                                                      ","Congress (I)"
"Tenth Lok Sabha","Shri Chhitubhai Gamit","Male","Mandvi-ST                                                                                           ","Gujarat                                                     ","Congress (I)"
"Tenth Lok Sabha","Shri Rajiv Gandhi","Male","Amethi                                                                                              ","Uttar Pradesh                                               ","Congress (I)"
"Tenth Lok Sabha","Shri S. Gangadhar","Male","Hindupur                                                                                            ","Andhra Pradesh                                              ","Congress (I)"
"Tenth Lok Sabha","Shri Parashuram Gangwar","Male","Pilibhit                                                                                            ","Uttar Pradesh                                               ","Bharatiya Janata Party"
"Tenth Lok Sabha","Shri Santosh Kumar Gangwar","Male","Bareilly                                                                                            ","Uttar Pradesh                                               ","Bharatiya Janata Party"
"Tenth Lok Sabha","Smt. Sheela Gautam","Female","Aligarh                                                                                             ","Uttar Pradesh                                               ","Bharatiya Janata Party"
"Tenth Lok Sabha","Shri Manikrao Hodlya Gavit","Male","Nandurbar-ST                                                                                        ","Maharashtra                                                 ","Congress (I)"
"Tenth Lok Sabha","Shri Ashok Gehlot","Male","Jodhpur                                                                                             ","Rajasthan                                                   ","Congress (I)"
"Tenth Lok Sabha","Shri Abdul Ghafoor","Male","Gopalganj                                                                                           ","Bihar                                                       ","Janata Dal"
"Tenth Lok Sabha","Shri Ramchandra Marotrao Ghangare","Male","Wardha                                                                                              ","Maharashtra                                                 ","Communist Party of India (Marxist)"
"Tenth Lok Sabha","Shri Paban Singh Ghatowar","Male","Dibrugarh                                                                                           ","Assam                                                       ","Congress (I)"
"Tenth Lok Sabha","Prof. Sudhir Kumar Giri","Male","Contai                                                                                              ","West Bengal                                                 ","Communist Party of India (Marxist)"
"Tenth Lok Sabha","Dr.(Prof.)   Girija Devi","Female","Maharajganj                                                                                         ","Bihar                                                       ","Janata Dal"
"Tenth Lok Sabha","Shri Tarun Gogoi","Male","Kaliabor                                                                                            ","Assam                                                       ","Congress (I)"
"Tenth Lok Sabha","Dr. Mahavir Singh Gohil","Male","Bhavnagar                                                                                           ","Gujarat                                                     ","Bharatiya Janata Party"
"Tenth Lok Sabha","Smt. Suseela Gopalan","Female","Chirayinkil                                                                                         ","Kerala                                                      ","Communist Party of India (Marxist)"
"Tenth Lok Sabha","Shri Senapathi A. Gounder","Male","Palani                                                                                              ","Tamil Nadu                                                  ","Congress (I)"
"Tenth Lok Sabha","Shri R. Kanaga Govinda Rajulu","Male","Sivakasi                                                                                            ","Tamil Nadu                                                  ","All India Anna Dravida Munnetra Kazhagam"
"Tenth Lok Sabha","Dr. Venkatagiri K. Gowda","Male","Bangalore South                                                                                     ","Karnataka                                                   ","Bharatiya Janata Party"
"Tenth Lok Sabha","Shri Basagondappa Kadappa Gudadinni","Male","Bijapur                                                                                             ","Karnataka                                                   ","Congress (I)"
"Tenth Lok Sabha","Shri Vilasrao Gundewar","Male","Hingoli                                                                                             ","Maharashtra                                                 ","Shiv Sena"
"Tenth Lok Sabha","Shri Indrajit Gupta","Male","Midnapore                                                                                           ","West Bengal                                                 ","Communist Party of India"
"Tenth Lok Sabha","Shri Bijoy Krishna Handique","Male","Jorhat                                                                                              ","Assam                                                       ","Congress (I)"
"Tenth Lok Sabha","Shri   Harchand Singh","Male","Ropar-SC                                                                                            ","Punjab                                                      ","Congress (I)"
"Tenth Lok Sabha","Shri Bhupinder Singh Hooda","Male","Rohtak                                                                                              ","Haryana                                                     ","Congress (I)"
"Tenth Lok Sabha","Shri Syed Masudal Hossain","Male","Murshidabad                                                                                         ","West Bengal                                                 ","Communist Party of India (Marxist)"
"Tenth Lok Sabha","Shri   Imchalemba","Male","Nagaland                                                                                            ","Nagaland                                                    ","N.P.C."
"Tenth Lok Sabha","Shri   Inder Jit","Male","Darjeeling                                                                                          ","West Bengal                                                 ","Congress (I)"
"Tenth Lok Sabha","Smt. Sheila F. Irani","Female","Nominated Anglo-Indian                                                                              ","NA","Nominated"
"Tenth Lok Sabha","Shri Nurul Islam","Male","Dhubri                                                                                              ","Assam                                                       ","Congress (I)"
"Tenth Lok Sabha","Shri C.K. Jaffer Sharief","Male","Bangalore North                                                                                     ","Karnataka                                                   ","Congress (I)"
"Tenth Lok Sabha","Shri  Jai Prakash","Male","Hardoi-SC                                                                                           ","Uttar Pradesh                                               ","Bharatiya Janata Party"
"Tenth Lok Sabha","Dr. Bal Ram Jakhar","Male","Sikar                                                                                               ","Rajasthan                                                   ","Congress (I)"
"Tenth Lok Sabha","Shri M.R. Kadambur Janarthanan","Male","Tirunelveli                                                                                         ","Tamil Nadu                                                  ","All India Anna Dravida Munnetra Kazhagam"
"Tenth Lok Sabha","Shri   Jangbir Singh","Male","Bhiwani                                                                                             ","Haryana                                                     ","Haryana Vikas Party"
"Tenth Lok Sabha","Shri Khelan Ram Jangde","Male","Bilaspur-SC                                                                                         ","Madhya Pradesh                                              ","Congress (I)"
"Tenth Lok Sabha","Shri Barelal Jatav","Male","Morena-SC                                                                                           ","Madhya Pradesh                                              ","Congress (I)"
"Tenth Lok Sabha","Dr. Satyanarayan Jatiya","Male","Ujjain-SC                                                                                           ","Madhya Pradesh                                              ","Bharatiya Janata Party"
"Tenth Lok Sabha","Dr. Basawaraj Jawali","Male","Gulbarga                                                                                            ","Karnataka                                                   ","Congress (I)"
"Tenth Lok Sabha","Shri Adikesavan Jayamohan","Male","Tirupattur                                                                                          ","Tamil Nadu                                                  ","Congress (I)"
"Tenth Lok Sabha","Shri Rangaswamy Jeevarathinam","Male","Arakkonam                                                                                           ","Tamil Nadu                                                  ","Congress (I)"
"Tenth Lok Sabha","Shri Srikant Kumar Jena","Male","Cuttack                                                                                             ","Odisha                                                      ","Janata Dal"
"Tenth Lok Sabha","Dr. Khushiram Jeswani","Male","Kaira                                                                                               ","Gujarat                                                     ","Bharatiya Janata Party"
"Tenth Lok Sabha","Shri Bhogendra Jha","Male","Madhubani                                                                                           ","Bihar                                                       ","Communist Party of India"
"Tenth Lok Sabha","Shri Mohan Lal Jhikram","Male","Mandla-ST                                                                                           ","Madhya Pradesh                                              ","Congress (I)"
"Tenth Lok Sabha","Vaidya  Dau Dayal Joshi","Male","Kota                                                                                                ","Rajasthan                                                   ","Bharatiya Janata Party"
"Tenth Lok Sabha","Shri Laxman Sonopant alias Anna Joshi Joshi","Male","Pune                                                                                                ","Maharashtra                                                 ","Bharatiya Janata Party"
"Tenth Lok Sabha","Shri Zambru Mangalu Kahandole","Male","Malegaon-ST                                                                                         ","Maharashtra                                                 ","Congress (I)"
"Tenth Lok Sabha","Shri Surinder Singh Kairon","Male","Taran Taran                                                                                         ","Punjab                                                      ","Congress (I)"
"Tenth Lok Sabha","Shri Shankarrao Kale","Male","Kopargaon                                                                                           ","Maharashtra                                                 ","Congress (I)"
"Tenth Lok Sabha","Shri P.P. Kaliaperumal","Male","Cuddalore                                                                                           ","Tamil Nadu                                                  ","Congress (I)"
"Tenth Lok Sabha","Shri   Kalka Dass","Male","Karol Bagh-SC                                                                                       ","Delhi                                                       ","Bharatiya Janata Party"
"Tenth Lok Sabha","Shri Shyam Lal Kamal","Male","Basti-SC                                                                                            ","Uttar Pradesh                                               ","Bharatiya Janata Party"
"Tenth Lok Sabha","Shri  Kamal Nath","Male","Chhindwara                                                                                          ","Madhya Pradesh                                              ","Congress (I)"
"Tenth Lok Sabha","Shri Gurudas Kamat","Male","Bombay North East                                                                                   ","Maharashtra                                                 ","Congress (I)"
"Tenth Lok Sabha","Shri Arvind Tulsiram Kamble","Male","Osmanabad-SC                                                                                        ","Maharashtra                                                 ","Congress (I)"
