-----
{
 "description": "This table contains data related to Production and Value of Minerals  covered under Mineral Conservation & Development Rules during 2007-08 to 2011-12", 
 "file_name": "MineralState5YearProdValF.xls", 
 "title": "Download XLS for Production and Value of  Minerals during 2007-08 to 2011-12 ", 
 "url": "http://data.gov.in/sites/default/files/MineralState5YearProdValF.xls"
}
-----
"Produaction and Value for MCDR Minerals during 2007-08 to 2011-12","","","","","","","","","","","",""
"KAOLIN (PROCESSED)","JHARKHAND","TONNE",32056.0,58051.0,30692.0,55665.0,28433.0,65285.0,27090.0,51036.0,24818.0,48982.0
"KAOLIN (PROCESSED)","KARNATAKA","TONNE",3750.0,5205.0,3714.0,5448.0,3593.0,6493.0,3285.0,6876.0,3214.0,7697.0
"KAOLIN (PROCESSED)","KERALA","TONNE",37385.0,167086.0,23190.0,118767.0,8813.0,30845.0,9056.0,40402.0,7566.0,19988.0
"KAOLIN (PROCESSED)","ORISSA","TONNE",1440.0,1159.0,1422.0,1145.0,1388.0,1117.0,2601.0,2692.0,"",""
"KAOLIN (PROCESSED)","WEST BENGAL","TONNE",8700.0,9853.0,5957.0,6553.0,5296.0,5826.0,5207.0,4218.0,5631.0,5979.0
"KAOLIN (PROCESSED) ","INDIA","TONNE",115139.0,281825.0,96344.0,230795.0,79963.0,152045.0,76498.0,139006.0,67130.0,114551.0
"KAOLIN","ANDHRA PRADESH","TONNE",19446.0,1769.0,47678.0,4730.0,108395.0,9937.0,10431.0,1440.0,72371.0,11287.0
"KAOLIN","CHHATTISGARH","TONNE",1706.0,233.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"KAOLIN","GUJARAT","TONNE",491435.0,112424.0,968928.0,201117.0,1306539.0,207944.0,1251890.0,204177.0,1318937.0,234918.0
"KAOLIN","JHARKHAND","TONNE",152948.0,95256.0,168922.0,92050.0,106828.0,102218.0,93001.0,84327.0,141527.0,79714.0
"KAOLIN","KARNATAKA","TONNE",5900.0,5783.0,6164.0,6110.0,19543.0,12015.0,9785.0,8796.0,3214.0,7697.0
"KAOLIN","KERALA","TONNE",466469.0,269554.0,587222.0,258656.0,698915.0,214303.0,704360.0,228105.0,641203.0,153755.0
"KAOLIN","MADHYA PRADESH","TONNE",10670.0,975.0,8400.0,762.0,17350.0,1209.0,6106.0,484.0,6950.0,426.0
"KAOLIN","ORISSA","TONNE",3606.0,1555.0,3453.0,1771.0,4558.0,2165.0,2601.0,2692.0,0.0,0.0
"KAOLIN","RAJASTHAN","TONNE",238196.0,49050.0,202189.0,36027.0,436773.0,83958.0,559927.0,169143.0,463310.0,109239.0
"KAOLIN","WEST BENGAL","TONNE",76066.0,36969.0,90775.0,40524.0,99439.0,42979.0,89845.0,37937.0,86837.0,37759.0
"KAOLIN ","INDIA","TONNE",1466442.0,573568.0,2083731.0,641747.0,2798340.0,676728.0,2727946.0,737101.0,2734349.0,634795.0
"KYANITE","JHARKHAND","TONNE",3624.0,4135.0,3615.0,4407.0,4420.0,4862.0,3547.0,4207.0,4011.0,4757.0
"KYANITE","MAHARASHTRA","TONNE",1478.0,1258.0,1005.0,777.0,1075.0,950.0,2407.0,2084.0,53.0,45.0
"KYANITE ","INDIA","TONNE",5102.0,5393.0,4620.0,5184.0,5495.0,5812.0,5954.0,6291.0,4064.0,4802.0
"LATERITE","ANDHRA PRADESH","TONNE",697003.0,67612.0,528692.0,52571.0,596318.0,60449.0,633253.0,70005.0,1022873.0,133629.0
"LATERITE","GUJARAT","TONNE",237312.0,22680.0,259767.0,21104.0,184840.0,8343.0,234548.0,15733.0,208058.0,19151.0
"LATERITE","JHARKHAND","TONNE",7184.0,1108.0,4869.0,752.0,5084.0,667.0,1220.0,183.0,1550.0,310.0
"LATERITE","KARNATAKA","TONNE",105080.0,40452.0,108628.0,36527.0,203378.0,69711.0,130300.0,17119.0,149600.0,21111.0
"LATERITE","KERALA","TONNE",51681.0,9250.0,77327.0,21410.0,69171.0,15322.0,88444.0,34913.0,110992.0,41210.0
"LATERITE","MADHYA PRADESH","TONNE",132421.0,8773.0,94779.0,6659.0,133080.0,7269.0,132539.0,9995.0,166247.0,10634.0
"LATERITE","MAHARASHTRA","TONNE",247894.0,67550.0,163331.0,23419.0,108901.0,15615.0,"","",6500.0,553.0
"LATERITE","RAJASTHAN","TONNE",15.0,"NA",0.0,0.0,"","","","","",""
"LATERITE ","INDIA","TONNE",1478590.0,217425.0,1237393.0,162442.0,1300772.0,177376.0,1220304.0,147948.0,1665820.0,226598.0
"LIME KANKAR","ANDHRA PRADESH","TONNE",1665.0,404.0,1598.0,439.0,780.0,254.0,615.0,215.0,830.0,355.0
"LIME KANKAR","TAMIL NADU","TONNE",334720.0,53890.0,432734.0,75728.0,334287.0,58500.0,383202.0,84688.0,310388.0,62492.0
"LIME KANKAR ","INDIA","TONNE",336385.0,54294.0,434332.0,76167.0,335067.0,58754.0,383817.0,84903.0,311218.0,62847.0
"LIMESHELL","ANDHRA PRADESH","TONNE",4330.0,1354.0,1355.0,437.0,"","","","","",""
"LIMESHELL","KARNATAKA","TONNE",90870.0,48253.0,56422.0,30985.0,39880.0,25406.0,11578.0,8865.0,9689.0,7543.0
"LIMESHELL","KERALA","TONNE",33050.0,34798.0,40079.0,41834.0,22335.0,25511.0,18467.0,23020.0,23451.0,32203.0
"LIMESHELL","TAMIL NADU","TONNE","","","","","","",365.0,274.0,86.0,86.0
"LIMESHELL ","INDIA","TONNE",128250.0,84405.0,97856.0,73256.0,62215.0,50917.0,30410.0,32159.0,33226.0,39832.0
"LIMESTONE","ANDHRA PRADESH","THT",38046.0,4409989.0,51818.0,6386659.0,49560.0,6419110.0,52633.0,7375266.0,53882.0,7190524.0
"LIMESTONE","ASSAM","THT",387.0,92496.0,365.0,85384.0,396.0,93537.0,350.0,82772.0,242.0,59900.0
"LIMESTONE","BIHAR","THT",393.0,141209.0,533.0,156594.0,567.0,203330.0,872.0,292511.0,528.0,175742.0
"LIMESTONE","CHHATTISGARH","THT",14172.0,1939421.0,15789.0,2208173.0,15160.0,2231873.0,19241.0,2997759.0,20124.0,3127956.0
"LIMESTONE","GUJARAT","THT",21956.0,2195375.0,21952.0,2274585.0,23322.0,2864989.0,22500.0,2773002.0,24224.0,2863977.0
"LIMESTONE","HIMACHAL PRADESH","THT",7975.0,711510.0,8158.0,773324.0,8411.0,824371.0,11927.0,1437928.0,10766.0,1155493.0
"LIMESTONE","JAMMU & KASHMIR","THT",257.0,58117.0,165.0,23727.0,278.0,59777.0,154.0,26991.0,225.0,34141.0
"LIMESTONE","JHARKHAND","THT",2037.0,405070.0,1943.0,351690.0,1924.0,384303.0,1996.0,453107.0,2164.0,448199.0
"LIMESTONE","KARNATAKA","THT",15010.0,1386638.0,15774.0,1482328.0,17959.0,1718707.0,18595.0,1933439.0,20228.0,2340902.0
"LIMESTONE","KERALA","THT",502.0,161754.0,535.0,165864.0,533.0,169645.0,530.0,115506.0,539.0,122185.0
"LIMESTONE","MADHYA PRADESH","THT",28800.0,3800676.0,30565.0,4249682.0,28967.0,3795849.0,33276.0,4785685.0,32658.0,3940056.0
"LIMESTONE","MAHARASHTRA","THT",11279.0,1235265.0,10484.0,1202790.0,9433.0,1069248.0,9905.0,1120117.0,11330.0,1347140.0
"LIMESTONE","MEGHALAYA","THT",1858.0,327091.0,2929.0,597892.0,3249.0,757175.0,1783.0,374170.0,3606.0,1427008.0
"LIMESTONE","ORISSA","THT",2833.0,683452.0,2978.0,831117.0,2937.0,843098.0,3923.0,1102597.0,3157.0,976930.0
"LIMESTONE","RAJASTHAN","THT",30626.0,3999095.0,38918.0,5513166.0,47180.0,6971469.0,44773.0,7212296.0,47930.0,6923163.0
"LIMESTONE","TAMIL NADU","THT",16958.0,2450722.0,18190.0,2866664.0,20619.0,3717570.0,20566.0,3765907.0,21736.0,3963613.0
"LIMESTONE","UTTAR PRADESH","THT","","",477.0,50105.0,2455.0,353545.0,3312.0,500514.0,3330.0,432928.0
"LIMESTONE ","INDIA","THT",193089.0,23997880.0,221573.0,29219744.0,232950.0,32477596.0,246336.0,36349567.0,256669.0,36529857.0
"MAGNESITE","KARNATAKA","TONNE",5270.0,10132.0,9591.0,14668.0,6437.0,13591.0,11820.0,26839.0,8331.0,24120.0
"MAGNESITE","TAMIL NADU","TONNE",183602.0,256826.0,188564.0,281693.0,235446.0,349195.0,165601.0,276628.0,147207.0,237760.0
"MAGNESITE","UTTARAKHAND","TONNE",63977.0,67352.0,54725.0,67153.0,59187.0,72332.0,58341.0,74750.0,62124.0,79068.0
"MAGNESITE ","INDIA","TONNE",252849.0,334310.0,252880.0,363514.0,301070.0,435118.0,235762.0,378217.0,217662.0,340948.0
"MARL","GUJARAT","TONNE",4155925.0,173453.0,4008452.0,188259.0,4284658.0,245373.0,3738693.0,224314.0,3920395.0,247086.0
"MARL","TAMIL NADU","TONNE","","",159000.0,5660.0,1623568.0,136226.0,660686.0,83242.0,223580.0,21938.0
"MARL ","INDIA","TONNE",4155925.0,173453.0,4167452.0,193919.0,5908226.0,381599.0,4399379.0,307556.0,4143975.0,269024.0
"MICA (CRUDE)","ANDHRA PRADESH","KG",2396485.0,84394.0,1436434.0,42468.0,1057108.0,39817.0,1317107.0,44124.0,1694100.0,59101.0
"MICA (CRUDE)","RAJASTHAN","KG",2181350.0,76251.0,26000.0,260.0,3750.0,123.0,16170.0,381.0,113330.0,2833.0
"MICA (CRUDE) ","INDIA","KG",4577835.0,160645.0,1462434.0,42728.0,1060858.0,39940.0,1333277.0,44505.0,1807430.0,61934.0
"MICA (WASTE/SCRAP)","ANDHRA PRADESH","KG",2714695.0,0.0,4297268.0,0.0,4394431.0,0.0,4648009.0,0.0,6918624.0,0.0
"MICA (WASTE/SCRAP)","BIHAR","KG","","","","","","",1459000.0,0.0,4631700.0,0.0
"MICA (WASTE/SCRAP)","RAJASTHAN","KG",790170.0,0.0,1387510.0,0.0,3703711.0,0.0,1203740.0,0.0,2139793.0,0.0
"MICA (WASTE/SCRAP) ","INDIA","KG",3504865.0,0.0,5684778.0,0.0,8098142.0,0.0,7310749.0,0.0,13690117.0,0.0
"OCHRE","ANDHRA PRADESH","TONNE",24764.0,1253.0,25227.0,2741.0,34093.0,4690.0,39376.0,6194.0,47407.0,6607.0
"OCHRE","GUJARAT","TONNE",420.0,42.0,280.0,28.0,649.0,65.0,2719.0,299.0,5275.0,580.0
"OCHRE","JHARKHAND","TONNE",187.0,35.0,0.0,0.0,0.0,0.0,1200.0,205.0,0.0,0.0
"OCHRE","KARNATAKA","TONNE",23954.0,2816.0,777.0,113.0,4156.0,4862.0,34157.0,29063.0,1126.0,5067.0
"OCHRE","MADHYA PRADESH","TONNE",39260.0,6983.0,17923.0,1741.0,39201.0,4990.0,44897.0,5593.0,35060.0,4397.0
"OCHRE","RAJASTHAN","TONNE",1144636.0,192771.0,722175.0,66071.0,1180108.0,212274.0,1095912.0,199020.0,1263944.0,200937.0
"OCHRE ","INDIA","TONNE",1233221.0,203900.0,766382.0,70694.0,1258207.0,226881.0,1218261.0,240374.0,1352812.0,217588.0
"PHOSPHORITE","MADHYA PRADESH","TONNE",108578.0,90593.0,250556.0,157198.0,212168.0,122007.0,133378.0,76946.0,243960.0,151284.0
"PHOSPHORITE","RAJASTHAN","TONNE",1740610.0,2035088.0,1553398.0,2930419.0,1393321.0,2981088.0,1964112.0,4937753.0,2082916.0,6278450.0
"PHOSPHORITE ","INDIA","TONNE",1849188.0,2125681.0,1803954.0,3087617.0,1605489.0,3103095.0,2097490.0,5014699.0,2326876.0,6429734.0
"PYROPHYLLITE","ANDHRA PRADESH","TONNE",15.0,2.0,32.0,5.0,26.0,4.0,"","",0.0,0.0
"PYROPHYLLITE","JHARKHAND","TONNE",4011.0,1284.0,4629.0,2315.0,1007.0,614.0,0.0,0.0,0.0,0.0
"PYROPHYLLITE","MADHYA PRADESH","TONNE",169867.0,36238.0,210622.0,44306.0,209127.0,53123.0,207521.0,73945.0,209421.0,65384.0
"PYROPHYLLITE","MAHARASHTRA","TONNE",1652.0,367.0,2127.0,625.0,1446.0,461.0,1485.0,368.0,1054.0,337.0
"PYROPHYLLITE","ORISSA","TONNE",5997.0,910.0,15655.0,2949.0,11926.0,2748.0,0.0,0.0,0.0,0.0
"PYROPHYLLITE","UTTAR PRADESH","TONNE",22165.0,4580.0,22634.0,5631.0,17215.0,3475.0,31076.0,8810.0,29336.0,6999.0
"PYROPHYLLITE ","INDIA","TONNE",203707.0,43381.0,255699.0,55831.0,240747.0,60425.0,240082.0,83123.0,239811.0,72720.0
"PYROXENITE","JHARKHAND","TONNE",47716.0,11500.0,50875.0,13297.0,49638.0,13176.0,54986.0,14978.0,62747.0,19060.0
"PYROXENITE","ORISSA","TONNE",241605.0,79246.0,230910.0,125846.0,229694.0,139195.0,198219.0,111201.0,24563.0,10090.0
"PYROXENITE ","INDIA","TONNE",289321.0,90746.0,281785.0,139143.0,279332.0,152371.0,253205.0,126179.0,87310.0,29150.0
"QUARTZ","ANDHRA PRADESH","TONNE",113245.0,16779.0,139837.0,22138.0,168179.0,27279.0,214626.0,40845.0,239325.0,44895.0
"QUARTZ","CHHATTISGARH","TONNE","","",1846.0,258.0,384.0,54.0,655.0,92.0,731.0,144.0
"QUARTZ","GUJARAT","TONNE",71180.0,6565.0,77400.0,8031.0,85611.0,8825.0,37540.0,4889.0,33061.0,4548.0
"QUARTZ","JHARKHAND","TONNE",26148.0,2882.0,39434.0,5607.0,66057.0,11538.0,61665.0,10196.0,87221.0,16393.0
"QUARTZ","KARNATAKA","TONNE",2500.0,155.0,17500.0,1289.0,275.0,108.0,10.0,3.0,0.0,0.0
"QUARTZ","MADHYA PRADESH","TONNE",1365.0,82.0,0.0,0.0,0.0,0.0,1754.0,173.0,435.0,43.0
"QUARTZ","MAHARASHTRA","TONNE",18860.0,3836.0,15989.0,3619.0,10159.0,2300.0,10505.0,2363.0,30694.0,10557.0
"QUARTZ","ORISSA","TONNE",1000.0,250.0,1500.0,375.0,5570.0,1307.0,11414.0,5262.0,6241.0,2088.0
"QUARTZ","RAJASTHAN","TONNE",68270.0,13183.0,120512.0,23769.0,147646.0,29342.0,133797.0,26046.0,91953.0,18911.0
"QUARTZ","TAMIL NADU","TONNE",12243.0,9895.0,10589.0,9324.0,6954.0,7836.0,8674.0,18045.0,14423.0,14653.0
"QUARTZ","WEST BENGAL","TONNE",470.0,94.0,6127.0,1154.0,15905.0,3207.0,16906.0,4194.0,16062.0,4842.0
"QUARTZ ","INDIA","TONNE",315281.0,53721.0,430734.0,75564.0,506740.0,91796.0,497546.0,112108.0,520146.0,117074.0
"QUARTZITE","ANDHRA PRADESH","TONNE",260.0,16.0,595.0,89.0,122.0,18.0,7717.0,4275.0,61599.0,39531.0
"QUARTZITE","BIHAR","TONNE",22440.0,9604.0,33760.0,13027.0,56394.0,20855.0,62767.0,26855.0,36024.0,16632.0
"QUARTZITE","CHHATTISGARH","TONNE",3278.0,3640.0,50.0,8.0,50.0,8.0,60.0,29.0,16086.0,18422.0
"QUARTZITE","JHARKHAND","TONNE",14655.0,1466.0,2014.0,201.0,10737.0,2147.0,24810.0,5458.0,44726.0,10992.0
"QUARTZITE","KARNATAKA","TONNE",50.0,8.0,5500.0,1513.0,7437.0,2054.0,11450.0,3607.0,10434.0,2902.0
"QUARTZITE","MAHARASHTRA","TONNE",0.0,0.0,1054.0,264.0,2481.0,620.0,2455.0,614.0,1944.0,588.0
"QUARTZITE","ORISSA","TONNE",48027.0,15791.0,47451.0,13149.0,29886.0,11093.0,4608.0,3063.0,3064.0,1860.0
"QUARTZITE","RAJASTHAN","TONNE",7140.0,7140.0,7034.0,3208.0,5545.0,582.0,4250.0,1849.0,7188.0,863.0
"QUARTZITE ","INDIA","TONNE",95850.0,37665.0,97458.0,31459.0,112652.0,37377.0,118117.0,45750.0,181065.0,91790.0
"ROCK SALT","HIMACHAL PRADESH","TONNE",1216.0,2518.0,2011.0,3630.0,1836.0,4908.0,1200.0,2971.0,0.0,0.0
"ROCK SALT ","INDIA","TONNE",1216.0,2518.0,2011.0,3630.0,1836.0,4908.0,1200.0,2971.0,0.0,0.0
"SAND (OTHERS)","ANDHRA PRADESH","TONNE",1020844.0,33826.0,1338315.0,55406.0,1763495.0,75083.0,1673153.0,91014.0,2156059.0,133823.0
"SAND (OTHERS)","MAHARASHTRA","TONNE",783462.0,45165.0,469870.0,51565.0,395910.0,26316.0,373746.0,17033.0,435159.0,23649.0
"SAND (OTHERS)","MEGHALAYA","TONNE","","","","","","",10220.0,1635.0,34111.0,5337.0
"SAND (OTHERS) ","INDIA","TONNE",1804306.0,78991.0,1808185.0,106971.0,2159405.0,101399.0,2057119.0,109682.0,2625329.0,162809.0
"SELENITE","RAJASTHAN","TONNE",3864.0,3205.0,15224.0,12940.0,14598.0,12408.0,6736.0,5726.0,12852.0,14547.0
"SELENITE","INDIA","TONNE",3864.0,3205.0,15224.0,12940.0,14598.0,12408.0,6736.0,5726.0,12852.0,14547.0
"SHALE","ANDHRA PRADESH","TONNE",392484.0,18072.0,195676.0,10062.0,130425.0,7092.0,123106.0,7941.0,97574.0,6427.0
"SHALE","HIMACHAL PRADESH","TONNE",511950.0,5262.0,674840.0,7573.0,924714.0,24700.0,1502873.0,55393.0,1535493.0,50066.0
"SHALE","KARNATAKA","TONNE",850154.0,32068.0,1152357.0,43820.0,936636.0,34304.0,559356.0,25710.0,809926.0,42234.0
"SHALE","MADHYA PRADESH","TONNE",556864.0,5012.0,589620.0,5307.0,637088.0,5734.0,598912.0,5349.0,543054.0,5270.0
"SHALE","MAHARASHTRA","TONNE",553506.0,28382.0,434570.0,23498.0,405085.0,17458.0,297375.0,9600.0,352872.0,24419.0
"SHALE","MEGHALAYA","TONNE",29964.0,1277.0,"","","","","","",0.0,0.0
"SHALE ","INDIA","TONNE",2894922.0,90073.0,3047063.0,90260.0,3033948.0,89288.0,3081622.0,103993.0,3338919.0,128416.0
"SILICA SAND","ANDHRA PRADESH","TONNE",2373862.0,127740.0,1251780.0,61684.0,958934.0,64205.0,1239896.0,82650.0,1270309.0,98804.0
"SILICA SAND","GUJARAT","TONNE",419098.0,42763.0,368720.0,32025.0,465530.0,40569.0,1247949.0,94933.0,1757376.0,144790.0
"SILICA SAND","JHARKHAND","TONNE",111920.0,34886.0,120170.0,38772.0,91597.0,32818.0,97560.0,30733.0,112140.0,36493.0
"SILICA SAND","KARNATAKA","TONNE",91833.0,12382.0,107266.0,12961.0,109468.0,15206.0,43988.0,6384.0,33937.0,8469.0
"SILICA SAND","KERALA","TONNE",46685.0,17181.0,46965.0,17112.0,33988.0,20220.0,30975.0,26188.0,58732.0,78838.0
"SILICA SAND","MADHYA PRADESH","TONNE",160.0,30.0,40.0,5.0,"","","","","",""
"SILICA SAND","MAHARASHTRA","TONNE",513556.0,134180.0,341866.0,92503.0,271517.0,90831.0,256817.0,65828.0,281043.0,96396.0
"SILICA SAND","ORISSA","TONNE",8106.0,2027.0,7381.0,1845.0,2800.0,700.0,0.0,0.0,0.0,0.0
"SILICA SAND","RAJASTHAN","TONNE",519120.0,81698.0,398540.0,82051.0,418311.0,103878.0,232788.0,74016.0,707160.0,185176.0
"SILICA SAND","TAMIL NADU","TONNE",36436.0,14910.0,12009.0,3396.0,10476.0,5688.0,8886.0,5466.0,4502.0,6517.0
"SILICA SAND","UTTAR PRADESH","TONNE",182737.0,39460.0,182067.0,23729.0,183367.0,34444.0,167109.0,36486.0,58596.0,11971.0
"SILICA SAND","WEST BENGAL","TONNE","","","","","","",55000.0,22000.0,51130.0,21661.0
"SILICA SAND ","INDIA","TONNE",4303513.0,507257.0,2836804.0,366083.0,2545988.0,408559.0,3380968.0,444684.0,4334925.0,689115.0
"SILLIMANITE","ANDHRA PRADESH","TONNE","","","","",2025.0,12454.0,17849.0,136438.0,31992.0,280136.0
"SILLIMANITE","KERALA","TONNE",14571.0,87426.0,10423.0,91504.0,7939.0,75460.0,8243.0,89981.0,7578.0,83028.0
"SILLIMANITE","MAHARASHTRA","TONNE",12198.0,8638.0,9130.0,7628.0,9539.0,7093.0,4653.0,3652.0,984.0,1754.0
"SILLIMANITE","ORISSA","TONNE",13358.0,79360.0,13878.0,136879.0,14117.0,163009.0,17889.0,175742.0,17489.0,156176.0
"SILLIMANITE","TAMIL NADU","TONNE",410.0,1301.0,271.0,860.0,67.0,763.0,150.0,1593.0,"",""
"SILLIMANITE ","INDIA","TONNE",40537.0,176725.0,33702.0,236871.0,33687.0,258779.0,48784.0,407406.0,58043.0,521094.0
"SLATE","ANDHRA PRADESH","TONNE",232.0,483.0,11.0,22.0,"","","","","",""
"SLATE","MADHYA PRADESH","TONNE",7595.0,2073.0,8920.0,5530.0,"","",0.0,0.0,0.0,0.0
"SLATE ","INDIA","TONNE",7827.0,2556.0,8931.0,5552.0,0.0,0.0,0.0,0.0,0.0,0.0
"STEATITE","ANDHRA PRADESH","TONNE",88483.0,22965.0,81914.0,23224.0,72787.0,21132.0,59336.0,25684.0,75831.0,28027.0
"STEATITE","BIHAR","TONNE",1576.0,249.0,1410.0,179.0,2052.0,262.0,2948.0,513.0,0.0,0.0
"STEATITE","CHHATTISGARH","TONNE",441.0,157.0,476.0,48.0,80.0,8.0,5.0,2.0,316.0,95.0
"STEATITE","GUJARAT","TONNE",541.0,81.0,122.0,18.0,2291.0,232.0,2316.0,289.0,2981.0,425.0
"STEATITE","JHARKHAND","TONNE","","","","","","","","",4041.0,1131.0
"STEATITE","KARNATAKA","TONNE",305.0,34.0,"","","","","","","",""
"STEATITE","MADHYA PRADESH","TONNE",130.0,14.0,"","",0.0,0.0,"","",66.0,7.0
"STEATITE","ORISSA","TONNE",1399.0,162.0,4.0,"NA",0.0,0.0,"","",0.0,0.0
"STEATITE","RAJASTHAN","TONNE",633485.0,444230.0,653258.0,459351.0,622389.0,400708.0,664649.0,420656.0,730501.0,593740.0
"STEATITE","TAMIL NADU","TONNE",2280.0,388.0,"","",630.0,126.0,1295.0,259.0,"",""
"STEATITE","UTTARAKHAND","TONNE",193865.0,125031.0,151286.0,115426.0,134890.0,104919.0,172137.0,170883.0,145010.0,165408.0
"STEATITE ","INDIA","TONNE",922505.0,593311.0,888470.0,598246.0,835119.0,527387.0,902686.0,618286.0,958746.0,788833.0
"SULPHUR","ASSAM","TONNE",224.0,0.0,566.0,0.0,665.0,0.0,3328.0,0.0,4968.0,0.0
"SULPHUR","BIHAR","TONNE",8150.0,0.0,10186.0,0.0,8681.0,0.0,8353.0,0.0,9329.0,0.0
"SULPHUR","GUJARAT","TONNE",13608.0,0.0,13293.0,0.0,12045.0,0.0,22436.0,0.0,65923.0,0.0
"SULPHUR","HARYANA","TONNE",108064.0,0.0,130155.0,0.0,146278.0,0.0,136622.0,0.0,174915.0,0.0
"SULPHUR","MAHARASHTRA","TONNE",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54850.0,0.0
"SULPHUR","PUNJAB","TONNE",3456.0,0.0,3894.0,0.0,2468.0,0.0,2111.0,0.0,3407.0,0.0
"SULPHUR","TAMIL NADU","TONNE",44932.0,0.0,48453.0,0.0,41346.0,0.0,0.0,0.0,0.0,0.0
"SULPHUR","UTTAR PRADESH","TONNE",31673.0,0.0,42915.0,0.0,36130.0,0.0,38856.0,0.0,36005.0,0.0
"SULPHUR","WEST BENGAL","TONNE",17204.0,0.0,20110.0,0.0,15511.0,0.0,25292.0,0.0,31749.0,0.0
"SULPHUR","INDIA","TONNE",227311.0,0.0,269572.0,0.0,263124.0,0.0,236998.0,0.0,381146.0,0.0
"VERMICULITE","ANDHRA PRADESH","TONNE",7224.0,2822.0,10726.0,4275.0,10060.0,4095.0,17081.0,8314.0,8239.0,3665.0
"VERMICULITE","TAMIL NADU","TONNE",1686.0,4518.0,1921.0,5148.0,1602.0,3558.0,2153.0,4818.0,1507.0,3025.0
"VERMICULITE ","INDIA","TONNE",8910.0,7340.0,12647.0,9423.0,11662.0,7653.0,19234.0,13132.0,9746.0,6690.0
"WOLLASTONITE","RAJASTHAN","TONNE",118666.0,106401.0,111581.0,125957.0,132385.0,111930.0,183381.0,145958.0,184445.0,159931.0
"WOLLASTONITE ","INDIA","TONNE",118666.0,106401.0,111581.0,125957.0,132385.0,111930.0,183381.0,145958.0,184445.0,159931.0
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","",0.0,"","","","","","","","",""
