-----
{
 "description": "The table refers to Block wise Construction of Shallow Tubewells over the years. The report has been sourced from 3rd census of minor irrigation scheme (2000-01) from Ministry of Water Resources.", 
 "file_name": "shltbdistr2.1.csv", 
 "title": "Download CSV for Blockwise Construction of Shallow Tubewells over the years", 
 "url": "http://data.gov.in/sites/default/files/shltbdistr2.1.csv"
}
-----
STATENAME,DISTNAME,BLOCKNAME,Upto 1993-94,During 1994-95,During 1995-96,During 1996-97,During 1997-98,During 1998-99,During 1999-00,During 2000-01,Total
ASSAM,BONGAIGAON,DANGTOLA,7,21,10,10,14,22,381,337,802
ASSAM,BONGAIGAON,MANIKPUR,40,49,20,9,32,265,789,443,1647
ASSAM,BONGAIGAON,SIDLI- CHIRANG PT,3,1,4,5,7,60,281,29,390
ASSAM,BONGAIGAON,SRIJANGRAM,15,3,2,6,27,21,283,1139,1496
ASSAM,BONGAIGAON,TAPALARI,15,1,19,5,30,64,527,445,1106
ASSAM,DARRANG,BECHIMARI,14,30,32,43,118,77,90,56,460
ASSAM,DARRANG,BHERGAON,0,0,0,0,0,0,199,0,199
ASSAM,DARRANG,DOLGAON-SIALMARI,5,0,0,18,195,216,177,17,628
ASSAM,DARRANG,KALAIGAON,95,12,19,4,9,36,1026,55,1256
ASSAM,DARRANG,KHIRABARI,0,0,2,0,0,0,150,0,152
ASSAM,DARRANG,MAZBAT,0,0,0,2,9,17,385,0,413
ASSAM,DARRANG,PACHIM-MANGALDAI,4,12,8,1,7,7,701,5,745
ASSAM,DARRANG,PUB-MANGALDAI,3,0,0,6,23,77,706,60,875
ASSAM,DARRANG,RAWTA,2,0,1,0,12,19,60,1,95
ASSAM,DARRANG,SIPAJHAR,13,0,1,0,42,19,149,699,923
ASSAM,DARRANG,UDALGURI,2,0,2,2,3,42,53,23,127
ASSAM,DHEMAJI,BORDOLONI,101,7,1,51,3,30,78,17,288
ASSAM,DHEMAJI,DHEMAJI,141,17,28,25,16,21,37,35,320
ASSAM,DHEMAJI,MACH KHOWA,44,0,3,4,5,1,20,5,82
ASSAM,DHEMAJI,MSTD BLOCK,25,0,0,0,0,0,6,0,31
ASSAM,DHEMAJI,SISSIBOR GAON,55,9,12,17,22,65,109,130,419
ASSAM,DHUBRI,AGAMONI,161,502,29,14,41,32,237,59,1075
ASSAM,DHUBRI,BILASHI PARA,11,4,0,0,0,0,0,495,510
ASSAM,DHUBRI,BIRASHINGJARUA,3,10,7,7,26,34,50,11,148
ASSAM,DHUBRI,CHAPAR-SALKOCHS,22,0,5,14,6,25,119,349,540
ASSAM,DHUBRI,DEBITOLA,3,1,9,48,85,151,157,95,549
ASSAM,DHUBRI,FEKAMANI,28,11,14,18,32,96,206,52,457
ASSAM,DHUBRI,GAURIPUR,8,0,0,1,25,89,630,191,944
ASSAM,DHUBRI,GOLOKGANJ,132,54,49,29,113,127,347,111,962
ASSAM,DHUBRI,JAMADARHAT,22,17,4,0,0,0,0,0,43
ASSAM,DHUBRI,MAHAMAYA,21,26,23,53,77,165,382,364,1111
ASSAM,DHUBRI,MANKACHAR,80,27,33,61,150,195,128,43,717
ASSAM,DHUBRI,NAYERALGA,0,4,2,10,41,386,136,155,734
ASSAM,DHUBRI,RUPSI PT.,44,76,69,65,79,110,634,341,1418
ASSAM,DHUBRI,SOUTH SALMARA,29,23,30,46,87,128,114,160,617
ASSAM,DIBRUGARH,BARBARUA,36,1,1,0,6,216,265,111,636
ASSAM,DIBRUGARH,JOYPUR,19,0,4,0,0,10,337,307,677
ASSAM,DIBRUGARH,KHOWANG,39,0,1,3,0,16,240,502,801
ASSAM,DIBRUGARH,LAHOWAL,19,4,13,33,110,49,1,2,231
ASSAM,DIBRUGARH,PANITOLA,186,0,0,0,0,21,116,74,397
ASSAM,DIBRUGARH,TENGAKHAT,32,1,1,0,0,21,376,237,668
ASSAM,DIBRUGARH,TINGKHONG,1,1,1,0,0,1,593,163,760
ASSAM,GOALPARA,BALIJAN,0,0,1,3,2,55,109,55,225
ASSAM,GOALPARA,DUDHNAI,16,2,6,0,0,5,16,1,46
ASSAM,GOALPARA,JALESWAR,1,10,25,148,133,144,36,9,506
ASSAM,GOALPARA,KHARMUJA,51,0,1,0,1,444,441,38,976
ASSAM,GOALPARA,KRISHNAI,0,0,0,1,42,93,0,0,136
ASSAM,GOALPARA,KUSHDHAWA,5,9,15,21,27,7,24,1,109
ASSAM,GOALPARA,LAKHIPUR,0,0,7,53,45,120,334,5,564
ASSAM,GOALPARA,MATIA,0,1,31,51,145,91,23,0,342
ASSAM,GOLAGHAT,GAMARIGURI,500,4,4,8,1,90,168,59,834
ASSAM,GOLAGHAT,GOLAGHAT CENTRAL,37,3,0,2,5,48,76,49,220
ASSAM,GOLAGHAT,GOLAGHAT EAST,1,0,20,3,24,58,123,1,230
ASSAM,GOLAGHAT,GOLAGHAT NORTH,0,0,0,0,6,22,148,93,269
ASSAM,GOLAGHAT,GOLAGHAT SOUTH,138,21,3,11,34,51,161,150,569
ASSAM,GOLAGHAT,GOLAGHAT WEST,108,0,1,0,24,5,115,406,659
ASSAM,GOLAGHAT,KAKODONGA,57,1,27,0,0,4,55,86,230
ASSAM,GOLAGHAT,MORONGI,6,0,0,0,0,95,51,60,212
ASSAM,HAILAKANDI,ALGAPUR,0,0,0,0,0,2,0,0,2
ASSAM,JORHAT,JORHAT CENTRAL,1,0,0,0,2,54,16,2,75
ASSAM,JORHAT,JORHAT EAST,1,0,0,0,0,0,36,1,38
ASSAM,JORHAT,JORHAT NORTH WEST,3,5,0,1,11,245,154,3,422
ASSAM,JORHAT,KALIAPANI,90,3,4,1,3,128,150,20,399
ASSAM,JORHAT,MAJULI,429,33,14,43,28,26,82,2,657
ASSAM,JORHAT,TITABAR,2,0,0,0,0,16,29,0,47
ASSAM,JORHAT,UJANI MAJULI,187,3,0,0,3,23,93,1,310
ASSAM,KAMRUP,BEZERA,106,5,1,0,2,98,65,4,281
ASSAM,KAMRUP,BIHDIA -JAJIKENA,187,8,18,2,3,21,22,93,354
ASSAM,KAMRUP,BOKO BONGAON,0,0,0,3,1,13,48,41,106
ASSAM,KAMRUP,BONGAON,0,0,0,0,1,12,27,139,179
ASSAM,KAMRUP,CHAMARIA,17,33,35,23,34,129,386,521,1178
ASSAM,KAMRUP,CHANDRAPUR,2,0,0,2,0,3,3,71,81
ASSAM,KAMRUP,CHAYANI BARDUAR,27,1,4,2,4,4,55,33,130
ASSAM,KAMRUP,CHHAYGAON,8,2,1,0,61,34,85,143,334
ASSAM,KAMRUP,DIMORIA,2,1,2,0,2,25,148,12,192
ASSAM,KAMRUP,GAROI MARI,0,0,0,0,100,263,34,37,434
ASSAM,KAMRUP,GORESWAR,186,1,2,85,4,0,5,0,283
ASSAM,KAMRUP,HAJO,238,54,73,48,159,112,308,669,1661
ASSAM,KAMRUP,KAMALPUR,1,1,2,0,0,129,271,2,406
ASSAM,KAMRUP,RAMPUR (PALAS BARI),2,0,3,1,85,150,125,70,436
ASSAM,KAMRUP,RANGIA,68,0,1,16,235,57,1,0,378
ASSAM,KAMRUP,RANI,27,0,8,0,0,0,2,0,37
ASSAM,KAMRUP,SUALKUCHI,60,8,1,11,13,60,189,160,502
ASSAM,KARBIANGLONG,RONGKHAG,28,4,7,0,5,10,9,2,65
ASSAM,KARIMGANJ,NORTH KARIMGANJ,4,0,0,0,0,0,0,0,4
ASSAM,KOKRAJHAR,DOTOMA,70,16,7,21,34,129,283,140,700
ASSAM,KOKRAJHAR,GOSSAIGAON,39,2,20,6,20,99,141,74,401
ASSAM,KOKRAJHAR,HATIDHURA,5,0,4,1,4,50,25,49,138
ASSAM,KOKRAJHAR,KACHUGAON,6,0,3,2,2,40,37,26,116
ASSAM,KOKRAJHAR,KOKRAJHAR,57,6,12,21,82,185,499,164,1026
ASSAM,KOKRAJHAR,SIDLI-CHIRANG PT,8,0,1,2,19,13,47,9,99
ASSAM,LAKHIMPUR,BIHPURIA,79,3,1,1,4,6,51,20,165
ASSAM,LAKHIMPUR,BOGINODI,37,10,3,14,1,10,53,19,147
ASSAM,LAKHIMPUR,DHAKUAKHANA,124,25,0,1,4,1,1,0,156
ASSAM,LAKHIMPUR,GHILAMARI,63,0,0,0,0,0,0,0,63
ASSAM,LAKHIMPUR,KARUNABARI,33,7,11,5,3,8,25,19,111
ASSAM,LAKHIMPUR,LAKHIMPUR,17,9,8,2,7,18,23,13,97
ASSAM,LAKHIMPUR,NARAYANPUR,182,5,7,1,4,31,135,38,403
ASSAM,LAKHIMPUR,NOWBOICHA,50,7,7,4,4,8,36,24,140
ASSAM,LAKHIMPUR,TELAHI,9,0,2,0,0,13,30,0,54
ASSAM,MORIGAON,BHUR- BANDHA,43,31,18,28,85,66,120,91,482
ASSAM,MORIGAON,DULONGGHAT,1,0,2,2,14,53,135,44,251
ASSAM,MORIGAON,KAPILI,0,0,0,1,0,0,0,0,1
ASSAM,MORIGAON,LAHORIGHAT,154,361,285,372,145,407,389,356,2469
ASSAM,MORIGAON,MAIRABARI,55,92,78,116,27,93,71,50,582
ASSAM,MORIGAON,MAYONG,348,92,158,164,192,278,299,161,1692
ASSAM,NAGOAN,BAJIAGAON,27,3,4,8,22,35,212,599,910
ASSAM,NAGOAN,BARHAMPUR,7,0,2,0,0,0,9,37,55
ASSAM,NAGOAN,BATADRAWA,5,1,3,2,18,159,506,187,881
ASSAM,NAGOAN,BINNAKANDI,24,1,5,13,29,21,19,1,113
ASSAM,NAGOAN,DALONG GHAT,0,0,0,0,1,7,109,43,160
ASSAM,NAGOAN,DHALPUKHURI,214,10,18,21,22,134,79,248,746
ASSAM,NAGOAN,JOGIJAN,30,16,20,46,86,115,100,20,433
ASSAM,NAGOAN,JURIA,40,5,11,7,10,168,674,362,1277
ASSAM,NAGOAN,KALIABOR,4,0,0,3,0,38,102,45,192
ASSAM,NAGOAN,KATHITOLI,110,9,26,18,16,62,187,169,597
ASSAM,NAGOAN,KHAGARIJAN,0,0,1,0,0,0,0,239,240
ASSAM,NAGOAN,LAO-KHOWA,19,1,0,0,0,4,0,401,425
ASSAM,NAGOAN,LIMDING DEV,0,1,0,0,0,0,0,0,1
ASSAM,NAGOAN,PACHIM KALIABOR,1,24,0,0,0,0,0,0,25
ASSAM,NAGOAN,PAKHIMORIA,8,0,1,0,0,2,9,58,78
ASSAM,NAGOAN,RAHA,1,0,0,0,0,0,127,0,128
ASSAM,NAGOAN,RUPAHI,1,4,1,0,31,176,159,15,387
ASSAM,NAGOAN,UDALI,11,3,1,0,1,2,0,0,18
ASSAM,NALBARI,BARBHAG,44,0,4,1,2,19,45,44,159
ASSAM,NALBARI,BARIGOG-BANBHAG,0,0,0,0,1,8,43,99,151
ASSAM,NALBARI,BARKHETRI,197,21,23,7,44,232,577,542,1643
ASSAM,NALBARI,BASKA,27,14,16,11,5,12,12,6,103
ASSAM,NALBARI,DHAMDHAMA,1,0,0,0,2,11,18,0,32
ASSAM,NALBARI,MADHUPUR,8,0,0,0,11,15,35,5,74
ASSAM,NALBARI,NAGRIJULI,22,5,3,7,15,15,60,238,365
ASSAM,NALBARI,PACHIM NALBARI,58,2,8,12,32,93,111,29,345
ASSAM,NALBARI,PUB-NALBARI,4,4,4,1,2,11,35,119,180
ASSAM,NALBARI,TAMULPUR,22,2,0,0,2,6,33,18,83
ASSAM,NALBARI,TIHU,3,0,0,2,0,1,55,77,138
ASSAM,NALBARI,TIHU BARAMA,0,0,0,0,0,1,35,127,163
ASSAM,SIBSAGAR,DEMOW,38,2,0,57,13,40,277,192,619
ASSAM,SIBSAGAR,GOURISAGAR,45,0,1,22,11,59,101,119,358
ASSAM,SIBSAGAR,LAKWA,0,0,0,0,0,0,0,102,102
ASSAM,SIBSAGAR,NAZIRA,0,0,11,17,9,16,0,0,53
ASSAM,SIBSAGAR,PACHIM ABHOYPUR,0,0,6,0,0,0,0,63,69
ASSAM,SIBSAGAR,SEPEKHATI,0,0,0,0,0,0,155,78,233
ASSAM,SIBSAGAR,SIBSAGAR,11,10,3,14,44,71,182,126,461
ASSAM,SIBSAGAR,SONARI,0,0,1,0,10,3,95,82,191
ASSAM,SONITPUR,BAGHMARA,42,1,9,4,6,10,24,45,141
ASSAM,SONITPUR,BALIPARA,76,18,28,31,71,137,83,50,494
ASSAM,SONITPUR,BEHELI,11,1,1,1,0,2,31,11,58
ASSAM,SONITPUR,BIHAGURI,71,6,12,23,5,10,35,15,177
ASSAM,SONITPUR,BISHWANATH,0,0,0,0,1,0,1,33,35
ASSAM,SONITPUR,BORCHALA,42,16,34,23,19,75,354,74,637
ASSAM,SONITPUR,CHAIDUAR,5,4,0,0,0,1,0,5,15
ASSAM,SONITPUR,CHATIA,16,1,8,1,0,15,21,5,67
ASSAM,SONITPUR,DHEKIAJULI,39,3,5,16,18,46,110,31,268
ASSAM,SONITPUR,GABHARU,196,26,18,16,10,30,74,109,479
ASSAM,SONITPUR,NADUAR,90,5,5,0,8,34,85,14,241
ASSAM,SONITPUR,PUB-CHAIDUAR,21,3,1,0,2,0,3,28,58
ASSAM,SONITPUR,RANGAPARA,1,0,1,0,2,9,11,0,24
ASSAM,SONITPUR,SOKAMATHA,0,0,0,0,1,6,16,3,26
ASSAM,TINSUKIA,GUIJAN,92,3,8,5,9,13,61,32,223
ASSAM,TINSUKIA,HAPJAN,193,14,7,8,12,57,96,34,421
ASSAM,TINSUKIA,ITAKHULI,120,8,4,12,3,14,27,47,235
ASSAM,TINSUKIA,KAKAPATHAR,423,15,8,21,12,54,121,52,706
ASSAM,TINSUKIA,MARGHERITA,30,0,9,6,17,55,143,32,292
ASSAM,TINSUKIA,SADIYA,6,1,0,1,7,3,41,34,93
ASSAM,TINSUKIA,SAIKHOWA,181,25,1,3,1,7,76,17,311
BIHAR,ARARIA,ARARIA,374,90,129,83,115,86,75,53,1005
BIHAR,ARARIA,BHARGAMA,1587,828,576,177,52,31,10,1,3262
BIHAR,ARARIA,FORBESGANJ,75,457,463,359,121,148,23,12,1658
BIHAR,ARARIA,JOKIHAT,70,47,95,196,355,438,350,247,1798
BIHAR,ARARIA,KURSAKANTA,294,252,149,91,103,115,72,39,1115
BIHAR,ARARIA,NARPATGANJ,669,312,252,85,52,92,7,1,1470
BIHAR,ARARIA,PALASI,203,369,252,226,179,155,75,34,1493
BIHAR,ARARIA,RANIGANJ,58,115,227,241,189,246,183,26,1285
BIHAR,ARARIA,SIKTI,0,52,42,135,117,154,64,2,566
BIHAR,AURANGABAD,AURANGABAD,297,23,12,7,6,6,21,10,382
BIHAR,AURANGABAD,BARUN,674,87,52,34,20,27,24,11,929
BIHAR,AURANGABAD,DAUDNAGAR,166,162,106,37,23,29,15,5,543
BIHAR,AURANGABAD,DEO,43,26,2,2,2,0,0,0,75
BIHAR,AURANGABAD,GOH,989,230,251,170,123,89,51,49,1952
BIHAR,AURANGABAD,HASPURA,754,175,275,59,69,16,15,17,1380
BIHAR,AURANGABAD,KUTUMBA,318,126,13,15,26,22,4,1,525
BIHAR,AURANGABAD,MADANPUR,295,105,50,27,26,12,5,8,528
BIHAR,AURANGABAD,NABINAGAR,140,1,22,1,0,1,0,0,165
BIHAR,AURANGABAD,OBRA,524,90,36,19,20,35,12,3,739
BIHAR,AURANGABAD,RAFIGANAJ,916,255,102,46,37,7,6,2,1371
BIHAR,BANKA,AMARPUR,831,104,68,33,21,23,14,8,1102
BIHAR,BANKA,BANKA,214,43,28,7,10,9,10,11,332
BIHAR,BANKA,BARAHAT,218,25,21,4,21,26,21,4,340
BIHAR,BANKA,BELHAR,290,63,74,46,14,10,3,1,501
BIHAR,BANKA,BOUNSI,27,12,8,7,7,14,11,5,91
BIHAR,BANKA,DHORAIYA,640,136,67,118,69,65,19,14,1128
BIHAR,BANKA,PHULLIDUMER,22,21,22,19,16,1,0,0,101
BIHAR,BANKA,RAJOUN,448,150,114,60,49,39,20,32,912
BIHAR,BANKA,SAMBHUGANJ,705,119,53,12,107,12,0,1,1009
BIHAR,BEGUSARAI,BACHHAWARA,898,310,273,128,115,103,107,103,2037
BIHAR,BEGUSARAI,BAKHRI,217,84,121,121,134,52,23,8,760
BIHAR,BEGUSARAI,BALLIA,218,159,160,190,141,137,56,28,1089
BIHAR,BEGUSARAI,BARAUNI,422,49,144,403,224,106,47,25,1420
BIHAR,BEGUSARAI,BEGUSARAI,1347,373,328,163,137,139,36,23,2546
BIHAR,BEGUSARAI,BHAGWANPUR,631,69,94,122,88,65,68,75,1212
BIHAR,BEGUSARAI,BIRPUR,20,100,224,247,297,38,40,0,966
BIHAR,BEGUSARAI,CH.BARIYARPUR,677,72,266,163,157,98,25,47,1505
BIHAR,BEGUSARAI,CHHAURAHI,340,306,152,202,180,69,27,11,1287
BIHAR,BEGUSARAI,DANDARI,373,106,81,68,62,32,19,28,769
BIHAR,BEGUSARAI,GADHPURA,173,150,143,203,116,44,17,12,858
BIHAR,BEGUSARAI,KHODAWANDPUR,473,116,76,50,33,32,46,24,850
BIHAR,BEGUSARAI,MANSOORCHAK,169,6,19,34,228,24,6,0,486
BIHAR,BEGUSARAI,MATIHANI,335,137,129,169,245,215,155,100,1485
BIHAR,BEGUSARAI,NAWAKOTHI,252,303,229,196,105,20,11,6,1122
BIHAR,BEGUSARAI,S.KAMAL,278,334,390,293,218,136,65,16,1730
BIHAR,BEGUSARAI,SAMHO AKHA KURHA,2,6,39,36,66,72,18,14,253
BIHAR,BEGUSARAI,TEGHRA,107,28,208,83,47,329,2,1,805
BIHAR,BHAGALPUR,BIHPUR,49,208,281,332,200,133,61,30,1294
BIHAR,BHAGALPUR,GOPALPUR,95,231,204,89,69,27,13,0,728
BIHAR,BHAGALPUR,GOURADIH,308,27,12,7,6,14,0,4,378
BIHAR,BHAGALPUR,ISMAILPUR,0,4,31,73,57,24,0,0,189
BIHAR,BHAGALPUR,JAGDISHPUR,24,2,6,15,7,8,0,2,64
BIHAR,BHAGALPUR,KAHALGAON,86,139,65,68,54,31,18,0,461
BIHAR,BHAGALPUR,KHARIK,180,217,129,105,128,57,29,56,901
BIHAR,BHAGALPUR,NARAYANPUR,3,8,22,48,246,60,29,2,418
BIHAR,BHAGALPUR,NATHNAGAR,434,114,113,30,95,32,10,7,835
BIHAR,BHAGALPUR,NAVGACHHIA,419,199,147,131,90,57,36,24,1103
BIHAR,BHAGALPUR,PIRPAINTY,394,167,157,101,96,59,28,11,1013
BIHAR,BHAGALPUR,RANGRA CHOWK,14,23,45,26,114,90,34,66,412
BIHAR,BHAGALPUR,SABOUR,181,54,38,39,55,45,18,11,441
BIHAR,BHAGALPUR,SANHAULA,387,174,193,112,105,44,40,35,1090
BIHAR,BHAGALPUR,SHAHKUND,1191,166,143,54,48,78,18,30,1728
BIHAR,BHAGALPUR,SULTANGANJ,416,153,116,91,51,15,1,7,850
BIHAR,BHOJPUR,AGIAON,516,107,101,71,48,44,45,2,934
BIHAR,BHOJPUR,ARA,1019,205,171,118,50,31,15,5,1614
BIHAR,BHOJPUR,BARHARA,449,117,71,17,9,6,13,0,682
BIHAR,BHOJPUR,BEHEA,898,205,137,86,183,46,10,6,1571
BIHAR,BHOJPUR,CHARPOKHARI,535,94,52,40,31,5,2,11,770
BIHAR,BHOJPUR,GARHANI,450,52,31,38,54,27,11,13,676
BIHAR,BHOJPUR,JAGDISHPUR,836,883,719,338,157,83,46,138,3200
BIHAR,BHOJPUR,KOILWAR,719,286,167,88,59,25,12,15,1371
BIHAR,BHOJPUR,PIRO,1065,407,330,256,110,78,43,8,2297
BIHAR,BHOJPUR,SAHAR,228,38,22,13,10,18,32,6,367
BIHAR,BHOJPUR,SANDESH,100,291,263,208,75,24,12,15,988
BIHAR,BHOJPUR,SHAHPUR,804,222,102,40,26,25,16,8,1243
BIHAR,BHOJPUR,TARARI,651,347,162,111,43,34,15,20,1383
BIHAR,BHOJPUR,UDWANTNAGAR,748,269,96,55,19,10,8,5,1210
BIHAR,BUXAR,BRAHMPUR,867,274,202,109,79,72,51,22,1676
BIHAR,BUXAR,BUXAR,847,212,139,105,63,46,28,44,1484
BIHAR,BUXAR,CHAKKI,16,22,27,37,34,23,21,15,195
BIHAR,BUXAR,CHOUGAI,509,126,44,18,9,1,0,2,709
BIHAR,BUXAR,CHOUSA,472,201,144,118,31,30,4,1,1001
BIHAR,BUXAR,DUMRAON,159,152,134,245,282,157,44,8,1181
BIHAR,BUXAR,ITARHI,1050,360,268,213,122,75,44,18,2150
BIHAR,BUXAR,KESATH,56,94,99,56,44,15,0,0,364
BIHAR,BUXAR,NAWANAGAR,261,316,224,181,84,81,17,10,1174
BIHAR,BUXAR,RAJPUR,869,635,341,245,170,167,35,2,2464
BIHAR,BUXAR,SIMRI,196,219,261,281,237,189,31,5,1419
BIHAR,DARBHANGA,ALINAGAR,126,65,54,23,40,38,7,0,353
BIHAR,DARBHANGA,BAHADURPUR,83,42,125,181,204,129,4,45,813
BIHAR,DARBHANGA,BAHERI,702,155,156,149,270,110,137,73,1752
BIHAR,DARBHANGA,BENIPUR,372,197,94,54,35,17,0,4,773
BIHAR,DARBHANGA,BIRAUL,216,374,163,176,155,122,52,11,1269
BIHAR,DARBHANGA,DARBHANGA,293,197,206,81,35,4,0,1,817
BIHAR,DARBHANGA,GAURA BAURAM,207,141,146,143,69,37,20,12,775
BIHAR,DARBHANGA,GHANSHYAMPUR,246,28,27,23,59,100,64,17,564
BIHAR,DARBHANGA,HANUMAN NAGAR,42,189,169,209,96,35,11,1,752
BIHAR,DARBHANGA,HAYAGHAT,54,51,200,86,49,18,14,6,478
BIHAR,DARBHANGA,JALE,334,178,99,54,35,24,10,1,735
BIHAR,DARBHANGA,KEOTI RUNWAY,662,116,43,19,18,5,2,0,865
BIHAR,DARBHANGA,KIRATPUR,9,0,18,113,35,25,22,0,222
BIHAR,DARBHANGA,KUSESHWAR ASTHAN,97,59,74,70,44,7,1,0,352
BIHAR,DARBHANGA,KUSESHWAR ASTHAN (E),73,22,70,59,43,25,6,0,298
BIHAR,DARBHANGA,MANIGACHHI,243,36,44,147,37,11,1,1,520
BIHAR,DARBHANGA,SINGHWARA,398,161,97,100,79,46,5,0,886
BIHAR,DARBHANGA,TARDIH,239,24,22,9,14,23,7,7,345
BIHAR,EAST CHAMPARAN,ADAPUR,359,242,159,125,101,194,184,64,1428
BIHAR,EAST CHAMPARAN,AREARAJ,445,202,137,66,47,27,11,4,939
BIHAR,EAST CHAMPARAN,BANJARIYA,465,242,97,66,37,48,38,6,999
BIHAR,EAST CHAMPARAN,BANKATWA,208,143,130,37,78,37,24,8,665
BIHAR,EAST CHAMPARAN,CHAKIYA,1113,333,183,141,82,19,14,10,1895
BIHAR,EAST CHAMPARAN,CHAURADANO,745,189,127,90,61,43,21,41,1317
BIHAR,EAST CHAMPARAN,CHIRIYA,138,200,211,159,111,85,55,17,976
BIHAR,EAST CHAMPARAN,DHAKA,202,287,329,248,127,50,8,1,1252
BIHAR,EAST CHAMPARAN,GHORASAHAN,492,111,88,110,103,27,44,16,991
BIHAR,EAST CHAMPARAN,HARSIDHI,1114,249,300,256,138,98,66,18,2239
BIHAR,EAST CHAMPARAN,KALYANPUR,1075,612,287,133,70,59,23,12,2271
BIHAR,EAST CHAMPARAN,KESARIA,385,216,148,110,69,49,12,9,998
BIHAR,EAST CHAMPARAN,KOTWA,177,16,73,40,177,108,38,13,642
BIHAR,EAST CHAMPARAN,MADHUBAN,374,331,306,183,292,329,96,56,1967
BIHAR,EAST CHAMPARAN,MEHSI,676,484,294,210,151,124,85,24,2048
BIHAR,EAST CHAMPARAN,MOTIHARI,1171,295,174,84,56,27,7,16,1830
BIHAR,EAST CHAMPARAN,PAHARPUR,784,263,221,128,128,73,31,6,1634
BIHAR,EAST CHAMPARAN,PAKRIDYAL,776,406,214,40,35,28,6,0,1505
BIHAR,EAST CHAMPARAN,PATAHI,540,225,190,108,87,140,51,6,1347
BIHAR,EAST CHAMPARAN,PHENHARA,241,159,187,113,121,50,36,8,915
BIHAR,EAST CHAMPARAN,PIPRAKOTHI,200,136,128,96,75,84,35,23,777
BIHAR,EAST CHAMPARAN,RAMGARHWA,159,82,155,133,134,66,14,1,744
BIHAR,EAST CHAMPARAN,RAXAUL,424,125,97,0,56,8,0,0,710
BIHAR,EAST CHAMPARAN,SANGRAMPUR,104,206,215,152,96,25,19,1,818
BIHAR,EAST CHAMPARAN,SUGAULI,37,248,172,438,229,183,26,1,1334
BIHAR,EAST CHAMPARAN,TETARIA,66,144,122,142,221,235,146,51,1127
BIHAR,EAST CHAMPARAN,TURKAULIA,775,315,240,99,56,24,19,8,1536
BIHAR,GAYA,AMAS,110,24,31,10,4,2,1,2,184
BIHAR,GAYA,ATRI,95,338,45,37,10,55,44,22,646
BIHAR,GAYA,BANKE BAZAR,431,150,109,66,34,23,9,1,823
BIHAR,GAYA,BARACHATTY,156,36,115,30,20,23,21,53,454
BIHAR,GAYA,BATHANI,238,106,80,81,82,96,59,21,763
BIHAR,GAYA,BELAGANJ,1627,250,187,180,49,53,32,44,2422
BIHAR,GAYA,BODHGAYA,101,23,21,64,92,271,204,13,789
BIHAR,GAYA,DOBHI,181,25,31,50,35,19,11,8,360
BIHAR,GAYA,DUMARIYA,180,5,38,51,31,27,15,55,402
BIHAR,GAYA,FATEHPUR,241,74,78,106,97,59,38,12,705
BIHAR,GAYA,GAYA NAGAR,1113,27,146,88,110,17,3,12,1516
BIHAR,GAYA,GURARU,444,305,55,63,133,52,44,24,1120
BIHAR,GAYA,GURUA,477,234,240,116,61,45,12,41,1226
BIHAR,GAYA,IMAMGANJ,413,92,136,88,62,38,20,121,970
BIHAR,GAYA,KHIZARSARAI,1429,214,83,127,211,106,50,21,2241
BIHAR,GAYA,KONCH,786,361,371,263,91,108,56,27,2063
BIHAR,GAYA,MANPUR,411,97,103,92,127,89,28,21,968
BIHAR,GAYA,MOHANPUR,253,20,14,24,12,6,0,0,329
BIHAR,GAYA,PARAIYA,703,240,115,156,74,32,16,22,1358
BIHAR,GAYA,SHERGHATTY,322,42,42,45,29,20,13,32,545
BIHAR,GAYA,TANKUPPA,485,188,103,59,35,47,23,13,953
BIHAR,GAYA,TEKARI,1441,205,242,155,174,97,97,58,2469
BIHAR,GAYA,WAZIRGANJ,462,364,250,168,126,84,35,15,1504
BIHAR,GOPAALGANJ,BAIKUNTHPUR,840,384,256,168,128,78,33,25,1912
BIHAR,GOPAALGANJ,BARAULI,871,350,119,46,81,41,15,4,1527
BIHAR,GOPAALGANJ,BHOREY,1170,376,341,267,89,41,49,39,2372
BIHAR,GOPAALGANJ,BIJAIPUR,1915,92,55,31,28,18,13,12,2164
BIHAR,GOPAALGANJ,GOPALGANJ,245,255,176,124,82,20,15,2,919
BIHAR,GOPAALGANJ,HATHUA,1352,275,183,106,56,40,22,7,2041
BIHAR,GOPAALGANJ,KATEYA,762,117,64,99,87,76,11,15,1231
BIHAR,GOPAALGANJ,KUCHAIKOTE,1704,237,171,223,145,67,41,29,2617
BIHAR,GOPAALGANJ,MANJHA,581,238,388,109,91,62,25,5,1499
BIHAR,GOPAALGANJ,PANCHDEWRI,498,235,94,63,46,27,10,6,979
BIHAR,GOPAALGANJ,PHULWARIYA,560,201,134,117,44,36,9,8,1109
BIHAR,GOPAALGANJ,SIDHWALIYA,250,98,83,60,32,6,6,0,535
BIHAR,GOPAALGANJ,THAWE,487,48,40,14,13,2,2,4,610
BIHAR,GOPAALGANJ,UCHKAGAON,1238,114,134,88,76,38,27,13,1728
BIHAR,JAMUI,ALIGANJ,102,15,5,8,31,24,6,3,194
BIHAR,JAMUI,BARHAT,20,0,0,0,0,0,0,0,20
BIHAR,JAMUI,CHAKAI,5,0,0,0,0,0,0,0,5
BIHAR,JAMUI,GHIDHOR,267,72,31,23,24,7,13,10,447
