"Capital","",61.94,"...",61.94,51.8,0.01,51.81,23.58,"...",23.58,41.53,"...",41.53
"Corporate Affairs","",27.99,199.97,227.96,32.0,213.5,245.5,28.0,201.22,229.22,34.0,221.28,255.28
"Revenue","",3.0,187.88,190.88,12.0,201.5,213.5,8.0,190.42,198.42,23.38,201.98,225.36
"Capital","",24.99,12.09,37.08,20.0,12.0,32.0,20.0,10.8,30.8,10.62,19.3,29.92
"Culture","",748.42,560.7,1309.12,864.0,583.0,1447.0,864.0,586.15,1450.15,1435.0,627.0,2062.0
"Revenue","",727.61,560.7,1288.31,826.0,583.0,1409.0,826.0,586.15,1412.15,1396.0,627.0,2023.0
"Capital","",20.81,"...",20.81,38.0,"...",38.0,38.0,"...",38.0,39.0,"...",39.0
"Defence(Civil Estimates)","","...",42760.0,42760.0,"...",44798.24,44798.24,"...",44500.0,44500.0,"...",49673.79,49673.79
"Revenue","","...",41136.22,41136.22,"...",42923.69,42923.69,"...",42781.86,42781.86,"...",47835.39,47835.39
"Capital","","...",1623.78,1623.78,"...",1874.55,1874.55,"...",1718.14,1718.14,"...",1838.4,1838.4
"Defence Services","","...",170913.28,170913.28,"...",193407.29,193407.29,"...",178503.52,178503.52,"...",203672.12,203672.12
"Revenue","","...",103010.9,103010.9,"...",113828.66,113828.66,"...",108924.89,108924.89,"...",116931.41,116931.41
"Capital","","...",67902.38,67902.38,"...",79578.63,79578.63,"...",69578.63,69578.63,"...",86740.71,86740.71
"Development of North Eastern Region","",89.52,23.1,112.62,205.0,24.33,229.33,146.5,23.6,170.1,226.0,24.97,250.97
"Revenue","",29.52,19.1,48.62,109.0,20.33,129.33,50.5,19.6,70.1,104.0,20.97,124.97
"Capital","",60.0,4.0,64.0,96.0,4.0,100.0,96.0,4.0,100.0,122.0,4.0,126.0
"Drinking Water and Sanitation","",9992.88,4.82,9997.7,14000.0,5.24,14005.24,13000.0,5.26,13005.26,15260.0,5.7,15265.7
"Revenue","",9992.88,4.82,9997.7,14000.0,5.24,14005.24,13000.0,5.26,13005.26,15260.0,5.7,15265.7
"Capital","","...","...","...","...","...","...","...","...","...","...","...","..."
"Earth Sciences","",818.73,351.54,1170.27,1281.0,387.0,1668.0,820.0,375.0,1195.0,1281.0,409.0,1690.0
"Revenue","",717.82,351.48,1069.3,1073.5,386.66,1460.16,696.95,374.9,1071.85,1080.0,408.89,1488.89
"Capital","",100.91,0.06,100.97,207.5,0.34,207.84,123.05,0.1,123.15,201.0,0.11,201.11
"Environment and Forests","",1822.63,159.46,1982.09,2430.0,199.41,2629.41,1800.0,199.49,1999.49,2430.0,200.2,2630.2
"Revenue","",1728.33,144.37,1872.7,2375.37,183.91,2559.28,1735.37,183.38,1918.75,2367.38,193.75,2561.13
"Capital","",94.3,15.09,109.39,54.63,15.5,70.13,64.63,16.11,80.74,62.62,6.45,69.07
"External Affairs","",1103.77,6751.04,7854.81,1500.0,8161.97,9661.97,1620.0,8442.0,10062.0,3000.0,8719.0,11719.0
"Revenue","",312.78,6157.43,6470.21,362.0,7261.97,7623.97,482.0,7442.0,7924.0,1531.5,8419.0,9950.5
"Capital","",790.99,593.61,1384.6,1138.0,900.0,2038.0,1138.0,1000.0,2138.0,1468.5,300.0,1768.5
"Economic Affairs","",2926.02,6252.17,9178.19,4040.0,19125.01,23165.01,3160.0,4243.34,7403.34,4040.0,25837.38,29877.38
"Revenue","",2626.02,3364.36,5990.38,3602.45,4376.45,7978.9,2722.45,3909.97,6632.42,3362.0,4400.67,7762.67
"Capital","",300.0,2887.81,3187.81,437.55,14748.56,15186.11,437.55,333.37,770.92,678.0,21436.71,22114.71
"Financial Services","",14497.43,3581.78,18079.21,16088.0,8349.23,24437.23,14652.0,7160.42,21812.42,16088.0,7281.39,23369.39
"Revenue","",200.0,3567.78,3767.78,200.0,8335.22,8535.22,"...",7159.42,7159.42,200.0,7268.99,7468.99
"Capital","",14297.43,14.0,14311.43,15888.0,14.01,15902.01,14652.0,1.0,14653.0,15888.0,12.4,15900.4
"Economic Affairs (Centralised Provisions)","","...",316257.5,316257.5,"...",378246.89,378246.89,"...",371865.96,371865.96,"...",432968.89,432968.89
"Revenue","","...",316443.11,316443.11,"...",378441.89,378441.89,"...",372030.96,372030.96,"...",433143.89,433143.89
"Capital","","...",-185.61,-185.61,"...",-195.0,-195.0,"...",-165.0,-165.0,"...",-175.0,-175.0
"Expenditure","",3.48,20366.03,20369.51,4.0,21346.95,21350.95,2.88,21156.34,21159.22,4.0,22808.99,22812.99
"Revenue","",2.45,20365.41,20367.86,4.0,21336.95,21340.95,2.88,21151.34,21154.22,4.0,22798.99,22802.99
"Capital","",1.03,0.62,1.65,"...",10.0,10.0,"...",5.0,5.0,"...",10.0,10.0
"Revenue","","...",11316.85,11316.85,"...",8248.68,8248.68,"...",7675.4,7675.4,"...",18156.97,18156.97
"Revenue","","...",11010.39,11010.39,"...",7310.66,7310.66,"...",7199.66,7199.66,"...",17319.03,17319.03
"Capital","","...",306.46,306.46,"...",938.02,938.02,"...",475.74,475.74,"...",837.94,837.94
"Disinvestment","","...",29.56,29.56,"...",63.24,63.24,"...",25.83,25.83,"...",63.24,63.24
"Revenue","","...",29.56,29.56,"...",63.24,63.24,"...",25.83,25.83,"...",63.24,63.24
"Capital","","...","...","...","...","...","...","...","...","...","...","...","..."
"Food Processing Industries","",515.07,8.73,523.8,660.0,10.54,670.54,660.0,10.16,670.16,708.0,11.11,719.11
"Revenue","",515.07,8.73,523.8,660.0,10.54,670.54,660.0,10.16,670.16,708.0,11.11,719.11
"Capital","","...","...","...","...","...","...","...","...","...","...","...","..."
"Health and Family Welfare","",20669.36,3685.72,24355.08,27127.0,3575.0,30702.0,22000.0,3927.0,25927.0,29165.0,4113.0,33278.0
"Revenue","",19596.4,3686.18,23282.58,24828.69,3575.0,28403.69,20507.68,3927.0,24434.68,26302.33,4113.0,30415.33
"Capital","",1072.96,-0.46,1072.5,2298.31,"...",2298.31,1492.32,"...",1492.32,2862.67,"...",2862.67
"Ayurveda, Yoga & Naturopathy,Unani, Siddha and Homoeopathy ( AYUSH)","",611.47,171.71,783.18,990.0,188.0,1178.0,670.0,191.0,861.0,1069.0,190.0,1259.0
"Revenue","",587.47,171.71,759.18,973.2,188.0,1161.2,669.4,191.0,860.4,1059.6,190.0,1249.6
"Capital","",24.0,"...",24.0,16.8,"...",16.8,0.6,"...",0.6,9.4,"...",9.4
"Health Research","",564.5,181.93,746.43,660.0,248.0,908.0,464.0,261.0,725.0,726.0,282.0,1008.0
"Revenue","",564.5,181.93,746.43,660.0,248.0,908.0,464.0,261.0,725.0,726.0,282.0,1008.0
"Capital","","...","...","...","...","...","...","...","...","...","...","...","..."
"AIDS Control","",1313.86,"...",1313.86,1700.0,"...",1700.0,1759.56,"...",1759.56,1785.0,"...",1785.0
"Revenue","",1313.68,"...",1313.68,1692.0,"...",1692.0,1751.56,"...",1751.56,1770.0,"...",1770.0
"Capital","",0.18,"...",0.18,8.0,"...",8.0,8.0,"...",8.0,15.0,"...",15.0
"Heavy Industry","",357.04,315.86,672.9,553.0,456.67,1009.67,406.66,377.61,784.27,585.0,443.97,1028.97
"Revenue","",357.04,23.99,381.03,496.49,56.67,553.16,345.45,37.61,383.06,417.44,43.97,461.41
"Capital","","...",291.87,291.87,56.51,400.0,456.51,61.21,340.0,401.21,167.56,400.0,567.56
"Public Enterprises","",8.98,7.94,16.92,13.0,8.93,21.93,10.0,8.99,18.99,10.0,9.39,19.39
"Revenue","",8.98,7.94,16.92,13.0,8.93,21.93,10.0,8.99,18.99,10.0,9.39,19.39
"Capital","","...","...","...","...","...","...","...","...","...","...","...","..."
"Home Affairs","",5919.35,39452.85,45372.2,10500.0,41722.1,52222.1,6828.0,41605.86,48433.86,10500.0,46406.84,56906.84
"Revenue","",2065.44,37654.98,39720.42,3650.51,38894.02,42544.53,1932.39,39760.23,41692.62,3571.61,44065.97,47637.58
"Capital","",3853.91,1797.87,5651.78,6849.49,2828.08,9677.57,4895.61,1845.63,6741.24,6928.39,2340.87,9269.26
"Housing and Urban Poverty Alleviation","",950.43,6.67,957.1,1155.0,8.0,1163.0,950.0,7.34,957.34,1460.0,8.02,1468.02
"Revenue","",950.43,6.67,957.1,1155.0,8.0,1163.0,950.0,7.34,957.34,1460.0,8.02,1468.02
"Capital","","...","...","...","...","...","...","...","...","...","...","...","..."
"School Education and Literacy","",38079.55,2561.8,40641.35,45969.0,2812.0,48781.0,42729.0,2813.0,45542.0,49659.0,3042.0,52701.0
"Revenue","",38079.55,2561.8,40641.35,45969.0,2812.0,48781.0,42729.0,2813.0,45542.0,49659.0,3042.0,52701.0
"Capital","","...","...","...","...","...","...","...","...","...","...","...","..."
"Higher Education","",12575.35,6929.72,19505.07,15438.0,9837.0,25275.0,13479.0,7798.0,21277.0,16198.0,10552.0,26750.0
"Revenue","",12575.35,6929.72,19505.07,15438.0,9837.0,25275.0,13479.0,7798.0,21277.0,16198.0,10552.0,26750.0
"Capital","","...","...","...","...","...","...","...","...","...","...","...","..."
"Information and Broadcasting","",755.59,1813.08,2568.67,905.0,1832.32,2737.32,676.0,2017.4,2693.4,905.0,2130.65,3035.65
"Revenue","",318.37,1813.08,2131.45,361.0,1832.32,2193.32,292.71,2017.4,2310.11,876.2,2130.65,3006.85
"Capital","",437.22,"...",437.22,544.0,"...",544.0,383.29,"...",383.29,28.8,"...",28.8
"Labour and Employment","",1454.75,1863.08,3317.83,2403.88,1929.8,4333.68,2000.0,1943.87,3943.87,2446.1,2635.1,5081.2
"Revenue","",1451.23,1862.37,3313.6,2397.78,1928.83,4326.61,1993.9,1942.99,3936.89,2435.94,2634.13,5070.07
"Capital","",3.52,0.71,4.23,6.1,0.97,7.07,6.1,0.88,6.98,10.16,0.97,11.13
"Election Commission","","...",34.17,34.17,"...",72.17,72.17,"...",43.78,43.78,"...",68.5,68.5
"Revenue","","...",34.17,34.17,"...",72.17,72.17,"...",38.78,38.78,"...",67.5,67.5
"Capital","","...","...","...","...","...","...","...",5.0,5.0,"...",1.0,1.0
"Law and Justice","",675.8,347.63,1023.43,1050.0,485.62,1535.62,825.0,424.81,1249.81,1103.0,712.47,1815.47
"Revenue","",675.8,347.63,1023.43,1050.0,465.6,1515.6,825.0,423.79,1248.79,1103.0,702.45,1805.45
"Capital","","...","...","...","...",20.02,20.02,"...",1.02,1.02,"...",10.02,10.02
"Supreme Court of India","","...",109.55,109.55,"...",111.75,111.75,"...",120.05,120.05,"...",129.41,129.41
"Revenue","","...",109.55,109.55,"...",111.75,111.75,"...",120.05,120.05,"...",129.41,129.41
"Capital","","...","...","...","...","...","...","...","...","...","...","...","..."
"Micro, Small and Medium Enterprises","",1938.8,301.62,2240.42,2835.0,320.66,3155.66,2541.95,289.7,2831.65,2977.0,312.71,3289.71
"Revenue","",1781.34,301.36,2082.7,2752.0,319.86,3071.86,2459.54,288.9,2748.44,2899.0,311.91,3210.91
"Capital","",157.46,0.26,157.72,83.0,0.8,83.8,82.41,0.8,83.21,78.0,0.8,78.8
"Mines","",368.37,434.99,803.36,232.0,466.44,698.44,321.59,499.95,821.54,454.0,537.08,991.08
"Revenue","",169.92,434.99,604.91,162.42,466.44,628.86,162.42,499.95,662.37,207.47,537.08,744.55
"Capital","",198.45,"...",198.45,69.58,"...",69.58,159.17,"...",159.17,246.53,"...",246.53
"Minority Affairs","",2283.16,14.37,2297.53,3135.0,19.7,3154.7,2200.0,18.26,2218.26,3511.0,19.98,3530.98
"Revenue","",2168.16,14.37,2182.53,3035.0,19.7,3054.7,2100.36,18.26,2118.62,3391.0,19.98,3410.98
"Capital","",115.0,"...",115.0,100.0,"...",100.0,99.64,"...",99.64,120.0,"...",120.0
"New and Renewable Energy","",1183.79,12.98,1196.77,1383.0,14.79,1397.79,1150.0,13.47,1163.47,1519.0,14.55,1533.55
"Revenue","",1113.46,12.98,1126.44,1291.0,14.79,1305.79,1068.8,13.47,1082.27,1419.5,14.55,1434.05
"Capital","",70.33,"...",70.33,92.0,"...",92.0,81.2,"...",81.2,99.5,"...",99.5
"Overseas Indian Affairs","","...",77.49,77.49,"...",114.77,114.77,"...",85.0,85.0,"...",115.79,115.79
"Revenue","","...",63.96,63.96,"...",94.77,94.77,"...",75.0,75.0,"...",95.79,95.79
"Capital","","...",13.53,13.53,"...",20.0,20.0,"...",10.0,10.0,"...",20.0,20.0
"Panchayati Raj","",190.05,0.41,190.46,300.0,0.74,300.74,266.0,0.66,266.66,500.0,0.7,500.7
"Revenue","",190.05,0.41,190.46,300.0,0.74,300.74,266.0,0.66,266.66,500.0,0.7,500.7
"Capital","","...","...","...","...","...","...","...","...","...","...","...","..."
"Parliamentary Affairs","","...",8.96,8.96,"...",11.72,11.72,"...",12.15,12.15,"...",13.28,13.28
"Revenue","","...",8.96,8.96,"...",11.72,11.72,"...",12.15,12.15,"...",13.28,13.28
"Capital","","...","...","...","...","...","...","...","...","...","...","...","..."
"Personnel, Public Grievances and Pensions","",161.07,558.2,719.27,279.0,615.67,894.67,167.43,668.2,835.63,279.0,740.94,1019.94
"Revenue","",109.45,557.68,667.13,169.4,607.6,777.0,104.11,665.04,769.15,157.0,732.87,889.87
"Capital","",51.62,0.52,52.14,109.6,8.07,117.67,63.32,3.16,66.48,122.0,8.07,130.07
"Petroleum and Natural Gas","","...",70099.73,70099.73,43.0,43716.85,43759.85,10.0,97504.1,97514.1,43.0,65145.41,65188.41
"Revenue","","...",68513.99,68513.99,42.0,43716.85,43758.85,10.0,97022.6,97032.6,42.0,65145.41,65187.41
"Capital","","...",1585.74,1585.74,1.0,"...",1.0,"...",481.5,481.5,1.0,"...",1.0
"Planning","",1257.81,70.56,1328.37,2100.0,77.03,2177.03,1542.0,74.18,1616.18,8000.0,81.51,8081.51
"Revenue","",1006.3,70.56,1076.86,1584.2,77.03,1661.23,1278.5,74.18,1352.68,7100.0,81.51,7181.51
"Capital","",251.51,"...",251.51,515.8,"...",515.8,263.5,"...",263.5,900.0,"...",900.0
"Power","",4625.39,-309.57,4315.82,9642.0,-122.89,9519.11,4708.0,3193.93,7901.93,9642.0,431.07,10073.07
"Revenue","",2418.44,-309.57,2108.87,5929.63,-122.89,5806.74,2820.18,-132.46,2687.72,7337.95,431.07,7769.02
"Capital","",2206.95,"...",2206.95,3712.37,"...",3712.37,1887.82,3326.39,5214.21,2304.05,"...",2304.05
"The President, Parliament, Union Public Service Commission and the Secretariat of the Vice President","","...",813.23,813.23,"...",902.98,902.98,"...",939.04,939.04,"...",1033.53,1033.53
"Revenue","","...",813.23,813.23,"...",902.98,902.98,"...",939.04,939.04,"...",1033.53,1033.53
"Capital","","...","...","...","...","...","...","...","...","...","...","...","..."
"Road Transport and Highways","",19740.78,4043.22,23784.0,23000.0,5438.21,28438.21,15932.81,4532.35,20465.16,23500.0,5442.23,28942.23
"Revenue","",12692.15,2292.0,14984.15,14217.2,3296.0,17513.2,12152.17,2669.76,14821.93,8331.72,3278.31,11610.03
"Capital","",7048.63,1751.22,8799.85,8782.8,2142.21,10925.01,3780.64,1862.59,5643.23,15168.28,2163.92,17332.2
"Rural Development","",64218.99,44.47,64263.46,73175.0,46.82,73221.82,52000.0,44.83,52044.83,74429.0,48.65,74477.65
"Revenue","",64218.99,44.47,64263.46,73175.0,46.82,73221.82,52000.0,44.83,52044.83,74429.0,48.65,74477.65
"Capital","","...","...","...","...","...","...","...","...","...","...","...","..."
"Land Resources","",2418.84,6.92,2425.76,3201.0,7.2,3208.2,3000.0,7.2,3007.2,5765.0,7.85,5772.85
"Revenue","",2418.84,6.92,2425.76,3201.0,7.2,3208.2,3000.0,7.2,3007.2,5765.0,7.85,5772.85
"Capital","","...","...","...","...","...","...","...","...","...","...","...","..."
"Science and Technology","",2167.18,344.48,2511.66,2477.0,396.22,2873.22,2175.0,375.19,2550.19,2777.0,407.27,3184.27
"Revenue","",2130.32,343.82,2474.14,2438.23,395.02,2833.25,2148.23,374.14,2522.37,2755.8,405.32,3161.12
"Capital","",36.86,0.66,37.52,38.77,1.2,39.97,26.77,1.05,27.82,21.2,1.95,23.15
"Scientific and Industrial Research","",1828.59,1386.11,3214.7,2013.0,1471.0,3484.0,1555.0,1401.0,2956.0,2013.0,1558.0,3571.0
"Revenue","",1822.91,1386.11,3209.02,2004.1,1471.0,3475.1,1555.0,1401.0,2956.0,2003.3,1558.0,3561.3
"Capital","",5.68,"...",5.68,8.9,"...",8.9,"...","...","...",9.7,"...",9.7
"Biotechnology","",1182.4,26.04,1208.44,1485.0,15.39,1500.39,1300.0,15.72,1315.72,1485.0,17.06,1502.06
"Revenue","",1182.4,26.04,1208.44,1485.0,15.39,1500.39,1300.0,15.72,1315.72,1485.0,17.06,1502.06
"Capital","","...","...","...","...","...","...","...","...","...","...","...","..."
"Shipping","",330.76,1099.94,1430.7,812.0,867.49,1679.49,502.0,403.0,905.0,846.0,866.67,1712.67
"Revenue","",121.99,1117.72,1239.71,266.05,947.36,1213.41,161.28,491.87,653.15,213.53,958.75,1172.28
"Capital","",208.77,-17.78,190.99,545.95,-79.87,466.08,340.72,-88.87,251.85,632.47,-92.08,540.39
"Social Justice and Empowerment","",4944.95,84.31,5029.26,5915.0,93.3,6008.3,5012.0,93.2,5105.2,6625.0,100.32,6725.32
"Revenue","",4699.95,84.31,4784.26,5615.0,93.3,5708.3,4809.35,93.2,4902.55,6320.0,100.32,6420.32
"Capital","",245.0,"...",245.0,300.0,"...",300.0,202.65,"...",202.65,305.0,"...",305.0
"Space","",2785.08,999.19,3784.27,5615.0,1100.0,6715.0,3800.0,1080.0,4880.0,5615.0,1177.0,6792.0
"Revenue","",1761.3,999.19,2760.49,2476.43,1100.0,3576.43,1747.97,1080.0,2827.97,1875.69,1177.0,3052.69
"Capital","",1023.78,"...",1023.78,3138.57,"...",3138.57,2052.03,"...",2052.03,3739.31,"...",3739.31
"Statistics and Programme Implementation","",262.27,353.51,615.78,631.0,357.54,988.54,486.0,337.81,823.81,631.0,365.68,996.68
"Revenue","",257.55,353.51,611.06,613.8,357.54,971.34,470.21,337.81,808.02,614.85,365.68,980.53
"Capital","",4.72,"...",4.72,17.2,"...",17.2,15.79,"...",15.79,16.15,"...",16.15
"Steel","",9.63,64.41,74.04,46.0,69.29,115.29,26.49,214.48,240.97,46.0,66.87,112.87
"Revenue","",9.63,64.41,74.04,46.0,69.29,115.29,26.49,214.48,240.97,46.0,66.87,112.87
"Capital","","...","...","...","...","...","...","...","...","...","...","...","..."
"Textiles","",4207.8,769.39,4977.19,7000.0,836.41,7836.41,4500.0,810.55,5310.55,4631.0,800.59,5431.59
"Revenue","",4188.4,611.15,4799.55,6977.73,797.9,7775.63,4469.83,708.71,5178.54,4623.35,800.57,5423.92
"Capital","",19.4,158.24,177.64,22.27,38.51,60.78,30.17,101.84,132.01,7.65,0.02,7.67
"Tourism","",1050.77,63.32,1114.09,1210.0,72.98,1282.98,950.0,70.28,1020.28,1282.0,75.3,1357.3
"Revenue","",1046.77,63.32,1110.09,1207.0,72.98,1279.98,948.0,70.28,1018.28,1280.0,75.3,1355.3
"Capital","",4.0,"...",4.0,3.0,"...",3.0,2.0,"...",2.0,2.0,"...",2.0
"Tribal Affairs","",1561.7,14.84,1576.54,1573.0,18.0,1591.0,1427.46,15.55,1443.01,1762.0,16.94,1778.94
"Revenue","",1491.7,14.84,1506.54,1503.0,18.0,1521.0,1359.36,15.55,1374.91,1692.0,16.94,1708.94
"Capital","",70.0,"...",70.0,70.0,"...",70.0,68.1,"...",68.1,70.0,"...",70.0
"Urban Development","",6151.89,2467.11,8619.0,7012.12,2673.87,9685.99,5837.37,2586.27,8423.64,7566.9,2796.85,10363.75
"Revenue","",422.21,2015.82,2438.03,583.43,2190.86,2774.29,402.45,2129.82,2532.27,537.52,2295.3,2832.82
"Capital","",5729.68,451.29,6180.97,6428.69,483.01,6911.7,5434.92,456.45,5891.37,7029.38,501.55,7530.93
"Water Resources","",575.52,467.57,1043.09,1500.0,541.0,2041.0,650.0,559.85,1209.85,1500.0,576.55,2076.55
"Revenue","",493.36,469.32,962.68,1373.2,539.2,1912.4,536.5,558.05,1094.55,1302.55,574.75,1877.3
"Capital","",82.16,-1.75,80.41,126.8,1.8,128.6,113.5,1.8,115.3,197.45,1.8,199.25
"Women and Child Development","",15592.24,78.91,15671.15,18500.0,84.0,18584.0,17180.0,83.0,17263.0,20350.0,90.0,20440.0
"Revenue","",15592.24,78.91,15671.15,18500.0,84.0,18584.0,17180.0,83.0,17263.0,20350.0,90.0,20440.0
"Capital","","...","...","...","...","...","...","...","...","...","...","...","..."
"Youth Affairs and Sports","",866.23,104.1,970.33,1041.0,111.0,1152.0,889.6,116.0,1005.6,1093.0,126.0,1219.0
"Revenue","",878.81,104.1,982.91,1039.7,111.0,1150.7,888.3,116.0,1004.3,1092.1,126.0,1218.1
