-----
{
 "description": "The table refers to District wise Distribution of Surface Flow Schemes according to source of Finance. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "srfcflowstate4.7.csv", 
 "title": "Download CSV for Districtwise Distribution of Surface Flow Schemes according to source of Finance", 
 "url": "http://data.gov.in/sites/default/files/srfcflowstate4.7.csv"
}
-----
"State","District","Government Funds","Farmer's saving","Loan & Saving","Subsidy & Bank loan","Subsidy only","Others","Total"
"TAMIL NADU","TUTICORIN DISTRICT",1526,7,8,5,24,16,1586
"TAMIL NADU","VELLORE",753,128,14,2,11,388,1296
"TAMIL NADU","VILLUPPURAM",576,7,108,373,175,201,1440
"TAMIL NADU","VIRUDHUNAGAR",633,0,5,13,4,0,655
"TRIPURA","DHALAI",8,4,1,0,0,0,13
"TRIPURA","NORTH TRIPURA",60,9,5,48,20,2,144
"TRIPURA","SOUTH TRIPURA",196,142,9,15,68,59,489
"TRIPURA","WEST TRIPURA",161,72,4,10,13,30,290
"UTTAR PRADESH","ALIGARH",2,37,0,0,0,0,39
"UTTAR PRADESH","ALLAHABAD",139,152,79,49,42,32,493
"UTTAR PRADESH","BAGHPAT",0,0,0,0,2,0,2
"UTTAR PRADESH","BAHARAICH",3,0,0,0,0,0,3
"UTTAR PRADESH","BANDA",59,150,15,0,14,0,238
"UTTAR PRADESH","BAREILLY",400,12,1,1,1,0,415
"UTTAR PRADESH","BASTI",0,5,0,0,0,0,5
"UTTAR PRADESH","BULAND SAHAR",14,0,0,0,0,0,14
"UTTAR PRADESH","CHANDAULI",0,88,8,10,0,6,112
"UTTAR PRADESH","CHITRAKOOT",185,168,89,30,0,0,472
"UTTAR PRADESH","DEORIA",0,2,0,8,0,0,10
"UTTAR PRADESH","FATEHPUR",31,0,0,0,0,0,31
"UTTAR PRADESH","GHAZIABAD",102,0,0,1,0,0,103
"UTTAR PRADESH","GORAKHPUR",1,0,0,0,0,0,1
"UTTAR PRADESH","HAMIRPUR",120,25,33,23,0,176,377
"UTTAR PRADESH","JALAUN",192,121,33,19,232,5,602
"UTTAR PRADESH","JAUNPUR",5,0,0,1,0,0,6
"UTTAR PRADESH","JHANSI",505,126,28,21,24,115,819
"UTTAR PRADESH","KANNAUJ",14,0,0,0,0,2,16
"UTTAR PRADESH","KANPUR DEHAT",21,2,0,4,0,0,27
"UTTAR PRADESH","KANPUR NAGAR",0,0,4,0,0,0,4
"UTTAR PRADESH","KAUSHAMBI",0,2,0,0,0,0,2
"UTTAR PRADESH","LALITPUR",387,60,18,2,10,59,536
"UTTAR PRADESH","LUCKNOW",1,0,0,0,0,0,1
"UTTAR PRADESH","MAHARAJ GANJ",7,40,24,29,0,0,100
"UTTAR PRADESH","MAHOBA",18,17,9,1,0,14,59
"UTTAR PRADESH","MEERUT",0,0,0,0,1,0,1
"UTTAR PRADESH","MIRZAPUR",98,34,2,8,1,21,164
"UTTAR PRADESH","MORADABAD",13,0,0,0,0,0,13
"UTTAR PRADESH","MUZZAFARNAGAR",0,14,0,0,1,0,15
"UTTAR PRADESH","RAMPUR",0,4,0,0,0,0,4
"UTTAR PRADESH","SAHARANPUR",1,0,0,0,0,0,1
"UTTAR PRADESH","SANT KABIR NAGAR",4,6,1,2,0,14,27
"UTTAR PRADESH","SANT RAVI DAS NAGAR",1,1,0,0,0,0,2
"UTTAR PRADESH","SHRAWASTI",13,0,0,0,0,0,13
"UTTAR PRADESH","SIDDHARTH NAGAR",3,9,14,8,0,8,42
"UTTAR PRADESH","SONBHADRA",979,207,69,24,163,55,1497
"UTTAR PRADESH","VARANASI",4,28,0,1,0,0,33
"UTTARANCHAL","ALMORA",3049,32,16,84,161,4,3346
"UTTARANCHAL","BAGESHWAR",378,378,9,17,590,186,1558
"UTTARANCHAL","CHAMOLI",1354,5,17,113,130,2,1621
"UTTARANCHAL","CHAMPAWAT",606,32,6,44,117,22,827
"UTTARANCHAL","DEHRA DUN",446,314,12,18,64,13,867
"UTTARANCHAL","HARIDWAR",17,2,0,0,0,0,19
"UTTARANCHAL","NAINITAL",438,251,34,503,1868,67,3161
"UTTARANCHAL","PAURI",1544,355,20,145,397,150,2611
"UTTARANCHAL","PITHORAGARH",763,230,65,241,1897,220,3416
"UTTARANCHAL","RUDHARAPARYAG",500,24,13,75,119,12,743
"UTTARANCHAL","TEHARI GARHWAL",2372,782,56,112,1135,320,4777
"UTTARANCHAL","UDHAM SINGH NAGAR",167,12,52,19,83,150,483
"UTTARANCHAL","UTTARKASHI",1410,162,14,94,300,117,2097
"WEST BENGAL","BANKURA",1904,9890,243,204,1275,1253,14769
"WEST BENGAL","BIRBHUM",727,5906,80,101,94,1080,7988
"WEST BENGAL","BURDWAN",147,1109,31,4,38,254,1583
"WEST BENGAL","DARJEELING",182,63,16,4,13,33,311
"WEST BENGAL","HAORA",347,16,9,5,9,95,481
"WEST BENGAL","HOOGHLY",21,174,0,1,2,7,205
"WEST BENGAL","JALPAIGURI",188,129,9,5,21,27,379
"WEST BENGAL","MALDA",69,259,6,0,2,65,401
"WEST BENGAL","MIDNAPORE",680,956,17,16,58,165,1892
"WEST BENGAL","MURSHIDABAD",179,1033,13,2,5,638,1870
"WEST BENGAL","NADIA",1,31,5,0,0,1,38
"WEST BENGAL","NORTH 24 PARGANAS",101,817,13,10,12,46,999
"WEST BENGAL","PURULIA",2251,14805,263,192,1943,1832,21286
"WEST BENGAL","SOUTH 24 PARGANAS",706,791,53,1,8,16,1575
"WEST BENGAL","UTTAR DINAJPUR",1,3,0,0,0,0,4
