-----
{
 "description": "The table refers to Village wise Construction of Dugwells over the years. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "tab1.1.csv", 
 "title": "Download CSV for Villagewise Construction of Dugwells over the years(External Link that opens in a new window)", 
 "url": "http://data.gov.in/sites/default/files/tab1.1.csv"
}
-----
-----
{
 "description": "The table refers to Block wise Distribution of Surface Lift Schemes (on Stream) in use and their Potential Created and Utilized according to Public and Private. The report has been sourced from 3rd census of minor irrigation scheme (2000-01) from Ministry of Water Resources.", 
 "file_name": "srfcliftdistr5.17.csv", 
 "title": "Download CSV for Blockwise Distribution of Surface Lift Schemes (on Stream) in use and their Potential Created and Utilized according to Public and Private", 
 "url": "http://data.gov.in/sites/default/files/srfcliftdistr5.17.csv"
}
-----
STATENAME,DISTNAME,BLOCKNAME,No. in use - Public,No. in use - Private,No. in use - Total,Potential created (Ha) - Public,Potential created (Ha) - Private,Potential created (Ha) - Total,Potential utilised (Ha) - Public,Potential utilised (Ha) - Private,Potential utilised (Ha) - Total
ANDHRA PRADESH,KHAMMAM,MULAKALAPALLE,0,186,186,0,244,244,0,193,193
ANDHRA PRADESH,KHAMMAM,NELAKONDAPALLE,3,0,3,57,0,57,57,0,57
ANDHRA PRADESH,KHAMMAM,PALAWANCHA,0,204,204,0,399,399,0,386,386
ANDHRA PRADESH,KHAMMAM,PENUBALLI,5,21,26,320,43,364,316,39,355
ANDHRA PRADESH,KHAMMAM,SATHUPALLE,0,52,52,0,207,207,0,169,169
ANDHRA PRADESH,KHAMMAM,SINGARENI,0,11,11,0,5,5,0,5,5
ANDHRA PRADESH,KHAMMAM,TEKULAPALLE,45,126,171,61,147,209,57,147,205
ANDHRA PRADESH,KHAMMAM,THALLADA,2,204,206,14,529,543,14,462,476
ANDHRA PRADESH,KHAMMAM,THIRUMALAYAPALEM,1,0,1,28,0,28,6,0,6
ANDHRA PRADESH,KHAMMAM,VARARAMACHANDRAPURAM,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,KHAMMAM,VELAIRPAD,0,9,9,0,10,10,0,10,10
ANDHRA PRADESH,KHAMMAM,VEMSOOR,1,0,1,16,0,16,5,0,5
ANDHRA PRADESH,KHAMMAM,VENKATAPURAM,0,7,7,0,2,2,0,2,2
ANDHRA PRADESH,KHAMMAM,WAZEED,10,0,10,142,0,142,142,0,142
ANDHRA PRADESH,KHAMMAM,WYRA,0,56,56,0,204,204,0,197,197
ANDHRA PRADESH,KHAMMAM,YELLANDU,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,KHAMMAM,YERRUPALEM,0,23,23,0,49,49,0,49,49
ANDHRA PRADESH,KRISHNA,AGIRIPALLE,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,KRISHNA,BAPULAPADU,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,KRISHNA,CHANDARLAPADU,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,KRISHNA,CHATRAI,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,KRISHNA,G KONDURU,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,KRISHNA,GAMPALAGUDEM,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,KRISHNA,GANNAVARAM,0,2,2,0,81,81,0,40,40
ANDHRA PRADESH,KRISHNA,IBRAHIMPATNAM,2,0,2,181,0,181,181,0,181
ANDHRA PRADESH,KRISHNA,JAGGAYYAPETA,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,KRISHNA,KAIKALUR,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,KRISHNA,KALIDINDI,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,KRISHNA,KANCHIKA CHERLA,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,KRISHNA,MUSUNURU,1,0,1,45,0,45,45,0,45
