-----
{
 "description": "The table refers to Block wise Distribution of Shallow Tubewells by Status. The report has been sourced from 3rd census of minor irrigation scheme (2000-01) from Ministry of Water Resources.", 
 "file_name": "shltbdistr2.6.csv", 
 "title": "Download CSV for Blockwise Distribution of Shallow Tubewells by Status", 
 "url": "http://data.gov.in/sites/default/files/shltbdistr2.6.csv"
}
-----
STATENAME,DISTNAME,BLOCKNAME,In use,Not in use - Temporarily,Not in use - Salinity,Not in use - Dried up,Not in use - Destroyed,Not in use - Others,Total - Not in Use,Grand Total (Use + Not in Use)
ASSAM,GOLAGHAT,KAKODONGA,230,0,0,0,0,0,0,230
ASSAM,GOLAGHAT,MORONGI,212,0,0,0,0,0,0,212
ASSAM,HAILAKANDI,ALGAPUR,1,1,0,0,0,0,1,2
ASSAM,JORHAT,JORHAT CENTRAL,30,6,34,0,2,3,45,75
ASSAM,JORHAT,JORHAT EAST,11,12,8,1,0,6,27,38
ASSAM,JORHAT,JORHAT NORTH WEST,377,40,0,0,4,1,45,422
ASSAM,JORHAT,KALIAPANI,268,131,0,0,0,0,131,399
ASSAM,JORHAT,MAJULI,227,325,56,0,18,31,430,657
ASSAM,JORHAT,TITABAR,34,8,0,0,0,5,13,47
ASSAM,JORHAT,UJANI MAJULI,284,12,0,0,5,9,26,310
ASSAM,KAMRUP,BEZERA,281,0,0,0,0,0,0,281
ASSAM,KAMRUP,BIHDIA -JAJIKENA,231,111,0,9,0,3,123,354
ASSAM,KAMRUP,BOKO BONGAON,106,0,0,0,0,0,0,106
ASSAM,KAMRUP,BONGAON,179,0,0,0,0,0,0,179
ASSAM,KAMRUP,CHAMARIA,1178,0,0,0,0,0,0,1178
ASSAM,KAMRUP,CHANDRAPUR,81,0,0,0,0,0,0,81
ASSAM,KAMRUP,CHAYANI BARDUAR,126,3,0,0,0,1,4,130
ASSAM,KAMRUP,CHHAYGAON,331,3,0,0,0,0,3,334
ASSAM,KAMRUP,DIMORIA,149,0,0,0,0,43,43,192
ASSAM,KAMRUP,GAROI MARI,434,0,0,0,0,0,0,434
ASSAM,KAMRUP,GORESWAR,279,4,0,0,0,0,4,283
ASSAM,KAMRUP,HAJO,1661,0,0,0,0,0,0,1661
ASSAM,KAMRUP,KAMALPUR,357,49,0,0,0,0,49,406
ASSAM,KAMRUP,RAMPUR (PALAS BARI),436,0,0,0,0,0,0,436
ASSAM,KAMRUP,RANGIA,377,1,0,0,0,0,1,378
ASSAM,KAMRUP,RANI,37,0,0,0,0,0,0,37
ASSAM,KAMRUP,SUALKUCHI,491,2,7,0,2,0,11,502
ASSAM,KARBIANGLONG,RONGKHAG,65,0,0,0,0,0,0,65
ASSAM,KARIMGANJ,NORTH KARIMGANJ,0,4,0,0,0,0,4,4
ASSAM,KOKRAJHAR,DOTOMA,665,34,0,0,0,1,35,700
ASSAM,KOKRAJHAR,GOSSAIGAON,400,1,0,0,0,0,1,401
ASSAM,KOKRAJHAR,HATIDHURA,138,0,0,0,0,0,0,138
ASSAM,KOKRAJHAR,KACHUGAON,109,2,1,0,1,3,7,116
ASSAM,KOKRAJHAR,KOKRAJHAR,1026,0,0,0,0,0,0,1026
ASSAM,KOKRAJHAR,SIDLI-CHIRANG PT,92,7,0,0,0,0,7,99
ASSAM,LAKHIMPUR,BIHPURIA,129,10,13,6,6,1,36,165
ASSAM,LAKHIMPUR,BOGINODI,89,24,8,0,20,6,58,147
ASSAM,LAKHIMPUR,DHAKUAKHANA,135,7,0,0,14,0,21,156
ASSAM,LAKHIMPUR,GHILAMARI,2,61,0,0,0,0,61,63
ASSAM,LAKHIMPUR,KARUNABARI,70,22,0,7,8,4,41,111
ASSAM,LAKHIMPUR,LAKHIMPUR,95,0,0,0,2,0,2,97
ASSAM,LAKHIMPUR,NARAYANPUR,292,66,36,7,2,0,111,403
ASSAM,LAKHIMPUR,NOWBOICHA,115,5,7,6,7,0,25,140
ASSAM,LAKHIMPUR,TELAHI,47,2,0,0,5,0,7,54
ASSAM,MORIGAON,BHUR- BANDHA,482,0,0,0,0,0,0,482
ASSAM,MORIGAON,DULONGGHAT,248,2,0,0,1,0,3,251
ASSAM,MORIGAON,KAPILI,0,1,0,0,0,0,1,1
ASSAM,MORIGAON,LAHORIGHAT,2469,0,0,0,0,0,0,2469
ASSAM,MORIGAON,MAIRABARI,582,0,0,0,0,0,0,582
ASSAM,MORIGAON,MAYONG,1615,72,1,3,0,1,77,1692
ASSAM,NAGOAN,BAJIAGAON,903,7,0,0,0,0,7,910
ASSAM,NAGOAN,BARHAMPUR,45,2,0,8,0,0,10,55
ASSAM,NAGOAN,BATADRAWA,881,0,0,0,0,0,0,881
ASSAM,NAGOAN,BINNAKANDI,112,0,0,0,1,0,1,113
ASSAM,NAGOAN,DALONG GHAT,160,0,0,0,0,0,0,160
ASSAM,NAGOAN,DHALPUKHURI,741,4,1,0,0,0,5,746
ASSAM,NAGOAN,JOGIJAN,427,4,0,1,1,0,6,433
ASSAM,NAGOAN,JURIA,1277,0,0,0,0,0,0,1277
ASSAM,NAGOAN,KALIABOR,192,0,0,0,0,0,0,192
ASSAM,NAGOAN,KATHITOLI,570,27,0,0,0,0,27,597
ASSAM,NAGOAN,KHAGARIJAN,240,0,0,0,0,0,0,240
ASSAM,NAGOAN,LAO-KHOWA,407,0,18,0,0,0,18,425
ASSAM,NAGOAN,LIMDING DEV,1,0,0,0,0,0,0,1
ASSAM,NAGOAN,PACHIM KALIABOR,25,0,0,0,0,0,0,25
ASSAM,NAGOAN,PAKHIMORIA,78,0,0,0,0,0,0,78
ASSAM,NAGOAN,RAHA,104,24,0,0,0,0,24,128
ASSAM,NAGOAN,RUPAHI,387,0,0,0,0,0,0,387
ASSAM,NAGOAN,UDALI,17,1,0,0,0,0,1,18
ASSAM,NALBARI,BARBHAG,158,0,0,0,1,0,1,159
ASSAM,NALBARI,BARIGOG-BANBHAG,150,0,0,0,1,0,1,151
ASSAM,NALBARI,BARKHETRI,1613,3,9,0,18,0,30,1643
ASSAM,NALBARI,BASKA,102,1,0,0,0,0,1,103
ASSAM,NALBARI,DHAMDHAMA,32,0,0,0,0,0,0,32
ASSAM,NALBARI,MADHUPUR,72,2,0,0,0,0,2,74
ASSAM,NALBARI,NAGRIJULI,365,0,0,0,0,0,0,365
ASSAM,NALBARI,PACHIM NALBARI,344,1,0,0,0,0,1,345
ASSAM,NALBARI,PUB-NALBARI,176,0,0,0,0,4,4,180
ASSAM,NALBARI,TAMULPUR,74,8,1,0,0,0,9,83
ASSAM,NALBARI,TIHU,134,4,0,0,0,0,4,138
ASSAM,NALBARI,TIHU BARAMA,158,5,0,0,0,0,5,163
ASSAM,SIBSAGAR,DEMOW,607,6,5,0,1,0,12,619
ASSAM,SIBSAGAR,GOURISAGAR,305,16,0,0,37,0,53,358
ASSAM,SIBSAGAR,LAKWA,51,51,0,0,0,0,51,102
ASSAM,SIBSAGAR,NAZIRA,0,53,0,0,0,0,53,53
ASSAM,SIBSAGAR,PACHIM ABHOYPUR,38,0,31,0,0,0,31,69
ASSAM,SIBSAGAR,SEPEKHATI,217,16,0,0,0,0,16,233
ASSAM,SIBSAGAR,SIBSAGAR,433,18,0,9,1,0,28,461
ASSAM,SIBSAGAR,SONARI,190,1,0,0,0,0,1,191
ASSAM,SONITPUR,BAGHMARA,85,4,47,1,2,2,56,141
ASSAM,SONITPUR,BALIPARA,474,9,0,0,10,1,20,494
ASSAM,SONITPUR,BEHELI,57,0,0,0,0,1,1,58
ASSAM,SONITPUR,BIHAGURI,169,0,0,0,8,0,8,177
ASSAM,SONITPUR,BISHWANATH,34,1,0,0,0,0,1,35
ASSAM,SONITPUR,BORCHALA,634,3,0,0,0,0,3,637
ASSAM,SONITPUR,CHAIDUAR,12,1,2,0,0,0,3,15
ASSAM,SONITPUR,CHATIA,42,16,1,2,1,5,25,67
ASSAM,SONITPUR,DHEKIAJULI,259,8,0,0,0,1,9,268
ASSAM,SONITPUR,GABHARU,432,42,3,1,0,1,47,479
ASSAM,SONITPUR,NADUAR,233,7,0,0,0,1,8,241
ASSAM,SONITPUR,PUB-CHAIDUAR,46,4,8,0,0,0,12,58
ASSAM,SONITPUR,RANGAPARA,22,0,0,0,2,0,2,24
ASSAM,SONITPUR,SOKAMATHA,26,0,0,0,0,0,0,26
ASSAM,TINSUKIA,GUIJAN,216,3,4,0,0,0,7,223
ASSAM,TINSUKIA,HAPJAN,417,3,1,0,0,0,4,421
ASSAM,TINSUKIA,ITAKHULI,217,15,1,0,2,0,18,235
ASSAM,TINSUKIA,KAKAPATHAR,643,31,0,1,12,19,63,706
ASSAM,TINSUKIA,MARGHERITA,289,3,0,0,0,0,3,292
ASSAM,TINSUKIA,SADIYA,90,2,0,0,0,1,3,93
ASSAM,TINSUKIA,SAIKHOWA,265,7,0,2,37,0,46,311
BIHAR,ARARIA,ARARIA,1005,0,0,0,0,0,0,1005
BIHAR,ARARIA,BHARGAMA,2896,348,18,0,0,0,366,3262
BIHAR,ARARIA,FORBESGANJ,1658,0,0,0,0,0,0,1658
BIHAR,ARARIA,JOKIHAT,1798,0,0,0,0,0,0,1798
BIHAR,ARARIA,KURSAKANTA,1106,9,0,0,0,0,9,1115
BIHAR,ARARIA,NARPATGANJ,1470,0,0,0,0,0,0,1470
BIHAR,ARARIA,PALASI,1334,50,66,33,10,0,159,1493
BIHAR,ARARIA,RANIGANJ,1284,0,1,0,0,0,1,1285
BIHAR,ARARIA,SIKTI,566,0,0,0,0,0,0,566
BIHAR,AURANGABAD,AURANGABAD,329,17,5,17,14,0,53,382
BIHAR,AURANGABAD,BARUN,843,17,2,0,31,36,86,929
BIHAR,AURANGABAD,DAUDNAGAR,499,43,1,0,0,0,44,543
BIHAR,AURANGABAD,DEO,61,13,0,0,1,0,14,75
BIHAR,AURANGABAD,GOH,1626,58,248,12,6,2,326,1952
BIHAR,AURANGABAD,HASPURA,1332,36,2,8,2,0,48,1380
BIHAR,AURANGABAD,KUTUMBA,472,37,10,3,2,1,53,525
BIHAR,AURANGABAD,MADANPUR,478,36,8,5,1,0,50,528
BIHAR,AURANGABAD,NABINAGAR,134,31,0,0,0,0,31,165
BIHAR,AURANGABAD,OBRA,693,11,16,5,0,14,46,739
BIHAR,AURANGABAD,RAFIGANAJ,1337,19,0,14,1,0,34,1371
BIHAR,BANKA,AMARPUR,1099,3,0,0,0,0,3,1102
BIHAR,BANKA,BANKA,332,0,0,0,0,0,0,332
BIHAR,BANKA,BARAHAT,334,6,0,0,0,0,6,340
BIHAR,BANKA,BELHAR,499,1,0,0,0,1,2,501
BIHAR,BANKA,BOUNSI,91,0,0,0,0,0,0,91
BIHAR,BANKA,DHORAIYA,1061,60,5,1,1,0,67,1128
BIHAR,BANKA,PHULLIDUMER,101,0,0,0,0,0,0,101
BIHAR,BANKA,RAJOUN,912,0,0,0,0,0,0,912
BIHAR,BANKA,SAMBHUGANJ,907,13,0,87,2,0,102,1009
BIHAR,BEGUSARAI,BACHHAWARA,1908,76,21,23,8,1,129,2037
BIHAR,BEGUSARAI,BAKHRI,720,8,4,0,28,0,40,760
BIHAR,BEGUSARAI,BALLIA,1086,1,1,1,0,0,3,1089
BIHAR,BEGUSARAI,BARAUNI,1372,35,4,6,3,0,48,1420
BIHAR,BEGUSARAI,BEGUSARAI,2501,20,2,9,11,3,45,2546
BIHAR,BEGUSARAI,BHAGWANPUR,1101,18,37,29,25,2,111,1212
BIHAR,BEGUSARAI,BIRPUR,956,4,0,2,0,4,10,966
BIHAR,BEGUSARAI,CH.BARIYARPUR,1162,0,4,74,265,0,343,1505
BIHAR,BEGUSARAI,CHHAURAHI,1262,17,1,7,0,0,25,1287
BIHAR,BEGUSARAI,DANDARI,584,32,0,143,10,0,185,769
BIHAR,BEGUSARAI,GADHPURA,754,56,13,5,29,1,104,858
BIHAR,BEGUSARAI,KHODAWANDPUR,735,74,2,31,3,5,115,850
BIHAR,BEGUSARAI,MANSOORCHAK,471,10,4,0,1,0,15,486
BIHAR,BEGUSARAI,MATIHANI,1397,52,0,0,31,5,88,1485
BIHAR,BEGUSARAI,NAWAKOTHI,1051,9,0,8,54,0,71,1122
BIHAR,BEGUSARAI,S.KAMAL,1674,40,8,0,8,0,56,1730
BIHAR,BEGUSARAI,SAMHO AKHA KURHA,252,1,0,0,0,0,1,253
BIHAR,BEGUSARAI,TEGHRA,805,0,0,0,0,0,0,805
BIHAR,BHAGALPUR,BIHPUR,1280,1,0,13,0,0,14,1294
BIHAR,BHAGALPUR,GOPALPUR,728,0,0,0,0,0,0,728
BIHAR,BHAGALPUR,GOURADIH,378,0,0,0,0,0,0,378
BIHAR,BHAGALPUR,ISMAILPUR,189,0,0,0,0,0,0,189
BIHAR,BHAGALPUR,JAGDISHPUR,64,0,0,0,0,0,0,64
BIHAR,BHAGALPUR,KAHALGAON,460,0,0,0,0,1,1,461
BIHAR,BHAGALPUR,KHARIK,895,6,0,0,0,0,6,901
BIHAR,BHAGALPUR,NARAYANPUR,418,0,0,0,0,0,0,418
BIHAR,BHAGALPUR,NATHNAGAR,835,0,0,0,0,0,0,835
BIHAR,BHAGALPUR,NAVGACHHIA,1103,0,0,0,0,0,0,1103
BIHAR,BHAGALPUR,PIRPAINTY,1013,0,0,0,0,0,0,1013
BIHAR,BHAGALPUR,RANGRA CHOWK,412,0,0,0,0,0,0,412
BIHAR,BHAGALPUR,SABOUR,439,2,0,0,0,0,2,441
BIHAR,BHAGALPUR,SANHAULA,1081,3,0,2,4,0,9,1090
BIHAR,BHAGALPUR,SHAHKUND,1700,21,4,2,0,1,28,1728
BIHAR,BHAGALPUR,SULTANGANJ,836,14,0,0,0,0,14,850
BIHAR,BHOJPUR,AGIAON,931,3,0,0,0,0,3,934
BIHAR,BHOJPUR,ARA,1520,76,16,2,0,0,94,1614
BIHAR,BHOJPUR,BARHARA,658,24,0,0,0,0,24,682
BIHAR,BHOJPUR,BEHEA,1540,31,0,0,0,0,31,1571
BIHAR,BHOJPUR,CHARPOKHARI,762,7,0,1,0,0,8,770
BIHAR,BHOJPUR,GARHANI,673,1,2,0,0,0,3,676
BIHAR,BHOJPUR,JAGDISHPUR,3180,16,1,3,0,0,20,3200
BIHAR,BHOJPUR,KOILWAR,1328,32,7,3,1,0,43,1371
BIHAR,BHOJPUR,PIRO,2232,42,3,0,18,2,65,2297
BIHAR,BHOJPUR,SAHAR,300,8,39,4,16,0,67,367
BIHAR,BHOJPUR,SANDESH,988,0,0,0,0,0,0,988
BIHAR,BHOJPUR,SHAHPUR,1188,28,1,26,0,0,55,1243
BIHAR,BHOJPUR,TARARI,1373,7,3,0,0,0,10,1383
BIHAR,BHOJPUR,UDWANTNAGAR,1170,14,1,7,17,1,40,1210
BIHAR,BUXAR,BRAHMPUR,1660,5,5,3,1,2,16,1676
BIHAR,BUXAR,BUXAR,1458,24,0,2,0,0,26,1484
BIHAR,BUXAR,CHAKKI,195,0,0,0,0,0,0,195
BIHAR,BUXAR,CHOUGAI,579,124,6,0,0,0,130,709
BIHAR,BUXAR,CHOUSA,899,102,0,0,0,0,102,1001
BIHAR,BUXAR,DUMRAON,824,308,26,23,0,0,357,1181
BIHAR,BUXAR,ITARHI,2078,69,2,1,0,0,72,2150
BIHAR,BUXAR,KESATH,355,9,0,0,0,0,9,364
BIHAR,BUXAR,NAWANAGAR,1074,100,0,0,0,0,100,1174
BIHAR,BUXAR,RAJPUR,2388,72,4,0,0,0,76,2464
BIHAR,BUXAR,SIMRI,1377,37,0,5,0,0,42,1419
BIHAR,DARBHANGA,ALINAGAR,351,1,0,0,1,0,2,353
BIHAR,DARBHANGA,BAHADURPUR,784,12,9,5,0,3,29,813
BIHAR,DARBHANGA,BAHERI,1733,0,4,6,6,3,19,1752
BIHAR,DARBHANGA,BENIPUR,771,2,0,0,0,0,2,773
BIHAR,DARBHANGA,BIRAUL,1256,6,5,2,0,0,13,1269
BIHAR,DARBHANGA,DARBHANGA,809,8,0,0,0,0,8,817
BIHAR,DARBHANGA,GAURA BAURAM,750,10,0,0,15,0,25,775
BIHAR,DARBHANGA,GHANSHYAMPUR,441,34,11,73,5,0,123,564
BIHAR,DARBHANGA,HANUMAN NAGAR,642,8,31,70,1,0,110,752
BIHAR,DARBHANGA,HAYAGHAT,475,2,1,0,0,0,3,478
BIHAR,DARBHANGA,JALE,707,18,7,2,1,0,28,735
BIHAR,DARBHANGA,KEOTI RUNWAY,845,10,0,4,6,0,20,865
BIHAR,DARBHANGA,KIRATPUR,186,36,0,0,0,0,36,222
BIHAR,DARBHANGA,KUSESHWAR ASTHAN,329,23,0,0,0,0,23,352
BIHAR,DARBHANGA,KUSESHWAR ASTHAN (E),279,8,10,1,0,0,19,298
BIHAR,DARBHANGA,MANIGACHHI,514,4,1,0,1,0,6,520
BIHAR,DARBHANGA,SINGHWARA,882,4,0,0,0,0,4,886
BIHAR,DARBHANGA,TARDIH,345,0,0,0,0,0,0,345
BIHAR,EAST CHAMPARAN,ADAPUR,1344,3,61,18,0,2,84,1428
BIHAR,EAST CHAMPARAN,AREARAJ,888,24,4,4,15,4,51,939
BIHAR,EAST CHAMPARAN,BANJARIYA,970,11,3,0,11,4,29,999
BIHAR,EAST CHAMPARAN,BANKATWA,662,3,0,0,0,0,3,665
BIHAR,EAST CHAMPARAN,CHAKIYA,1776,96,4,7,12,0,119,1895
BIHAR,EAST CHAMPARAN,CHAURADANO,1285,14,2,15,1,0,32,1317
BIHAR,EAST CHAMPARAN,CHIRIYA,904,62,6,4,0,0,72,976
BIHAR,EAST CHAMPARAN,DHAKA,1240,6,1,3,2,0,12,1252
BIHAR,EAST CHAMPARAN,GHORASAHAN,918,18,22,1,31,1,73,991
BIHAR,EAST CHAMPARAN,HARSIDHI,2183,24,25,5,1,1,56,2239
BIHAR,EAST CHAMPARAN,KALYANPUR,2234,5,1,17,0,14,37,2271
BIHAR,EAST CHAMPARAN,KESARIA,911,30,47,7,3,0,87,998
BIHAR,EAST CHAMPARAN,KOTWA,641,0,1,0,0,0,1,642
BIHAR,EAST CHAMPARAN,MADHUBAN,1912,11,3,1,40,0,55,1967
BIHAR,EAST CHAMPARAN,MEHSI,1978,33,1,32,4,0,70,2048
BIHAR,EAST CHAMPARAN,MOTIHARI,1711,101,15,2,1,0,119,1830
BIHAR,EAST CHAMPARAN,PAHARPUR,1518,24,30,32,29,1,116,1634
BIHAR,EAST CHAMPARAN,PAKRIDYAL,1483,1,0,19,1,1,22,1505
BIHAR,EAST CHAMPARAN,PATAHI,1187,159,1,0,0,0,160,1347
BIHAR,EAST CHAMPARAN,PHENHARA,911,2,2,0,0,0,4,915
BIHAR,EAST CHAMPARAN,PIPRAKOTHI,770,7,0,0,0,0,7,777
BIHAR,EAST CHAMPARAN,RAMGARHWA,722,20,2,0,0,0,22,744
BIHAR,EAST CHAMPARAN,RAXAUL,677,23,0,3,7,0,33,710
BIHAR,EAST CHAMPARAN,SANGRAMPUR,792,12,14,0,0,0,26,818
BIHAR,EAST CHAMPARAN,SUGAULI,1330,1,0,0,3,0,4,1334
BIHAR,EAST CHAMPARAN,TETARIA,1119,6,0,0,0,2,8,1127
BIHAR,EAST CHAMPARAN,TURKAULIA,1383,24,0,7,66,56,153,1536
BIHAR,GAYA,AMAS,184,0,0,0,0,0,0,184
BIHAR,GAYA,ATRI,644,2,0,0,0,0,2,646
BIHAR,GAYA,BANKE BAZAR,745,54,24,0,0,0,78,823
BIHAR,GAYA,BARACHATTY,451,3,0,0,0,0,3,454
BIHAR,GAYA,BATHANI,636,126,1,0,0,0,127,763
BIHAR,GAYA,BELAGANJ,2412,3,2,5,0,0,10,2422
BIHAR,GAYA,BODHGAYA,758,12,19,0,0,0,31,789
BIHAR,GAYA,DOBHI,358,2,0,0,0,0,2,360
BIHAR,GAYA,DUMARIYA,387,13,0,1,1,0,15,402
BIHAR,GAYA,FATEHPUR,697,1,7,0,0,0,8,705
BIHAR,GAYA,GAYA NAGAR,1503,11,1,0,1,0,13,1516
BIHAR,GAYA,GURARU,790,19,299,3,9,0,330,1120
BIHAR,GAYA,GURUA,1216,1,4,3,0,2,10,1226
BIHAR,GAYA,IMAMGANJ,957,10,1,2,0,0,13,970
BIHAR,GAYA,KHIZARSARAI,2230,9,0,1,0,1,11,2241
BIHAR,GAYA,KONCH,2019,44,0,0,0,0,44,2063
BIHAR,GAYA,MANPUR,945,13,3,7,0,0,23,968
BIHAR,GAYA,MOHANPUR,329,0,0,0,0,0,0,329
BIHAR,GAYA,PARAIYA,1197,9,147,0,5,0,161,1358
BIHAR,GAYA,SHERGHATTY,540,4,0,1,0,0,5,545
BIHAR,GAYA,TANKUPPA,842,69,0,24,18,0,111,953
BIHAR,GAYA,TEKARI,2435,34,0,0,0,0,34,2469
BIHAR,GAYA,WAZIRGANJ,1459,45,0,0,0,0,45,1504
BIHAR,GOPAALGANJ,BAIKUNTHPUR,1766,49,1,1,95,0,146,1912
BIHAR,GOPAALGANJ,BARAULI,1494,9,2,19,3,0,33,1527
BIHAR,GOPAALGANJ,BHOREY,2316,17,8,28,3,0,56,2372
BIHAR,GOPAALGANJ,BIJAIPUR,2134,26,0,3,1,0,30,2164
BIHAR,GOPAALGANJ,GOPALGANJ,918,1,0,0,0,0,1,919
BIHAR,GOPAALGANJ,HATHUA,1990,33,0,7,9,2,51,2041
BIHAR,GOPAALGANJ,KATEYA,1227,2,1,0,1,0,4,1231
BIHAR,GOPAALGANJ,KUCHAIKOTE,2563,18,5,2,29,0,54,2617
BIHAR,GOPAALGANJ,MANJHA,1493,2,3,1,0,0,6,1499
BIHAR,GOPAALGANJ,PANCHDEWRI,925,20,26,5,0,3,54,979
BIHAR,GOPAALGANJ,PHULWARIYA,1064,32,13,0,0,0,45,1109
BIHAR,GOPAALGANJ,SIDHWALIYA,532,1,2,0,0,0,3,535
BIHAR,GOPAALGANJ,THAWE,608,1,0,0,1,0,2,610
BIHAR,GOPAALGANJ,UCHKAGAON,1682,9,32,5,0,0,46,1728
BIHAR,JAMUI,ALIGANJ,188,0,6,0,0,0,6,194
BIHAR,JAMUI,BARHAT,20,0,0,0,0,0,0,20
BIHAR,JAMUI,CHAKAI,5,0,0,0,0,0,0,5
BIHAR,JAMUI,GHIDHOR,447,0,0,0,0,0,0,447
BIHAR,JAMUI,JAMUI,1314,1,0,0,0,0,1,1315
BIHAR,JAMUI,JHAJHA,221,0,0,0,0,0,0,221
BIHAR,JAMUI,KHAIRA,998,0,0,0,0,0,0,998
BIHAR,JAMUI,LAXMIPUR,27,0,0,0,0,0,0,27
BIHAR,JAMUI,SIKANDARA,524,1,0,0,0,0,1,525
BIHAR,JAMUI,SONO,218,0,0,0,0,0,0,218
BIHAR,JEHANABAD,ARWAL,857,129,0,0,0,0,129,986
BIHAR,JEHANABAD,GHOSHI,1574,3,16,8,2,0,29,1603
BIHAR,JEHANABAD,HULASGANJ,1051,0,1,13,0,0,14,1065
BIHAR,JEHANABAD,JEHANABAD,2086,7,4,8,8,2,29,2115
BIHAR,JEHANABAD,KAKO,2589,2,7,63,13,0,85,2674
BIHAR,JEHANABAD,KALER,623,0,1,0,1,0,2,625
BIHAR,JEHANABAD,KARPI,2281,186,45,0,0,0,231,2512
BIHAR,JEHANABAD,KURTHA,1699,3,4,0,0,0,7,1706
BIHAR,JEHANABAD,MAKHDUMPUR,2371,45,2,0,2,1,50,2421
BIHAR,JEHANABAD,MODANGANJ,1078,36,0,4,0,0,40,1118
BIHAR,JEHANABAD,RATNI,1906,12,13,1,0,3,29,1935
BIHAR,JEHANABAD,VANSHI,1040,0,2,0,0,0,2,1042
BIHAR,KAIMUR (BHABUA),BHABUA,1679,11,5,8,1,0,25,1704
BIHAR,KAIMUR (BHABUA),BHAGWANPUR,267,12,5,4,2,0,23,290
BIHAR,KAIMUR (BHABUA),CHAINPUR,546,26,22,0,0,0,48,594
BIHAR,KAIMUR (BHABUA),CHAND,476,4,2,23,0,0,29,505
BIHAR,KAIMUR (BHABUA),DURGAWATI,1459,56,0,2,0,0,58,1517
BIHAR,KAIMUR (BHABUA),KUDRA,2739,180,1,16,6,3,206,2945
BIHAR,KAIMUR (BHABUA),MOHANIA,1847,73,23,1,0,0,97,1944
BIHAR,KAIMUR (BHABUA),NUAON,1413,5,0,0,0,0,5,1418
BIHAR,KAIMUR (BHABUA),RAMGARH,1109,24,6,1,2,12,45,1154
BIHAR,KAIMUR (BHABUA),RAMPUR,536,37,14,3,4,5,63,599
BIHAR,KATIHAR,AMDABAD,1070,0,2,0,0,0,2,1072
BIHAR,KATIHAR,AZAMNAGAR,5446,5,27,0,21,3,56,5502
BIHAR,KATIHAR,BALRAMPUR,2557,0,0,1,0,0,1,2558
BIHAR,KATIHAR,BARARI,2944,16,5,1,11,0,33,2977
BIHAR,KATIHAR,BARSOI,3323,1,0,0,0,0,1,3324
BIHAR,KATIHAR,DANDKHORA,1263,0,1,0,0,0,1,1264
BIHAR,KATIHAR,FALKA,1388,0,9,0,28,0,37,1425
BIHAR,KATIHAR,HASANGANJ,886,1,0,1,1,0,3,889
BIHAR,KATIHAR,KADWA,4679,8,0,6,1,1,16,4695
BIHAR,KATIHAR,KATIHAR,837,9,0,4,0,15,28,865
BIHAR,KATIHAR,KORHA,2791,3,9,0,0,0,12,2803
BIHAR,KATIHAR,KURSELA,503,11,0,0,0,0,11,514
BIHAR,KATIHAR,MANIHARI,1695,0,0,0,0,0,0,1695
BIHAR,KATIHAR,MANSAHI,832,0,0,0,1,0,1,833
BIHAR,KATIHAR,PRANPUR,2220,20,0,0,0,0,20,2240
BIHAR,KATIHAR,SAMELI,1454,1,0,0,41,0,42,1496
BIHAR,KHAGARIA,ALAULI,1927,55,1,0,0,0,56,1983
BIHAR,KHAGARIA,BELDAUR,2122,72,0,5,1,0,78,2200
BIHAR,KHAGARIA,CHAUTHAM,1700,0,0,0,0,2,2,1702
BIHAR,KHAGARIA,GOGRI,1879,25,2,3,38,0,68,1947
BIHAR,KHAGARIA,KHAGARIA,2612,49,12,14,5,1,81,2693
BIHAR,KHAGARIA,MANSI,700,0,0,0,0,0,0,700
BIHAR,KHAGARIA,PARBATTA,2828,22,4,2,0,0,28,2856
BIHAR,KISHANGANJ,BAHADURGANJ,1552,0,0,0,0,0,0,1552
BIHAR,KISHANGANJ,DIGHAL BANK,1404,4,0,8,38,0,50,1454
BIHAR,KISHANGANJ,KISHANGANJ,987,0,21,0,0,0,21,1008
BIHAR,KISHANGANJ,KOCHADHAMAN,2697,21,0,0,0,0,21,2718
BIHAR,KISHANGANJ,POTHIA,1315,0,0,0,1,0,1,1316
BIHAR,KISHANGANJ,TERHAGACHH,720,0,0,0,0,0,0,720
BIHAR,KISHANGANJ,THAKURGANJ,1642,7,1,18,0,0,26,1668
BIHAR,LAKHISARAI,BARHIYA,871,0,2,6,0,1,9,880
BIHAR,LAKHISARAI,HALSI,1566,5,1,5,7,0,18,1584
BIHAR,LAKHISARAI,LAKHISARAI,2236,1,4,0,3,0,8,2244
BIHAR,LAKHISARAI,PIPARYA,449,0,0,1,0,0,1,450
BIHAR,LAKHISARAI,RAMGHAR CHOK,948,0,0,0,0,0,0,948
BIHAR,LAKHISARAI,SURYAGARAH,989,37,0,0,3,0,40,1029
BIHAR,MADHEPURA,ALAMNAGAR,1296,0,0,0,9,0,9,1305
BIHAR,MADHEPURA,BIHARIGANJ,902,0,0,0,17,0,17,919
BIHAR,MADHEPURA,CHAUSA,1622,66,150,0,0,0,216,1838
BIHAR,MADHEPURA,GAMHARIA,806,1,0,0,0,0,1,807
BIHAR,MADHEPURA,GAWALPARA,1236,1,0,3,0,0,4,1240
BIHAR,MADHEPURA,GHAILARH,716,0,2,0,0,0,2,718
BIHAR,MADHEPURA,KUMAR KHAND,2854,40,1,0,0,1,42,2896
