-----
{
 "description": "This data provides details of Hon\u2019ble Members of the Third Lok Sabha from 2nd April 1962 to 3rd March 1967. It consists of name of members, constituency name, state name and party name.", 
 "file_name": "Members_of_Third_Lok_Sabha_From_2nd_April_1962_to_3rd_March_1967.xls", 
 "title": "Download XLS for Members of Third Lok Sabha from 2nd April 1962 to 3rd March 1967", 
 "url": "http://data.gov.in/sites/default/files/Members_of_Third_Lok_Sabha_From_2nd_April_1962_to_3rd_March_1967.xls"
}
-----
"Lok Sabha","Member Name","Gender","Constituency Name","State Name","Party Name"
"Third Lok Sabha","Smt. Jamuna Devi","Female","Jhabua-ST                                                                                           ","Madhya Pradesh                                              ","Congress"
"Third Lok Sabha","Shri A. Jayaraman","Male","Wandiwash                                                                                           ","Madras                                                      ","Congress"
"Third Lok Sabha","Shri Gulabrao Keshavrao Jedhe","Male","Baramati                                                                                            ","Maharashtra                                                 ","Congress"
"Third Lok Sabha","Shri Kanhu Charan Jena","Male","Bhadrak-SC                                                                                          ","Odisha                                                      ","Congress"
"Third Lok Sabha","Shri Yogendra Jha","Male","Madhubani                                                                                           ","Bihar                                                       ","Praja Socialist Party (PSP)"
"Third Lok Sabha","Shri Anand Chandra Joshi","Male","Sidhi-ST                                                                                            ","Madhya Pradesh                                              ","Congress"
"Third Lok Sabha","Smt. Subhadra Joshi","Female","Balrampur                                                                                           ","Uttar Pradesh                                               ","Congress"
"Third Lok Sabha","Shri Joti Saroop","Male","Hathras-SC                                                                                          ","Uttar Pradesh                                               ","Republican Party of India"
"Third Lok Sabha","Pandit Jwala Prasad Jyotishi","Male","Sagar-SC                                                                                            ","Madhya Pradesh                                              ","Congress"
"Third Lok Sabha","Shri Hukam Chand Kachwai","Male","Dewas-SC                                                                                            ","Madhya Pradesh                                              ","Jan Sangh"
"Third Lok Sabha","Shri Madeppa Bandappa Kadadi","Male","Solapur                                                                                             ","Maharashtra                                                 ","Congress"
"Third Lok Sabha","Shri Narayan Sadoba Kajrolkar","Male","Bombay  Central North-SC                                                                            ","Maharashtra                                                 ","Congress"
"Third Lok Sabha","Shri Hari Vishnu Kamath","Male","Hoshangabad                                                                                         ","Madhya Pradesh                                              ","Praja Socialist Party (PSP)"
"Third Lok Sabha","Shri Tulsiram Dashrath Kamble","Male","Latur                                                                                               ","Maharashtra                                                 ","Congress"
"Third Lok Sabha","Shri R. Kanakasabai Pillai","Male","Chidambaram-SC                                                                                      ","Madras                                                      ","Congress"
"Third Lok Sabha","Shri Subbanarayan Kandappan","Male","Tiruchengode                                                                                        ","Madras                                                      ","Dravida Munnetra Kazhagam"
"Third Lok Sabha","Smt. G.M.Tai Kannamwar","Female","Chanda                                                                                              ","Maharashtra                                                 ","Congress"
"Third Lok Sabha","Smt. T. Lakshmi Kantamma","Female","Khammam                                                                                             ","Andhra Pradesh                                              ","Congress"
"Third Lok Sabha","Shri Nityanand Kanungo","Male","Cuttack                                                                                             ","Odisha                                                      ","Congress"
"Third Lok Sabha","Shri Cherian J. Kappen","Male","Muvattupuzha                                                                                        ","Kerala                                                      ","Congress"
"Third Lok Sabha","Sardar Kapur Singh","Male","Ludhiana                                                                                            ","Punjab                                                      ","Swatantra Party"
"Third Lok Sabha","Shri Prabhat Kar","Male","Hooghly                                                                                             ","West Bengal                                                 ","Communist Party"
"Third Lok Sabha","Shri Debendra Nath Karjee","Male","Cooch Behar-SC                                                                                      ","West Bengal                                                 ","All India Forward Bloc"
"Third Lok Sabha","Dr.Maharaja Bikaner Karni Singh","Male","Bikaner                                                                                             ","Rajasthan                                                   ","Independent"
"Third Lok Sabha","Shri P.G. Karuthiruman","Male","Gobichettipalayam                                                                                   ","Madras                                                      ","Congress"
"Third Lok Sabha","Shri Paresh Nath Kayal","Male","Joynagar-SC                                                                                         ","West Bengal                                                 ","Congress"
"Third Lok Sabha","Shri Chhaganbhai Madaribhai Kedaria","Male","Mandvi-ST                                                                                           ","Gujarat                                                     ","Congress"
"Third Lok Sabha","Shri Rishang Keishing","Male","Outer Manipur-ST                                                                                    ","Manipur                                                     ","Socialist"
"Third Lok Sabha","Devi,Rani Kesar Kumari","Female","Raipur                                                                                              ","Madhya Pradesh                                              ","Congress"
"Third Lok Sabha","Shri Kesar Lal","Male","Sawai Madhopur-ST                                                                                   ","Rajasthan                                                   ","Swatantra Party"
