-----
{
 "description": "The table refers to District wise Distribution of Shallow Tubewells in use and their Potential Created/Utilised according to Public and Private. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "shltbstate2.16.csv", 
 "title": "Download CSV for Districtwise Distribution of Shallow Tubewells in use and their Potential Created/Utilised according to Public and Private", 
 "url": "http://data.gov.in/sites/default/files/shltbstate2.16.csv"
}
-----
"State","District","No. in use - Public","No. in use - Private","No. in use - Total","Potential created (Ha) - Public","Potential created (Ha) - Private","Potential created (Ha) - Total","Potential utilised (Ha) - Public","Potential utilised (Ha) - Private","Potential utilised (Ha) - Total"
"MADHYA PRADESH","DAMOH",0,5285,5285,0,16934,16934,0,15018,15018
"MADHYA PRADESH","DATIA",16,1990,2006,69,11605,11674,62,9188,9251
"MADHYA PRADESH","DEWAS",8,17521,17529,25,58149,58174,6,40923,40929
"MADHYA PRADESH","DHAR",35,9724,9759,73,39611,39684,10,11019,11029
"MADHYA PRADESH","DINDORI",0,2,2,0,1,1,0,0,0
"MADHYA PRADESH","GUNA",23,7375,7398,33,37055,37088,32,34296,34328
"MADHYA PRADESH","GWALIOR",33,5379,5412,99,18431,18530,87,15466,15553
"MADHYA PRADESH","HARDA",1,1296,1297,5,6447,6452,5,5277,5281
"MADHYA PRADESH","HOSHANGABAD",33,4674,4707,519,32725,33244,334,27300,27635
"MADHYA PRADESH","INDORE",64,21180,21244,156,79074,79230,124,47376,47500
"MADHYA PRADESH","JABALPUR",225,10621,10846,1197,56971,58168,1025,40288,41313
"MADHYA PRADESH","JHABUA",0,133,133,0,319,319,0,148,148
"MADHYA PRADESH","KATNI",6,676,682,80,3159,3239,60,2555,2615
"MADHYA PRADESH","KHANDWA",0,1366,1366,0,4687,4687,0,3796,3796
"MADHYA PRADESH","KHARGONE",1,874,875,3,3530,3533,3,1783,1786
"MADHYA PRADESH","MANDLA",0,1,1,0,1,1,0,0,0
"MADHYA PRADESH","MANDSAUR",11,845,856,10,2415,2425,5,872,877
"MADHYA PRADESH","MORENA",0,67,67,0,608,608,0,519,519
"MADHYA PRADESH","NARSINGHPUR",12,26510,26522,157,121682,121839,73,109970,110044
"MADHYA PRADESH","NEEMUCH",1,378,379,1,1421,1422,0,852,852
