-----
{
 "description": "The table refers to block wise distribution of surface lift schemes by status. It has been sourced from 2nd census of minor irrigation scheme(1993-94) from Ministry of Water Resources.", 
 "file_name": "srfclftblck5.6_1.csv", 
 "title": "Download CSV for Blockwise Distribution of surface lift schemes by its status for 2nd census of minor irrigation schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/srfclftblck5.6_1.csv"
}
-----
"State","District","Block","Schemes in use","Schemes not in use - Temporary","Schemes not in use - Abandoned (Salinity)","Schemes not in use - Dried up","Schemes not in use - Sinking","Schemes not in use - Others","Total - Schemes not in use","Grand total"
"ANDHRA PRADESH","MAHABOOB NAGAR","PEBBAIR",9,0,0,0,0,0,0,9
"ANDHRA PRADESH","MAHABOOB NAGAR","VEEPANGANDLA",1,0,0,0,0,0,0,1
"ANDHRA PRADESH","MAHABOOB NAGAR","WADDEPALLE",277,1,0,0,0,0,1,278
"ANDHRA PRADESH","MEDAK","ANDOLE",24,0,0,0,0,0,0,24
"ANDHRA PRADESH","MEDAK","PAPANNAPET",115,0,0,0,0,0,0,115
"ANDHRA PRADESH","MEDAK","SHANKARAMPET[A]",62,28,0,0,0,0,28,90
"ANDHRA PRADESH","NALGONDA","ANUMULA",7,0,0,0,0,0,0,7
"ANDHRA PRADESH","NALGONDA","CHILKUR",89,0,0,0,0,0,0,89
"ANDHRA PRADESH","NALGONDA","DAMERACHERLA",23,0,0,0,0,0,0,23
"ANDHRA PRADESH","NALGONDA","DEVARAKONDA",9,0,0,0,0,0,0,9
"ANDHRA PRADESH","NALGONDA","GARIDE PALLE",199,0,0,0,0,0,0,199
"ANDHRA PRADESH","NALGONDA","HUZURNAGAR",219,1,0,0,0,0,1,220
"ANDHRA PRADESH","NALGONDA","KETHE PALLE",1,0,0,0,0,0,0,1
"ANDHRA PRADESH","NALGONDA","KODAD",197,0,0,0,0,0,0,197
"ANDHRA PRADESH","NALGONDA","MATTAM PALLE",119,0,0,0,0,0,0,119
"ANDHRA PRADESH","NALGONDA","MELLA CHERVU",128,0,0,0,0,0,0,128
"ANDHRA PRADESH","NALGONDA","MIRYALAGUDA",161,2,0,0,0,0,2,163
"ANDHRA PRADESH","NALGONDA","MOTHEY",1,0,0,0,0,0,0,1
"ANDHRA PRADESH","NALGONDA","MUNAGALA",2,0,0,0,0,0,0,2
"ANDHRA PRADESH","NALGONDA","NEREDCHERLA",129,9,0,0,0,0,9,138
"ANDHRA PRADESH","NALGONDA","NIDAMANOOR",73,0,0,0,0,0,0,73
"ANDHRA PRADESH","NALGONDA","PEDDAVOORA",389,62,0,0,0,0,62,451
"ANDHRA PRADESH","NALGONDA","PENPAHAD",17,0,0,0,0,0,0,17
"ANDHRA PRADESH","NALGONDA","THRIPURARAM",37,0,0,0,0,0,0,37
"ANDHRA PRADESH","NALGONDA","VEMULA PALLE",10,2,0,0,0,0,2,12
"ANDHRA PRADESH","NELLORE","ALLUR",67,4,0,0,0,0,4,71
"ANDHRA PRADESH","NELLORE","ANANTHASAGARAM",16,0,0,0,0,0,0,16
"ANDHRA PRADESH","NELLORE","ANUMASAMUDRAMPETA",0,42,0,0,0,0,42,42
"ANDHRA PRADESH","NELLORE","ATMAKUR",63,1,2,0,0,0,3,66
"ANDHRA PRADESH","NELLORE","BALAYAPALLE",263,2,0,0,0,0,2,265
"ANDHRA PRADESH","NELLORE","BUT'PALEM (VAVVERU)",20,0,0,0,0,0,0,20
"ANDHRA PRADESH","NELLORE","CHEJERLA",79,0,0,0,0,1,1,80
"ANDHRA PRADESH","NELLORE","CHILLAKUR",138,0,0,0,0,0,0,138
"ANDHRA PRADESH","NELLORE","DAGADARTHI",4,0,0,0,0,0,0,4
"ANDHRA PRADESH","NELLORE","DAKKILI",205,0,0,0,0,0,0,205
"ANDHRA PRADESH","NELLORE","DUTTALUR",36,0,0,0,0,0,0,36
"ANDHRA PRADESH","NELLORE","GUDUR",6,0,0,0,0,0,0,6
"ANDHRA PRADESH","NELLORE","KALIGIRI",1,0,0,0,0,0,0,1
"ANDHRA PRADESH","NELLORE","KALUVOYA",54,0,0,0,0,0,0,54
"ANDHRA PRADESH","NELLORE","KAVALI",33,0,0,0,0,0,0,33
"ANDHRA PRADESH","NELLORE","KODAVALUR",35,11,0,0,0,0,11,46
"ANDHRA PRADESH","NELLORE","KONDAPURAM",54,0,0,0,0,0,0,54
"ANDHRA PRADESH","NELLORE","KOTA",14,0,0,0,0,0,0,14
"ANDHRA PRADESH","NELLORE","MANUBOLU",4,0,0,0,0,0,0,4
"ANDHRA PRADESH","NELLORE","MARRIPADU",92,9,0,0,0,0,9,101
"ANDHRA PRADESH","NELLORE","NELLORE",168,0,0,0,0,0,0,168
"ANDHRA PRADESH","NELLORE","PODALAKUR",306,1,0,0,0,0,1,307
"ANDHRA PRADESH","NELLORE","RAPUR",31,0,0,0,0,0,0,31
"ANDHRA PRADESH","NELLORE","SANGAM",116,6,0,0,0,0,6,122
"ANDHRA PRADESH","NELLORE","SULLURPETA",0,0,0,0,0,54,54,54
"ANDHRA PRADESH","NELLORE","SYDAPURAM",117,0,0,0,0,0,0,117
"ANDHRA PRADESH","NELLORE","TADA",144,0,0,0,0,0,0,144
"ANDHRA PRADESH","NELLORE","VARIKUNTAPADU",4,0,0,0,0,0,0,4
"ANDHRA PRADESH","NELLORE","VENKATACHALAM",46,0,0,0,0,0,0,46
"ANDHRA PRADESH","NELLORE","VENKATAGIRI",165,0,0,0,0,0,0,165
"ANDHRA PRADESH","NELLORE","VIDAVULUR",46,0,0,0,0,0,0,46
"ANDHRA PRADESH","NELLORE","VINJAMUR",39,1,0,0,0,0,1,40
"ANDHRA PRADESH","NIZAMABAD","BANSWADA",149,2,0,0,0,0,2,151
"ANDHRA PRADESH","NIZAMABAD","BICHKUNDA",84,0,0,3,0,0,3,87
"ANDHRA PRADESH","NIZAMABAD","BIRKOOR",35,0,0,0,0,0,0,35
