-----
{
 "description": "The table refers to District wise Surface Lift Schemes in the command of Major/Medium Projects and Supplimentary Irrigation. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "srfcliftstate5.14.csv", 
 "title": "Download CSV for Districtwise Surface Lift Schemes in the command of Major/Medium Projects and Supplimentary Irrigation", 
 "url": "http://data.gov.in/sites/default/files/srfcliftstate5.14.csv"
}
-----
"State","District","Location of  Schemes (Nos) - Inside Command","Location of Schemes (Nos) - Outside Command","Total","Supplementary Irrigation (Ha) - Kharif","Supplementary Irrigation (Ha) - Rabi","Supplementary Irrigation (Ha) - Perennial","Supplementary Irrigation (Ha) - Others","Total.1"
"UTTAR PRADESH","BANDA",43,82,125,6,23,0,0,29
"UTTAR PRADESH","BAREILLY",12,0,12,0,0,0,0,0
"UTTAR PRADESH","BIJNOR",7,5,12,0,0,0,0,0
"UTTAR PRADESH","BULAND SAHAR",0,1,1,0,0,0,0,0
"UTTAR PRADESH","CHANDAULI",43,41,84,89,68,2,1,160
"UTTAR PRADESH","CHITRAKOOT",217,1075,1292,20,94,10,0,125
"UTTAR PRADESH","DEORIA",0,4,4,0,0,0,0,0
"UTTAR PRADESH","FARRUKHABAD",0,10,10,0,0,0,0,0
"UTTAR PRADESH","GHAZIABAD",8,0,8,0,0,0,0,0
"UTTAR PRADESH","GHAZIPUR",0,1,1,0,0,0,0,0
"UTTAR PRADESH","GONDA",26,2,28,0,0,0,0,0
"UTTAR PRADESH","HAMIRPUR",196,289,485,53,324,50,2,430
"UTTAR PRADESH","HARDOI",0,24,24,0,0,0,0,0
"UTTAR PRADESH","JALAUN",75,169,244,0,12,0,0,12
"UTTAR PRADESH","JAUNPUR",9,1,10,6,6,0,0,12
"UTTAR PRADESH","JHANSI",249,951,1200,0,6,0,0,6
"UTTAR PRADESH","KANNAUJ",0,17,17,0,0,0,0,0
"UTTAR PRADESH","KANPUR DEHAT",3,2,5,0,0,0,0,0
"UTTAR PRADESH","KANPUR NAGAR",34,29,63,2,13,0,0,15
"UTTAR PRADESH","LALITPUR",98,333,431,0,0,0,0,0
"UTTAR PRADESH","LUCKNOW",0,29,29,10,100,0,0,110
"UTTAR PRADESH","MAHARAJ GANJ",2,24,26,0,0,0,0,0
"UTTAR PRADESH","MAHOBA",90,169,259,12,451,0,0,463
"UTTAR PRADESH","MEERUT",0,18,18,0,0,0,0,0
"UTTAR PRADESH","MIRZAPUR",100,260,360,89,0,0,1,90
"UTTAR PRADESH","MUZZAFARNAGAR",16,0,16,16,10,25,0,51
"UTTAR PRADESH","RAEBARELI",0,1,1,0,0,0,0,0
"UTTAR PRADESH","RAMPUR",0,23,23,0,0,0,0,0
"UTTAR PRADESH","SANT KABIR NAGAR",0,18,18,0,0,0,0,0
"UTTAR PRADESH","SANT RAVI DAS NAGAR",7,5,12,17,58,21,0,96
"UTTAR PRADESH","SHRAWASTI",13,0,13,0,0,0,0,0
"UTTAR PRADESH","SIDDHARTH NAGAR",24,49,73,30,27,7,3,67
"UTTAR PRADESH","SONBHADRA",409,935,1344,191,155,190,12,548
"UTTAR PRADESH","SULTANPUR",2,0,2,0,0,0,0,0
"UTTAR PRADESH","VARANASI",1,13,14,2,4,2,1,8
"UTTARANCHAL","ALMORA",0,82,82,0,0,0,0,0
"UTTARANCHAL","BAGESHWAR",2,45,47,0,0,0,0,0
"UTTARANCHAL","CHAMOLI",1,58,59,0,0,0,0,0
"UTTARANCHAL","CHAMPAWAT",2,10,12,0,0,0,0,0
"UTTARANCHAL","DEHRA DUN",1,32,33,0,0,0,0,0
"UTTARANCHAL","HARIDWAR",1,1,2,0,0,0,0,0
"UTTARANCHAL","NAINITAL",0,85,85,0,0,0,0,0
"UTTARANCHAL","PAURI",14,85,99,15,15,2,0,32
"UTTARANCHAL","PITHORAGARH",6,98,104,55,29,0,0,84
"UTTARANCHAL","RUDHARAPARYAG",1,14,15,46,46,74,0,166
"UTTARANCHAL","TEHARI GARHWAL",2,59,61,0,0,0,0,0
"UTTARANCHAL","UDHAM SINGH NAGAR",0,83,83,0,0,0,0,0
"UTTARANCHAL","UTTARKASHI",0,26,26,0,0,0,0,0
"WEST BENGAL","BANKURA",1873,217,2090,682,345,11,34,1072
"WEST BENGAL","BIRBHUM",7528,1259,8787,815,266,9,72,1163
"WEST BENGAL","BURDWAN",1581,2710,4291,278,33,0,33,344
"WEST BENGAL","COOCHBEHAR",11,1012,1023,0,0,0,0,0
"WEST BENGAL","DAKSHIN DINAJPUR",0,4550,4550,29,16,0,40,85
"WEST BENGAL","DARJEELING",3,113,116,0,0,0,0,0
"WEST BENGAL","HAORA",5990,3400,9390,1,0,0,102,103
"WEST BENGAL","HOOGHLY",1187,7833,9020,147,92,0,63,303
"WEST BENGAL","JALPAIGURI",15,804,819,8,9,0,0,17
"WEST BENGAL","MALDA",31,4056,4087,0,0,0,0,0
"WEST BENGAL","MIDNAPORE",1318,33038,34356,112,47,8,189,355
"WEST BENGAL","MURSHIDABAD",1200,658,1858,21,27,0,0,48
"WEST BENGAL","NADIA",30,341,371,0,0,1,0,1
"WEST BENGAL","NORTH 24 PARGANAS",3,1030,1033,0,0,0,0,0
"WEST BENGAL","PURULIA",13,300,313,1,6,0,0,7
"WEST BENGAL","SOUTH 24 PARGANAS",124,24986,25110,0,0,0,7,7
"WEST BENGAL","UTTAR DINAJPUR",86,295,381,0,0,31,0,31
