-----
{
 "description": "The table refers to district wise distribution of shallow tubewells by type . The report has been sourced from 2nd census of minor irrigation scheme(1993-94) from ministry of water resources.", 
 "file_name": "Districtshtbwl2.5.csv", 
 "title": "Download CSV for District wise Distribution of Shallow Tubewells by type for 2nd Census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/Districtshtbwl2.5.csv"
}
-----
State,District,Shallow tubewell,Filter,Borewell,Others,Total
ASSAM,CACHAR,1,0,0,0,1
ASSAM,DARRANG,2247,1,1,2,2251
ASSAM,DHEMAJI,709,3,3,2,717
ASSAM,DHUBRI,2482,4,2,0,2488
ASSAM,DIBRUGARH,1423,23,0,15,1461
ASSAM,GOALPARA,381,0,0,0,381
ASSAM,GOLAGHAT,450,8,1,36,495
ASSAM,HAILAKANDI,80,0,0,0,80
ASSAM,JORHAT,1480,5,0,5,1490
ASSAM,KAMRUP,1265,2,0,1,1268
ASSAM,KARBI ANGLONG,70,2,9,0,81
ASSAM,KARIMGANJ,84,0,0,0,84
ASSAM,KOKRAJHAR,758,0,0,0,758
ASSAM,LAKHIMPUR,1160,1,0,5,1166
ASSAM,MARIGAON,1392,2,0,1,1395
ASSAM,NAGAON,3245,8,1,3,3257
ASSAM,NALBARI,1415,0,0,2,1417
ASSAM,SIBSAGAR,786,0,0,2,788
ASSAM,SONITPUR,2721,146,0,0,2867
ASSAM,TINSUKIA,1401,2,3,6,1412
BIHAR,ARARIA,12527,52,336,176,13091
BIHAR,AURANGABAD,7965,96,670,46,8777
BIHAR,BANKA,4789,339,781,16,5925
BIHAR,BEGUSARAI,19407,1193,331,592,21523
BIHAR,BHABUA,8707,156,2689,89,11641
BIHAR,BHAGALPUR,9478,139,917,64,10598
BIHAR,BHOJPUR,13869,359,471,106,14805
BIHAR,BUXAR,11275,733,843,175,13026
BIHAR,CHAMPARAN EAST,29939,321,233,114,30607
BIHAR,CHAMPARAN WEST,20459,90,366,243,21158
BIHAR,CHATRA,100,2,40,0,142
BIHAR,DARBHANGA,10974,233,627,50,11884
BIHAR,DEOGHAR,1,0,0,0,1
BIHAR,DHANBAD,4,1,0,0,5
BIHAR,GAYA,19934,174,4320,269,24697
BIHAR,GIRIDIH,193,2,174,0,369
BIHAR,GODDA,585,11,15,3,614
BIHAR,GOPALGANJ,16208,330,565,77,17180
BIHAR,HAZARIBAG,0,2,1,0,3
BIHAR,JAMUI,2420,122,535,76,3153
BIHAR,JEHANABAD,16734,153,910,28,17825
BIHAR,KATIHAR,20588,139,1896,1895,24518
BIHAR,KHAGARIA,10442,151,106,9,10708
BIHAR,KISHANGANJ,5313,9,151,3474,8947
BIHAR,KODARMA,206,0,8,0,214
BIHAR,LAKHISARAI,4081,114,134,107,4436
BIHAR,MADHEPURA,13536,6,298,334,14174
BIHAR,MADHUBANI,14027,194,78,95,14394
BIHAR,MUNGER,2583,124,384,10,3101
BIHAR,MUZAFFARPUR,30258,277,243,118,30896
BIHAR,NALANDA,13290,615,2246,458,16609
BIHAR,NAWADA,14899,467,428,107,15901
BIHAR,PAKUR,201,0,0,0,201
BIHAR,PATNA,20138,513,2576,222,23449
BIHAR,PURNIA,23132,153,524,275,24084
BIHAR,RANCHI,88,2,0,0,90
BIHAR,ROHTAS,13558,574,2903,274,17309
BIHAR,SAHARSA,9800,1,3,7,9811
BIHAR,SAHEBGANJ,1720,2,41,1,1764
BIHAR,SAMASTIPUR,26489,787,710,1854,29840
BIHAR,SARAN,23552,203,475,161,24391
BIHAR,SHEIKHPURA,5239,14,8,85,5346
BIHAR,SHEOHAR,4430,0,24,2,4456
BIHAR,SINGHBHUM EAST,1169,8,98,3,1278
BIHAR,SINGHBHUM WEST,4,7,0,4,15
BIHAR,SITAMARHI,14712,166,4,30,14912
BIHAR,SIWAN,25845,255,431,346,26877
BIHAR,SUPAUL,12332,4,517,485,13338
BIHAR,VAISHALI,20320,401,304,411,21436
GOA,NORTH GOA,8,5,7,0,20
GOA,SOUTH GOA,1,2,4,1,8
HARYANA,AMBALA,14383,34,71,256,14744
HARYANA,BHIWANI,10995,2507,4580,390,18472
HARYANA,FARIDABAD,24447,801,99,258,25605
HARYANA,GURGAON,28207,214,298,21,28740
HARYANA,HISAR,43226,1350,243,553,45372
HARYANA,JIND,28644,587,324,164,29719
HARYANA,KAITHAL,29194,427,1003,341,30965
HARYANA,KARNAL,49011,1417,1204,670,52302
HARYANA,KURUKSHETRA,34218,813,570,306,35907
HARYANA,MEHANDERGARH,20646,484,2727,373,24230
HARYANA,PANCHKULA,1179,1,0,3,1183
HARYANA,PANIPAT,22826,490,2757,277,26350
HARYANA,RIWARI,21620,481,784,373,23258
HARYANA,ROHTAK,48008,1168,927,552,50655
HARYANA,SIRSA,23579,754,222,167,24722
HARYANA,SONIPAT,33720,1075,821,514,36130
HARYANA,YAMUNA NAGAR,24319,1129,261,231,25940
HIMACHAL PRADESH,Bilaspur,21,0,0,1,22
HIMACHAL PRADESH,Hamirpur,11,1,0,0,12
HIMACHAL PRADESH,Kangra,268,2,39,0,309
HIMACHAL PRADESH,Mandi,66,1,12,0,79
HIMACHAL PRADESH,Sirmaur,171,0,5,1,177
HIMACHAL PRADESH,Solan,79,0,5,1,85
HIMACHAL PRADESH,Una,849,16,75,0,940
JAMMU & KASHMIR,Budgam,1,0,0,0,1
JAMMU & KASHMIR,Jammu,1068,0,0,0,1068
JAMMU & KASHMIR,Kathua,227,0,0,0,227
JAMMU & KASHMIR,Kupwara,11,0,0,0,11
JAMMU & KASHMIR,Srinagar,6,0,0,0,6
KARNATAKA,BANGALORE RURAL,2247,144,4717,471,7579
KARNATAKA,BANGALORE URBAN,453,125,1455,305,2338
KARNATAKA,BELGAUM,1624,358,3067,41,5090
KARNATAKA,BELLARY,487,27,828,163,1505
KARNATAKA,BIDAR,111,53,124,16,304
KARNATAKA,BIJAPUR,660,641,913,40,2254
KARNATAKA,CHIKKAMAGALORE,284,19,2562,76,2941
KARNATAKA,CHITRADURGA,3112,777,5521,200,9610
KARNATAKA,DAKSHINA KANNADA,296,61,142,31,530
KARNATAKA,DHARWAR,1800,319,5214,300,7633
KARNATAKA,GULBARGA,368,89,229,21,707
KARNATAKA,HASSAN,3294,279,6848,202,10623
KARNATAKA,KODAGU,4,0,7,0,11
KARNATAKA,KOLAR,3038,411,3035,418,6902
KARNATAKA,MANDYA,558,49,403,101,1111
KARNATAKA,MYSORE,1271,89,1265,80,2705
KARNATAKA,RAICHUR,1832,255,1234,395,3716
KARNATAKA,SHIMOGA,1229,41,2483,32,3785
KARNATAKA,TUMKUR,3878,282,5582,371,10113
KARNATAKA,UTTARA KANNADA,44,36,56,3,139
KERALA,ALAPUZHA,119,352,10,0,481
KERALA,ERANAKULAM,68,27,33,0,128
KERALA,IDUKKI,1,0,1,0,2
KERALA,KANNUR,3,0,0,0,3
KERALA,KASARAGODE,16,11,19,4,50
KERALA,KOLLAM,45,19,1,2,67
KERALA,KOTTAYAM,12,0,2,0,14
KERALA,KOZHIKODE,1,0,0,0,1
KERALA,MALAPPURAM,178,0,6,0,184
KERALA,PALAKKAD,55,0,134,0,189
KERALA,PATHANAMTHITTA,37,0,2,5,44
KERALA,THIRUVANANTHAPURAM,52,133,8,0,193
KERALA,THRISSUR,520,479,9,0,1008
MADHYA PRADESH,BALAGHAT,75,2,0,0,77
MADHYA PRADESH,BASTAR,17,0,16,0,33
MADHYA PRADESH,BETUL,482,20,59,11,572
MADHYA PRADESH,BHIND,369,13,57,26,465
MADHYA PRADESH,BHOPAL,2847,84,15,6,2952
MADHYA PRADESH,BILASPUR,1289,55,426,70,1840
MADHYA PRADESH,CHHATARPUR,265,12,2,3,282
MADHYA PRADESH,CHHINDWARA,368,200,18,0,586
MADHYA PRADESH,DAMOH,2449,31,198,32,2710
MADHYA PRADESH,DEWAS,2455,70,4036,1,6562
MADHYA PRADESH,DHAR,13798,466,497,35,14796
MADHYA PRADESH,DURG,5238,15,256,20,5529
MADHYA PRADESH,GUNA,1841,8,91,0,1940
MADHYA PRADESH,GWALIOR,575,0,87,0,662
MADHYA PRADESH,HOSHANGABAD,2350,10,165,4,2529
MADHYA PRADESH,INDORE,16784,100,631,51,17566
MADHYA PRADESH,JABALPUR,1197,18,45,1,1261
MADHYA PRADESH,JHABUA,71,3,4,0,78
MADHYA PRADESH,KHANDWA,45,0,17,0,62
MADHYA PRADESH,KHARGONE,790,2,35,2,829
MADHYA PRADESH,MANDLA,19,1,29,2,51
MADHYA PRADESH,MANDSAUR,220,90,72,20,402
MADHYA PRADESH,MORENA,1546,9,357,1,1913
MADHYA PRADESH,NARSIMHAPUR,4958,227,489,4,5678
MADHYA PRADESH,PANNA,103,1,24,18,146
MADHYA PRADESH,RAIGARH,1473,15,239,0,1727
MADHYA PRADESH,RAIPUR,3157,35,701,27,3920
MADHYA PRADESH,RAISEN,5249,39,225,52,5565
MADHYA PRADESH,RAJGARH,914,10,176,45,1145
MADHYA PRADESH,RAJNANDGAON,172,2,56,0,230
MADHYA PRADESH,RATLAM,2390,60,1605,12,4067
MADHYA PRADESH,REWA,1112,8,46,4,1170
MADHYA PRADESH,SAGAR,1345,14,190,5,1554
MADHYA PRADESH,SATNA,1848,45,701,3,2597
MADHYA PRADESH,SEHORE,5423,21,135,65,5644
MADHYA PRADESH,SEONI,0,0,0,40,40
MADHYA PRADESH,SHAHDOL,51,0,13,1,65
MADHYA PRADESH,SHAJAPUR,1082,50,1972,3,3107
MADHYA PRADESH,SHIVPURI,204,0,33,0,237
MADHYA PRADESH,SIDHI,319,2,13,0,334
MADHYA PRADESH,SURGUJA,2,0,16,0,18
