-----
{
 "description": "The table refers to District wise Culturable Command Area and Potential Created through Surface Lift Schemes. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "srfcliftstate5.12.csv", 
 "title": "Download CSV for Districtwise Culturable Command Area and Potential Created through Surface Lift Schemes", 
 "url": "http://data.gov.in/sites/default/files/srfcliftstate5.12.csv"
}
-----
"State","District","Culturable Command Area","Irrigation potential created - Kharif","Irrigation potential created - Rabi","Irrigation potential created - Perennial","Irrigation potential created - Others","Total - Irrigation potential created"
"KARNATAKA","Gulbarga",15860,12979,3664,445,279,17367
"KARNATAKA","Hassan",2078,728,1057,0,300,2085
"KARNATAKA","Haveri",18254,16827,3617,437,4577,25457
"KARNATAKA","Kodagu",1797,1797,0,0,0,1797
"KARNATAKA","Kolar",104,104,0,0,0,104
"KARNATAKA","Koppal",8050,7971,63,5,2398,10437
"KARNATAKA","Mandya",3448,3389,20,22,101,3532
"KARNATAKA","Mysore",2025,1931,15,3,91,2041
"KARNATAKA","Raichur",12725,11696,1217,60,4122,17095
"KARNATAKA","Shimoga",5843,3637,4,1842,1382,6865
"KARNATAKA","Tumkur",778,571,3,163,81,818
"KARNATAKA","Udupi",7245,7286,1,0,3,7290
"KARNATAKA","Uttara Kannada",3447,2289,390,610,498,3788
"KERALA","ALAPPUZHA",3463,2474,2207,760,2868,8308
"KERALA","ERANAKULAM",16753,8986,6600,5063,15123,35772
"KERALA","IDDUKKI",1335,141,109,1043,555,1848
"KERALA","KANNUR",1523,255,314,1082,755,2406
"KERALA","KASARAGODE",402,162,261,292,353,1068
"KERALA","KOLLAM",686,265,164,277,166,871
"KERALA","KOTTAYAM",5697,3801,2631,803,1207,8442
"KERALA","KOZHIKODE",1067,88,198,842,448,1576
"KERALA","MALAPPURAM",9445,4410,5127,3424,1384,14346
"KERALA","PALAKKAD",8451,5217,4862,2314,869,13262
"KERALA","PATHANAMTHITTA",3400,940,1402,1241,2621,6204
"KERALA","THIRUVANANTHAPURAM",226,75,88,107,72,342
"KERALA","THRISSUR",13746,4695,7407,6583,10189,28874
"KERALA","WAYANAD",6150,3522,3289,2112,810,9733
"MADHYA PRADESH","BALAGHAT",4839,4447,518,22,0,4987
"MADHYA PRADESH","BARWANI",11186,6573,5203,21,0,11797
"MADHYA PRADESH","BETUL",9539,290,9455,47,0,9792
