-----
{
 "description": "The table refers to Block wise Distribution of Surface Flow Schemes by Status. The report has been sourced from 3rd census of minor irrigation scheme (2000-01) from Ministry of Water Resources.", 
 "file_name": "srfcflowdistr4.6.csv", 
 "title": "Download CSV for Blockwise Distribution of Surface Flow Schemes by Status", 
 "url": "http://data.gov.in/sites/default/files/srfcflowdistr4.6.csv"
}
-----
STATENAME,DISTNAME,BLOCKNAME,In use,Not in use - Temporarily,Not in use - Salinity,Not in use - Dried up,Not in use - Destroyed,Not in use - Others,Total - Not in use,Grand total ( Use  + Not in use)
ANDHRA PRADESH,CHITTOOR,KAMBHAMVARIPALLE,12,262,0,1,0,0,263,275
ANDHRA PRADESH,CHITTOOR,KARVETINAGAR,0,47,0,0,0,0,47,47
ANDHRA PRADESH,CHITTOOR,KUPPAM,146,0,0,0,0,0,0,146
ANDHRA PRADESH,CHITTOOR,KURABALAKOTA,142,13,0,4,1,0,18,160
ANDHRA PRADESH,CHITTOOR,MANDANPALLE,152,1,2,0,0,3,6,158
ANDHRA PRADESH,CHITTOOR,MULAKALACHERUVU,5,134,0,0,0,0,134,139
ANDHRA PRADESH,CHITTOOR,NAGALAPURAM,30,0,1,1,0,0,2,32
ANDHRA PRADESH,CHITTOOR,NAGARI,27,0,2,0,0,0,2,29
ANDHRA PRADESH,CHITTOOR,NARAYANAVANAM,23,0,0,0,0,0,0,23
ANDHRA PRADESH,CHITTOOR,NIMMANAPALLE,160,0,0,0,0,0,0,160
ANDHRA PRADESH,CHITTOOR,NINDRA,0,30,0,0,0,0,30,30
ANDHRA PRADESH,CHITTOOR,PAKALA,116,0,0,0,0,0,0,116
ANDHRA PRADESH,CHITTOOR,PALAMANER,106,1,0,0,0,0,1,107
ANDHRA PRADESH,CHITTOOR,PALASAMUDRAM,38,10,0,1,0,0,11,49
ANDHRA PRADESH,CHITTOOR,PEDDA PANJANI,260,0,0,0,0,0,0,260
ANDHRA PRADESH,CHITTOOR,PEDDAMANDYAM,124,0,0,0,0,0,0,124
ANDHRA PRADESH,CHITTOOR,PEDDATHIPPASAMUDRAM,3,118,0,0,0,0,118,121
ANDHRA PRADESH,CHITTOOR,PENUMURU,2,0,1,61,0,11,73,75
ANDHRA PRADESH,CHITTOOR,PICHATUR,32,0,0,0,0,0,0,32
ANDHRA PRADESH,CHITTOOR,PILERU,37,223,0,0,3,0,226,263
ANDHRA PRADESH,CHITTOOR,PULICHERLA,201,5,3,0,2,0,10,211
ANDHRA PRADESH,CHITTOOR,PUNGANUR,213,0,0,1,0,0,1,214
ANDHRA PRADESH,CHITTOOR,PUTHALAPATTU,96,2,0,0,0,0,2,98
ANDHRA PRADESH,CHITTOOR,PUTTUR,29,0,0,0,0,0,0,29
ANDHRA PRADESH,CHITTOOR,RAMA KUPPAM,120,2,0,0,1,0,3,123
ANDHRA PRADESH,CHITTOOR,RAMACHANDRAPURAM,41,0,0,0,0,0,0,41
ANDHRA PRADESH,CHITTOOR,RAMASAMUDRAM,207,0,0,0,0,0,0,207
ANDHRA PRADESH,CHITTOOR,RENIGUNTA,46,0,0,0,0,0,0,46
ANDHRA PRADESH,CHITTOOR,ROMPICHERLA,3,177,1,0,0,0,178,181
ANDHRA PRADESH,CHITTOOR,SANTHI PURAM,1,145,0,0,0,0,145,146
ANDHRA PRADESH,CHITTOOR,SATYAVEDU,112,0,0,0,0,0,0,112
ANDHRA PRADESH,CHITTOOR,SODAM,290,2,2,1,1,3,9,299
ANDHRA PRADESH,CHITTOOR,SOMALA,184,1,0,3,0,0,4,188
ANDHRA PRADESH,CHITTOOR,SRIKALAHASTI,105,0,0,0,0,0,0,105
ANDHRA PRADESH,CHITTOOR,SRIRANGARAJAPURAM,44,1,0,0,0,0,1,45
ANDHRA PRADESH,CHITTOOR,THAMBALLAPALLE,136,8,0,1,3,0,12,148
ANDHRA PRADESH,CHITTOOR,THAVANAMPALLE,0,0,1,0,0,62,63,63
ANDHRA PRADESH,CHITTOOR,THOTTAMBEDU,95,0,0,0,0,0,0,95
ANDHRA PRADESH,CHITTOOR,TIRUPATI RURAL,3,14,1,3,7,2,27,30
ANDHRA PRADESH,CHITTOOR,TIRUPATI URBAN,10,0,0,3,0,0,3,13
ANDHRA PRADESH,CHITTOOR,VADAMALAPETA,57,1,0,0,0,0,1,58
ANDHRA PRADESH,CHITTOOR,VARADAIAHPALEM,73,0,0,0,0,0,0,73
ANDHRA PRADESH,CHITTOOR,VAYALPAD,129,0,0,0,0,0,0,129
ANDHRA PRADESH,CHITTOOR,VEDURU KUPPAM,111,6,0,0,0,0,6,117
ANDHRA PRADESH,CHITTOOR,VENKATAGIRI KOTA,2,136,0,0,0,0,136,138
ANDHRA PRADESH,CHITTOOR,VIJAYA PURAM,0,37,0,0,0,1,38,38
ANDHRA PRADESH,CHITTOOR,YADAMARI,59,0,0,0,0,0,0,59
ANDHRA PRADESH,CHITTOOR,YERPEDU,89,0,0,0,0,1,1,90
ANDHRA PRADESH,CHITTOOR,YERRAVARIPALEM,50,196,0,1,0,0,197,247
ANDHRA PRADESH,CUDDAPAH,A.KASINAYANI,2,2,0,0,0,0,2,4
ANDHRA PRADESH,CUDDAPAH,ATLUR,32,7,0,0,0,0,7,39
ANDHRA PRADESH,CUDDAPAH,B KODUR,1,1,0,1,0,0,2,3
ANDHRA PRADESH,CUDDAPAH,BADVEL,27,1,0,0,1,0,2,29
ANDHRA PRADESH,CUDDAPAH,BRAHMAMGARIMATTAM,15,23,0,0,0,1,24,39
ANDHRA PRADESH,CUDDAPAH,CHAKRAYAPET,36,53,0,0,0,0,53,89
ANDHRA PRADESH,CUDDAPAH,CHENNUR,0,3,0,0,0,0,3,3
ANDHRA PRADESH,CUDDAPAH,CHINNAMANDEM,29,95,0,2,0,0,97,126
ANDHRA PRADESH,CUDDAPAH,CHINTHA KOMMADINNE,13,20,2,1,0,0,23,36
ANDHRA PRADESH,CUDDAPAH,CHITVEL,2,12,0,0,0,0,12,14
ANDHRA PRADESH,CUDDAPAH,CUDDAPAH,1,6,0,0,0,0,6,7
ANDHRA PRADESH,CUDDAPAH,DUVVUR,2,0,0,0,0,0,0,2
ANDHRA PRADESH,CUDDAPAH,GALIVEEDU,30,248,0,7,0,0,255,285
ANDHRA PRADESH,CUDDAPAH,GOPAVARAM,28,7,2,0,0,0,9,37
ANDHRA PRADESH,CUDDAPAH,JAMMALAMADUGU,66,4,0,2,0,0,6,72
ANDHRA PRADESH,CUDDAPAH,KALASAPADU,15,0,0,0,0,0,0,15
ANDHRA PRADESH,CUDDAPAH,KAMALAPURAM,4,2,0,0,0,0,2,6
ANDHRA PRADESH,CUDDAPAH,KHAJIPET,1,8,0,1,0,0,9,10
ANDHRA PRADESH,CUDDAPAH,KODUR,0,17,1,0,0,0,18,18
ANDHRA PRADESH,CUDDAPAH,KONDAPURAM,0,0,0,2,0,0,2,2
ANDHRA PRADESH,CUDDAPAH,LAKKIREDDIPALLE,70,64,0,0,0,0,64,134
ANDHRA PRADESH,CUDDAPAH,MUDDANUR,0,10,0,0,0,0,10,10
ANDHRA PRADESH,CUDDAPAH,MYLAVARAM,19,16,0,11,0,0,27,46
ANDHRA PRADESH,CUDDAPAH,NANDALUR,19,7,0,0,0,0,7,26
ANDHRA PRADESH,CUDDAPAH,OBULAVARIPALLE,0,0,30,0,0,0,30,30
ANDHRA PRADESH,CUDDAPAH,PEDDAMUDIUM,3,0,0,0,0,0,0,3
ANDHRA PRADESH,CUDDAPAH,PENAGALURU,0,18,0,0,0,0,18,18
ANDHRA PRADESH,CUDDAPAH,PORUMAMILLA,71,5,1,0,0,3,9,80
ANDHRA PRADESH,CUDDAPAH,PULLAMPETA,0,28,0,1,0,0,29,29
ANDHRA PRADESH,CUDDAPAH,RAJAMPET,0,24,0,0,0,0,24,24
ANDHRA PRADESH,CUDDAPAH,RAMAPURAM,37,0,0,57,0,0,57,94
ANDHRA PRADESH,CUDDAPAH,RAYACHOTI,33,90,0,0,0,0,90,123
ANDHRA PRADESH,CUDDAPAH,S MYDUKUR,0,5,0,8,0,0,13,13
ANDHRA PRADESH,CUDDAPAH,SAMBEPALLE,109,68,0,0,3,0,71,180
ANDHRA PRADESH,CUDDAPAH,SIDHOUT,0,2,0,0,0,0,2,2
ANDHRA PRADESH,CUDDAPAH,T SUNDUPALLE,120,0,0,47,0,1,48,168
ANDHRA PRADESH,CUDDAPAH,THANDUR,0,0,0,0,0,5,5,5
ANDHRA PRADESH,CUDDAPAH,VALLUR,2,3,0,5,0,0,8,10
ANDHRA PRADESH,CUDDAPAH,VEERABALLE,0,78,1,0,0,0,79,79
ANDHRA PRADESH,CUDDAPAH,VEERAPUNAYUNIPALLE,1,2,0,1,0,0,3,4
ANDHRA PRADESH,CUDDAPAH,VEMPALLE,3,1,0,9,1,56,67,70
ANDHRA PRADESH,CUDDAPAH,VEMULA,59,5,0,0,0,0,5,64
ANDHRA PRADESH,CUDDAPAH,VONTIMITTA,9,27,1,0,0,0,28,37
ANDHRA PRADESH,CUDDAPAH,YERRAGUNTLA,2,1,0,0,0,0,1,3
ANDHRA PRADESH,EAST GODAVARI,ADDATEEGALA,34,28,0,1,2,5,36,70
ANDHRA PRADESH,EAST GODAVARI,ANAPARTHI,18,0,0,0,0,0,0,18
ANDHRA PRADESH,EAST GODAVARI,BICCAVOLU,29,4,0,0,0,0,4,33
ANDHRA PRADESH,EAST GODAVARI,DEVIPATNAM,53,0,0,0,0,0,0,53
ANDHRA PRADESH,EAST GODAVARI,GANDEPALLE,18,105,0,0,0,0,105,123
ANDHRA PRADESH,EAST GODAVARI,GANGAVARAM,78,0,0,50,2,0,52,130
ANDHRA PRADESH,EAST GODAVARI,GOKAVARAM,116,0,0,0,0,0,0,116
ANDHRA PRADESH,EAST GODAVARI,GOLLAPROLU,50,0,0,0,0,0,0,50
ANDHRA PRADESH,EAST GODAVARI,JAGGAMPETA,102,0,0,0,0,0,0,102
ANDHRA PRADESH,EAST GODAVARI,KADIAM,8,0,0,1,0,0,1,9
ANDHRA PRADESH,EAST GODAVARI,KIRLAMPUDI,6,0,0,0,0,0,0,6
ANDHRA PRADESH,EAST GODAVARI,KORUKONDA,110,0,0,0,0,0,0,110
ANDHRA PRADESH,EAST GODAVARI,KOTANANDURU,90,4,0,0,0,0,4,94
ANDHRA PRADESH,EAST GODAVARI,MANDAPETA,30,0,0,0,0,0,0,30
ANDHRA PRADESH,EAST GODAVARI,MAREDUMILLI,2,0,0,0,0,0,0,2
ANDHRA PRADESH,EAST GODAVARI,PEDDAPURAM,52,0,0,0,0,0,0,52
ANDHRA PRADESH,EAST GODAVARI,PRATHIPADU,89,0,0,0,0,1,1,90
ANDHRA PRADESH,EAST GODAVARI,RAJAHMUNDRY(RURAL),17,0,0,0,0,0,0,17
ANDHRA PRADESH,EAST GODAVARI,RAJANAGARAM,202,0,0,0,0,0,0,202
ANDHRA PRADESH,EAST GODAVARI,RAJAVOMMANGI,85,1,0,0,0,0,1,86
ANDHRA PRADESH,EAST GODAVARI,RAMPACHODAVARAM,27,13,10,0,0,0,23,50
ANDHRA PRADESH,EAST GODAVARI,RANGAMPETA,143,0,0,0,0,0,0,143
ANDHRA PRADESH,EAST GODAVARI,SAMALKOTA,26,0,0,1,0,2,3,29
ANDHRA PRADESH,EAST GODAVARI,SANKHAVARAM,90,12,1,6,0,3,22,112
ANDHRA PRADESH,EAST GODAVARI,THONDANGI,22,14,0,0,0,3,17,39
ANDHRA PRADESH,EAST GODAVARI,TUNI,102,0,0,0,0,0,0,102
ANDHRA PRADESH,EAST GODAVARI,Y RAMAVARAM,40,0,0,0,1,0,1,41
ANDHRA PRADESH,EAST GODAVARI,YELESWARAM,24,0,0,0,0,0,0,24
ANDHRA PRADESH,GUNTUR,ACHAMPETA,4,1,0,0,0,0,1,5
ANDHRA PRADESH,GUNTUR,AMARAVATHI,6,0,0,0,0,0,0,6
ANDHRA PRADESH,GUNTUR,BELLAMKONDA,6,0,0,0,0,0,0,6
ANDHRA PRADESH,GUNTUR,BOLLAPALLE,16,0,0,0,0,0,0,16
ANDHRA PRADESH,GUNTUR,CHILAKALURIPET,1,0,0,0,0,0,0,1
ANDHRA PRADESH,GUNTUR,DURGI,3,0,0,0,0,0,0,3
ANDHRA PRADESH,GUNTUR,EDLAPADU,5,0,0,0,0,0,0,5
ANDHRA PRADESH,GUNTUR,GUNTUR,4,2,0,2,0,4,8,12
ANDHRA PRADESH,GUNTUR,IPURU,14,1,0,0,0,0,1,15
ANDHRA PRADESH,GUNTUR,KAREMPUDI,6,0,0,0,0,0,0,6
ANDHRA PRADESH,GUNTUR,KROSURU,6,0,0,0,0,0,0,6
ANDHRA PRADESH,GUNTUR,MACHAVARAM,14,0,0,0,0,0,0,14
ANDHRA PRADESH,GUNTUR,MACHERLA,2,3,0,0,0,0,3,5
ANDHRA PRADESH,GUNTUR,MANGALAGIRI,1,0,0,12,0,0,12,13
ANDHRA PRADESH,GUNTUR,MEDIKONDURU,1,0,0,0,0,0,0,1
ANDHRA PRADESH,GUNTUR,MUPPALLA,2,0,0,0,0,9,9,11
ANDHRA PRADESH,GUNTUR,NAKARIKALLU,6,0,0,0,0,0,0,6
ANDHRA PRADESH,GUNTUR,NARASARAOPETA,11,0,0,0,0,0,0,11
ANDHRA PRADESH,GUNTUR,NUZENDLA,11,0,1,1,0,0,2,13
ANDHRA PRADESH,GUNTUR,PEDAKAKANI,4,1,2,1,0,0,4,8
ANDHRA PRADESH,GUNTUR,PEDAKURAPADU,1,0,0,0,0,0,0,1
ANDHRA PRADESH,GUNTUR,PHIRANGIPURAM,4,0,0,0,0,0,0,4
ANDHRA PRADESH,GUNTUR,PIDUGURALLA,7,0,0,0,0,0,0,7
ANDHRA PRADESH,GUNTUR,PRATHIPADU,7,0,0,0,0,0,0,7
ANDHRA PRADESH,GUNTUR,RAJUPALEM,1,0,0,0,0,1,1,2
ANDHRA PRADESH,GUNTUR,RENTACRINTALA,2,0,0,0,0,0,0,2
ANDHRA PRADESH,GUNTUR,ROMPICHERLA,10,0,0,1,0,0,1,11
ANDHRA PRADESH,GUNTUR,SATTENAPALLE,2,0,0,0,0,0,0,2
ANDHRA PRADESH,GUNTUR,SAVALYAPURAM,10,0,0,0,0,0,0,10
ANDHRA PRADESH,GUNTUR,TADIKONDA,2,0,0,6,0,0,6,8
ANDHRA PRADESH,GUNTUR,THADEPALLE,0,0,0,2,0,0,2,2
ANDHRA PRADESH,GUNTUR,THULLUR,1,0,0,0,0,0,0,1
ANDHRA PRADESH,GUNTUR,VATTICHERUKURU,1,0,0,0,0,0,0,1
ANDHRA PRADESH,GUNTUR,VELDURTHI,2,3,0,0,0,0,3,5
ANDHRA PRADESH,GUNTUR,VINUKONDA,8,0,0,0,0,0,0,8
ANDHRA PRADESH,KARIMNAGAR,BEJJANKI,0,69,0,49,0,0,118,118
